Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,42.256309509277344,46.56195831298828,41.03701400756836,45.11404037475586,1631851,0,0,479230016
2014-01-02,45.41886520385742,46.29523849487305,42.14200210571289,42.44682693481445,601287,0,0,479230016
2014-01-03,41.91338348388672,43.6661262512207,41.532352447509766,42.67544555664063,655032,0,0,479230016
2014-01-06,42.48492813110352,44.923526763916016,42.48492813110352,43.81853866577149,536978,0,0,479230016
2014-01-07,43.81853866577149,47.66694641113281,42.9040641784668,46.90488815307617,1480524,0,0,479230016
2014-01-08,48.0098762512207,49.07676315307617,45.914207458496094,46.4095458984375,2380352,0,0,479230016
2014-01-09,46.48575210571289,47.095401763916016,44.35197830200195,44.58060073852539,459714,0,0,479230016
2014-01-10,44.8092155456543,46.67626953125,43.81853866577149,44.39008331298828,490624,0,0,479230016
2014-01-13,44.65680313110352,45.5712776184082,42.827857971191406,44.46628952026367,251530,0,0,479230016
2014-01-14,44.19956970214844,47.2478141784668,43.81853866577149,46.942989349365234,1057044,0,0,479230016
2014-01-15,47.62884521484375,48.69573211669922,46.56195831298828,46.75247573852539,1543221,0,0,479230016
2014-01-16,47.01919555664063,47.171607971191406,44.999732971191406,45.22835159301758,283385,0,0,479230016
2014-01-17,44.96163177490234,45.34265899658203,43.09457778930664,43.32319641113281,236564,0,0,479230016
2014-01-20,42.751651763916016,43.742332458496094,42.0657958984375,42.44682693481445,266633,0,0,479230016
2014-01-21,43.20888900756836,43.93284606933594,42.561134338378906,43.01837158203125,330737,0,0,479230016
2014-01-22,43.36130142211914,43.4756088256836,42.48492813110352,42.78975296020508,166146,0,0,479230016
2014-01-23,42.9040641784668,43.36130142211914,42.48492813110352,42.561134338378906,145755,0,0,479230016
2014-01-24,42.561134338378906,42.561134338378906,40.31305313110352,40.4654655456543,191320,0,0,479230016
2014-01-27,40.27495193481445,40.27495193481445,37.7220458984375,37.95066452026367,218907,0,0,479230016
2014-01-28,38.63652038574219,38.82703399658203,37.41722106933594,37.95066452026367,188012,0,0,479230016
2014-01-29,38.14117813110352,39.24616622924805,37.03619003295898,37.37911605834961,366944,0,0,479230016
2014-01-30,37.15049743652344,37.76014709472656,35.283447265625,36.083614349365234,159407,0,0,479230016
2014-01-31,36.54085159301758,38.33169555664063,36.083614349365234,37.79825210571289,326261,0,0,479230016
2014-02-03,39.55099487304688,40.389259338378906,37.95066452026367,38.17928314208984,1308743,0,0,479230016
2014-02-04,38.10307693481445,39.09375762939453,35.43585968017578,38.407901763916016,1112200,0,0,479230016
2014-02-05,40.236846923828125,40.69408416748047,39.0556526184082,39.70340347290039,998554,0,0,479230016
2014-02-06,39.77960968017578,46.86678314208984,39.24616622924805,45.72369003295898,2578083,0,0,479230016
2014-02-07,48.92435073852539,50.219852447509766,47.62884521484375,48.12418365478516,6656974,0,0,479230016
2014-02-10,47.40022659301758,47.70505142211914,45.49507141113281,45.99041366577149,1029174,0,0,479230016
2014-02-11,46.18092727661133,46.33333969116211,42.71354675292969,43.09457778930664,859550,0,0,479230016
2014-02-12,43.28509521484375,45.53317642211914,43.28509521484375,44.96163177490234,1087708,0,0,479230016
2014-02-13,45.15214538574219,46.75247573852539,44.08525848388672,44.42818832397461,1522085,0,0,479230016
2014-02-14,44.8092155456543,45.41886520385742,43.43750762939453,43.970951080322266,437338,0,0,479230016
2014-02-17,44.50439453125,44.50439453125,41.83717727661133,42.18010330200195,413288,0,0,479230016
2014-02-18,41.799072265625,42.827857971191406,41.532352447509766,42.0657958984375,455120,0,0,479230016
2014-02-19,44.19956970214844,44.19956970214844,42.94216537475586,43.36130142211914,910856,0,0,479230016
2014-02-20,42.9040641784668,43.28509521484375,42.21820831298828,42.37062072753906,203809,0,0,479230016
2014-02-21,42.02769470214844,44.27577209472656,42.02769470214844,43.970951080322266,644508,0,0,479230016
2014-02-24,44.69490814208984,46.37144470214844,44.2376708984375,44.96163177490234,2325558,0,0,479230016
2014-02-25,45.11404037475586,45.41886520385742,43.93284606933594,44.16146469116211,294596,0,0,479230016
2014-02-26,44.19956970214844,44.19956970214844,43.13268280029297,43.32319641113281,231453,0,0,479230016
2014-02-28,43.93284606933594,43.93284606933594,42.71354675292969,42.86595916748047,218681,0,0,479230016
2014-03-03,42.98027038574219,43.6661262512207,42.48492813110352,42.67544555664063,220566,0,0,479230016
2014-03-04,42.827857971191406,43.58992004394531,42.29441452026367,43.20888900756836,227027,0,0,479230016
2014-03-05,43.742332458496094,44.19956970214844,43.20888900756836,43.51371383666992,288501,0,0,479230016
2014-03-06,43.58992004394531,45.99041366577149,43.58992004394531,45.6474838256836,1254112,0,0,479230016
2014-03-07,45.72369003295898,46.06661987304688,44.46628952026367,44.96163177490234,472750,0,0,479230016
2014-03-10,45.5712776184082,48.54331970214844,45.15214538574219,47.28591537475586,1826786,0,0,479230016
2014-03-11,47.70505142211914,48.77193832397461,46.18092727661133,46.48575210571289,456873,0,0,479230016
