Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,446.1665665890864,450.6492494822447,443.8646483466538,444.26849365234375,246346,0.0,0,238664000
2014-01-02,446.61083909791097,453.9203890311567,439.382007435364,441.3204650878906,40309,0.0,0,238664000
2014-01-03,443.37999506593513,443.37999506593513,436.958906067173,438.2915954589844,35921,0.0,0,238664000
2014-01-06,441.8050291168375,451.4973162741456,435.54547779256,448.5896301269531,112562,0.0,0,238664000
2014-01-07,447.4992566100586,454.72803679203065,442.5319593443869,447.4184875488281,57207,0.0,0,238664000
2014-01-08,447.9435041797677,451.8204192723057,443.1377448463092,445.0762023925781,50925,0.0,0,238664000
2014-01-09,443.4204185103949,448.22617764810514,441.0377312068242,444.26849365234375,20084,0.0,0,238664000
2014-01-10,444.7935465762649,448.6300774463208,439.13976240802464,443.5416259765625,48864,0.0,0,238664000
2014-01-13,444.22812867297137,448.5088891016879,440.2300599706795,444.187744140625,24440,0.0,0,238664000
2014-01-14,440.5935557083226,445.8435453297653,440.5935557083226,444.6723937988281,54034,0.0,0,238664000
2014-01-15,445.23773205611184,460.3818805502484,445.23773205611184,457.6761169433594,99727,0.0,0,238664000
2014-01-16,451.2550460722509,457.918443240766,449.4781266144722,452.3454284667969,40567,0.0,0,238664000
2014-01-17,448.3069564999092,454.3645854194004,448.3069564999092,452.50689697265625,25377,0.0,0,238664000
2014-01-20,453.0723216000525,456.3434689449478,446.2473859625641,453.5973205566406,18291,0.0,0,238664000
2014-01-21,453.2338367354059,453.2338367354059,441.23968121107697,441.8858337402344,15376,0.0,0,238664000
2014-01-22,442.2492718891869,454.6876566403104,441.8050420481413,453.0318908691406,49131,0.0,0,238664000
2014-01-23,454.7280575008557,454.7280575008557,440.9973672645226,444.3088989257813,92320,0.0,0,238664000
2014-01-24,444.3088615992394,452.2242292953239,439.3819490537175,441.5627136230469,274686,0.0,0,238664000
2014-01-27,437.8877902515784,445.3588776365178,436.95894604503184,442.3704223632813,240944,0.0,0,238664000
2014-01-28,439.382020496421,448.2666183346044,420.96677384632073,423.3090515136719,51047,0.0,0,238664000
2014-01-29,431.103182313435,443.9857966122509,424.8436055494074,440.6338806152344,152769,0.0,0,238664000
2014-01-30,443.1781390897608,448.26659026021866,426.4589931849824,440.876220703125,62053,0.0,0,238664000
2014-01-31,447.4588961002161,453.87998601458486,433.7685902848776,448.83197021484375,38112,0.0,0,238664000
2014-02-03,444.22811990295736,452.2646416812293,439.42236064861385,440.1896667480469,76040,0.0,0,238664000
2014-02-04,443.4204501641816,444.2281408332189,436.2724385413571,440.2300720214844,80340,0.0,0,238664000
2014-02-05,444.1473669796724,444.1473669796724,437.4839698300827,439.7454528808594,15174,0.0,0,238664000
2014-02-06,439.38195024544535,445.1165533877543,438.251234226802,441.6838684082031,34248,0.0,0,238664000
2014-02-07,453.9203632083238,457.95881642134606,440.5127493392436,443.9454345703125,66773,0.0,0,238664000
2014-02-10,447.4589297359099,447.4589297359099,437.0397702927948,437.6455383300781,10141,0.0,0,238664000
2014-02-11,444.1473913142696,444.1473913142696,434.5763072630877,434.8993835449219,162593,0.0,0,238664000
2014-02-12,439.3416429275774,439.38202746384593,424.9648242132308,427.6705627441406,26161,0.0,0,238664000
2014-02-13,430.4570748724115,438.5339817344356,426.4590059757096,427.6301574707031,17150,0.0,0,238664000
2014-02-14,432.88012536406745,432.9205098963656,421.6128916510564,422.3398132324219,18567,0.0,0,238664000
2014-02-17,425.97436012514686,427.8724075853872,421.5724718717676,421.8551635742188,20039,0.0,0,238664000
2014-02-18,423.79364080710616,426.4186100681739,421.6129014116015,422.2994384765625,14442,0.0,0,238664000
2014-02-19,420.0378975286627,427.2262935247003,420.0378975286627,421.572509765625,31467,0.0,0,238664000
2014-02-20,421.2090396440989,421.8551921506147,415.59561514281927,415.9590759277344,37632,0.0,0,238664000
2014-02-21,419.9167445273532,436.3128139684493,417.08982724472384,430.9820556640625,74642,0.0,0,238664000
2014-02-24,428.11477715850816,430.6590028514008,420.8456116912578,423.4705810546875,8963,0.0,0,238664000
2014-02-25,425.0455995119945,432.1128680634261,417.2514092970818,418.8667907714844,14160,0.0,0,238664000
2014-02-26,418.8667364481339,425.8936195513801,415.55523025416176,416.4436645507813,49565,0.0,0,238664000
2014-02-28,408.0033645430452,455.0511425706584,408.0033645430452,448.3069763183594,255284,0.0,0,238664000
2014-03-03,438.1705072915716,452.6280685284218,429.85129348254674,431.4666748046875,24681,0.0,0,238664000
2014-03-04,431.466695036001,446.53007577312513,428.0743941004417,429.36669921875,27185,0.0,0,238664000
2014-03-05,435.3032476770963,435.34363221406784,428.2359537070746,430.5378723144531,36152,0.0,0,238664000
2014-03-06,432.7589996405644,436.1513005720966,424.07635003631657,427.226318359375,42108,0.0,0,238664000
2014-03-07,431.6282177920495,433.28398366586856,423.2282602215085,424.1571044921875,23795,0.0,0,238664000
2014-03-10,425.69169475321365,428.0743567078891,421.6128824789183,423.99554443359375,34037,0.0,0,238664000
2014-03-11,424.0359483021344,430.2955255585367,415.8783233815353,421.2898254394531,256962,0.0,0,238664000
2014-03-12,420.80520181420354,423.6320936814278,412.889858867637,415.6763916015625,117357,0.0,0,238664000
2014-03-13,413.7783026809577,425.2070741059989,413.57638002683774,416.12060546875,330293,0.0,0,238664000
2014-03-14,412.768701067074,419.9975068896385,409.4571948450637,413.1725463867188,229001,0.0,0,238664000
2014-03-18,423.228262434338,423.228262434338,412.9302571341662,417.6148376464844,155156,0.0,0,238664000
2014-03-19,418.2205756725222,419.9974950287784,412.3244595712936,416.12060546875,158780,0.0,0,238664000
2014-03-20,416.12063529796177,421.61290648465854,414.78794568523705,417.6148376464844,253092,0.0,0,238664000
2014-03-21,421.61288238779713,422.42057301601295,416.88789221273424,420.3609619140625,410775,0.0,0,238664000
2014-03-24,420.0378918667489,428.074362938043,416.7667447741597,419.9571228027344,39689,0.0,0,238664000
2014-03-25,421.6129373284221,427.9128742513016,420.2802476182024,423.3898315429688,31990,0.0,0,238664000
2014-03-26,424.0359337732045,429.6897428369704,424.0359337732045,428.11474609375,38704,0.0,0,238664000
2014-03-27,425.3282655896335,430.0128461834765,425.3282655896335,427.7513122558594,57817,0.0,0,238664000
2014-03-28,431.62818933220177,436.0301031943053,426.4589693840435,433.20318603515625,105082,0.0,0,238664000
2014-03-31,437.766693206562,448.2666217517528,428.074404581932,443.0166320800781,97136,0.0,0,238664000
2014-04-01,449.8819254016095,449.8819254016095,429.8108653100165,437.3223876953125,90292,0.0,0,238664000
2014-04-02,440.1493370277163,444.147406148952,436.15131870463983,438.4936218261719,164254,0.0,0,238664000
2014-04-03,430.5377838201708,436.5954631207866,428.1147120999245,433.9300842285156,92365,0.0,0,238664000
2014-04-04,436.1512854459324,439.13974092483,425.732101202367,427.7916870117188,60953,0.0,0,238664000
2014-04-07,429.6897654685057,434.5359095490432,420.2398353096137,426.257080078125,110230,0.0,0,238664000
2014-04-09,427.2666525040236,445.7627165083393,427.2666525040236,434.4954833984375,1587964,0.0,0,238664000
2014-04-10,434.980159966475,465.18769123216407,434.980159966475,447.1762390136719,906543,0.0,0,238664000
2014-04-11,458.7260818991477,482.1893913921854,455.2530124435834,474.9202270507813,511147,0.0,0,238664000
2014-04-15,478.15106215255736,480.57408343659415,467.4087759214991,473.991455078125,161722,0.0,0,238664000
2014-04-16,476.3337307384023,484.6125090790146,471.0029724636845,482.6336669921875,163744,0.0,0,238664000
2014-04-17,485.4201869651136,505.4508129047812,478.9586619535095,489.62017822265625,288651,0.0,0,238664000
2014-04-21,491.316313257937,492.60856742191527,478.151007254396,480.8567199707031,70454,0.0,0,238664000
2014-04-22,482.9971591264796,482.9971591264796,471.689540123272,474.35491943359375,44652,0.0,0,238664000
2014-04-23,471.2856395342057,476.5356284694923,468.4587224152052,471.8106384277344,57565,0.0,0,238664000
2014-04-24,471.8106384277343,471.8106384277343,471.8106384277343,471.8106384277344,0,0.0,0,238664000
2014-04-25,472.49718983457205,472.49718983457205,462.8049530723541,464.9857177734375,47585,0.0,0,238664000
2014-04-28,455.53578569854267,467.045327598586,451.4166138468183,453.3146362304688,59516,0.0,0,238664000
2014-04-29,453.96074223828185,463.1684154523722,448.38772767001177,453.7588195800781,58252,0.0,0,238664000
2014-04-30,450.3262107588788,456.9088389919378,434.5762933228396,436.5955200195313,87696,0.0,0,238664000
2014-05-02,436.1916269825793,450.6088532222764,436.1916269825793,441.0377197265625,66031,0.0,0,238664000
2014-05-05,437.039745533977,450.40697533460167,437.039745533977,445.52044677734375,52683,0.0,0,238664000
