Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,27.42448801756462,29.25278759573062,27.22683329588041,28.80806541442871,589896,0.0,0,503356992
2014-01-02,29.005719170952364,29.351613979902574,27.276247011176373,27.473899841308597,248703,0.0,0,503356992
2014-01-03,27.177419666934085,27.62214183365576,26.880939479103013,27.276247024536133,78303,0.0,0,503356992
2014-01-06,26.97976494284553,27.572727203287485,26.97976494284553,27.07859230041504,47147,0.0,0,503356992
2014-01-07,26.97976494284553,27.720967297154203,26.93035220654832,27.07859230041504,51282,0.0,0,503356992
2014-01-08,27.128006930702703,27.32565976093233,26.683284763979685,26.78211212158203,63081,0.0,0,503356992
2014-01-09,26.831525820420925,27.276248003097432,26.18915080042441,26.337390899658203,86324,0.0,0,503356992
2014-01-10,26.287976264070736,27.029178591713848,25.99149420202849,26.13973617553711,103188,0.0,0,503356992
2014-01-13,25.84325504307216,26.4362173035104,25.84325504307216,26.09032249450684,57356,0.0,0,503356992
2014-01-14,26.287977218545368,27.81979466396899,26.09032250334068,26.78211212158203,767944,0.0,0,503356992
2014-01-15,26.97976591965472,27.17742064194986,26.13973806233819,26.337390899658203,95558,0.0,0,503356992
2014-01-16,26.040909767108825,26.8809394792688,25.942082409506167,26.28797721862793,606795,0.0,0,503356992
2014-01-17,26.633873001454354,26.633873001454354,25.79384325858383,25.8432559967041,79711,0.0,0,503356992
2014-01-20,25.20088004181381,25.942082395984805,25.20088004181381,25.497360229492188,80086,0.0,0,503356992
2014-01-21,25.497360242951288,25.793842315761225,25.102052697513106,25.299707412719727,58765,0.0,0,503356992
2014-01-22,25.20088005511641,25.84325505207535,25.20088005511641,25.299707412719727,94040,0.0,0,503356992
2014-01-23,25.299706457952013,25.447946546275123,25.05263901575517,25.151466369628903,53483,0.0,0,503356992
2014-01-24,25.200880055205207,25.398534770412528,24.756157888476267,24.805572509765625,89906,0.0,0,503356992
2014-01-27,24.55850605068921,24.95381361210375,23.125514019964488,23.273754119873047,123157,0.0,0,503356992
2014-01-28,23.61964704145848,24.0643691903566,23.273752246201614,23.6690616607666,53349,0.0,0,503356992
2014-01-29,23.22434138247841,24.113783866940008,23.22434138247841,23.47140884399414,22278,0.0,0,503356992
2014-01-30,23.323168743159325,23.520821581379025,22.82903382014737,23.273754119873047,48893,0.0,0,503356992
2014-01-31,23.323167796428606,24.01495552957931,23.27375317514816,23.718475341796875,41073,0.0,0,503356992
2014-02-03,23.817303666643223,23.817303666643223,23.273754120334218,23.372581481933597,29682,0.0,0,503356992
2014-02-04,23.224341381561903,23.669063566262725,22.87844655845851,23.273754119873047,38476,0.0,0,503356992
2014-02-05,23.66906356673173,23.66906356673173,23.17492864370998,23.372581481933597,26054,0.0,0,503356992
2014-02-06,23.42199514948236,23.81730269477413,22.977272982919693,23.125513076782227,37902,0.0,0,503356992
2014-02-07,23.52081968781724,24.01495457104848,23.12551215822724,23.6690616607666,80743,0.0,0,503356992
2014-02-10,23.71847630550987,24.113783866940008,23.372581482392825,23.47140884399414,34260,0.0,0,503356992
2014-02-11,23.2737531842326,23.66906261473023,22.77961828108562,22.92786026000977,129876,0.0,0,503356992
2014-02-12,22.730205527054476,23.224340429816525,22.730205527054476,23.02668571472168,65740,0.0,0,503356992
2014-02-13,22.779617323352785,23.026684764538714,22.631377235636226,22.6807918548584,58316,0.0,0,503356992
2014-02-14,22.58196543753251,22.82903288896071,22.483138079966217,22.631378173828125,20077,0.0,0,503356992
2014-02-17,22.18665697576944,23.2737522091684,22.18665697576944,22.977272033691406,37132,0.0,0,503356992
2014-02-18,22.73020554476095,23.2737531842326,22.73020554476095,22.92786026000977,43956,0.0,0,503356992
2014-02-19,22.92786025555442,23.22434044339497,22.730205540344016,22.82903289794922,55614,0.0,0,503356992
2014-02-20,23.32316778773698,24.50909042339984,23.32316778773698,24.014955520629883,396558,0.0,0,503356992
2014-02-21,24.212610236084537,25.447947493027623,23.96554278469592,25.00322532653809,345535,0.0,0,503356992
2014-02-24,25.250293751260767,25.94208339580564,24.45967863033103,24.8549861907959,525954,0.0,0,503356992
2014-02-25,25.052639956767965,25.052639956767965,24.311437602336813,24.70674514770508,280883,0.0,0,503356992
2014-02-26,24.65733146905613,25.39853379516032,24.55850411524724,24.95381164550781,314606,0.0,0,503356992
2014-02-28,25.34912013582215,26.831524844174037,25.052639948141803,25.99149513244629,394699,0.0,0,503356992
2014-03-03,25.74442768566442,27.17741965798454,25.44794749793098,27.07859230041504,302567,0.0,0,503356992
2014-03-04,27.17742062291681,27.37507534507353,26.58445834142178,26.73269844055176,218845,0.0,0,503356992
2014-03-05,26.68328476389892,27.671554569969253,26.68328476389892,27.276247024536133,685414,0.0,0,503356992
2014-03-06,27.62214182472049,28.3139295577609,27.47389984587784,28.06686210632324,628926,0.0,0,503356992
2014-03-07,28.363344187822044,30.93284417558984,27.81979466350573,29.74692153930664,1601040,0.0,0,503356992
2014-03-10,29.648094177246097,30.438709267982635,28.906891822814945,29.648094177246094,590694,0.0,0,503356992
2014-03-11,29.648093268921123,31.772874794507143,29.648093268921123,30.982257843017575,889721,0.0,0,503356992
2014-03-12,30.241055546920656,32.415247924884554,30.241055546920656,32.06935501098633,1379362,0.0,0,503356992
2014-03-13,32.06935596038017,32.76114557860666,30.636363987614622,30.735191345214844,299972,0.0,0,503356992
2014-03-14,30.735191340740133,30.834018698325966,29.845748892417763,30.636363983154297,187354,0.0,0,503356992
