Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,10.250279924638882,10.817316353646865,9.46515243340454,10.773698806762695,1060701,0.0,0,135284992
2014-01-02,11.035408933102827,11.340736794979014,10.075808626544733,10.25028133392334,697628,0.0,0,135284992
2014-01-03,10.2066624284773,10.250280811084972,9.770480266303473,9.944952964782717,190561,0.0,0,135284992
2014-01-06,9.944953534843368,9.944953534843368,9.508771347666878,9.639626502990724,257187,0.0,0,135284992
2014-01-07,9.508771020685469,10.119426727294922,9.508771020685469,10.119426727294922,184825,0.0,0,135284992
2014-01-08,10.46837280235365,10.599227129602465,9.901336275006772,10.163044929504396,132716,0.0,0,135284992
2014-01-09,9.857718069004676,10.03219078584648,9.68324535216287,9.726862907409668,126031,0.0,0,135284992
2014-01-10,9.334298540216423,9.81409910741361,9.334298540216423,9.465153694152832,113037,0.0,0,135284992
2014-01-13,9.59600838949514,9.59600838949514,9.247062962657743,9.377917289733888,75826,0.0,0,135284992
2014-01-14,9.203442573547363,9.465152002700393,9.159824196696636,9.203442573547363,79239,0.0,0,135284992
2014-01-15,9.247064329470849,9.247064329470849,8.810882065476028,8.898118019104004,143829,0.0,0,135284992
2014-01-16,8.723644631266145,8.898117357501153,8.54917190503114,8.636407852172852,90739,0.0,0,135284992
2014-01-17,8.723643645506433,8.723643645506433,8.243843078613281,8.243843078613281,91480,0.0,0,135284992
2014-01-20,8.243843362845293,8.243843362845293,7.851279551652949,7.894897937774658,94618,0.0,0,135284992
2014-01-21,7.8512802922472815,8.200225750233189,7.8512802922472815,8.025753021240234,60923,0.0,0,135284992
2014-01-22,7.7640427794095315,8.112989036431683,7.7640427794095315,7.894897937774658,23808,0.0,0,135284992
2014-01-23,7.851279108147872,8.287461280822754,7.851279108147872,8.287461280822754,64299,0.0,0,135284992
2014-01-24,8.680023435020933,8.680023435020933,8.200222969055176,8.200222969055176,77173,0.0,0,135284992
2014-01-27,8.025752152130535,8.025752152130535,7.807661056518555,7.807661056518555,127432,0.0,0,135284992
2014-01-28,7.7640427794095315,8.025752264188267,7.589570066874214,7.894897937774658,52593,0.0,0,135284992
2014-01-29,7.938516704753387,8.200225370136298,7.720425595633256,8.11298942565918,90027,0.0,0,135284992
2014-01-30,7.80766116553124,8.112989036431683,7.80766116553124,7.894897937774658,43108,0.0,0,135284992
2014-01-31,7.851278665905027,8.069369739957944,7.589569210651241,7.676805973052978,35753,0.0,0,135284992
2014-02-03,7.371477780798417,7.676805602515779,7.327859401702881,7.327859401702881,134814,0.0,0,135284992
2014-02-04,7.066152470298562,7.066152470298562,6.978915691375732,6.978915691375732,110228,0.0,0,135284992
2014-02-05,6.804442110635665,6.978914814610636,6.717205342672441,6.760823726654053,128280,0.0,0,135284992
2014-02-06,7.022533708645024,7.066152095794678,6.76082421769864,7.066152095794678,46543,0.0,0,135284992
2014-02-07,7.371478851203981,7.415097236633301,7.066151817101748,7.415097236633301,24312,0.0,0,135284992
2014-02-10,7.545950826662425,7.764041900634766,7.502333277429096,7.764041900634766,27401,0.0,0,135284992
2014-02-11,8.11298942565918,8.11298942565918,7.851279928324712,8.11298942565918,70050,0.0,0,135284992
2014-02-12,8.505552325975275,8.505552325975275,7.851279070131023,7.982133388519287,144907,0.0,0,135284992
2014-02-13,7.851278483879888,8.243842241683602,7.633187414883225,7.720424175262451,60804,0.0,0,135284992
2014-02-14,7.764042133182158,8.069369978669137,7.58956943516879,7.938515663146973,113628,0.0,0,135284992
2014-02-17,8.331079483032227,8.331079483032227,8.200224334908865,8.331079483032227,67231,0.0,0,135284992
2014-02-18,8.5927889861543,8.72364330291748,8.331079520676486,8.72364330291748,151846,0.0,0,135284992
2014-02-19,8.723643166678293,9.159825325012209,8.723643166678293,9.159825325012209,103379,0.0,0,135284992
2014-02-20,9.203446461970069,9.334300815856402,8.72364577780069,8.810882568359375,84836,0.0,0,135284992
2014-02-21,8.854497071940452,9.072588141022251,8.418314933776855,8.418314933776855,132497,0.0,0,135284992
2014-02-24,8.549170564619713,8.680024880791622,8.200224334908865,8.331079483032227,79798,0.0,0,135284992
2014-02-25,8.374698550542497,8.723643976835302,8.374698550542497,8.592789649963379,49104,0.0,0,135284992
2014-02-26,8.461933799204138,8.72364326349941,8.287461100324439,8.331079483032227,21075,0.0,0,135284992
2014-02-28,8.374697903581364,8.72364330291748,7.982133289388912,8.72364330291748,127406,0.0,0,135284992
2014-03-03,8.72364330291748,8.985352768395297,8.5927889861543,8.72364330291748,77592,0.0,0,135284992
2014-03-04,8.331080789249485,8.985354136594447,8.331080789249485,8.636407852172852,78792,0.0,0,135284992
2014-03-05,8.63640720428634,8.723643976835302,8.5491712636889,8.592789649963379,32125,0.0,0,135284992
2014-03-06,8.46193295981478,8.767260776530561,8.418314581433759,8.5055513381958,73080,0.0,0,135284992
2014-03-07,8.505554633355674,9.116209671411385,8.505554633355674,8.810882568359375,183840,0.0,0,135284992
2014-03-10,8.331080164268016,8.854498303707222,8.331080164268016,8.592789649963379,174409,0.0,0,135284992
2014-03-11,8.549170074396779,8.680024383065295,8.374697385521621,8.418314933776855,78597,0.0,0,135284992
2014-03-12,8.461934089660645,8.59278924227562,8.28746138479216,8.461934089660645,31686,0.0,0,135284992
2014-03-13,8.156606316439822,8.723642763271936,8.156606316439822,8.418314933776855,28040,0.0,0,135284992
2014-03-14,8.636405059578353,8.636405059578353,8.11298705012133,8.200222969055176,54005,0.0,0,135284992
2014-03-18,8.636405641387496,8.636405641387496,8.24384189986104,8.5055513381958,51747,0.0,0,135284992
2014-03-19,8.636406498083835,8.680024880791622,8.287461100324439,8.331079483032227,42038,0.0,0,135284992
2014-03-20,8.50555296716877,8.549171353903532,8.287461865446494,8.374698638916016,53113,0.0,0,135284992
2014-03-21,8.505552473865636,8.941734652012592,8.243843000587168,8.461934089660645,74662,0.0,0,135284992
2014-03-24,8.418315785133112,8.418315785133112,8.200224693995452,8.243843078613281,33849,0.0,0,135284992
2014-03-25,8.200224693995452,8.331079847848942,8.025751987475621,8.243843078613281,53537,0.0,0,135284992
2014-03-26,8.069370763724217,8.461934580434008,8.069370763724217,8.374698638916016,62558,0.0,0,135284992
2014-03-27,8.28745998748743,9.203442573547363,8.28745998748743,9.203442573547363,204660,0.0,0,135284992
2014-03-28,9.290680699329387,10.119427560243151,9.290680699329387,9.726862907409668,874547,0.0,0,135284992
2014-03-31,10.07580927158304,10.07580927158304,9.508771896362305,9.508771896362305,134336,0.0,0,135284992
2014-04-01,9.77048120051155,9.77048120051155,9.421535770188523,9.552390098571776,62414,0.0,0,135284992
2014-04-02,9.07258831414963,10.119426131279637,9.07258831414963,10.03218936920166,231732,0.0,0,135284992
2014-04-03,10.337519279110388,10.555610396121564,9.68324592807686,9.81410026550293,242291,0.0,0,135284992
2014-04-04,9.59600786062878,10.032190036111906,9.59600786062878,9.90133571624756,100587,0.0,0,135284992
2014-04-07,9.81409924501713,10.5992268518379,9.726862474503044,10.42475414276123,334101,0.0,0,135284992
2014-04-09,10.42475317874499,11.20988154491348,10.293898867025954,11.035408020019531,301480,0.0,0,135284992
2014-04-10,11.03540857833658,11.122645345197144,10.642844791366974,10.73008155822754,154310,0.0,0,135284992
2014-04-11,10.511989365700789,10.860934732482413,10.511989365700789,10.773698806762695,158122,0.0,0,135284992
2014-04-15,10.773699603730003,11.820536613464355,10.64284445754356,11.820536613464355,419501,0.0,0,135284992
2014-04-16,11.86415632481256,12.387574472348932,11.55882844811936,12.12586498260498,1055980,0.0,0,135284992
2014-04-17,12.12586613442155,12.692903554720678,12.12586613442155,12.300339698791504,287576,0.0,0,135284992
2014-04-21,12.213101661474711,12.213101661474711,11.820537845889044,11.95139217376709,92077,0.0,0,135284992
2014-04-22,11.82053765364208,12.03862875119285,11.558828170190852,11.602446556091309,83399,0.0,0,135284992
2014-04-23,11.82053683209189,12.169482231140137,11.602445749698871,12.169482231140137,277562,0.0,0,135284992
2014-04-24,12.169482231140137,12.169482231140137,12.169482231140137,12.169482231140137,0,0.0,0,135284992
