Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,73.0,74.19999694824219,71.0,72.80000305175781,28558,0,0,239104000
2014-01-02,72.0999984741211,76.80000305175781,72.0,73.8499984741211,110376,0,0,239104000
2014-01-03,73.0,74.25,70.5,73.3499984741211,26235,0,0,239104000
2014-01-06,73.69999694824219,73.69999694824219,70.80000305175781,71.19999694824219,27895,0,0,239104000
2014-01-07,71.5,72.6500015258789,70.1500015258789,70.80000305175781,9064,0,0,239104000
2014-01-08,71.0999984741211,72.9000015258789,70.5,70.5999984741211,15661,0,0,239104000
2014-01-09,71.0,71.75,69.0,69.05000305175781,19988,0,0,239104000
2014-01-10,69.0,69.80000305175781,66.5,66.94999694824219,23569,0,0,239104000
2014-01-13,69.3499984741211,77.3499984741211,67.5,74.30000305175781,1498399,0,0,239104000
2014-01-14,74.75,77.3499984741211,66.3499984741211,76.4000015258789,232519,0,0,239104000
2014-01-15,76.4000015258789,76.4000015258789,72.5999984741211,73.0,93036,0,0,239104000
2014-01-16,72.5,74.55000305175781,70.69999694824219,71.55000305175781,28953,0,0,239104000
2014-01-17,72.0999984741211,72.5,68.9000015258789,69.05000305175781,27565,0,0,239104000
2014-01-20,70.5,73.0,70.0,71.30000305175781,80900,0,0,239104000
2014-01-21,70.1500015258789,74.80000305175781,70.1500015258789,73.5999984741211,70626,0,0,239104000
2014-01-22,74.44999694824219,74.6500015258789,72.25,72.75,16688,0,0,239104000
2014-01-23,72.0,73.6500015258789,71.5,71.69999694824219,19563,0,0,239104000
2014-01-24,71.0,73.5,69.0999984741211,69.75,38557,0,0,239104000
2014-01-27,70.0,70.0,65.75,66.55000305175781,71105,0,0,239104000
2014-01-28,66.5999984741211,67.75,66.5,66.55000305175781,19357,0,0,239104000
2014-01-29,65.1500015258789,70.0,64.19999694824219,65.05000305175781,312271,0,0,239104000
2014-01-30,65.3499984741211,65.5999984741211,63.09999847412109,63.84999847412109,79562,0,0,239104000
2014-01-31,63.54999923706055,66.0,63.54999923706055,64.6500015258789,22589,0,0,239104000
2014-02-03,65.0,66.69999694824219,63.59999847412109,66.1500015258789,52056,0,0,239104000
2014-02-04,66.0,67.44999694824219,64.8499984741211,67.19999694824219,38953,0,0,239104000
2014-02-05,66.0,67.80000305175781,65.0999984741211,67.0999984741211,41433,0,0,239104000
2014-02-06,66.0,68.19999694824219,65.8499984741211,67.44999694824219,26706,0,0,239104000
2014-02-07,67.0,69.69999694824219,67.0,69.0,42428,0,0,239104000
2014-02-10,68.0,69.30000305175781,67.0,68.69999694824219,11661,0,0,239104000
2014-02-11,68.0,68.5,66.6500015258789,67.4000015258789,19351,0,0,239104000
2014-02-12,67.0,68.44999694824219,66.05000305175781,66.25,11904,0,0,239104000
2014-02-13,67.30000305175781,68.0,66.5,67.05000305175781,19470,0,0,239104000
2014-02-14,66.0,67.4000015258789,66.0,66.55000305175781,6871,0,0,239104000
