Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2015-11-16,213.37660748665283,214.66431301362735,190.77032668536165,198.6396026611328,23112419,0.0,0,135114000
2015-11-17,201.50115865682776,207.27196398135575,198.97345763635383,205.8411865234375,4260355,0.0,0,135114000
2015-11-18,205.55503293110692,211.2304474027353,203.7427205971824,205.69810485839844,2325939,0.0,0,135114000
2015-11-19,206.89043359049225,209.6566123292397,205.07812113256497,206.9858245849609,940698,0.0,0,135114000
2015-11-20,206.5089179815248,208.6550845656284,204.41044689910376,205.07814025878903,690340,0.0,0,135114000
2015-11-23,205.74579585187664,217.8597087698239,202.21654769454696,209.9904327392578,2286619,0.0,0,135114000
2015-11-24,210.1812046376239,213.8535245431124,207.46272177186853,208.75042724609372,600987,0.0,0,135114000
2015-11-26,209.13200084582496,212.13662810340267,206.03198258927335,207.5581512451172,530097,0.0,0,135114000
2015-11-27,207.176593284758,208.7027618778459,205.31658531823507,206.1273651123047,288555,0.0,0,135114000
2015-11-30,206.031967782046,209.1796813118628,205.55504193069868,205.6027374267578,205189,0.0,0,135114000
2015-12-01,206.0319920739462,207.27200234457524,204.60121435121047,205.07814025878903,437305,0.0,0,135114000
2015-12-02,206.74738093531408,207.9396957042605,204.12428844363188,205.07814025878903,528017,0.0,0,135114000
2015-12-03,204.4104398726731,206.2227524373256,203.2658206447545,203.8858184814453,211243,0.0,0,135114000
2015-12-04,203.7427226670341,204.6011833487467,198.40114748969376,202.45501708984372,291228,0.0,0,135114000
2015-12-07,203.59963244140744,205.9365660805568,202.2165504553493,204.3627166748047,418427,0.0,0,135114000
2015-12-08,204.9350395572465,214.3304698856496,204.6965766369121,206.84274291992188,1107165,0.0,0,135114000
2015-12-09,206.8427467328023,210.2289086202733,203.2658028618497,204.9350433349609,591261,0.0,0,135114000
2015-12-10,204.93504227378423,211.7550760639036,202.31195011533495,210.3719940185547,336893,0.0,0,135114000
2015-12-11,210.3242985564721,211.7550760976726,206.12735692413276,206.8904266357422,229048,0.0,0,135114000
2015-12-14,206.79505109979604,210.8012253216819,204.83965220738096,207.98736572265625,110147,0.0,0,135114000
2015-12-15,207.03350457622545,212.70891901111344,207.03350457622545,208.9412078857422,141228,0.0,0,135114000
2015-12-16,209.37043810401136,231.3090261513565,209.37043810401136,223.5351409912109,2968234,0.0,0,135114000
2015-12-17,223.8212902776459,230.5459475141676,218.09818021330764,222.96282958984372,986711,0.0,0,135114000
2015-12-18,222.72436380790884,236.74598037439893,220.1012717288007,232.07211303710935,1356572,0.0,0,135114000
2015-12-21,232.0721080759224,234.5521136194712,225.4428420559106,228.73362731933597,266074,0.0,0,135114000
2015-12-22,228.9243898829376,236.5552028790355,221.7705026990958,223.4397430419922,474621,0.0,0,135114000
2015-12-23,225.10899355580855,233.6936585642928,222.2474385529805,231.64288330078125,448752,0.0,0,135114000
2015-12-24,231.78597260231084,233.02598277407077,225.9674711719265,226.87364196777344,134429,0.0,0,135114000
2015-12-28,227.1597696341407,231.30903022497333,224.25053368119387,225.7766876220703,162061,0.0,0,135114000
2015-12-29,227.6367025355133,236.4598307664188,226.7305463308312,230.02133178710935,418711,0.0,0,135114000
2015-12-30,231.30903082910703,247.52450927898255,231.2613353345066,245.18756103515625,1527914,0.0,0,135114000
2015-12-31,247.04758411934563,247.90604480601985,237.4613718632498,241.7060089111328,237778,0.0,0,135114000
2016-01-01,242.13525856355707,242.23063500027055,234.5998214413434,237.41368103027344,148020,0.0,0,135114000
2016-01-04,237.50905975692203,246.66604137662767,227.11208264162005,238.31983947753903,436345,0.0,0,135114000
2016-01-05,240.2275512050358,249.9091399261268,239.2736995259285,245.426025390625,575280,0.0,0,135114000
2016-01-06,245.28293458636944,255.6322303301665,243.3752313749503,247.33370971679688,499166,0.0,0,135114000
2016-01-07,240.37059816643816,244.9490741068648,236.555191846336,239.17828369140625,216287,0.0,0,135114000
2016-01-08,239.41680545848112,250.29071032279376,239.41680545848112,248.09686279296875,160971,0.0,0,135114000
2016-01-11,248.76451492903385,259.92459160686093,244.4245012816812,254.9168701171875,377253,0.0,0,135114000
2016-01-12,256.9199607809833,261.3553653566098,249.9091449760284,257.2538146972656,303725,0.0,0,135114000
2016-01-13,257.5399576947328,263.07228588299625,240.8475530293334,252.67530822753903,387812,0.0,0,135114000
2016-01-14,248.00143366074764,255.2983930985326,240.5136922456804,244.9490966796875,209641,0.0,0,135114000
2016-01-15,247.61991579068263,254.43994986204305,233.93213759574903,236.4598388671875,185173,0.0,0,135114000
2016-01-18,234.7428849080604,239.4167519327073,220.8166457068596,233.59825134277344,367262,0.0,0,135114000
2016-01-19,232.2151796358256,242.3260128760168,232.2151796358256,238.7490692138672,238469,0.0,0,135114000
2016-01-20,237.03215163564903,240.84755850302363,229.8782637593216,232.69212341308597,102106,0.0,0,135114000
2016-01-21,237.22290974304255,237.84292206739204,226.25361543053504,228.63824462890625,88807,0.0,0,135114000
2016-01-22,231.7382659609364,238.4629233091796,228.7336389490894,235.21983337402344,166862,0.0,0,135114000
2016-01-25,237.50907108932824,244.3768149091026,237.50907108932824,239.79830932617188,318125,0.0,0,135114000
2016-01-27,240.56140690067352,245.99835892997945,237.46138873299827,240.4183349609375,166330,0.0,0,135114000
2016-01-28,241.8013755364765,242.65983613665148,236.555191846336,239.17828369140625,80474,0.0,0,135114000
2016-01-29,239.94139297708676,249.71835814092336,238.55831095222916,246.28451538085935,149240,0.0,0,135114000
2016-02-01,248.00144574114384,252.1507065205849,244.99681866266727,249.90914916992188,70015,0.0,0,135114000
2016-02-02,250.2906802133075,250.2906802133075,240.32293286101776,244.18603515625,93560,0.0,0,135114000
2016-02-03,240.17985647163243,241.32447557926588,235.69675647653875,238.89215087890625,78464,0.0,0,135114000
2016-02-04,240.60909915986505,243.23219142027983,235.64907306927796,237.3183135986328,23080,0.0,0,135114000
2016-02-05,238.22445019335092,243.70909719479948,236.6506007886968,242.70755004882807,39775,0.0,0,135114000
2016-02-08,240.13215660755057,246.57065534479372,239.416767858968,241.2290802001953,44402,0.0,0,135114000
2016-02-09,236.5552064000412,253.7245358968184,224.77513284012625,228.4951629638672,626977,0.0,0,135114000
2016-02-10,228.82902562760788,230.25980323150196,219.38589926375604,221.62745666503903,235284,0.0,0,135114000
2016-02-11,222.15206661091463,222.15206661091463,204.4581283034416,208.3689117431641,189152,0.0,0,135114000
2016-02-12,208.03507849341335,209.8473910488038,195.53961438638535,207.36737060546875,82942,0.0,0,135114000
2016-02-15,209.94277094490008,219.81512758706344,209.03660016050756,217.2397308349609,48618,0.0,0,135114000
2016-02-16,219.3859066282,219.3859066282,210.89663171530572,213.6627960205078,55045,0.0,0,135114000
