Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Outstanding Shares
2014-01-01,4.932972218062648,5.229094767918046,4.911305052462055,5.178537368774414,61345631,0.0,0,599217984
2014-01-02,5.185761096762374,5.575775834249155,5.077422809097977,5.142425537109375,139337946,0.0,0,599217984
2014-01-03,5.113534956821833,5.373545851423279,5.062977146989761,5.315765380859375,55025374,0.0,0,599217984
2014-01-06,5.344655998101147,5.525218045201822,5.286876338698724,5.445771217346191,53111899,0.0,0,599217984
2014-01-07,5.4891058429923065,5.843008898860971,5.344655882324537,5.756338596343994,111763377,0.0,0,599217984
2014-01-08,5.799674307220769,5.886344612008828,5.4891059868271626,5.532441139221191,68841356,0.0,0,599217984
2014-01-09,5.561331567047147,5.590221397868378,5.359101528362274,5.387990951538086,38086158,0.0,0,599217984
2014-01-10,5.402434685937686,5.575774855907921,5.279652320320433,5.3446550369262695,35695298,0.0,0,599217984
2014-01-13,5.387990152289996,5.452992873463467,5.286875759414878,5.3735456466674805,20302317,0.0,0,599217984
2014-01-14,5.337433685242068,5.496328562125477,5.308543448216195,5.4385480880737305,28700358,0.0,0,599217984
2014-01-15,5.474660658487306,5.525217241643641,5.3735454539479175,5.424103260040283,19411322,0.0,0,599217984
2014-01-16,5.44577089045999,5.460216212088907,5.3085431885029175,5.322988510131836,14771379,0.0,0,599217984
2014-01-17,5.37354579455776,5.37354579455776,5.091867736032425,5.135202884674072,19866745,0.0,0,599217984
2014-01-20,5.135203119733099,5.221873420983643,5.062977325163795,5.164092540740967,14382093,0.0,0,599217984
2014-01-21,5.200204792345804,5.257985669943615,5.099090396687823,5.135202884674072,17920002,0.0,0,599217984
2014-01-22,5.084645687457146,5.185760902471334,5.0557554513193566,5.077422618865967,16243772,0.0,0,599217984
2014-01-23,5.077422892406731,5.257986164616151,5.055755723692825,5.236318588256836,28375369,0.0,0,599217984
2014-01-24,5.214650500932804,5.351878210059256,5.120758351311767,5.1568708419799805,34801545,0.0,0,599217984
2014-01-27,5.055755560596968,5.055755560596968,4.709075165322477,4.774077892303467,23338008,0.0,0,599217984
2014-01-28,4.76685427053649,4.889637049152096,4.694629706123409,4.781299591064453,19824666,0.0,0,599217984
2014-01-29,4.831857697829273,4.940194755002647,4.781299888130893,4.817412376403809,18733130,0.0,0,599217984
2014-01-30,4.723520233010527,4.940194755002647,4.542956976355204,4.817412376403809,44580252,0.0,0,599217984
2014-01-31,4.88963794973551,5.026865666508612,4.817412964374538,4.990753173828125,36995369,0.0,0,599217984
2014-02-03,4.976307794009081,4.976307794009081,4.672962940474153,4.723520755767822,22256345,0.0,0,599217984
2014-02-04,4.6151823761489785,4.6151823761489785,4.492399986290046,4.528512477874756,30687019,0.0,0,599217984
2014-02-05,4.51406659480212,4.593514637130324,4.441841620597847,4.542956829071045,32439086,0.0,0,599217984
2014-02-06,4.586293054838755,4.70907544740842,4.550179747165933,4.607960224151611,33439480,0.0,0,599217984
2014-02-07,4.651293930382589,4.74518687875557,4.571846709494057,4.61518144607544,31410651,0.0,0,599217984
2014-02-10,4.658517777024807,4.68018494511639,4.571847474076891,4.651294708251953,18167741,0.0,0,599217984
2014-02-11,4.687407229980393,4.687407229980393,4.593514281607412,4.61518144607544,14048487,0.0,0,599217984
2014-02-12,4.644072515081898,4.694630328339902,4.593515109469294,4.658517837524414,16965445,0.0,0,599217984
2014-02-13,4.651294768657754,4.6801850058973855,4.571847533450921,4.658517837524414,20440905,0.0,0,599217984
2014-02-14,4.658517571336311,4.795745273181203,4.607959760967183,4.709074974060059,25593524,0.0,0,599217984
2014-02-17,4.723519755543706,4.752409172538293,4.636849466333291,4.70185136795044,16986071,0.0,0,599217984
2014-02-18,4.701851727002442,4.781299769942511,4.658517394378716,4.745187282562256,12588616,0.0,0,599217984
2014-02-19,4.766855056387736,4.824635940379848,4.716297649141144,4.802967548370361,16735473,0.0,0,599217984
2014-02-20,4.766854626890261,4.867969839918297,4.730742545806779,4.8246355056762695,17840946,0.0,0,599217984
2014-02-21,4.839080133866491,5.012421158610924,4.839080133866491,4.990753173828125,26922606,0.0,0,599217984
2014-02-24,4.961863073714572,5.091867703518639,4.8896372829125285,5.048532962799072,19614934,0.0,0,599217984
2014-02-25,5.084646205045697,5.099091120762311,4.889638008466986,4.997976303100586,19531167,0.0,0,599217984
2014-02-26,4.969084723904356,5.041309696579496,4.932972237566785,4.983530044555664,10238574,0.0,0,599217984
