Momentum,Mass,Strategy,Criterion,Portfolio,Mean,Std,,,,,,,,,,
Momentum 1,Turnover Rate,Strategy,01-Jan,W,0.920287626,9.229005609,,,,,,,,,,
Momentum 1,Turnover Rate,Strategy,01-Jan,L,-2.175925561,16.88496235,,,,,,,,,,
Momentum 1,Turnover Rate,Strategy,01-Jan,W-L,3.096213187,4.197911396,,,,,,,,,,
Momentum 1,Inverse Turnover Rate,Strategy,02-Jan,W,2.05030932,6.97687392,,,,,,,,,,
Momentum 1,Inverse Turnover Rate,Strategy,02-Jan,L,-1.118943177,10.42304231,,,,,,,,,,
Momentum 1,Inverse Turnover Rate,Strategy,02-Jan,W-L,3.169252497,4.640399012,,,,,,,,,,
Momentum 2,Turnover Rate,Strategy,01-Jan,W,1.026555113,10.5042659,,,,,,,,,,
Momentum 2,Turnover Rate,Strategy,01-Jan,L,-2.306059744,16.00266262,,,,,,,,,,
Momentum 2,Turnover Rate,Strategy,01-Jan,W-L,3.332614857,4.769431979,,,,,,,,,,
Momentum 2,Inverse Turnover Rate,Strategy,03-Jan,W,0.846817873,9.581753813,,,,,,,,,,
Momentum 2,Inverse Turnover Rate,Strategy,03-Jan,L,-1.601239991,14.81716463,,,,,,,,,,
Momentum 2,Inverse Turnover Rate,Strategy,03-Jan,W-L,2.448057864,6.019260241,,,,,,,,,,
Momentum 3,Inverse Volatility,Strategy,03-Jan,W,0.589620617,6.644174806,,,,,,,,,,
Momentum 3,Inverse Volatility,Strategy,03-Jan,L,-0.707911521,8.66779221,,,,,,,,,,
Momentum 3,Inverse Volatility,Strategy,03-Jan,W-L,1.297532138,3.425697469,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Portfolio,Mean,Std,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
,,,,,,,,,,Nifty,1.063891686,6.100189566,1.661915157,0.174403053,6.35479047,-29.34391922
