Date,Capital
2014-01-03,300961.2856010788
2014-01-04,300961.2856010788
2014-01-05,300961.2856010788
2014-01-06,301617.75274560536
2014-01-07,300835.2126386653
2014-01-08,304064.49983896303
2014-01-09,303304.9634060419
2014-01-10,301614.09501556744
2014-01-11,301614.0950155675
2014-01-12,301614.0950155675
2014-01-13,300796.1277527645
2014-01-14,299133.4847274784
2014-01-15,299507.8950661448
2014-01-16,297951.9503678973
2014-01-17,296116.009249707
2014-01-18,296116.0092497069
2014-01-19,296116.0092497069
2014-01-20,297342.5982075172
2014-01-21,297721.6430780825
2014-01-22,296556.9015368308
2014-01-23,296442.4933346715
2014-01-24,294156.6788588426
2014-01-25,294156.67885884264
2014-01-26,294156.67885884264
2014-01-27,288943.50057545817
2014-01-28,289765.2828802056
2014-01-29,288091.6966878505
2014-01-30,285676.49564158375
2014-01-31,288036.69969746814
2014-02-01,288036.69969746814
2014-02-02,288036.69969746814
2014-02-03,285806.06977834937
2014-02-04,288138.4648116692
2014-02-05,288695.05043417413
2014-02-06,288773.4594727967
2014-02-07,289931.7484697794
2014-02-08,289931.7484697794
2014-02-09,289931.7484697794
2014-02-10,289429.8730425099
2014-02-11,288552.184481342
2014-02-12,287268.9114151776
2014-02-13,284406.58814504603
2014-02-14,282794.3028379626
2014-02-15,282794.3028379626
2014-02-16,282794.3028379626
2014-02-17,281975.2552729264
2014-02-18,282857.16201861505
2014-02-19,284179.11176784814
2014-02-20,283934.81520132936
2014-02-21,284201.56335270766
2014-02-22,284201.5633527076
2014-02-23,284201.5633527076
2014-02-24,283310.2443626921
2014-02-25,284601.51472003653
2014-02-26,284588.93516431586
2014-02-27,284588.9351643159
2014-02-28,284334.67691291135
2014-03-01,284334.6769129113
2014-03-02,284334.6769129113
2014-03-03,283074.9748345627
2014-03-04,285421.9420385001
2014-03-05,287560.157726535
2014-03-06,292283.5739953667
2014-03-07,294693.2583834629
2014-03-08,294693.2583834629
2014-03-09,294693.2583834629
2014-03-10,298048.8828083865
2014-03-11,297838.0735302012
2014-03-12,297804.08590563375
2014-03-13,297595.98696346144
2014-03-14,296358.07164821296
2014-03-15,296358.07164821296
2014-03-16,296358.07164821296
2014-03-17,296358.07164821296
2014-03-18,299413.45625501155
2014-03-19,300740.62315780594
2014-03-20,300240.2541765338
2014-03-21,306088.2886272429
2014-03-22,306088.2886272429
2014-03-23,306088.2886272429
2014-03-24,307574.89266268734
2014-03-25,306585.2963517295
2014-03-26,307073.3754437768
2014-03-27,309786.02156523016
2014-03-28,313475.07354422857
2014-03-29,313475.07354422857
2014-03-30,313475.07354422857
2014-03-31,317972.7161209649
2014-04-01,320879.55676485744
2014-04-02,323905.0085253788
2014-04-03,324378.50775288965
2014-04-04,324399.57727253943
2014-04-05,324399.5772725395
2014-04-06,324399.5772725395
2014-04-07,324308.0737428647
2014-04-08,324308.0737428647
2014-04-09,327723.21198869485
2014-04-10,327629.706414484
2014-04-11,326244.02225556225
2014-04-12,326244.0222555623
2014-04-13,326244.0222555623
2014-04-14,326244.0222555623
2014-04-15,325951.80033709726
2014-04-16,322276.5306826652
2014-04-17,327974.5280367992
2014-04-18,327974.5280367993
2014-04-19,327974.5280367993
2014-04-20,327974.5280367993
2014-04-21,332525.5703998988
2014-04-22,331013.9874613154
2014-04-23,331272.2703248531
2014-04-24,331272.2703248531
2014-04-25,329454.95652211964
2014-04-26,329454.95652211964
2014-04-27,329454.95652211964
2014-04-28,327499.85425538797
2014-04-29,327440.3428353972
2014-04-30,325562.4025036096
2014-05-01,325562.40250360954
2014-05-02,325615.0816292082
2014-05-03,325615.0816292082
2014-05-04,325615.0816292082
2014-05-05,323118.78679280594
2014-05-06,323360.23034204874
2014-05-07,324496.3593557545
2014-05-08,324263.6638755791
2014-05-09,329109.2315518696
2014-05-10,329109.2315518696
2014-05-11,329109.2315518696
2014-05-12,330128.9062851209
2014-05-13,333184.7353538548
2014-05-14,339537.25308918837
2014-05-15,337425.87797878927
2014-05-16,343927.13052880316
2014-05-17,343927.1305288031
2014-05-18,343927.1305288031
2014-05-19,357260.83481835254
2014-05-20,368126.5418952176
2014-05-21,370811.20113352686
2014-05-22,380742.10688400664
2014-05-23,384631.0326201368
2014-05-24,384631.03262013686
2014-05-25,384631.03262013686
2014-05-26,376932.14913278574
2014-05-27,377273.2386372032
2014-05-28,380516.7199090565
2014-05-29,381896.63981620705
2014-05-30,387618.73057400656
2014-05-31,387618.7305740065
2014-06-01,387618.7305740065
2014-06-02,396986.5847122252
2014-06-03,398665.1955692363
2014-06-04,404268.04309921444
2014-06-05,409167.05412128463
2014-06-06,411536.551670662
2014-06-07,411536.5516706619
2014-06-08,411536.5516706619
2014-06-09,417814.0896188796
2014-06-10,417594.7041809107
2014-06-11,415733.2734334619
2014-06-12,420321.225547818
2014-06-13,413199.8868460419
2014-06-14,413199.8868460419
2014-06-15,413199.8868460419
2014-06-16,409955.74448598205
2014-06-17,414191.9588116809
2014-06-18,409565.86316901696
2014-06-19,406533.71967062005
2014-06-20,404745.0896843108
2014-06-21,404745.0896843108
2014-06-22,404745.0896843108
2014-06-23,408020.077747481
2014-06-24,410852.3879467212
2014-06-25,411842.03232218564
2014-06-26,410026.507109206
2014-06-27,411625.49120513035
2014-06-28,411625.49120513035
2014-06-29,411625.49120513035
2014-06-30,420024.4788581766
2014-07-01,423675.2198910724
2014-07-02,427712.01432301925
2014-07-03,425235.51432421023
2014-07-04,427420.7062923365
2014-07-05,427420.7062923365
