Date,Capital
2014-01-03,399652.25971572846
2014-01-04,399652.25971572846
2014-01-05,399652.25971572846
2014-01-06,399174.73366136383
2014-01-07,400033.4295988762
2014-01-08,399323.9797980592
2014-01-09,398541.5224764049
2014-01-10,397820.57814241166
2014-01-11,397820.5781424117
2014-01-12,397820.5781424117
2014-01-13,395903.87730069755
2014-01-14,395056.8109905944
2014-01-15,394884.2512878487
2014-01-16,395469.4221101488
2014-01-17,395257.920993301
2014-01-18,395257.920993301
2014-01-19,395257.920993301
2014-01-20,395395.38278562063
2014-01-21,394795.3329347281
2014-01-22,395073.3729326228
2014-01-23,394458.028066262
2014-01-24,393385.66657894343
2014-01-25,393385.66657894343
2014-01-26,393385.66657894343
2014-01-27,392109.09037797456
2014-01-28,390979.381166749
2014-01-29,390702.77558078396
2014-01-30,390386.57511370874
2014-01-31,389992.35490140977
2014-02-01,389992.35490140977
2014-02-02,389992.35490140977
2014-02-03,389178.67623333697
2014-02-04,388718.2770618813
2014-02-05,388908.10189468047
2014-02-06,388556.7338283494
2014-02-07,387722.8598033914
2014-02-08,387722.8598033914
2014-02-09,387722.8598033914
2014-02-10,386896.8536678733
2014-02-11,386334.1814404502
2014-02-12,387567.7503573549
2014-02-13,386965.6638262672
2014-02-14,388644.6499837949
2014-02-15,388644.6499837949
2014-02-16,388644.6499837949
2014-02-17,389402.54518965434
2014-02-18,390158.560913807
2014-02-19,389395.0769794474
2014-02-20,389171.77398108505
2014-02-21,389477.94126298407
2014-02-22,389477.94126298407
2014-02-23,389477.94126298407
2014-02-24,390367.60538324935
2014-02-25,389453.10523325193
2014-02-26,389351.7285880831
2014-02-27,389351.7285880831
2014-02-28,387889.7924989224
2014-03-01,387889.7924989223
2014-03-02,387889.7924989223
2014-03-03,386908.22751329135
2014-03-04,386796.3252556854
2014-03-05,385301.44497287367
2014-03-06,386039.6033080723
2014-03-07,387029.4625384411
2014-03-08,387029.4625384411
2014-03-09,387029.4625384411
2014-03-10,387032.8331491555
2014-03-11,384127.16700095974
2014-03-12,384424.1152831726
2014-03-13,384264.7274798244
2014-03-14,383479.4428869297
2014-03-15,383479.44288692967
2014-03-16,383479.44288692967
2014-03-17,383479.44288692967
2014-03-18,382467.7670278606
2014-03-19,381974.2861234498
2014-03-20,381982.864535983
2014-03-21,379566.037968475
2014-03-22,379566.037968475
2014-03-23,379566.037968475
2014-03-24,380069.90019807563
2014-03-25,382649.10316972877
2014-03-26,382217.3205456864
2014-03-27,382829.0596994823
2014-03-28,383083.9477720363
2014-03-29,383083.9477720364
2014-03-30,383083.9477720364
2014-03-31,382585.2855595071
2014-04-01,385724.9884882122
2014-04-02,386854.70368902624
2014-04-03,387904.5609824727
2014-04-04,388655.2267842343
2014-04-05,388655.22678423434
2014-04-06,388655.22678423434
2014-04-07,389475.31292376155
2014-04-08,389475.3129237615
2014-04-09,390622.4233789705
2014-04-10,390748.3405912448
2014-04-11,393042.9244334193
2014-04-12,393042.92443341936
2014-04-13,393042.92443341936
2014-04-14,393042.92443341936
2014-04-15,392286.46529251745
2014-04-16,393616.99572551064
2014-04-17,393237.7942178325
2014-04-18,393237.7942178325
2014-04-19,393237.7942178325
2014-04-20,393237.7942178325
2014-04-21,393667.5443002628
2014-04-22,393615.0733172072
2014-04-23,393759.7098989907
2014-04-24,393759.7098989907
2014-04-25,395558.65145215736
2014-04-26,395558.65145215736
2014-04-27,395558.65145215736
2014-04-28,397117.7540146493
2014-04-29,396346.35488884937
2014-04-30,395200.7470337913
2014-05-01,395200.7470337914
2014-05-02,393564.7173999308
2014-05-03,393564.7173999308
2014-05-04,393564.7173999308
2014-05-05,394547.19771131594
2014-05-06,394406.26595190394
2014-05-07,393875.32350727706
2014-05-08,392814.8165683821
2014-05-09,392770.8198839861
2014-05-10,392770.81988398614
2014-05-11,392770.81988398614
2014-05-12,392255.84794076555
2014-05-13,393030.4651842066
2014-05-14,393805.8813431913
2014-05-15,393903.5454442981
2014-05-16,393144.6247183348
2014-05-17,393144.6247183348
2014-05-18,393144.6247183348
2014-05-19,398999.402970196
2014-05-20,398963.46950268606
2014-05-21,399369.6488044509
2014-05-22,401419.1251935872
2014-05-23,404086.19462324155
2014-05-24,404086.19462324155
2014-05-25,404086.19462324155
2014-05-26,405902.64909847867
2014-05-27,406078.8059331944
2014-05-28,408686.1972041925
2014-05-29,408873.8692316938
2014-05-30,410438.13495839003
2014-05-31,410438.13495839003
2014-06-01,410438.13495839003
2014-06-02,408222.9480164373
2014-06-03,409519.22278309317
2014-06-04,409952.0128584462
2014-06-05,410609.2953619734
2014-06-06,411649.0097543986
2014-06-07,411649.0097543986
2014-06-08,411649.0097543986
2014-06-09,413033.28273374285
2014-06-10,414726.7427892885
2014-06-11,416544.735495144
2014-06-12,417509.4818052316
2014-06-13,418569.37175200554
2014-06-14,418569.37175200554
2014-06-15,418569.37175200554
2014-06-16,418915.76498064655
2014-06-17,419512.7349854213
2014-06-18,421477.4728721935
2014-06-19,423077.35222582024
2014-06-20,421331.94631666
2014-06-21,421331.94631666003
2014-06-22,421331.94631666003
2014-06-23,421335.63845035975
2014-06-24,420895.9592882082
2014-06-25,421929.5616362045
2014-06-26,423260.4533497986
2014-06-27,423762.6989385692
2014-06-28,423762.6989385692
2014-06-29,423762.6989385692
2014-06-30,423654.12855633954
2014-07-01,426100.27905193454
2014-07-02,424026.99563794566
2014-07-03,423905.1087978013
2014-07-04,424345.11008397315
2014-07-05,424345.1100839732
2014-07-06,424345.1100839732
2014-07-07,426250.2027925516
