Date,Capital
2014-04-01,1199405.3276032922
2014-04-02,1199326.3494570304
2014-04-03,1198679.2525344123
2014-04-04,1198798.1453531669
2014-04-05,1198798.1453531669
2014-04-06,1198798.1453531669
2014-04-07,1198753.052728857
2014-04-08,1198753.052728857
2014-04-09,1199032.8548964541
2014-04-10,1198719.0201750626
2014-04-11,1197690.466027684
2014-04-12,1197690.466027684
2014-04-13,1197690.466027684
2014-04-14,1197690.466027684
2014-04-15,1197323.968437054
2014-04-16,1196994.3533355678
2014-04-17,1197516.836269645
2014-04-18,1197516.836269645
2014-04-19,1197516.836269645
2014-04-20,1197516.836269645
2014-04-21,1198349.4959265538
2014-04-22,1198459.8122890324
2014-04-23,1198465.2426358676
2014-04-24,1198465.2426358676
2014-04-25,1198440.522197228
2014-04-26,1198440.522197228
2014-04-27,1198440.522197228
2014-04-28,1198116.0509809863
2014-04-29,1198177.107289608
2014-04-30,1199709.7547968097
2014-05-01,1199709.7547968097
2014-05-02,1199045.6583051803
2014-05-03,1199045.6583051803
2014-05-04,1199045.6583051803
2014-05-05,1198797.7193669982
2014-05-06,1199121.695066412
2014-05-07,1198968.7067032298
2014-05-08,1198675.7423853278
2014-05-09,1200171.109355069
2014-05-10,1200171.109355069
2014-05-11,1200171.109355069
2014-05-12,1200140.3412931801
2014-05-13,1202285.6075184946
2014-05-14,1204864.0024533737
2014-05-15,1204057.8603630573
2014-05-16,1204678.1577739813
2014-05-17,1204678.1577739813
2014-05-18,1204678.1577739813
2014-05-19,1209336.4013107265
2014-05-20,1208389.980802055
2014-05-21,1206334.467316173
2014-05-22,1204080.4598746665
2014-05-23,1206177.4608642007
2014-05-24,1206177.4608642007
2014-05-25,1206177.4608642007
2014-05-26,1208473.8003024342
2014-05-27,1205547.173287036
2014-05-28,1205713.858937569
2014-05-29,1206327.3647412653
2014-05-30,1203931.8176505754
2014-05-31,1203931.8176505754
2014-06-01,1203931.8176505757
2014-06-02,1209579.8438598895
2014-06-03,1209652.3616092983
2014-06-04,1214952.0581952822
2014-06-05,1216097.87697769
2014-06-06,1216013.570118301
2014-06-07,1216013.570118301
2014-06-08,1216013.570118301
2014-06-09,1214469.8034315114
2014-06-10,1213703.7165100803
2014-06-11,1211585.2794368423
2014-06-12,1213102.935462299
2014-06-13,1209552.812984752
2014-06-14,1209552.812984752
2014-06-15,1209552.812984752
2014-06-16,1210674.45646379
2014-06-17,1213346.6757724108
2014-06-18,1211721.7924191232
2014-06-19,1209693.2025897945
