Date,Capital
2019-01-01,99087.53173356221
2019-01-02,99101.24262856934
2019-01-03,99609.44572961582
2019-01-04,99488.94221870895
2019-01-05,99488.94221870895
2019-01-06,99488.94221870895
2019-01-07,99958.28694872373
2019-01-08,99756.33268302794
2019-01-09,99946.46465615848
2019-01-10,100017.18596064858
2019-01-11,100053.71695939856
2019-01-12,100053.71695939856
2019-01-13,100053.71695939856
2019-01-14,100480.18241965257
2019-01-15,100596.34624621343
2019-01-16,100115.35878797696
2019-01-17,99884.28312420855
2019-01-18,100795.24352412208
2019-01-19,100795.24352412208
2019-01-20,100795.24352412208
2019-01-21,101821.45760916063
2019-01-22,101528.47765710093
2019-01-23,101258.38276627343
2019-01-24,101363.20705937754
2019-01-25,101920.27313271645
2019-01-26,101920.27313271645
2019-01-27,101920.27313271645
2019-01-28,102633.03382567278
2019-01-29,102247.23956934316
2019-01-30,102344.34357057925
2019-01-31,102639.65908823255
2019-02-01,102722.48421418035
2019-02-02,102722.48421418035
2019-02-03,102722.48421418035
2019-02-04,103278.330494706
2019-02-05,104182.38429018472
2019-02-06,104102.87797754
2019-02-07,104678.99833424967
2019-02-08,105041.44711846973
2019-02-09,105041.44711846973
2019-02-10,105041.44711846973
2019-02-11,105724.2152955801
2019-02-12,106043.4790124344
2019-02-13,106043.4790124344
2019-02-14,105277.98233522888
2019-02-15,105914.03525684407
2019-02-16,105914.03525684407
2019-02-17,105914.03525684407
2019-02-18,106232.15822176964
2019-02-19,106558.26538220623
2019-02-20,106430.79416230269
2019-02-21,105175.50837580052
2019-02-22,104940.1252378112
2019-02-23,104940.1252378112
2019-02-24,104940.1252378112
2019-02-25,105836.37482737358
2019-02-26,105796.84393799087
2019-02-27,105961.23135130672
2019-02-28,106221.6820843414
2019-03-01,105547.9218249885
2019-03-02,105547.9218249885
2019-03-03,105547.9218249885
2019-03-04,105547.9218249885
2019-03-05,104291.4664519126
2019-03-06,102603.85616038568
2019-03-07,102896.59814113258
2019-03-08,103710.53795251828
2019-03-09,103710.53795251828
2019-03-10,103710.53795251828
2019-03-11,103054.49556251647
2019-03-12,103082.42287439671
2019-03-13,103618.36994245657
2019-03-14,103684.56954812689
2019-03-15,104259.95116974757
2019-03-16,104259.95116974757
2019-03-17,104259.95116974757
2019-03-18,104677.28251000337
2019-03-19,104666.71130787824
2019-03-20,104629.98320644593
2019-03-21,104629.98320644593
2019-03-22,105333.6193531795
2019-03-23,105333.6193531795
2019-03-24,105333.6193531795
2019-03-25,105584.02015873179
2019-03-26,105132.74131893026
2019-03-27,105518.54935552168
2019-03-28,105203.44087223128
2019-03-29,105203.44087223128
2019-03-30,105203.44087223128
2019-03-31,105203.44087223128
2019-04-01,104506.24463137158
2019-04-02,104222.2926612062
2019-04-03,104679.94289677532
2019-04-04,104658.76196128712
2019-04-05,104392.66931467118
2019-04-06,104392.66931467118
2019-04-07,104392.66931467118
2019-04-08,104030.13252202766
2019-04-09,104649.75054308963
2019-04-10,105630.56260627956
2019-04-11,105404.56602251978
2019-04-12,105253.88234181835
2019-04-13,105253.88234181835
2019-04-14,105253.88234181835
2019-04-15,105085.69096376433
2019-04-16,104731.23344695842
2019-04-17,104731.23344695842
2019-04-18,104549.94155135532
2019-04-19,104549.94155135532
2019-04-20,104549.94155135532
2019-04-21,104549.94155135532
2019-04-22,104477.4869711322
2019-04-23,103943.61445620506
2019-04-24,103435.04214491376
2019-04-25,103777.86021333706
2019-04-26,102923.67126677846
2019-04-27,102923.67126677846
2019-04-28,102923.67126677846
2019-04-29,102923.67126677846
2019-04-30,103689.01782940673
2019-05-01,103689.01782940673
2019-05-02,104167.59987639372
2019-05-03,103640.0841916588
2019-05-04,103640.0841916588
2019-05-05,103640.0841916588
2019-05-06,103944.30876843879
2019-05-07,104312.04660756697
2019-05-08,105134.69882535872
2019-05-09,104517.44139169886
2019-05-10,104112.62428305311
2019-05-11,104112.62428305311
2019-05-12,104112.62428305311
2019-05-13,104796.57591192047
2019-05-14,105605.37014081815
2019-05-15,106493.01061913036
2019-05-16,107346.8926273487
2019-05-17,108038.6304847807
2019-05-18,108038.6304847807
2019-05-19,108038.6304847807
2019-05-20,106755.75185265813
2019-05-21,107117.9805919033
2019-05-22,107374.210529877
2019-05-23,107567.955940696
2019-05-24,108078.88722120467
2019-05-25,108078.88722120467
2019-05-26,108078.88722120467
2019-05-27,108972.99605183161
2019-05-28,109350.92575403332
2019-05-29,109719.90799350216
2019-05-30,109931.6651182203
2019-05-31,109168.70438392104
2019-06-01,109168.70438392104
2019-06-02,109168.70438392104
2019-06-03,109116.02587108208
2019-06-04,109434.02143640342
2019-06-05,109434.02143640342
2019-06-06,109964.13342495433
2019-06-07,110505.35350349615
2019-06-08,110505.35350349615
2019-06-09,110505.35350349615
2019-06-10,110713.55429299551
2019-06-11,110817.06255848962
2019-06-12,111212.5918665108
2019-06-13,111543.40762365737
2019-06-14,111318.71599140204
2019-06-15,111318.71599140204
2019-06-16,111318.71599140204
2019-06-17,110703.28716472819
2019-06-18,110736.09191115538
2019-06-19,111577.81305962589
2019-06-20,111963.84006456705
2019-06-21,112018.68629374253
2019-06-22,112018.68629374253
2019-06-23,112018.68629374253
2019-06-24,111973.48185656972
2019-06-25,112204.33712179295
2019-06-26,111842.06709405672
2019-06-27,112088.43668594194
2019-06-28,112169.86222515078
2019-06-29,112169.86222515078
2019-06-30,112169.86222515078
2019-07-01,111971.55036487212
2019-07-02,112993.20177443541
2019-07-03,112416.03102866362
2019-07-04,111843.20465145001
2019-07-05,111322.21918155621
2019-07-06,111322.21918155621
2019-07-07,111322.21918155621
2019-07-08,112084.92450195923
2019-07-09,112183.62103692585
2019-07-10,111807.76005095367
2019-07-11,111384.55756675702
2019-07-12,111440.42660973207
2019-07-13,111440.42660973207
2019-07-14,111440.42660973207
2019-07-15,111735.0796468033
2019-07-16,111861.62247826686
2019-07-17,111654.56423033986
2019-07-18,112289.76474574298
2019-07-19,112845.195156643
2019-07-20,112845.195156643
2019-07-21,112845.195156643
2019-07-22,112610.83263035193
2019-07-23,111913.19728158045
2019-07-24,112195.11702486043
2019-07-25,112972.09239117401
2019-07-26,113520.56285547509
2019-07-27,113520.56285547509
2019-07-28,113520.56285547509
2019-07-29,115100.74550482936
2019-07-30,116194.58775353529
2019-07-31,116929.9765149632
2019-08-01,116650.35833037038
2019-08-02,117125.56590428615
2019-08-03,117125.56590428615
2019-08-04,117125.56590428615
2019-08-05,117505.31249499397
2019-08-06,117065.6609518546
2019-08-07,117260.20674065585
2019-08-08,116970.73634631201
2019-08-09,117650.16119607247
2019-08-10,117650.16119607247
2019-08-11,117650.16119607247
2019-08-12,117650.16119607247
2019-08-13,117176.47722944032
2019-08-14,116315.7588949856
2019-08-15,116315.7588949856
2019-08-16,116638.63617677618
2019-08-17,116638.63617677618
2019-08-18,116638.63617677618
2019-08-19,116143.73247196288
2019-08-20,116423.79608426974
2019-08-21,116044.79611474312
2019-08-22,116621.03014755656
2019-08-23,116701.66188749995
2019-08-24,116701.66188749995
2019-08-25,116701.66188749995
2019-08-26,116258.33689986495
2019-08-27,116892.8935518701
2019-08-28,116606.47562668468
2019-08-29,116952.287429019
2019-08-30,116023.28801526003
2019-08-31,116023.28801526003
2019-09-01,116023.28801526003
2019-09-02,116023.28801526003
2019-09-03,116839.76214249292
2019-09-04,117424.88877524048
2019-09-05,117347.50508545988
2019-09-06,118203.66904856758
2019-09-07,118203.66904856758
2019-09-08,118203.66904856758
2019-09-09,119619.93181484871
2019-09-10,119619.93181484871
2019-09-11,118703.3701234736
2019-09-12,118853.49289597163
2019-09-13,119438.17693045981
2019-09-14,119438.17693045981
2019-09-15,119438.17693045981
2019-09-16,118687.09446219659
2019-09-17,119101.06785090652
2019-09-18,118464.36501229586
2019-09-19,117784.07725036709
2019-09-20,119959.30086499742
2019-09-21,119959.30086499742
2019-09-22,119959.30086499742
2019-09-23,121768.26571827522
2019-09-24,121822.77500075751
2019-09-25,121922.54062944141
2019-09-26,121841.2381424091
2019-09-27,122589.81559717385
2019-09-28,122589.81559717385
2019-09-29,122589.81559717385
2019-09-30,123350.217421098
2019-10-01,122798.90372904066
2019-10-02,122798.90372904066
2019-10-03,123294.17369195828
2019-10-04,122607.1122283919
2019-10-05,122607.1122283919
2019-10-06,122607.1122283919
2019-10-07,122610.33092888683
2019-10-08,122610.33092888683
2019-10-09,122868.35674356132
2019-10-10,123029.0088271875
2019-10-11,124312.7851236641
2019-10-12,124312.7851236641
2019-10-13,124312.7851236641
