Date,Capital
2014-06-01,600000.0
2014-06-02,601963.4622816249
2014-06-03,601959.9026248576
2014-06-04,603957.0264243584
2014-06-05,605059.9243484864
2014-06-06,605454.631402133
2014-06-07,605454.631402133
2014-06-08,605454.631402133
2014-06-09,606556.0700684402
2014-06-10,606688.7642232253
2014-06-11,606200.3743354179
2014-06-12,607626.206357248
2014-06-13,605987.8288953189
2014-06-14,605987.8288953189
2014-06-15,605987.8288953189
2014-06-16,606290.6221607599
2014-06-17,606515.0673685097
2014-06-18,605239.39881131
2014-06-19,604866.0825448143
2014-06-20,604359.3776059705
2014-06-21,604359.3776059705
2014-06-22,604359.3776059705
2014-06-23,604792.641419202
2014-06-24,605810.8537462212
2014-06-25,606457.4360871764
2014-06-26,605970.9711393184
2014-06-27,605697.3905349508
2014-06-28,605697.3905349508
2014-06-29,605697.3905349508
2014-06-30,607338.8602530912
2014-07-01,607612.0403929449
2014-07-02,609063.6845381039
2014-07-03,609775.8947711897
2014-07-04,610942.4705610883
2014-07-05,610942.4705610883
2014-07-06,610942.4705610883
2014-07-07,611143.9567857954
2014-07-08,606858.1661312189
2014-07-09,604258.7317673733
2014-07-10,605131.6915884555
2014-07-11,601264.6271672338
2014-07-12,601264.6271672338
2014-07-13,601264.6271672338
2014-07-14,601118.299890811
2014-07-15,602386.564484263
2014-07-16,604179.257587498
2014-07-17,605156.0495060598
2014-07-18,603833.5474900994
2014-07-19,603833.5474900994
2014-07-20,603833.5474900994
2014-07-21,604262.1153899945
2014-07-22,604508.8089677374
2014-07-23,603790.8381530236
2014-07-24,603748.108834118
2014-07-25,601395.9939456721
2014-07-26,601395.9939456721
2014-07-27,601395.9939456721
2014-07-28,601756.3329560503
2014-07-29,601756.3329560503
2014-07-30,601555.8390187194
2014-07-31,601393.5787265851
2014-08-01,599940.6176745592
2014-08-02,599940.6176745592
2014-08-03,599940.6176745592
2014-08-04,602439.7921294498
2014-08-05,603083.1352643957
2014-08-06,600687.7137503405
2014-08-07,600462.1157910535
2014-08-08,597385.3884170181
2014-08-09,597385.3884170181
2014-08-10,597385.3884170181
2014-08-11,597684.9231637173
2014-08-12,599046.0226737743
2014-08-13,596458.2248857089
2014-08-14,597406.4203047025
2014-08-15,597406.4203047025
2014-08-16,597406.4203047025
2014-08-17,597406.4203047025
2014-08-18,600805.661339313
2014-08-19,603254.5610054396
2014-08-20,604783.2719103885
