Date,Capital
2014-02-10,349617.7038991643
2014-02-11,349180.42387173575
2014-02-12,349329.07260558446
2014-02-13,349343.8812713378
2014-02-14,349327.7517530909
2014-02-15,349327.7517530909
2014-02-16,349327.7517530909
2014-02-17,349396.96158811456
2014-02-18,350038.6377456407
2014-02-19,350319.9901067209
2014-02-20,350406.326617914
2014-02-21,351335.6346193254
2014-02-22,351335.6346193254
2014-02-23,351335.6346193254
2014-02-24,351880.06053786085
2014-02-25,352152.6707823076
2014-02-26,354260.6177029381
2014-02-27,354260.6177029381
2014-02-28,356733.28586163645
2014-03-01,356733.28586163645
2014-03-02,356733.28586163645
2014-03-03,354403.1573191105
2014-03-04,356041.37542729045
2014-03-05,356877.3220083021
2014-03-06,359351.3743157292
2014-03-07,358241.0096249656
2014-03-08,358241.0096249656
2014-03-09,358241.0096249656
2014-03-10,362301.7363487953
2014-03-11,359405.3960379828
2014-03-12,360505.9867079024
2014-03-13,359481.7505318989
2014-03-14,356199.31052477524
2014-03-15,356199.31052477524
2014-03-16,356199.31052477524
2014-03-17,356199.31052477524
2014-03-18,357528.84213060216
2014-03-19,358702.0269536787
2014-03-20,358767.85431612446
2014-03-21,365996.1057569677
2014-03-22,365996.1057569677
2014-03-23,365996.1057569677
2014-03-24,371293.1181836566
2014-03-25,376155.33512043743
2014-03-26,377223.28176870564
2014-03-27,378829.9270996742
2014-03-28,382982.03647823713
2014-03-29,382982.03647823713
2014-03-30,382982.03647823713
2014-03-31,390034.8502050878
2014-04-01,392238.8416711319
2014-04-02,394365.9383802834
2014-04-03,397758.6794872376
2014-04-04,398980.6897112749
2014-04-05,398980.6897112749
2014-04-06,398980.6897112749
2014-04-07,401912.6101410446
2014-04-08,401912.6101410446
2014-04-09,406753.97000008594
2014-04-10,406102.8510858371
2014-04-11,404593.554563931
2014-04-12,404593.554563931
2014-04-13,404593.554563931
2014-04-14,404593.5545639311
2014-04-15,401901.4358296311
2014-04-16,395895.90283188113
2014-04-17,403038.2397643498
2014-04-18,403038.2397643498
2014-04-19,403038.2397643498
2014-04-20,403038.2397643498
2014-04-21,409474.64595132804
2014-04-22,415091.46893504774
2014-04-23,418726.47758734605
2014-04-24,418726.47758734605
2014-04-25,416384.4650854879
2014-04-26,416384.4650854879
2014-04-27,416384.4650854879
2014-04-28,413409.26571719657
2014-04-29,413229.2172673051
2014-04-30,410366.3350390882
2014-05-01,410366.3350390882
2014-05-02,411097.97438237333
2014-05-03,411097.97438237333
2014-05-04,411097.97438237333
2014-05-05,411483.02627984306
2014-05-06,414885.80135856237
2014-05-07,413662.2917471071
2014-05-08,411706.57803157874
2014-05-09,419680.9663713965
2014-05-10,419680.9663713965
2014-05-11,419680.9663713965
2014-05-12,421307.32340652024
2014-05-13,428576.4239349649
2014-05-14,437859.58657755156
2014-05-15,436538.8742467995
2014-05-16,442963.3617098814
2014-05-17,442963.3617098814
