Date,Capital
2014-01-11,300000.0
2014-01-12,300000.0
2014-01-13,300325.6721086653
2014-01-14,300226.4499923236
2014-01-15,301129.8118386663
2014-01-16,299980.24091803154
2014-01-17,294432.5261309371
2014-01-18,294432.5261309371
2014-01-19,294432.5261309371
2014-01-20,299563.86416403856
2014-01-21,303907.8703556613
2014-01-22,303901.7545704277
2014-01-23,303603.9812318902
2014-01-24,296865.4169204565
2014-01-25,296865.41692045645
2014-01-26,296865.41692045645
2014-01-27,287044.14780923567
2014-01-28,288186.44659860973
2014-01-29,288907.39999946277
2014-01-30,282333.65575747576
2014-01-31,290378.6633712998
2014-02-01,290378.6633712998
2014-02-02,290378.6633712998
2014-02-03,284445.2462274589
2014-02-04,285752.7312257073
2014-02-05,286788.8102546039
2014-02-06,284054.78732400975
2014-02-07,287783.09103720565
2014-02-08,287783.09103720565
2014-02-09,287783.09103720565
2014-02-10,287617.7708248625
2014-02-11,287269.85006536637
2014-02-12,283975.49125946994
2014-02-13,280562.0881266128
2014-02-14,281081.0413570077
2014-02-15,281081.04135700775
2014-02-16,281081.04135700775
2014-02-17,280400.80092175055
2014-02-18,285798.433543647
2014-02-19,287083.7048469133
2014-02-20,285164.23892177205
2014-02-21,287320.384939109
2014-02-22,287320.384939109
2014-02-23,287320.384939109
2014-02-24,287724.08051750436
2014-02-25,286925.88524709054
2014-02-26,288827.5504829281
2014-02-27,288827.5504829281
2014-02-28,290389.7425912709
2014-03-01,290389.7425912709
2014-03-02,290389.7425912709
2014-03-03,291497.2127311113
2014-03-04,296363.73774602154
2014-03-05,299451.3712225736
2014-03-06,306921.9042028579
2014-03-07,310285.1431688634
2014-03-08,310285.1431688633
2014-03-09,310285.1431688633
2014-03-10,310854.5089195882
2014-03-11,309374.50267675245
2014-03-12,308474.7721542878
2014-03-13,304727.66437747516
2014-03-14,303969.7323833663
2014-03-15,303969.7323833664
2014-03-16,303969.7323833664
2014-03-17,303969.7323833664
2014-03-18,307175.66948329244
2014-03-19,310593.33788463124
2014-03-20,313458.5143373607
2014-03-21,315709.4676302149
2014-03-22,315709.4676302149
2014-03-23,315709.4676302149
2014-03-24,317057.47513614886
2014-03-25,317592.91462309053
2014-03-26,315736.76044616586
2014-03-27,319658.08353922184
2014-03-28,325336.6475248138
2014-03-29,325336.6475248138
2014-03-30,325336.6475248138
2014-03-31,331723.3185987399
2014-04-01,338097.16751003155
2014-04-02,344908.82125065726
2014-04-03,344096.05778515514
2014-04-04,345409.32274867943
2014-04-05,345409.32274867943
2014-04-06,345409.32274867943
2014-04-07,343497.5417055477
2014-04-08,343497.54170554766
2014-04-09,345480.6871492751
2014-04-10,344962.6105211474
2014-04-11,344071.473164941
2014-04-12,344071.473164941
2014-04-13,344071.473164941
2014-04-14,344071.473164941
2014-04-15,343136.8392776844
2014-04-16,340759.5325372235
2014-04-17,344634.5211077449
2014-04-18,344634.5211077449
2014-04-19,344634.5211077449
2014-04-20,344634.5211077449
2014-04-21,347688.37462460937
2014-04-22,345860.3471131898
2014-04-23,345992.83424450125
2014-04-24,345992.83424450125
2014-04-25,344506.75130688335
2014-04-26,344506.75130688335
2014-04-27,344506.75130688335
2014-04-28,344106.22799172526
2014-04-29,341361.4975965523
2014-04-30,331516.83646049706
2014-05-01,331516.83646049706
2014-05-02,331330.46373741585
2014-05-03,331330.46373741585
2014-05-04,331330.46373741585
2014-05-05,328608.5486049665
2014-05-06,329299.22818085446
2014-05-07,328632.8948317913
2014-05-08,327558.7152337019
2014-05-09,339300.14268281724
2014-05-10,339300.14268281724
2014-05-11,339300.14268281724
2014-05-12,338681.31044944684
2014-05-13,345529.1738191129
2014-05-14,351301.8043429601
2014-05-15,344219.8589778346
2014-05-16,343286.1055623196
2014-05-17,343286.1055623196
2014-05-18,343286.1055623196
2014-05-19,350011.41238701704
2014-05-20,357287.7920399631
2014-05-21,360595.8825787876
2014-05-22,362496.5868031874
2014-05-23,367204.98030780675
2014-05-24,367204.98030780675
2014-05-25,367204.98030780675
2014-05-26,364467.58481436974
2014-05-27,367460.3787711669
2014-05-28,371030.26469557255
2014-05-29,366978.9269697015
2014-05-30,372121.90069605294
2014-05-31,372121.90069605294
2014-06-01,372121.90069605294
2014-06-02,379002.10155324574
2014-06-03,381849.34361258196
2014-06-04,388630.2757352913
2014-06-05,393606.85219321697
2014-06-06,398463.210918678
2014-06-07,398463.21091867797
2014-06-08,398463.21091867797
2014-06-09,405277.34858674975
2014-06-10,406136.40422834863
2014-06-11,405070.8830716689
2014-06-12,403826.90624131623
2014-06-13,395774.40905242827
2014-06-14,395774.40905242827
2014-06-15,395774.40905242827
2014-06-16,400104.25646325253
2014-06-17,410288.692203238
2014-06-18,406340.0595265254
2014-06-19,400927.4525661516
2014-06-20,399517.8121546352
2014-06-21,399517.8121546352
2014-06-22,399517.8121546352
2014-06-23,399327.8581100599
2014-06-24,413435.95442603435
2014-06-25,414910.7947044675
2014-06-26,409288.83191365673
2014-06-27,412042.1967153185
2014-06-28,412042.1967153185
2014-06-29,412042.1967153185
2014-06-30,420777.7161904413
2014-07-01,423659.2777251243
2014-07-02,431522.9108846309
2014-07-03,428640.15783560806
2014-07-04,431145.30917439086
2014-07-05,431145.30917439086
2014-07-06,431145.30917439086
2014-07-07,430062.25712427957
2014-07-08,411967.77237617056
2014-07-09,403189.7155987184
2014-07-10,406152.4956392202
2014-07-11,383951.85057062964
2014-07-12,383951.85057062964
2014-07-13,383951.85057062964
2014-07-14,390090.4732350984
2014-07-15,398312.84188522777
2014-07-16,407573.112917233
2014-07-17,412593.3895758819
2014-07-18,409551.1021035975
2014-07-19,409551.10210359754
2014-07-20,409551.10210359754
2014-07-21,412276.00724754564
2014-07-22,409728.5795216422
2014-07-23,409817.08607496263
2014-07-24,411092.01794407034
2014-07-25,401039.7127916871
2014-07-26,401039.7127916871
2014-07-27,401039.7127916871
2014-07-28,394702.02556951455
2014-07-29,394702.02556951455
2014-07-30,398792.5053562551
2014-07-31,399798.41457490495
2014-08-01,397883.46957059635
2014-08-02,397883.4695705963
2014-08-03,397883.4695705963
2014-08-04,403739.4104906503
2014-08-05,411211.07219243294
2014-08-06,408933.7579548002
2014-08-07,407777.8726348848
2014-08-08,399537.9901424828
2014-08-09,399537.99014248286
2014-08-10,399537.99014248286
2014-08-11,402057.0721702894
2014-08-12,401845.69448703877
2014-08-13,388877.2512978123
2014-08-14,395612.0030605504
2014-08-15,395612.00306055037
2014-08-16,395612.00306055037
2014-08-17,395612.00306055037
2014-08-18,406899.2609133809
2014-08-19,413532.83982887946
2014-08-20,416468.0292461319
2014-08-21,411329.1056145758
2014-08-22,408633.6308964829
2014-08-23,408633.63089648297
2014-08-24,408633.63089648297
2014-08-25,401305.8164062541
2014-08-26,395446.08635969856
2014-08-27,397913.70682493603
2014-08-28,395516.89189280523
2014-08-29,395516.89189280523
2014-08-30,395516.89189280523
2014-08-31,395516.89189280523
2014-09-01,409312.9872373636
2014-09-02,410549.5691989934
2014-09-03,414420.95767635666
2014-09-04,401725.75601499784
2014-09-05,404491.25093812984
2014-09-06,404491.25093812984
2014-09-07,404491.25093812984
2014-09-08,414791.799551998
2014-09-09,417193.5186511783
2014-09-10,419679.86432310264
2014-09-11,423579.0626911463
2014-09-12,418963.5811338887
2014-09-13,418963.5811338886
2014-09-14,418963.5811338886
2014-09-15,418205.30749307503
2014-09-16,403922.93592524296
2014-09-17,403714.2777304641
2014-09-18,420823.3327616069
2014-09-19,415069.2010749565
2014-09-20,415069.20107495645
2014-09-21,415069.20107495645
2014-09-22,415505.80759600207
2014-09-23,401368.3666928154
2014-09-24,390712.5407708993
2014-09-25,375165.0655052979
2014-09-26,386355.6255382861
2014-09-27,386355.6255382862
2014-09-28,386355.6255382862
2014-09-29,387902.75983779284
2014-09-30,381174.8732073967
2014-10-01,381782.56330256327
2014-10-02,381782.5633025633
2014-10-03,381782.5633025633
2014-10-04,381782.5633025633
2014-10-05,381782.5633025633
2014-10-06,381782.5633025633
2014-10-07,379018.40600382764
2014-10-08,380992.3325255613
2014-10-09,391373.27944881143
2014-10-10,386232.98735489545
2014-10-11,386232.98735489545
2014-10-12,386232.98735489545
2014-10-13,387024.97549788933
2014-10-14,386170.2542157442
2014-10-15,386170.25421574415
2014-10-16,375303.580469854
2014-10-17,378361.16517662915
2014-10-18,378361.16517662915
2014-10-19,378361.16517662915
2014-10-20,378258.19808800693
2014-10-21,385333.3261773087
2014-10-22,388939.4969262943
2014-10-23,388939.4969262943
2014-10-24,388939.4969262943
2014-10-25,388939.4969262943
2014-10-26,388939.4969262943
2014-10-27,381765.98727479356
2014-10-28,381676.39099077834
2014-10-29,387985.737549463
2014-10-30,398787.6151218394
2014-10-31,406135.3369261887
2014-11-01,406135.3369261888
2014-11-02,406135.3369261888
2014-11-03,414964.5333436492
2014-11-04,414964.53334364924
2014-11-05,416817.7015249576
2014-11-06,416817.7015249576
2014-11-07,416924.33564994944
2014-11-08,416924.33564994944
2014-11-09,416924.33564994944
2014-11-10,419114.4796150006
2014-11-11,421881.9788472738
2014-11-12,423226.57937481406
2014-11-13,419346.7634269501
2014-11-14,417885.3072535772
2014-11-15,417885.3072535773
2014-11-16,417885.3072535773
2014-11-17,418468.11264300835
2014-11-18,423946.42160748143
2014-11-19,421755.54730165564
2014-11-20,415221.14070304343
2014-11-21,414398.99020484183
2014-11-22,414398.99020484183
2014-11-23,414398.99020484183
2014-11-24,416373.4890699867
2014-11-25,405449.72079303645
2014-11-26,414781.42131825216
2014-11-27,417404.61411862937
2014-11-28,424145.1187870698
2014-11-29,424145.1187870698
2014-11-30,424145.1187870698
2014-12-01,416968.0458828764
2014-12-02,421261.14660117094
2014-12-03,423577.7336664655
2014-12-04,422301.71577178757
2014-12-05,420586.8929228525
2014-12-06,420586.8929228525
2014-12-07,420586.8929228525
2014-12-08,413409.0423725572
2014-12-09,403919.8034362797
2014-12-10,404984.3848057899
2014-12-11,397759.60322089726
2014-12-12,391651.3171349135
2014-12-13,391651.3171349135
2014-12-14,391651.3171349135
2014-12-15,386584.1730025754
2014-12-16,374190.3300133664
2014-12-17,373287.5189291097
2014-12-18,389746.0480063043
2014-12-19,389814.7891523473
2014-12-20,389814.78915234725
2014-12-21,389814.78915234725
2014-12-22,390638.48256617744
2014-12-23,383921.691869776
2014-12-24,388777.95731672907
2014-12-25,388777.95731672907
2014-12-26,389898.7638367731
2014-12-27,389898.7638367731
2014-12-28,389898.7638367731
2014-12-29,396621.0031004322
2014-12-30,397401.3704499956
2014-12-31,402571.2203525015
2015-01-01,407351.2565953109
2015-01-02,420582.5763556581
2015-01-03,420582.57635565806
2015-01-04,420582.57635565806
2015-01-05,423199.11745782313
2015-01-06,411459.4597756709
2015-01-07,408226.3642076262
2015-01-08,418224.44514410157
2015-01-09,416468.568630473
2015-01-10,416468.568630473
2015-01-11,416468.568630473
2015-01-12,419493.78226032556
2015-01-13,414650.07830789627
2015-01-14,408423.6727011943
2015-01-15,419908.28121330764
2015-01-16,422549.9790642347
2015-01-17,422549.9790642347
2015-01-18,422549.9790642347
2015-01-19,425743.1007944674
2015-01-20,428227.4077097791
2015-01-21,425588.950533262
2015-01-22,425995.24425979715
2015-01-23,424117.5087016837
2015-01-24,424117.50870168366
2015-01-25,424117.50870168366
2015-01-26,424117.50870168366
2015-01-27,423288.30175866146
2015-01-28,420662.37663889496
2015-01-29,420236.9634943472
2015-01-30,420434.5390394784
2015-01-31,420434.53903947846
2015-02-01,420434.53903947846
2015-02-02,420506.51736190496
2015-02-03,418148.3377836544
2015-02-04,420822.2053944753
2015-02-05,416491.1341729844
2015-02-06,408845.2245580809
2015-02-07,408845.2245580809
2015-02-08,408845.2245580809
2015-02-09,405488.2344295482
2015-02-10,404124.8455247537
2015-02-11,416067.3862392858
2015-02-12,423413.51767858636
2015-02-13,425976.3079142312
2015-02-14,425976.30791423126
2015-02-15,425976.30791423126
2015-02-16,427620.5753098632
2015-02-17,429277.7668529166
2015-02-18,432835.29471383267
2015-02-19,436370.48515094677
2015-02-20,442856.81410591153
2015-02-21,442856.81410591153
2015-02-22,442856.81410591153
2015-02-23,438809.0977127446
2015-02-24,437273.1050628432
2015-02-25,434919.58348194335
2015-02-26,430821.02222691197
2015-02-27,438662.6971165525
2015-02-28,438662.6971165525
2015-03-01,438662.6971165525
2015-03-02,444265.54900890787
2015-03-03,452298.87267739756
2015-03-04,446262.32823193586
2015-03-05,450075.0877032177
2015-03-06,450075.08770321764
2015-03-07,450075.08770321764
2015-03-08,450075.08770321764
2015-03-09,445705.7952746004
2015-03-10,445801.89254604233
2015-03-11,442063.0463953633
2015-03-12,449110.251038663
2015-03-13,439072.0660646845
2015-03-14,439072.0660646845
2015-03-15,439072.0660646845
2015-03-16,432184.39766336395
2015-03-17,432522.05764007184
2015-03-18,437299.47648079175
2015-03-19,439231.17108791973
2015-03-20,424314.1902680425
2015-03-21,424314.19026804256
2015-03-22,424314.19026804256
2015-03-23,420558.71635725215
2015-03-24,420132.768015761
2015-03-25,410747.5773349277
2015-03-26,407135.8488168221
2015-03-27,411428.0410599727
2015-03-28,411428.04105997283
