Date,Capital
2014-04-01,450388.4667941856
2014-04-02,451557.9510920399
2014-04-03,451583.45466758485
2014-04-04,451797.9998103668
2014-04-05,451797.9998103668
2014-04-06,451797.9998103668
2014-04-07,452095.00598277675
2014-04-08,452095.00598277675
2014-04-09,453006.45086390787
2014-04-10,452674.6602560253
2014-04-11,454065.7145060365
2014-04-12,454065.7145060365
2014-04-13,454065.7145060365
2014-04-14,454065.7145060365
2014-04-15,454493.10470656777
2014-04-16,453125.1545927802
2014-04-17,453675.32187677955
2014-04-18,453675.32187677955
2014-04-19,453675.32187677955
2014-04-20,453675.32187677955
2014-04-21,454351.5127389237
2014-04-22,454314.57273054495
2014-04-23,453153.7439828286
2014-04-24,453153.7439828286
2014-04-25,452662.0619270037
2014-04-26,452662.0619270037
2014-04-27,452662.0619270037
2014-04-28,452792.062564116
2014-04-29,452647.3886944561
2014-04-30,451928.4262403186
2014-05-01,451928.4262403186
2014-05-02,451193.3643586101
2014-05-03,451193.3643586101
2014-05-04,451193.3643586101
2014-05-05,448573.6899069698
2014-05-06,449309.28468895575
2014-05-07,447483.91713377903
2014-05-08,446571.54911235935
2014-05-09,448217.95322710596
2014-05-10,448217.95322710596
2014-05-11,448217.95322710596
2014-05-12,448611.57472667616
2014-05-13,450895.5583555061
2014-05-14,450836.13606810075
2014-05-15,449603.55017711944
2014-05-16,448424.65214334335
2014-05-17,448424.65214334335
2014-05-18,448424.65214334335
2014-05-19,449737.27360249776
2014-05-20,451904.1215178204
2014-05-21,455162.18746795174
2014-05-22,457318.02437685034
2014-05-23,458817.4127907313
2014-05-24,458817.4127907313
2014-05-25,458817.4127907313
2014-05-26,456092.573554576
2014-05-27,454471.09366016864
2014-05-28,456023.4972762477
2014-05-29,454899.5201053596
2014-05-30,454776.6421176165
2014-05-31,454776.6421176165
2014-06-01,454776.6421176165
2014-06-02,455737.5967725873
2014-06-03,456773.4775259308
2014-06-04,457501.25173636916
2014-06-05,460356.5309511919
2014-06-06,462675.223559409
2014-06-07,462675.223559409
2014-06-08,462675.223559409
2014-06-09,465171.2057039917
2014-06-10,468170.90751312627
2014-06-11,468925.74960845226
2014-06-12,470661.1427564756
2014-06-13,466140.65294965694
2014-06-14,466140.65294965694
2014-06-15,466140.65294965694
2014-06-16,467069.8257691089
2014-06-17,470079.30280358344
2014-06-18,468338.5627796738
2014-06-19,468799.54066515807
2014-06-20,468620.6285874241
2014-06-21,468620.6285874241
2014-06-22,468620.6285874241
2014-06-23,468024.35833633225
2014-06-24,470520.39194742555
2014-06-25,471530.379770292
2014-06-26,472178.6892460389
2014-06-27,475059.7788974833
2014-06-28,475059.7788974833
2014-06-29,475059.7788974833
2014-06-30,477189.27284980036
2014-07-01,479370.4296356788
2014-07-02,479261.25929859164
2014-07-03,478424.8831916066
2014-07-04,479912.5623666273
2014-07-05,479912.5623666273
2014-07-06,479912.5623666273
2014-07-07,479833.7309126135
2014-07-08,471968.5708656652
2014-07-09,467627.77029065695
2014-07-10,467450.3337886677
2014-07-11,463359.47985706455
2014-07-12,463359.47985706455
2014-07-13,463359.47985706455
2014-07-14,461966.66705173405
2014-07-15,462719.8998992541
2014-07-16,464895.59368132986
2014-07-17,467999.4509370604
2014-07-18,468599.22363695665
2014-07-19,468599.22363695665
2014-07-20,468599.22363695665
2014-07-21,470361.8499066047
2014-07-22,470614.16541827226
2014-07-23,470143.30852091743
2014-07-24,470385.51611447387
2014-07-25,468550.84284044267
2014-07-26,468550.84284044267
2014-07-27,468550.84284044267
2014-07-28,467498.33092039975
2014-07-29,467498.33092039975
2014-07-30,465892.945173489
2014-07-31,466791.909801731
2014-08-01,464354.23041758017
2014-08-02,464354.23041758017
2014-08-03,464354.23041758017
2014-08-04,468577.80125511816
2014-08-05,468922.8663051402
2014-08-06,467704.2425212912
2014-08-07,465095.46319987735
2014-08-08,460231.36234317074
2014-08-09,460231.36234317074
2014-08-10,460231.36234317074
2014-08-11,461157.34159874904
2014-08-12,461866.0142052894
2014-08-13,456859.01690667984
2014-08-14,457446.75022292807
2014-08-15,457446.75022292807
2014-08-16,457446.75022292807
2014-08-17,457446.75022292807
2014-08-18,460991.23074337514
2014-08-19,463872.1075039406
2014-08-20,465684.6816905173
2014-08-21,466064.0432783537
2014-08-22,466285.4342454395
2014-08-23,466285.4342454395
2014-08-24,466285.4342454395
2014-08-25,464798.21195009863
2014-08-26,462662.7817930264
2014-08-27,463090.98479594896
2014-08-28,461465.7920585629
2014-08-29,461465.7920585629
2014-08-30,461465.7920585629
2014-08-31,461465.7920585629
2014-09-01,466074.96022596833
2014-09-02,469178.3970343326
2014-09-03,471315.979949192
2014-09-04,469407.02962225105
2014-09-05,470045.0211218955
2014-09-06,470045.0211218955
2014-09-07,470045.0211218955
2014-09-08,476287.31001637806
2014-09-09,477970.49412516924
2014-09-10,481337.25542670686
2014-09-11,482956.7331295765
2014-09-12,481167.7371220105
2014-09-13,481167.7371220105
2014-09-14,481167.7371220105
2014-09-15,483572.4296314561
2014-09-16,474815.73965415714
2014-09-17,477896.8503277642
2014-09-18,484227.80013094965
2014-09-19,486216.08425231435
2014-09-20,486216.08425231435
2014-09-21,486216.08425231435
2014-09-22,487476.43152258825
2014-09-23,479053.43113072414
2014-09-24,475577.1035174035
2014-09-25,465300.04254727677
2014-09-26,467194.67033466365
2014-09-27,467194.67033466365
2014-09-28,467194.67033466365
2014-09-29,470237.8389091788
2014-09-30,469168.40252066264
2014-10-01,467457.35354394565
2014-10-02,467416.94126776425
2014-10-03,467416.94126776425
2014-10-04,467416.94126776425
2014-10-05,467416.94126776425
2014-10-06,467416.94126776425
2014-10-07,465580.76292308414
2014-10-08,461920.3525807661
2014-10-09,469042.97630823037
2014-10-10,466927.48173626664
2014-10-11,466927.48173626664
2014-10-12,466927.48173626664
2014-10-13,470173.3356870932
2014-10-14,468443.65358832455
2014-10-15,468443.65358832455
2014-10-16,457601.2323018738
2014-10-17,455953.0210450283
2014-10-18,455953.0210450283
2014-10-19,455953.0210450283
2014-10-20,457167.6168391849
2014-10-21,460630.0790417294
2014-10-22,464563.0140813277
2014-10-23,464563.0140813277
2014-10-24,464563.0140813277
2014-10-25,464563.0140813277
2014-10-26,464563.0140813277
2014-10-27,464218.43380167044
2014-10-28,464040.7678277358
2014-10-29,466507.5462279989
2014-10-30,470103.5932834954
2014-10-31,475869.130816709
2014-11-01,475869.130816709
2014-11-02,475869.130816709
2014-11-03,485558.731340334
2014-11-04,485558.731340334
2014-11-05,485777.3754563762
2014-11-06,485777.3754563762
2014-11-07,486239.29722618853
2014-11-08,486239.29722618853
2014-11-09,486239.29722618853
2014-11-10,484633.4114341502
2014-11-11,488353.9912938406
2014-11-12,486299.0201189704
2014-11-13,483612.7615761298
2014-11-14,487170.02667855436
2014-11-15,487170.02667855436
2014-11-16,487170.02667855436
2014-11-17,488449.7346715814
2014-11-18,490216.8422226901
2014-11-19,484952.7490875346
2014-11-20,482149.4454959979
2014-11-21,479617.7051056769
2014-11-22,479617.7051056769
2014-11-23,479617.7051056769
2014-11-24,483046.9896302795
2014-11-25,471812.0291786586
2014-11-26,475688.47108336247
2014-11-27,478175.33345846215
2014-11-28,479800.0949305363
2014-11-29,479800.0949305363
2014-11-30,479800.0949305363
2014-12-01,474823.4470882621
2014-12-02,478718.8855670106
2014-12-03,484151.5921120527
2014-12-04,483397.3043376646
2014-12-05,482564.78494251915
2014-12-06,482564.78494251915
2014-12-07,482564.78494251915
2014-12-08,475694.30360737233
2014-12-09,465625.4020010149
2014-12-10,469817.64928806224
2014-12-11,462988.7535004926
2014-12-12,456616.8469319894
2014-12-13,456616.8469319894
2014-12-14,456616.8469319894
2014-12-15,456381.02784715645
2014-12-16,440493.7171073756
2014-12-17,434937.34336243384
2014-12-18,452910.081103996
2014-12-19,453410.35073949344
2014-12-20,453410.35073949344
2014-12-21,453410.35073949344
2014-12-22,458572.6358699255
2014-12-23,453370.4269331412
2014-12-24,457061.27944778407
2014-12-25,457061.27944778407
2014-12-26,459027.2789975163
2014-12-27,459027.2789975163
2014-12-28,459027.2789975163
2014-12-29,463407.3023717029
2014-12-30,462578.21808541764
2014-12-31,465766.5465765907
2015-01-01,470149.89273475576
2015-01-02,475980.295608984
2015-01-03,475980.295608984
2015-01-04,475980.295608984
2015-01-05,478677.39334025554
2015-01-06,462703.6200458292
2015-01-07,460799.4479787129
2015-01-08,473874.44913433807
2015-01-09,473727.78237814695
2015-01-10,473727.78237814695
2015-01-11,473727.78237814695
2015-01-12,478137.7546027247
2015-01-13,472808.0996624083
2015-01-14,467714.3266292372
2015-01-15,477889.5297605391
2015-01-16,480740.17857774935
2015-01-17,480740.17857774935
2015-01-18,480740.17857774935
2015-01-19,485284.45573415334
2015-01-20,487600.04473076906
2015-01-21,484244.2911633116
2015-01-22,486223.78373362357
2015-01-23,486476.8956611984
2015-01-24,486476.8956611984
2015-01-25,486476.8956611984
2015-01-26,486476.8956611984
2015-01-27,486681.9658044158
2015-01-28,485714.56098303717
2015-01-29,493240.0037676793
2015-01-30,499230.1408224014
2015-01-31,499230.1408224014
2015-02-01,499230.1408224014
2015-02-02,500826.95317016187
2015-02-03,498577.1610039851
2015-02-04,502159.0293187789
2015-02-05,488734.78294958395
2015-02-06,484657.1195913906
2015-02-07,484657.1195913906
2015-02-08,484657.1195913906
2015-02-09,473758.7303919459
2015-02-10,475044.8032518627
2015-02-11,484590.8938039267
2015-02-12,492564.49317618716
2015-02-13,495199.7241502326
2015-02-14,495199.7241502326
2015-02-15,495199.7241502326
2015-02-16,497447.0177953224
2015-02-17,497745.7244382533
2015-02-18,501733.93270616047
2015-02-19,506740.57410584553
2015-02-20,509936.69389289885
2015-02-21,509936.69389289885
2015-02-22,509936.69389289885
2015-02-23,503761.09639568103
2015-02-24,503892.03592463606
2015-02-25,503616.2209057506
2015-02-26,499151.2328437576
2015-02-27,513852.0620478525
2015-02-28,513852.0620478525
2015-03-01,513852.0620478523
2015-03-02,511873.32769728923
2015-03-03,516849.9356100833
2015-03-04,511958.0044153221
2015-03-05,516641.72668815363
2015-03-06,517198.8387255632
2015-03-07,517198.8387255632
2015-03-08,517198.8387255632
2015-03-09,507938.65185535257
2015-03-10,505717.1778857236
2015-03-11,505319.4182456305
2015-03-12,515098.4065876831
2015-03-13,502248.1426140063
2015-03-14,502248.1426140063
2015-03-15,502248.1426140063
2015-03-16,499976.0797581405
2015-03-17,501913.47992362705
2015-03-18,502498.12738123204
2015-03-19,496229.4224693409
2015-03-20,480031.19466728147
2015-03-21,480031.19466728147
2015-03-22,480031.19466728147
2015-03-23,474041.20982494473
2015-03-24,471969.7022177757
2015-03-25,466024.81576655805
2015-03-26,460840.3793026026
2015-03-27,460167.7359970277
2015-03-28,460167.7359970277
2015-03-29,460167.7359970277
2015-03-30,470057.7700450833
2015-03-31,471099.18406578945
2015-04-01,481342.2414129992
2015-04-02,482685.9802427208
2015-04-03,482685.9802427208
2015-04-04,482685.9802427208
2015-04-05,482685.9802427208
2015-04-06,500323.4431985633
2015-04-07,509963.10729246365
2015-04-08,518215.8388194182
2015-04-09,522115.23475194024
2015-04-10,527914.9955967598
2015-04-11,527914.9955967598
2015-04-12,527914.9955967598
2015-04-13,536580.1155466702
2015-04-14,537048.9527704485
2015-04-15,531884.630332871
2015-04-16,527555.5444969443
2015-04-17,520993.0111598833
2015-04-18,520993.0111598833
2015-04-19,520993.0111598833
2015-04-20,504546.6186771446
2015-04-21,499702.1959445479
2015-04-22,500695.8640492964
2015-04-23,501553.58200701885
2015-04-24,485991.8257864229
2015-04-25,485991.8257864229
2015-04-26,485991.8257864229
2015-04-27,467825.1464033748
2015-04-28,472501.2322435471
2015-04-29,475112.1505937066
2015-04-30,475636.2458879415
2015-05-01,477091.7994217309
2015-05-02,477091.7994217309
2015-05-03,477091.7994217309
2015-05-04,490230.03146876034
2015-05-05,496002.7538475103
2015-05-06,472057.4884413372
2015-05-07,461847.4756038473
2015-05-08,472605.9481120828
2015-05-09,472605.9481120828
2015-05-10,472605.9481120828
2015-05-11,476782.93409066775
2015-05-12,462618.83460413344
2015-05-13,467511.66054822743
2015-05-14,472497.25322938664
2015-05-15,469232.4795522667
2015-05-16,469232.4795522667
2015-05-17,469232.4795522667
2015-05-18,472728.7567176545
2015-05-19,476798.98439616075
2015-05-20,476059.23520865454
2015-05-21,473040.7461369966
2015-05-22,470634.95638833207
2015-05-23,470634.95638833207
2015-05-24,470634.95638833207
2015-05-25,469115.9756188111
2015-05-26,468115.5631749428
2015-05-27,465976.86468567705
2015-05-28,464331.82138471556
2015-05-29,467280.6851321234
2015-05-30,467280.6851321234
2015-05-31,467280.6851321234
2015-06-01,464965.758924203
2015-06-02,453574.6874901486
2015-06-03,424728.2430388605
2015-06-04,421789.78291411954
2015-06-05,421197.38173128164
2015-06-06,421197.38173128164
2015-06-07,421197.38173128164
2015-06-08,413683.76808081934
2015-06-09,408862.25172566494
2015-06-10,414270.0166994602
2015-06-11,403274.81225659244
2015-06-12,402096.2393292849
2015-06-13,402096.2393292849
2015-06-14,402096.2393292849
2015-06-15,405574.8834496037
2015-06-16,407212.8258568244
2015-06-17,413623.1973121204
2015-06-18,418277.4722580206
2015-06-19,417811.0472863517
2015-06-20,417811.0472863517
2015-06-21,417811.0472863517
2015-06-22,432203.74890984286
2015-06-23,435676.46820933436
2015-06-24,433141.33333635784
2015-06-25,436772.9019243043
2015-06-26,438137.30144334567
2015-06-27,438137.30144334567
2015-06-28,438137.30144334567
2015-06-29,424486.3245867805
2015-06-30,429951.1446169475
2015-07-01,436967.39343700727
2015-07-02,437109.74080395745
2015-07-03,433559.1105121616
2015-07-04,433559.1105121616
2015-07-05,433559.1105121616
2015-07-06,441499.87883430737
2015-07-07,446982.07086818316
2015-07-08,437761.807926645
2015-07-09,438087.05128061614
2015-07-10,435746.7490428822
2015-07-11,435746.7490428822
2015-07-12,435746.7490428822
2015-07-13,438413.53253458615
2015-07-14,447472.97098945576
2015-07-15,449057.50489991816
2015-07-16,449763.12299347983
2015-07-17,450167.359534103
2015-07-18,450167.359534103
2015-07-19,450167.359534103
2015-07-20,450910.0881281528
2015-07-21,440264.1869175828
2015-07-22,448310.8189095603
2015-07-23,451684.0898699614
2015-07-24,446045.6148219507
2015-07-25,446045.6148219507
2015-07-26,446045.6148219507
2015-07-27,438165.02604134183
2015-07-28,434260.8229347857
2015-07-29,437410.36068960564
2015-07-30,452367.2793993237
2015-07-31,455169.01773475547
2015-08-01,455169.0177347555
2015-08-02,455169.0177347555
2015-08-03,462026.1685469195
2015-08-04,465062.6015377615
2015-08-05,473694.549228293
2015-08-06,475265.12790403364
2015-08-07,476246.25052739854
2015-08-08,476246.25052739854
2015-08-09,476246.25052739854
2015-08-10,472876.01033578126
2015-08-11,463132.37814868015
2015-08-12,449264.26807078574
2015-08-13,439343.2268095816
2015-08-14,451374.46333755576
2015-08-15,451374.46333755576
2015-08-16,451374.46333755576
2015-08-17,452256.8694689765
2015-08-18,455161.70462661545
2015-08-19,456460.0899526451
2015-08-20,443184.1173046089
2015-08-21,440108.56285687466
2015-08-22,440108.56285687466
2015-08-23,440108.56285687466
2015-08-24,387982.26418721303
2015-08-25,391185.7955762852
2015-08-26,392461.1159681785
2015-08-27,408543.2232314422
2015-08-28,410421.3877030292
2015-08-29,410421.3877030292
2015-08-30,410421.3877030292
