Date,Capital
2014-02-03,248949.67686253373
2014-02-04,248932.75299882807
2014-02-05,249224.36846388824
2014-02-06,248698.26685444132
2014-02-07,249663.7624184345
2014-02-08,249663.7624184345
2014-02-09,249663.7624184345
2014-02-10,250070.38793099337
2014-02-11,250657.97784412967
2014-02-12,249348.87403871492
2014-02-13,248321.3910856928
2014-02-14,248321.43728940707
2014-02-15,248321.43728940707
2014-02-16,248321.43728940707
2014-02-17,247267.09687266382
2014-02-18,249596.1123277389
2014-02-19,249695.09853221028
2014-02-20,251134.4739047507
2014-02-21,251833.47699743864
2014-02-22,251833.47699743864
2014-02-23,251833.47699743864
2014-02-24,252422.6867036812
2014-02-25,250386.9345762224
2014-02-26,249548.4224015657
2014-02-27,249548.4224015657
2014-02-28,251646.12794726048
2014-03-01,251646.12794726048
2014-03-02,251646.12794726048
2014-03-03,249989.02130196948
2014-03-04,253532.97621614704
2014-03-05,256995.22092406603
2014-03-06,263135.23915263324
2014-03-07,268312.09161641315
2014-03-08,268312.09161641315
2014-03-09,268312.09161641315
2014-03-10,271222.43660205824
2014-03-11,270855.067603139
2014-03-12,272384.2413542483
2014-03-13,268345.1154108831
2014-03-14,269607.2059060293
2014-03-15,269607.2059060293
2014-03-16,269607.2059060293
2014-03-17,269607.20590602927
2014-03-18,269295.23120183975
2014-03-19,270699.52164967026
2014-03-20,269049.86708463874
2014-03-21,274557.3038895615
2014-03-22,274557.3038895615
2014-03-23,274557.3038895615
2014-03-24,275542.44279286766
2014-03-25,278566.13100448606
2014-03-26,279168.7773532447
2014-03-27,281591.95111345564
2014-03-28,285508.58454734867
2014-03-29,285508.58454734867
2014-03-30,285508.58454734867
2014-03-31,288320.5850591948
2014-04-01,291212.5422923642
2014-04-02,295731.43207672134
2014-04-03,295218.29591900896
2014-04-04,295226.5948137894
2014-04-05,295226.5948137894
2014-04-06,295226.5948137894
2014-04-07,294525.0261825832
2014-04-08,294525.0261825832
2014-04-09,296273.4304208258
2014-04-10,294942.0234256714
2014-04-11,297413.2080672416
2014-04-12,297413.2080672416
2014-04-13,297413.2080672416
2014-04-14,297413.2080672416
2014-04-15,297554.34913036023
2014-04-16,293411.98588090634
2014-04-17,296943.6307292843
2014-04-18,296943.6307292843
2014-04-19,296943.6307292843
2014-04-20,296943.6307292843
2014-04-21,300727.64719020174
2014-04-22,301816.0176331583
2014-04-23,301161.6676147444
2014-04-24,301161.6676147444
2014-04-25,301657.7161022595
2014-04-26,301657.7161022595
2014-04-27,301657.7161022595
2014-04-28,301775.78381423315
2014-04-29,299828.948104629
2014-04-30,294094.7245178614
2014-05-01,294094.7245178614
2014-05-02,293888.9622416555
2014-05-03,293888.9622416555
2014-05-04,293888.9622416555
2014-05-05,288835.105164108
2014-05-06,291694.1832513387
2014-05-07,289924.0641792796
2014-05-08,290044.7780656556
2014-05-09,296679.5820365365
2014-05-10,296679.5820365365
2014-05-11,296679.5820365365
2014-05-12,298958.5838521992
2014-05-13,305806.0472291483
2014-05-14,309555.4053863814
2014-05-15,306203.9914705349
2014-05-16,309094.5714465144
2014-05-17,309094.5714465144
2014-05-18,309094.5714465144
2014-05-19,323083.75068781764
2014-05-20,331752.79388861015
2014-05-21,334021.9325178674
2014-05-22,343222.79803938203
2014-05-23,349569.3501096223
2014-05-24,349569.3501096223
2014-05-25,349569.3501096223
2014-05-26,341453.71268902335
2014-05-27,342268.9343681802
2014-05-28,344654.11709759757
2014-05-29,341243.72646462853
2014-05-30,342078.17831322865
2014-05-31,342078.17831322865
2014-06-01,342078.17831322865
2014-06-02,348059.10225320194
2014-06-03,349345.4102769737
2014-06-04,352334.84100735665
2014-06-05,360364.7049018648
2014-06-06,367603.42996794
2014-06-07,367603.42996794
2014-06-08,367603.42996794
2014-06-09,373904.8184406216
2014-06-10,375675.18700441613
2014-06-11,374031.6062569762
2014-06-12,375376.2654306825
2014-06-13,366346.1057160143
2014-06-14,366346.1057160143
2014-06-15,366346.1057160143
2014-06-16,369135.4369083722
2014-06-17,373425.59558203927
2014-06-18,370824.59669391596
2014-06-19,371219.94294567005
2014-06-20,371661.8560715788
2014-06-21,371661.8560715788
2014-06-22,371661.8560715788
2014-06-23,371478.0107714341
2014-06-24,377235.3436652709
2014-06-25,378403.1383128201
2014-06-26,378901.51083642885
2014-06-27,381875.3729244678
2014-06-28,381875.3729244678
2014-06-29,381875.3729244678
2014-06-30,387861.57021285227
2014-07-01,391757.99380076496
2014-07-02,396924.6449064547
2014-07-03,396291.77932071337
2014-07-04,395451.95323333185
2014-07-05,395451.95323333185
2014-07-06,395451.95323333185
2014-07-07,393734.4040267931
2014-07-08,376428.38325392356
2014-07-09,370916.88001707656
2014-07-10,372138.18206689536
2014-07-11,360550.7691419959
2014-07-12,360550.7691419959
2014-07-13,360550.7691419959
2014-07-14,363214.6681916766
