Date,Capital
2014-12-01,900379.5209662401
2014-12-02,901521.7568515885
2014-12-03,901246.4726266956
2014-12-04,902393.9779448342
2014-12-05,901058.6537760344
2014-12-06,901058.6537760344
2014-12-07,901058.6537760344
2014-12-08,900963.836102609
2014-12-09,901191.7847992529
2014-12-10,901138.661925351
2014-12-11,901681.7647638831
2014-12-12,901633.3031059025
2014-12-13,901633.3031059025
2014-12-14,901633.3031059025
2014-12-15,901357.7272426606
2014-12-16,900485.5098133737
2014-12-17,900599.0928361483
2014-12-18,902032.4582826145
2014-12-19,902575.8394724356
2014-12-20,902575.8394724356
2014-12-21,902575.8394724356
2014-12-22,901700.5907310232
2014-12-23,901502.5223117903
2014-12-24,901088.2045841954
2014-12-25,901088.2045841954
2014-12-26,900945.1968098863
2014-12-27,900945.1968098863
2014-12-28,900945.1968098863
2014-12-29,900574.6543918359
2014-12-30,902088.5008241324
2014-12-31,902611.2807061695
2015-01-01,901246.5150796925
2015-01-02,899726.0509714282
2015-01-03,899726.0509714282
2015-01-04,899726.0509714282
2015-01-05,898291.8551342923
2015-01-06,896143.6284371279
2015-01-07,898921.8240297973
2015-01-08,898253.8614191216
2015-01-09,899089.6086687869
2015-01-10,899089.6086687869
2015-01-11,899089.6086687869
2015-01-12,901737.3618997904
2015-01-13,903739.2804656035
2015-01-14,904628.1929409737
2015-01-15,904295.1677351082
2015-01-16,905296.30141239
2015-01-17,905296.30141239
2015-01-18,905296.30141239
2015-01-19,904581.0608105937
2015-01-20,904697.2169505896
2015-01-21,905912.2546669831
2015-01-22,907000.1438270706
2015-01-23,906923.734393039
2015-01-24,906923.734393039
2015-01-25,906923.734393039
2015-01-26,906923.734393039
2015-01-27,909249.7925609367
2015-01-28,910382.2176633641
2015-01-29,909298.4372551667
2015-01-30,908882.556342423
2015-01-31,908882.556342423
2015-02-01,908882.556342423
2015-02-02,910862.8285156921
2015-02-03,913248.7519247398
2015-02-04,911982.0443674603
2015-02-05,915236.4778380821
2015-02-06,914785.9178876935
2015-02-07,914785.9178876935
2015-02-08,914785.9178876935
2015-02-09,913755.091582061
2015-02-10,918416.0368570106
2015-02-11,916833.2651557948
2015-02-12,917229.3577346714
2015-02-13,916664.5246897698
2015-02-14,916664.5246897698
2015-02-15,916664.5246897698
2015-02-16,922473.243428845
2015-02-17,922053.9628521254
2015-02-18,922344.5712717263
2015-02-19,916897.174962611
2015-02-20,916523.6851574364
2015-02-21,916523.6851574364
2015-02-22,916523.6851574364
2015-02-23,917223.47388788
2015-02-24,918223.4131262063
2015-02-25,919236.1051417214
2015-02-26,919769.4123692284
2015-02-27,920768.3686844318
2015-02-28,920768.3686844318
2015-03-01,920768.3686844318
2015-03-02,927125.8893781467
2015-03-03,932083.1667668391
2015-03-04,932361.0232416656
2015-03-05,935517.8367461439
2015-03-06,934987.5903833539
2015-03-07,934987.5903833539
2015-03-08,934987.5903833539
2015-03-09,932220.5571973398
2015-03-10,931088.4932518848
2015-03-11,932311.5853280652
2015-03-12,932604.6279620475
2015-03-13,931170.0862978662
2015-03-14,931170.0862978662
2015-03-15,931170.0862978662
2015-03-16,932885.6510898507
2015-03-17,940810.1372272642
2015-03-18,941986.4346526904
2015-03-19,941365.5150966542
2015-03-20,937490.5713015334
2015-03-21,937490.5713015334
2015-03-22,937490.5713015334
2015-03-23,937789.4958022871
2015-03-24,936860.2533987685
2015-03-25,935111.3525847127
2015-03-26,935284.2884611927
2015-03-27,935671.5245229984
2015-03-28,935671.5245229984
2015-03-29,935671.5245229984
2015-03-30,941691.6425039431
2015-03-31,947612.3502075791
2015-04-01,953967.9704332831
2015-04-02,952689.0308678908
2015-04-03,952689.0308678908
2015-04-04,952689.0308678908
2015-04-05,952689.0308678908
2015-04-06,955092.2776652924
2015-04-07,946321.5439062666
2015-04-08,945375.422757539
2015-04-09,941383.259817892
2015-04-10,935336.8228751193
2015-04-11,935336.8228751193
2015-04-12,935336.8228751193
2015-04-13,932462.2961833181
2015-04-14,932016.0677481816
2015-04-15,929783.5403384599
2015-04-16,926702.7748017336
2015-04-17,926504.6362134574
2015-04-18,926504.6362134574
2015-04-19,926504.6362134574
2015-04-20,927138.2859465892
2015-04-21,930879.2216317675
2015-04-22,930965.6960444862
2015-04-23,925805.8156450973
2015-04-24,921163.4918895438
2015-04-25,921163.4918895438
2015-04-26,921163.4918895438
2015-04-27,915263.5611591528
2015-04-28,925001.8363173534
2015-04-29,932274.2078329598
2015-04-30,937216.5144053192
2015-05-01,935831.1521885442
2015-05-02,935831.1521885442
2015-05-03,935831.1521885442
2015-05-04,933559.5110870253
2015-05-05,931495.5326581722
2015-05-06,927016.2725817511
2015-05-07,922677.8160527804
