Date,Capital
2018-01-01,99123.2611343128
2018-01-02,99047.9593696314
2018-01-03,99131.43980843863
2018-01-04,99050.99497807997
2018-01-05,98332.75712302217
2018-01-06,98332.75712302217
2018-01-07,98332.75712302217
2018-01-08,97713.14406353931
2018-01-09,97141.61308521012
2018-01-10,97079.66076436141
2018-01-11,96670.2291773893
2018-01-12,96017.13593276941
2018-01-13,96017.13593276941
2018-01-14,96017.13593276941
2018-01-15,96434.88085047032
2018-01-16,96620.99597407103
2018-01-17,96914.417160282
2018-01-18,98585.14649961775
2018-01-19,99843.28297419757
2018-01-20,99843.28297419757
2018-01-21,99843.28297419757
2018-01-22,100377.28321032603
2018-01-23,101154.78417868496
2018-01-24,100934.61611032161
2018-01-25,100445.67133368924
2018-01-26,100445.67133368924
2018-01-27,100445.67133368924
2018-01-28,100445.67133368924
2018-01-29,101056.30264964447
2018-01-30,101830.85471635713
2018-01-31,101666.8835335064
2018-02-01,102215.50561526892
2018-02-02,102755.95281371784
2018-02-03,102755.95281371784
2018-02-04,102755.95281371784
2018-02-05,104060.89548033966
2018-02-06,104400.84940350514
2018-02-07,103499.6207427392
2018-02-08,103333.71026053662
2018-02-09,103046.93125299555
2018-02-10,103046.93125299555
2018-02-11,103046.93125299555
2018-02-12,103132.97918069939
2018-02-13,103132.97918069939
2018-02-14,103292.71147387807
2018-02-15,103929.43017712278
2018-02-16,103940.45802120335
2018-02-17,103940.45802120335
2018-02-18,103940.45802120335
2018-02-19,103757.24303724706
2018-02-20,103983.9914149992
2018-02-21,104486.7398156554
2018-02-22,105191.32015843308
2018-02-23,105586.66852490805
2018-02-24,105586.66852490805
2018-02-25,105586.66852490805
2018-02-26,105125.3936704121
2018-02-27,105792.0695049314
2018-02-28,106302.22404209938
2018-03-01,106137.25814542173
2018-03-02,106137.25814542173
2018-03-03,106137.25814542173
2018-03-04,106137.25814542173
2018-03-05,106367.09174642098
2018-03-06,106761.44814464022
2018-03-07,106669.02203516876
2018-03-08,106645.68276398072
2018-03-09,106713.18035989793
2018-03-10,106713.18035989793
2018-03-11,106713.18035989793
2018-03-12,107152.37641258724
2018-03-13,106814.82410817829
2018-03-14,106771.31353565482
2018-03-15,107256.4065573233
2018-03-16,107462.81011241295
2018-03-17,107462.81011241295
2018-03-18,107462.81011241295
2018-03-19,107713.98912498116
2018-03-20,107753.33903029366
2018-03-21,107450.58923162648
2018-03-22,107329.14045586273
2018-03-23,107254.79101920057
2018-03-24,107254.79101920057
2018-03-25,107254.79101920057
2018-03-26,107854.49371292665
2018-03-27,107987.23097483088
2018-03-28,108639.32578140756
2018-03-29,108639.32578140756
2018-03-30,108639.32578140756
2018-03-31,108639.32578140756
2018-04-01,108639.32578140756
2018-04-02,108359.58444518285
2018-04-03,108482.649916311
2018-04-04,107991.92909794394
2018-04-05,108260.24415995249
2018-04-06,108168.93850430967
2018-04-07,108168.93850430967
2018-04-08,108168.93850430967
2018-04-09,108665.50219892019
2018-04-10,108863.45317511512
2018-04-11,109136.26146556143
2018-04-12,108469.67707457785
2018-04-13,109096.90824931233
2018-04-14,109096.90824931233
2018-04-15,109096.90824931233
2018-04-16,110086.5666101588
2018-04-17,110034.7935791534
2018-04-18,110552.20208525984
2018-04-19,111002.15276542395
2018-04-20,111203.84472095633
2018-04-21,111203.84472095633
2018-04-22,111203.84472095633
2018-04-23,112243.36260189029
2018-04-24,111399.96380882619
2018-04-25,112264.94943997495
2018-04-26,112116.46414019092
2018-04-27,112847.78035650418
2018-04-28,112847.78035650418
2018-04-29,112847.78035650418
2018-04-30,113924.81526771082
2018-05-01,113924.81526771082
2018-05-02,113565.49023861387
2018-05-03,113583.70826643039
2018-05-04,112659.73860682298
2018-05-05,112659.73860682298
2018-05-06,112659.73860682298
2018-05-07,113175.47488116479
2018-05-08,113373.50828869325
2018-05-09,112492.2305251819
2018-05-10,112697.1355674073
2018-05-11,113298.00872433616
2018-05-12,113298.00872433616
2018-05-13,113298.00872433616
2018-05-14,113142.4262265167
2018-05-15,112972.1541769904
2018-05-16,113954.60897450508
2018-05-17,112925.21450170132
2018-05-18,113060.81693305174
2018-05-19,113060.81693305174
2018-05-20,113060.81693305174
2018-05-21,112530.22704514224
2018-05-22,112901.90927605204
2018-05-23,112406.23638554975
2018-05-24,112308.21667388102
2018-05-25,112437.67581130046
2018-05-26,112437.67581130046
2018-05-27,112437.67581130046
2018-05-28,111587.4107246711
2018-05-29,111824.65307772996
2018-05-30,111834.21506665314
2018-05-31,111463.80562255885
2018-06-01,112370.41355548627
2018-06-02,112370.41355548627
2018-06-03,112370.41355548627
2018-06-04,112633.89347486163
2018-06-05,112542.00179846598
2018-06-06,113108.38707552812
2018-06-07,112149.22975748988
2018-06-08,112249.67394156056
2018-06-09,112249.67394156056
2018-06-10,112249.67394156056
2018-06-11,111932.94671629342
2018-06-12,112175.11838521181
2018-06-13,112325.58505570356
2018-06-14,112242.94512107254
2018-06-15,112551.23137594757
2018-06-16,112551.23137594757
2018-06-17,112551.23137594757
2018-06-18,112780.40337152223
2018-06-19,112519.63967929753
2018-06-20,112540.4758290784
2018-06-21,112791.06576182565
2018-06-22,113678.24560258508
2018-06-23,113678.24560258508
2018-06-24,113678.24560258508
2018-06-25,114232.38087534881
2018-06-26,114929.63492342891
2018-06-27,115017.79764352957
2018-06-28,113881.35241722257
2018-06-29,114261.66907560012
2018-06-30,114261.66907560012
2018-07-01,114261.66907560012
2018-07-02,114449.61295667099
2018-07-03,114133.2480025776
2018-07-04,113298.21657119878
2018-07-05,113035.66067692521
2018-07-06,113138.18050778947
2018-07-07,113138.18050778947
2018-07-08,113138.18050778947
2018-07-09,112995.19084118059
2018-07-10,113696.42179253
2018-07-11,114358.6755191918
2018-07-12,114166.37280039568
2018-07-13,113888.41792361139
2018-07-14,113888.41792361139
2018-07-15,113888.41792361139
2018-07-16,113709.57170144252
2018-07-17,114014.93322966676
2018-07-18,114034.73546633756
2018-07-19,114005.79801609306
2018-07-20,114721.39484833002
2018-07-21,114721.39484833002
2018-07-22,114721.39484833002
2018-07-23,114994.00414586769
2018-07-24,114894.60010341211
2018-07-25,115282.84506969622
2018-07-26,115126.19511777333
2018-07-27,114817.12333581425
2018-07-28,114817.12333581425
2018-07-29,114817.12333581425
2018-07-30,114146.51805459394
2018-07-31,113727.37982014802
2018-08-01,113832.58568756148
2018-08-02,113926.03493471633
2018-08-03,114329.968753562
2018-08-04,114329.968753562
2018-08-05,114329.968753562
2018-08-06,113642.88847490426
2018-08-07,113037.8957763073
2018-08-08,112628.62479345243
2018-08-09,112420.67478179878
2018-08-10,112785.01200494783
2018-08-11,112785.01200494783
2018-08-12,112785.01200494783
2018-08-13,112592.33252156273
2018-08-14,112986.28716129296
2018-08-15,112986.28716129296
2018-08-16,112776.15448336308
2018-08-17,112749.59760270061
2018-08-18,112749.59760270061
2018-08-19,112749.59760270061
2018-08-20,112627.76833378735
2018-08-21,113430.81102895588
2018-08-22,113430.81102895588
2018-08-23,113653.77096148382
2018-08-24,113239.36069099886
2018-08-25,113239.36069099886
2018-08-26,113239.36069099886
2018-08-27,113078.81218502761
2018-08-28,113315.40778355653
2018-08-29,113906.06678954426
2018-08-30,114143.99909458049
2018-08-31,114027.79868414544
2018-09-01,114027.79868414544
2018-09-02,114027.79868414544
2018-09-03,114308.38000871282
2018-09-04,113978.03249476089
2018-09-05,114000.2457068044
2018-09-06,114211.9542494738
2018-09-07,114511.7225912278
2018-09-08,114511.7225912278
2018-09-09,114511.7225912278
2018-09-10,114021.0276140932
2018-09-11,113552.98516583501
2018-09-12,113608.12182961692
2018-09-13,113608.12182961692
2018-09-14,113928.44364475842
2018-09-15,113928.44364475842
2018-09-16,113928.44364475842
2018-09-17,113803.70727266934
2018-09-18,114055.88591984454
2018-09-19,114009.0710750715
2018-09-20,114009.0710750715
2018-09-21,113784.5114368511
2018-09-22,113784.5114368511
2018-09-23,113784.5114368511
2018-09-24,113301.93110801943
2018-09-25,114187.36056206698
2018-09-26,113625.84904450891
2018-09-27,113086.13796246627
2018-09-28,113094.14883003442
2018-09-29,113094.14883003442
2018-09-30,113094.14883003442
2018-10-01,113472.26143931752
2018-10-02,113472.26143931752
2018-10-03,112237.77890833729
2018-10-04,111104.58780966727
2018-10-05,110712.20401725179
2018-10-06,110712.20401725179
2018-10-07,110712.20401725179
2018-10-08,110147.1955480985
2018-10-09,110492.08617162549
2018-10-10,111158.67634126829
2018-10-11,110998.63614909879
2018-10-12,111090.4011515578
2018-10-13,111090.4011515578
2018-10-14,111090.4011515578
2018-10-15,111622.5625866998
2018-10-16,111818.73509083278
2018-10-17,111251.76158038326
2018-10-18,111251.76158038326
2018-10-19,111649.94674664017
2018-10-20,111649.94674664017
2018-10-21,111649.94674664017
2018-10-22,111806.62702799197
2018-10-23,111550.1054803968
2018-10-24,112291.35323164066
2018-10-25,112100.63231396917
2018-10-26,112093.58117847689
2018-10-27,112093.58117847689
2018-10-28,112093.58117847689
2018-10-29,111983.62521436856
2018-10-30,111803.55683817508
2018-10-31,112492.06659415732
2018-11-01,113138.73971719934
2018-11-02,112749.19182953349
2018-11-03,112749.19182953349
2018-11-04,112749.19182953349
2018-11-05,112727.77462770783
2018-11-06,112316.73080175678
2018-11-07,112147.75050226541
2018-11-08,112147.75050226541
2018-11-09,111899.69654199835
2018-11-10,111899.69654199835
2018-11-11,111899.69654199835
2018-11-12,112383.85783492328
2018-11-13,112221.38980872894
2018-11-14,112087.72515435427
2018-11-15,111868.22796187284
2018-11-16,111985.36887676294
2018-11-17,111985.36887676294
2018-11-18,111985.36887676294
2018-11-19,112003.00593379623
2018-11-20,111567.12817231455
2018-11-21,111522.61332308114
2018-11-22,111591.59676922591
2018-11-23,111591.59676922591
2018-11-24,111591.59676922591
2018-11-25,111591.59676922591
2018-11-26,111339.23114394263
2018-11-27,111394.69690527733
2018-11-28,111464.90962282654
2018-11-29,111520.12417089709
2018-11-30,111967.20616325655
2018-12-01,111967.20616325655
2018-12-02,111967.20616325655
2018-12-03,111725.80950232247
2018-12-04,111857.12697296772
2018-12-05,111952.32488015563
2018-12-06,111674.79363744841
2018-12-07,111830.46506821128
2018-12-08,111830.46506821128
2018-12-09,111830.46506821128
2018-12-10,111701.94674522674
2018-12-11,111642.83467731884
2018-12-12,112130.46294368873
2018-12-13,112084.37216431284
2018-12-14,112449.12719400099
2018-12-15,112449.12719400099
2018-12-16,112449.12719400099
2018-12-17,112436.84735897255
2018-12-18,112319.7857692326
2018-12-19,112929.0746818865
2018-12-20,112604.30663418144
2018-12-21,112481.7156725502
2018-12-22,112481.7156725502
2018-12-23,112481.7156725502
2018-12-24,112247.51677385584
2018-12-25,112247.51677385584
2018-12-26,112190.60959998422
2018-12-27,112265.0116339095
2018-12-28,112596.95859877815
2018-12-29,112596.95859877815
2018-12-30,112596.95859877815
2018-12-31,112760.06097135799
2019-01-01,112784.09537951693
2019-01-02,113646.3441435103
2019-01-03,114413.47271396051
2019-01-04,114309.36271307574
2019-01-05,114309.36271307574
2019-01-06,114309.36271307574
2019-01-07,114529.57182025658
2019-01-08,113742.0347535828
2019-01-09,114033.05279032822
2019-01-10,114111.29368758383
2019-01-11,114566.73136446171
2019-01-12,114566.73136446171
2019-01-13,114566.73136446171
2019-01-14,113561.43005710053
2019-01-15,112869.28328397647
2019-01-16,113771.73001657976
2019-01-17,113855.94459292365
2019-01-18,113979.76330489364
2019-01-19,113979.76330489364
2019-01-20,113979.76330489364
2019-01-21,113803.87560204494
2019-01-22,112530.7230402458
2019-01-23,113337.73787862711
2019-01-24,112426.71699008755
2019-01-25,111981.91143303718
2019-01-26,111981.91143303718
2019-01-27,111981.91143303718
2019-01-28,111559.21111905365
2019-01-29,110800.99021318069
2019-01-30,112334.945977783
2019-01-31,114843.14437593453
2019-02-01,115552.89549500761
2019-02-02,115552.89549500761
2019-02-03,115552.89549500761
2019-02-04,119274.64401714937
2019-02-05,121765.36255095372
2019-02-06,121363.13601632137
2019-02-07,122037.09063717478
2019-02-08,120204.33589854307
2019-02-09,120204.33589854307
2019-02-10,120204.33589854307
2019-02-11,119524.72016396718
2019-02-12,119178.45712014847
2019-02-13,119178.45712014847
2019-02-14,118660.37874309928
2019-02-15,117914.78965796297
2019-02-16,117914.78965796297
2019-02-17,117914.78965796297
2019-02-18,117420.55001419024
2019-02-19,117855.7303964591
2019-02-20,118445.50998992326
2019-02-21,117280.76416138963
2019-02-22,117304.47552714706
2019-02-23,117304.47552714706
2019-02-24,117304.47552714706
2019-02-25,117822.95318080236
2019-02-26,117229.03858500045
2019-02-27,116820.00341831417
2019-02-28,117065.61038150071
2019-03-01,116522.93641846311
2019-03-02,116522.93641846311
2019-03-03,116522.93641846311
2019-03-04,116522.93641846311
2019-03-05,115964.41066580515
2019-03-06,115421.47694459063
2019-03-07,115863.71344655138
2019-03-08,115537.51459286417
2019-03-09,115537.51459286417
2019-03-10,115537.51459286417
2019-03-11,115900.6667308175
2019-03-12,117160.2761690116
2019-03-13,116285.37584691921
2019-03-14,116788.95730289105
2019-03-15,117333.26653720513
2019-03-16,117333.26653720513
2019-03-17,117333.26653720513
2019-03-18,117502.15802422582
2019-03-19,117900.90407640848
2019-03-20,117851.71491007571
2019-03-21,117851.71491007571
2019-03-22,116903.2963412115
2019-03-23,116903.2963412115
2019-03-24,116903.2963412115
2019-03-25,116202.15666370116
2019-03-26,115833.97171370116
2019-03-27,116176.9455246469
2019-03-28,116429.20760891409
2019-03-29,116429.20760891409
2019-03-30,116429.20760891409
2019-03-31,116429.20760891409
2019-04-01,116874.40857516202
2019-04-02,116954.06483649106
2019-04-03,117099.61105819815
2019-04-04,117346.06153710926
2019-04-05,116943.4838052304
2019-04-06,116943.4838052304
2019-04-07,116943.4838052304
2019-04-08,117141.66485677591
2019-04-09,117882.71406622791
2019-04-10,118172.74437756954
2019-04-11,118508.11994629512
2019-04-12,116797.98687787836
2019-04-13,116797.98687787836
2019-04-14,116797.98687787836
2019-04-15,115589.21314152803
2019-04-16,115313.89328140736
2019-04-17,115313.89328140736
2019-04-18,117178.46022507451
2019-04-19,117178.46022507451
2019-04-20,117178.46022507451
2019-04-21,117178.46022507451
2019-04-22,118615.56813728985
2019-04-23,118335.34517898454
2019-04-24,117480.57690390288
2019-04-25,118296.09412458447
2019-04-26,119085.42866018698
2019-04-27,119085.42866018698
2019-04-28,119085.42866018698
2019-04-29,119085.42866018698
2019-04-30,119064.2425603862
2019-05-01,119064.2425603862
2019-05-02,119022.04539425945
2019-05-03,119514.70906062197
2019-05-04,119514.70906062197
2019-05-05,119514.70906062197
2019-05-06,118966.384552683
2019-05-07,118534.44321355894
2019-05-08,118000.23590903077
2019-05-09,117986.37966537513
2019-05-10,116148.38924552171
2019-05-11,116148.38924552171
2019-05-12,116148.38924552171
2019-05-13,116198.09355320611
2019-05-14,116552.66089014274
2019-05-15,116604.40794485965
2019-05-16,117041.07083914685
2019-05-17,117341.18854686392
2019-05-18,117341.18854686392
2019-05-19,117341.18854686392
2019-05-20,117544.87989980073
2019-05-21,116403.200394101
2019-05-22,114962.87948676731
2019-05-23,115022.90689352422
2019-05-24,118545.79173807258
2019-05-25,118545.79173807258
2019-05-26,118545.79173807258
2019-05-27,119728.60276600311
2019-05-28,120234.88753855207
2019-05-29,121035.73671655379
2019-05-30,120545.91051505622
2019-05-31,121243.4009214783
2019-06-01,121243.4009214783
2019-06-02,121243.4009214783
2019-06-03,120885.97840537252
2019-06-04,121837.4158831955
2019-06-05,121837.4158831955
2019-06-06,123422.60217271472
2019-06-07,122953.554500141
2019-06-08,122953.554500141
2019-06-09,122953.554500141
2019-06-10,124088.68082679814
2019-06-11,123336.50020339353
2019-06-12,122811.52125000313
2019-06-13,123304.43214500564
2019-06-14,123510.0749120146
2019-06-15,123510.0749120146
2019-06-16,123510.0749120146
2019-06-17,124892.2513214442
2019-06-18,126129.74107500179
2019-06-19,126573.917466754
2019-06-20,124424.50589156582
2019-06-21,123512.48099773846
2019-06-22,123512.48099773846
2019-06-23,123512.48099773846
2019-06-24,123496.46643374025
2019-06-25,123258.07532361802
2019-06-26,123057.45036730201
2019-06-27,124269.67504423553
2019-06-28,124630.96857533748
2019-06-29,124630.96857533748
2019-06-30,124630.96857533748
2019-07-01,124762.8007645843
2019-07-02,125109.09733944036
2019-07-03,124510.37619042976
2019-07-04,124713.33641723223
2019-07-05,124722.23721666075
2019-07-06,124722.23721666075
2019-07-07,124722.23721666075
2019-07-08,124216.68631059045
2019-07-09,123993.30899928554
2019-07-10,124716.44466002991
2019-07-11,124319.68326150783
2019-07-12,124581.92583480975
2019-07-13,124581.92583480975
2019-07-14,124581.92583480975
2019-07-15,124604.40737961032
2019-07-16,125387.33275980952
2019-07-17,125427.42931028458
2019-07-18,124964.27976857552
2019-07-19,123813.16228178928
2019-07-20,123813.16228178928
2019-07-21,123813.16228178928
2019-07-22,123554.01048314164
2019-07-23,123133.18794587477
2019-07-24,122866.42198352827
2019-07-25,123471.82058766748
2019-07-26,123706.76749887092
2019-07-27,123706.76749887092
2019-07-28,123706.76749887092
2019-07-29,123752.03159119557
2019-07-30,122294.44833140657
2019-07-31,122454.5200546311
2019-08-01,121839.47493788839
2019-08-02,122155.46823003211
2019-08-03,122155.46823003211
2019-08-04,122155.46823003211
2019-08-05,122476.96548764451
2019-08-06,123062.13199110972
2019-08-07,122375.74805924098
2019-08-08,123031.12364318348
2019-08-09,122671.99982562312
2019-08-10,122671.99982562312
2019-08-11,122671.99982562312
2019-08-12,122671.99982562312
2019-08-13,123339.66997734518
2019-08-14,123588.64738755266
2019-08-15,123588.64738755266
2019-08-16,123742.11050161655
2019-08-17,123742.11050161655
2019-08-18,123742.11050161655
2019-08-19,123540.68103020465
2019-08-20,123990.91675836685
2019-08-21,123966.4336058798
2019-08-22,123498.24304407768
2019-08-23,123954.98331575216
2019-08-24,123954.98331575216
2019-08-25,123954.98331575216
2019-08-26,124695.45591837479
2019-08-27,125607.02779090652
2019-08-28,124906.84099372625
2019-08-29,124833.62190545198
2019-08-30,125719.71450618748
2019-08-31,125719.71450618748
2019-09-01,125719.71450618748
2019-09-02,125719.71450618748
2019-09-03,125477.07716024814
2019-09-04,125521.04700085605
2019-09-05,125431.01265796494
2019-09-06,125746.2963169629
2019-09-07,125746.2963169629
2019-09-08,125746.2963169629
2019-09-09,125354.58075973729
2019-09-10,125354.58075973729
2019-09-11,125482.70217380273
2019-09-12,125454.95926722052
2019-09-13,125426.0690761067
2019-09-14,125426.0690761067
2019-09-15,125426.0690761067
2019-09-16,126473.2528284977
2019-09-17,125529.45699303273
2019-09-18,125293.70086155357
2019-09-19,125316.4387382368
2019-09-20,127610.78083883756
2019-09-21,127610.78083883756
2019-09-22,127610.78083883756
2019-09-23,127852.06671160953
2019-09-24,128188.67514302394
2019-09-25,127669.00926847864
2019-09-26,127982.78808684203
2019-09-27,127140.8400784588
2019-09-28,127140.8400784588
2019-09-29,127140.8400784588
2019-09-30,126270.95797231076
2019-10-01,125422.24901702517
2019-10-02,125422.24901702517
2019-10-03,125096.529891334
2019-10-04,125390.55369070913
2019-10-05,125390.55369070913
2019-10-06,125390.55369070913
2019-10-07,125687.74135404162
2019-10-08,125687.74135404162
2019-10-09,126545.93784220345
2019-10-10,126682.63774168205
2019-10-11,126789.01258134005
2019-10-12,126789.01258134005
2019-10-13,126789.01258134005
2019-10-14,126986.53541025442
2019-10-15,126993.02000472596
2019-10-16,127252.21215849135
2019-10-17,127448.88630047144
2019-10-18,127734.22001252291
2019-10-19,127734.22001252291
2019-10-20,127734.22001252291
2019-10-21,127734.22001252291
2019-10-22,127702.51299298194
