Date,Capital
2014-01-07,300039.63898763765
2014-01-08,299852.6930842118
2014-01-09,297064.36218828656
2014-01-10,293979.9101888101
2014-01-11,293979.9101888101
2014-01-12,293979.9101888101
2014-01-13,296894.07740297343
2014-01-14,297743.8575248071
2014-01-15,296159.34404486406
2014-01-16,292998.73633953417
2014-01-17,283161.1244979426
2014-01-18,283161.1244979427
2014-01-19,283161.1244979427
2014-01-20,289336.48663823266
2014-01-21,291689.85731421364
2014-01-22,292865.0464373628
2014-01-23,293667.37848844926
2014-01-24,286647.71196699276
2014-01-25,286647.71196699276
2014-01-26,286647.71196699276
2014-01-27,280616.1554718793
2014-01-28,280468.80324520473
2014-01-29,279844.42681134614
2014-01-30,276553.9888581404
2014-01-31,281791.48609047773
2014-02-01,281791.48609047773
2014-02-02,281791.48609047773
2014-02-03,280409.236583828
2014-02-04,281609.23198356363
2014-02-05,284281.6884372947
2014-02-06,283696.4726272669
2014-02-07,286353.7794221955
2014-02-08,286353.7794221955
2014-02-09,286353.7794221955
2014-02-10,282877.5640048501
2014-02-11,280353.62752867874
2014-02-12,280435.04011987924
2014-02-13,277233.50868079456
2014-02-14,276816.858736892
2014-02-15,276816.85873689194
2014-02-16,276816.85873689194
2014-02-17,276835.89508957294
2014-02-18,279348.01661932055
2014-02-19,281475.7020400151
2014-02-20,280546.58535432856
2014-02-21,284065.4500249033
2014-02-22,284065.4500249033
2014-02-23,284065.4500249033
2014-02-24,285406.73668636073
2014-02-25,287731.71142282395
2014-02-26,289021.10578525206
2014-02-27,289021.10578525206
2014-02-28,293689.28439127764
2014-03-01,293689.28439127764
2014-03-02,293689.28439127764
2014-03-03,295495.0171736698
2014-03-04,300138.2838817145
2014-03-05,299104.17085502343
2014-03-06,296286.5284731405
2014-03-07,289561.5262274677
2014-03-08,289561.5262274677
2014-03-09,289561.5262274677
2014-03-10,296475.2333641425
2014-03-11,293711.91349064757
2014-03-12,294639.27541847405
2014-03-13,288741.63652712636
2014-03-14,292270.4141229444
2014-03-15,292270.41412294435
2014-03-16,292270.41412294435
2014-03-17,292270.41412294435
2014-03-18,293985.60651561094
2014-03-19,294914.709225787
2014-03-20,294149.4164488219
2014-03-21,293471.7801527588
2014-03-22,293471.7801527588
2014-03-23,293471.7801527588
2014-03-24,294978.68062932265
2014-03-25,296766.9330105589
2014-03-26,298297.7261272975
2014-03-27,300580.5359886957
2014-03-28,305657.4878818621
2014-03-29,305657.48788186215
2014-03-30,305657.48788186215
2014-03-31,310773.0752302656
2014-04-01,309098.3839504196
2014-04-02,313069.8711536509
2014-04-03,312929.5683517511
2014-04-04,316022.8474271652
2014-04-05,316022.84742716514
2014-04-06,316022.84742716514
2014-04-07,316326.1258629038
2014-04-08,316326.1258629038
2014-04-09,323036.3664579808
2014-04-10,328177.6574791009
2014-04-11,331057.05639071285
2014-04-12,331057.0563907128
2014-04-13,331057.0563907128
2014-04-14,331057.0563907128
2014-04-15,323151.6915104335
2014-04-16,316050.9877456708
2014-04-17,321743.97376793326
2014-04-18,321743.97376793326
2014-04-19,321743.97376793326
2014-04-20,321743.97376793326
2014-04-21,328074.0437585322
2014-04-22,327369.7727947053
2014-04-23,328032.6035478296
2014-04-24,328032.60354782955
2014-04-25,325416.62705086236
2014-04-26,325416.62705086236
2014-04-27,325416.62705086236
2014-04-28,324304.31539877225
2014-04-29,322664.8435014945
2014-04-30,313088.26950561436
2014-05-01,313088.2695056143
2014-05-02,313961.57260145247
2014-05-03,313961.57260145247
2014-05-04,313961.57260145247
2014-05-05,310052.3169783746
2014-05-06,314669.98290771345
2014-05-07,310282.9441066945
2014-05-08,312084.6071804287
2014-05-09,317138.90133254445
2014-05-10,317138.9013325444
2014-05-11,317138.9013325444
2014-05-12,322398.1249053481
2014-05-13,328091.4531856982
2014-05-14,330189.38549944805
2014-05-15,326595.66916019487
2014-05-16,341681.4065375698
2014-05-17,341681.4065375698
2014-05-18,341681.4065375698
2014-05-19,377259.6048445189
2014-05-20,390285.7327278904
2014-05-21,388606.2007812028
2014-05-22,400682.11560818704
2014-05-23,408812.74272855365
2014-05-24,408812.7427285537
2014-05-25,408812.7427285537
2014-05-26,393300.9063219736
2014-05-27,392450.36264153686
2014-05-28,398603.53414094844
2014-05-29,393794.9065621554
2014-05-30,395590.24063184723
2014-05-31,395590.2406318472
2014-06-01,395590.2406318472
2014-06-02,399541.35518382816
2014-06-03,402614.2534802799
2014-06-04,412695.77499965514
2014-06-05,424317.0588434848
2014-06-06,430326.3814834064
2014-06-07,430326.38148340647
2014-06-08,430326.38148340647
2014-06-09,441119.0968964179
2014-06-10,437080.9287818257
2014-06-11,425901.94636715436
2014-06-12,426753.9525545931
2014-06-13,405564.0582203327
2014-06-14,405564.0582203327
2014-06-15,405564.0582203327
2014-06-16,407836.4370899951
2014-06-17,417780.91203393554
2014-06-18,410965.9217195227
2014-06-19,410301.3241239728
2014-06-20,402232.18184128194
2014-06-21,402232.18184128194
2014-06-22,402232.18184128194
2014-06-23,403979.5652993014
2014-06-24,411262.2317474757
2014-06-25,410107.8009265692
2014-06-26,407759.61470989475
2014-06-27,405152.15886245965
2014-06-28,405152.1588624596
2014-06-29,405152.1588624596
2014-06-30,412358.0421566491
2014-07-01,415636.92346596235
2014-07-02,419885.6180568838
2014-07-03,417393.2539469154
2014-07-04,419451.79072425474
2014-07-05,419451.7907242547
2014-07-06,419451.7907242547
2014-07-07,429264.3420601412
2014-07-08,407628.82186897815
2014-07-09,394596.7337710987
2014-07-10,392915.36193240975
2014-07-11,378211.67814411165
2014-07-12,378211.67814411165
2014-07-13,378211.67814411165
2014-07-14,378716.9519630401
2014-07-15,386011.6064838684
2014-07-16,395527.08618848573
2014-07-17,404247.1234754296
2014-07-18,403294.3054953592
2014-07-19,403294.30549535924
2014-07-20,403294.30549535924
2014-07-21,407783.5586925189
2014-07-22,401886.7686107475
2014-07-23,400708.1262218842
2014-07-24,405985.26978110435
2014-07-25,393028.5408814261
2014-07-26,393028.5408814261
2014-07-27,393028.5408814261
2014-07-28,387637.7100119562
2014-07-29,387637.7100119563
2014-07-30,385024.4171483594
2014-07-31,384394.8840648357
2014-08-01,379778.28353542095
2014-08-02,379778.283535421
2014-08-03,379778.283535421
2014-08-04,384198.8387494474
2014-08-05,389201.4514253241
2014-08-06,386393.54241703113
2014-08-07,383640.66912690393
2014-08-08,372193.4233044578
2014-08-09,372193.42330445786
2014-08-10,372193.42330445786
2014-08-11,376993.47389985446
2014-08-12,379268.4753463245
2014-08-13,368949.1917035682
2014-08-14,376126.8753689497
2014-08-15,376126.87536894967
2014-08-16,376126.87536894967
2014-08-17,376126.87536894967
2014-08-18,388123.8222074972
2014-08-19,389111.08923415607
2014-08-20,392102.0209349598
2014-08-21,394085.1983422127
2014-08-22,391971.6213455542
2014-08-23,391971.62134555425
2014-08-24,391971.62134555425
2014-08-25,389404.09895189834
2014-08-26,388976.5597107306
2014-08-27,391109.0019930553
2014-08-28,390138.7746456733
2014-08-29,390138.7746456733
2014-08-30,390138.7746456733
2014-08-31,390138.7746456733
2014-09-01,392605.48703082424
2014-09-02,394965.550650745
2014-09-03,398280.08194004593
2014-09-04,398524.0452835692
2014-09-05,402894.4585019322
2014-09-06,402894.45850193227
2014-09-07,402894.45850193227
2014-09-08,417061.0271359156
2014-09-09,418806.3285292974
2014-09-10,421760.7117056525
2014-09-11,428908.0045404512
2014-09-12,430316.32619098725
2014-09-13,430316.32619098725
2014-09-14,430316.32619098725
2014-09-15,442293.4699387348
2014-09-16,421827.4469320832
2014-09-17,433829.98224212293
2014-09-18,451460.5173830299
2014-09-19,450336.06506768434
2014-09-20,450336.0650676842
2014-09-21,450336.0650676842
2014-09-22,455653.7187011978
2014-09-23,437704.99197411665
2014-09-24,430492.1138634263
2014-09-25,411213.72423005995
2014-09-26,418268.4496806271
2014-09-27,418268.4496806271
2014-09-28,418268.4496806271
2014-09-29,423403.42362163484
2014-09-30,423007.05052765145
2014-10-01,420845.6311915794
2014-10-02,420845.6311915794
2014-10-03,420845.6311915794
2014-10-04,420845.6311915794
2014-10-05,420845.6311915794
2014-10-06,420845.6311915794
2014-10-07,419832.322660007
2014-10-08,415995.46119815717
2014-10-09,421181.8515364621
2014-10-10,416343.73664645356
2014-10-11,416343.73664645356
2014-10-12,416343.73664645356
2014-10-13,420156.33826086944
2014-10-14,419663.2772476265
2014-10-15,419663.2772476265
2014-10-16,401456.3123970421
2014-10-17,404287.60284513223
2014-10-18,404287.60284513223
2014-10-19,404287.60284513223
2014-10-20,406734.5213577645
2014-10-21,407792.62651766394
2014-10-22,412535.6711885478
2014-10-23,412535.67118854786
2014-10-24,412535.67118854786
2014-10-25,412535.67118854786
2014-10-26,412535.67118854786
2014-10-27,412171.50620188774
2014-10-28,410950.60071368015
2014-10-29,413964.86436269374
2014-10-30,415504.429436493
2014-10-31,424140.83925537555
2014-11-01,424140.83925537555
2014-11-02,424140.83925537555
2014-11-03,430037.8135168106
2014-11-04,430037.8135168106
2014-11-05,425575.4175971155
2014-11-06,425575.4175971155
2014-11-07,417330.19656276423
2014-11-08,417330.19656276423
2014-11-09,417330.19656276423
2014-11-10,416358.3205047314
2014-11-11,420319.6408359798
2014-11-12,414964.5949689036
2014-11-13,409868.0377147434
2014-11-14,412493.31269015034
2014-11-15,412493.3126901504
2014-11-16,412493.3126901504
2014-11-17,415726.56560227793
2014-11-18,418081.2921488813
2014-11-19,410465.36828906107
2014-11-20,408916.5361055342
2014-11-21,401912.3047683204
2014-11-22,401912.3047683204
2014-11-23,401912.3047683204
2014-11-24,408742.0168007827
2014-11-25,399293.02689270943
2014-11-26,403028.0559286105
2014-11-27,406381.7813284793
2014-11-28,407809.81780224765
2014-11-29,407809.8178022476
2014-11-30,407809.8178022476
2014-12-01,399590.30796267506
2014-12-02,408742.43740684836
2014-12-03,413647.4393958567
2014-12-04,417838.17839289986
2014-12-05,419835.079636667
2014-12-06,419835.079636667
2014-12-07,419835.079636667
2014-12-08,416341.5045954188
2014-12-09,407464.45312876976
2014-12-10,415401.09020718694
2014-12-11,408913.7932313493
2014-12-12,395318.68275185884
2014-12-13,395318.6827518589
2014-12-14,395318.6827518589
2014-12-15,393806.58083438285
2014-12-16,377359.22544006753
2014-12-17,369379.00878495106
2014-12-18,390318.9441374213
2014-12-19,388269.8037790821
2014-12-20,388269.8037790821
2014-12-21,388269.8037790821
2014-12-22,392705.7667911954
2014-12-23,387053.38236050727
2014-12-24,388653.0753988966
2014-12-25,388653.0753988966
2014-12-26,388950.59085346974
2014-12-27,388950.59085346974
2014-12-28,388950.59085346974
2014-12-29,390842.39699224324
2014-12-30,390413.9171607692
2014-12-31,392219.09905352624
2015-01-01,397988.1923182733
2015-01-02,400536.563469729
2015-01-03,400536.56346972886
2015-01-04,400536.56346972886
2015-01-05,399427.5981972766
2015-01-06,382912.86465060344
2015-01-07,384892.72989584605
2015-01-08,390975.7999250471
2015-01-09,392997.1078396369
2015-01-10,392997.10783963685
2015-01-11,392997.10783963685
2015-01-12,391755.9069247201
2015-01-13,391912.275324436
2015-01-14,390543.22674463014
2015-01-15,391694.01613960427
2015-01-16,393289.82852682594
2015-01-17,393289.828526826
2015-01-18,393289.828526826
2015-01-19,393174.27255736047
2015-01-20,390914.72152431804
2015-01-21,388669.0240802611
2015-01-22,390241.34207500843
2015-01-23,393621.63848201616
2015-01-24,393621.63848201616
2015-01-25,393621.63848201616
2015-01-26,393621.63848201616
2015-01-27,397725.4696710299
2015-01-28,403136.46648378356
2015-01-29,404472.41736614925
2015-01-30,402758.7674436687
2015-01-31,402758.7674436687
2015-02-01,402758.7674436687
2015-02-02,409218.0745050617
2015-02-03,406193.99024871615
2015-02-04,405075.9145860468
2015-02-05,395916.2936154481
2015-02-06,393922.3141691356
2015-02-07,393922.3141691356
2015-02-08,393922.3141691356
2015-02-09,385491.70211546787
2015-02-10,390557.8017141771
2015-02-11,395777.01018799556
2015-02-12,406720.06702393264
2015-02-13,405093.59348339273
2015-02-14,405093.5934833928
2015-02-15,405093.5934833928
2015-02-16,409511.0494621915
2015-02-17,409511.0494621915
2015-02-18,414309.9460686167
2015-02-19,413351.2185030655
2015-02-20,411586.3457225708
2015-02-21,411586.34572257084
2015-02-22,411586.34572257084
2015-02-23,413672.16332254827
2015-02-24,416059.43981939385
2015-02-25,415621.4670785008
2015-02-26,412093.00120413816
2015-02-27,429075.11062689906
2015-02-28,429075.11062689906
2015-03-01,429075.11062689906
2015-03-02,435607.00540202326
2015-03-03,447838.1099454064
2015-03-04,440659.1558173979
2015-03-05,449790.92035896657
2015-03-06,449790.92035896657
2015-03-07,449790.92035896657
2015-03-08,449790.92035896657
2015-03-09,442095.709276509
2015-03-10,438595.8788490724
2015-03-11,436893.97608954157
2015-03-12,443465.3016065212
2015-03-13,432473.7602220353
2015-03-14,432473.76022203534
2015-03-15,432473.76022203534
2015-03-16,427818.26726005104
2015-03-17,431677.4320203555
2015-03-18,433358.2032823614
2015-03-19,425668.5481176386
2015-03-20,409744.94159877533
2015-03-21,409744.9415987753
2015-03-22,409744.9415987753
2015-03-23,406264.1266576869
2015-03-24,406149.02482800535
2015-03-25,402502.41406159644
2015-03-26,395512.34109766386
2015-03-27,394137.2350350769
2015-03-28,394137.23503507697
2015-03-29,394137.23503507697
2015-03-30,404809.9150168993
2015-03-31,404866.62968167366
2015-04-01,416067.9359611902
2015-04-02,416067.93596119026
2015-04-03,416067.93596119026
2015-04-04,416067.93596119026
2015-04-05,416067.93596119026
2015-04-06,422111.5738597882
2015-04-07,425221.685005903
2015-04-08,431577.2278938688
2015-04-09,428908.70182214386
2015-04-10,434476.57066084933
2015-04-11,434476.57066084933
2015-04-12,434476.57066084933
2015-04-13,437355.33759152994
2015-04-14,437355.3375915299
2015-04-15,434498.212775101
2015-04-16,432574.711433682
2015-04-17,420239.0078153181
2015-04-18,420239.0078153181
2015-04-19,420239.0078153181
2015-04-20,405222.31440721225
