Date,Capital
2020-01-01,49978.995613121355
2020-01-02,49905.835923157014
2020-01-03,49145.16622832696
2020-01-04,49145.16622832696
2020-01-05,49145.16622832696
2020-01-06,47949.20765585577
2020-01-07,48311.27368256026
2020-01-08,48480.632589503606
2020-01-09,49459.72792292687
2020-01-10,50339.464564727685
2020-01-11,50339.464564727685
2020-01-12,50339.464564727685
2020-01-13,50965.02472879819
2020-01-14,51129.66197302916
2020-01-15,52375.04130256278
2020-01-16,52948.7238968527
2020-01-17,52882.23606297617
2020-01-18,52882.23606297617
2020-01-19,52882.23606297617
2020-01-20,52259.285502859006
2020-01-21,52100.58339195754
2020-01-22,52247.07040325263
2020-01-23,52938.59859595275
2020-01-24,52877.98821866286
2020-01-25,52877.98821866286
2020-01-26,52877.98821866286
2020-01-27,52855.22387580657
2020-01-28,53599.69826075303
2020-01-29,53382.704617900454
2020-01-30,53457.77832446807
2020-01-31,52722.00680100786
2020-02-01,52722.00680100786
2020-02-02,52722.00680100786
2020-02-03,51842.49457295021
2020-02-04,52890.444850741136
2020-02-05,53953.93685570554
2020-02-06,54314.84730640866
2020-02-07,55197.453626669434
2020-02-08,55197.453626669434
2020-02-09,55197.453626669434
2020-02-10,55365.5541064994
2020-02-11,55313.47549483184
2020-02-12,55862.037506475084
2020-02-13,55768.861467316434
2020-02-14,54789.72248586969
2020-02-15,54789.72248586969
2020-02-16,54789.72248586969
2020-02-17,53695.94727737885
2020-02-18,53930.07573823725
2020-02-19,54420.20738743659
2020-02-20,54249.961002509124
2020-02-21,54249.961002509124
2020-02-22,54249.961002509124
2020-02-23,54249.961002509124
2020-02-24,53123.444853862646
2020-02-25,52569.950594919246
2020-02-26,51853.00548845126
2020-02-27,51269.00759796756
2020-02-28,49124.534651880254
2020-02-29,49124.534651880254
2020-03-01,49124.534651880254
2020-03-02,48733.600823996814
2020-03-03,50217.221835559205
2020-03-04,49006.34226340634
2020-03-05,48964.46521155252
2020-03-06,48161.151996596076
2020-03-07,48161.151996596076
2020-03-08,48161.151996596076
2020-03-09,46241.30965187015
2020-03-10,46241.30965187015
2020-03-11,46320.706019367266
2020-03-12,42286.17372573535
2020-03-13,43138.67037360935
2020-03-14,43138.67037360935
2020-03-15,43138.67037360935
2020-03-16,40438.45324164327
2020-03-17,39322.899014045426
2020-03-18,36969.77482154639
2020-03-19,35686.043454325234
2020-03-20,37465.82421835509
2020-03-21,37465.82421835509
2020-03-22,37465.82421835509
2020-03-23,32711.632085844063
2020-03-24,33727.90803904545
2020-03-25,34798.918763430105
2020-03-26,35738.460223913215
2020-03-27,35362.82661961329
2020-03-28,35362.82661961329
2020-03-29,35362.82661961329
2020-03-30,35089.259264975626
2020-03-31,35827.190357563384
2020-04-01,35478.26348072092
2020-04-02,35478.26348072092
2020-04-03,35426.12639073899
2020-04-04,35426.12639073899
2020-04-05,35426.12639073899
2020-04-06,35426.12639073899
2020-04-07,37516.119779832385
2020-04-08,38894.72146688166
2020-04-09,40975.35264851437
2020-04-10,40975.35264851437
2020-04-11,40975.35264851437
2020-04-12,40975.35264851437
2020-04-13,41268.88445194227
2020-04-14,41268.88445194227
2020-04-15,41910.920917026844
2020-04-16,42867.387870524406
2020-04-17,43840.21498534944
2020-04-18,43840.21498534944
2020-04-19,43840.21498534944
2020-04-20,44160.54587174181
2020-04-21,43061.58660084231
2020-04-22,43227.63295661335
2020-04-23,43427.323039904164
2020-04-24,42502.9799920359
2020-04-25,42502.9799920359
2020-04-26,42502.9799920359
2020-04-27,43586.15902168871
2020-04-28,43827.930816201624
2020-04-29,44185.28199640236
2020-04-30,44376.66052743696
2020-05-01,44376.66052743696
2020-05-02,44376.66052743696
2020-05-03,44376.66052743696
2020-05-04,43336.219768942785
2020-05-05,42404.27783495807
2020-05-06,42212.594673916654
2020-05-07,42472.27743856725
2020-05-08,42367.347539582566
2020-05-09,42367.347539582566
2020-05-10,42367.347539582566
2020-05-11,42568.384087504455
2020-05-12,42080.48386977641
2020-05-13,42510.445855506885
2020-05-14,42305.76271392799
2020-05-15,41999.55419667923
2020-05-16,41999.55419667923
2020-05-17,41999.55419667923
2020-05-18,40994.51384813735
2020-05-19,41028.03332482392
2020-05-20,42145.72893310301
2020-05-21,42226.055555648396
2020-05-22,41717.09645484727
2020-05-23,41717.09645484727
2020-05-24,41717.09645484727
2020-05-25,41717.09645484727
2020-05-26,41732.53524427373
2020-05-27,41291.97687629529
2020-05-28,41619.64695969741
2020-05-29,42201.34998895054
2020-05-30,42201.34998895054
2020-05-31,42201.34998895054
2020-06-01,43590.24885626946
2020-06-02,44032.25350441125
2020-06-03,44163.12047359908
2020-06-04,44671.795245458896
2020-06-05,45276.825766369904
2020-06-06,45276.825766369904
2020-06-07,45276.825766369904
2020-06-08,45998.89027628149
2020-06-09,47047.37938024376
2020-06-10,49019.56459560314
2020-06-11,48285.09898022997
2020-06-12,48810.98711966832
2020-06-13,48810.98711966832
2020-06-14,48810.98711966832
2020-06-15,48988.811255537694
2020-06-16,49079.907657378564
2020-06-17,49522.78440316732
2020-06-18,48997.15149174265
2020-06-19,49225.33635913889
2020-06-20,49225.33635913889
2020-06-21,49225.33635913889
2020-06-22,49647.446271867906
2020-06-23,50245.27506083434
2020-06-24,49184.11597595708
2020-06-25,50321.5952973375
2020-06-26,50407.92857266009
2020-06-27,50407.92857266009
2020-06-28,50407.92857266009
2020-06-29,49536.17914393818
2020-06-30,49041.95594790004
2020-07-01,49431.26086875486
2020-07-02,49708.66458650773
2020-07-03,49825.35490173741
2020-07-04,49825.35490173741
2020-07-05,49825.35490173741
2020-07-06,51008.75173679422
2020-07-07,51332.01927929075
2020-07-08,50757.90094717919
2020-07-09,51776.09000656072
2020-07-10,52204.28482949403
2020-07-11,52204.28482949403
2020-07-12,52204.28482949403
2020-07-13,51887.04065271583
2020-07-14,51799.94560484261
2020-07-15,51491.106335231954
2020-07-16,51931.82328824914
2020-07-17,52973.54524816317
2020-07-18,52973.54524816317
2020-07-19,52973.54524816317
2020-07-20,53630.97797463607
2020-07-21,53399.74125127931
2020-07-22,53742.584531236345
2020-07-23,53857.38891581225
2020-07-24,52575.167035744234
2020-07-25,52575.167035744234
2020-07-26,52575.167035744234
2020-07-27,51327.71719250215
2020-07-28,51986.58074653882
2020-07-29,52848.52938093424
2020-07-30,53211.23839634102
2020-07-31,53765.63105782262
2020-08-01,53765.63105782262
2020-08-02,53765.63105782262
2020-08-03,54256.44419463168
2020-08-04,54501.09644393927
2020-08-05,54792.8366896297
2020-08-06,55198.43860970448
2020-08-07,54908.72417850209
2020-08-08,54908.72417850209
2020-08-09,54908.72417850209
2020-08-10,55760.90067587685
2020-08-11,55131.0197051723
2020-08-12,55307.1569482362
2020-08-13,56908.49126635987
2020-08-14,56194.122607412035
2020-08-15,56194.122607412035
2020-08-16,56194.122607412035
2020-08-17,56775.83168733265
2020-08-18,58278.46857037347
2020-08-19,58417.427057783134
2020-08-20,58874.65990014649
2020-08-21,58967.93374460582
2020-08-22,58967.93374460582
2020-08-23,58967.93374460582
2020-08-24,58990.79466109132
2020-08-25,58647.56557006309
2020-08-26,59444.52665336455
2020-08-27,59668.02022762267
2020-08-28,59577.46970662173
2020-08-29,59577.46970662173
2020-08-30,59577.46970662173
2020-08-31,56608.25446443828
2020-09-01,57096.23494656506
2020-09-02,58375.13682262311
2020-09-03,59697.01171912384
2020-09-04,59652.270069962746
2020-09-05,59652.270069962746
2020-09-06,59652.270069962746
2020-09-07,59763.006932355755
2020-09-08,59098.04973630389
2020-09-09,58322.979355968266
2020-09-10,58307.82868392993
2020-09-11,58626.48399455909
2020-09-12,58626.48399455909
2020-09-13,58626.48399455909
2020-09-14,60154.99278713437
2020-09-15,60702.89811130651
2020-09-16,61002.02511966588
2020-09-17,60754.62570177613
2020-09-18,60640.78916381486
2020-09-19,60640.78916381486
2020-09-20,60640.78916381486
2020-09-21,58542.210688568244
2020-09-22,57147.48200623129
2020-09-23,56757.001585859834
2020-09-24,55273.395386272365
2020-09-25,57387.98748705716
2020-09-26,57387.98748705716
2020-09-27,57387.98748705716
2020-09-28,59019.22468226595
2020-09-29,58501.91200635372
2020-09-30,58289.09851168907
2020-10-01,59258.41658669083
2020-10-02,59258.41658669083
2020-10-03,59258.41658669083
2020-10-04,59258.41658669083
2020-10-05,60134.460434744484
2020-10-06,61150.644825244104
2020-10-07,60100.91205002067
2020-10-08,60455.58769428193
2020-10-09,60230.26611166612
2020-10-10,60230.26611166612
2020-10-11,60230.26611166612
2020-10-12,60069.0155740332
2020-10-13,59808.19853638869
2020-10-14,59990.99808470136
2020-10-15,58803.605370032354
2020-10-16,59492.81783420208
2020-10-17,59492.81783420208
2020-10-18,59492.81783420208
2020-10-19,59367.94929338587
2020-10-20,59601.879551624035
2020-10-21,60177.76274590209
2020-10-22,59902.52786317805
2020-10-23,61222.50916279986
2020-10-24,61222.50916279986
2020-10-25,61222.50916279986
2020-10-26,60158.9861566993
2020-10-27,60431.42695585126
2020-10-28,59406.72776222219
2020-10-29,58982.964117868054
2020-10-30,59295.23054394771
2020-10-31,59295.23054394771
2020-11-01,59295.23054394771
2020-11-02,58747.191364709106
2020-11-03,59678.6806370782
2020-11-04,60134.26464896645
2020-11-05,61738.51921687121
2020-11-06,61939.72754512471
2020-11-07,61939.72754512471
2020-11-08,61939.72754512471
2020-11-09,62263.89697815079
2020-11-10,61435.04717574015
2020-11-11,61971.71644310516
2020-11-12,62175.310025566025
2020-11-13,61937.582770274756
2020-11-14,62417.87859282706
2020-11-15,62417.87859282706
2020-11-16,62417.87859282706
2020-11-17,63296.26197155643
2020-11-18,64633.231405459235
2020-11-19,64185.35826337349
2020-11-20,65527.99218452726
2020-11-21,65527.99218452726
2020-11-22,65527.99218452726
2020-11-23,66089.65110242426
2020-11-24,66152.13316100102
2020-11-25,64941.352562132546
2020-11-26,65270.85004768689
2020-11-27,67046.66217334438
2020-11-28,67046.66217334438
2020-11-29,67046.66217334438
2020-11-30,67046.66217334438
2020-12-01,66887.3800384532
2020-12-02,67449.43973850866
2020-12-03,68080.54072281878
2020-12-04,68397.05606307457
2020-12-05,68397.05606307457
2020-12-06,68397.05606307457
2020-12-07,69699.78108550455
2020-12-08,69708.73377060742
2020-12-09,69486.38689087446
2020-12-10,68741.04525480034
2020-12-11,68327.45393810255
2020-12-12,68327.45393810255
2020-12-13,68327.45393810255
2020-12-14,68791.84411904056
2020-12-15,69891.79284742319
2020-12-16,70223.25975893767
2020-12-17,69809.42002035663
2020-12-18,69925.45450089028
2020-12-19,69925.45450089028
2020-12-20,69925.45450089028
2020-12-21,66323.12669357375
2020-12-22,68418.00158930435
2020-12-23,70427.2675225081
2020-12-24,70222.02431113677
2020-12-25,70222.02431113677
2020-12-26,70222.02431113677
2020-12-27,70222.02431113677
2020-12-28,70887.37645891469
2020-12-29,70991.17159238449
2020-12-30,71086.80351749175
2020-12-31,71347.85457877963
2021-01-01,72097.8575615033
2021-01-02,72097.8575615033
2021-01-03,72097.8575615033
2021-01-04,73354.43766346909
2021-01-05,73015.59881758393
2021-01-06,73069.78212725076
2021-01-07,74218.88585842273
2021-01-08,75339.2723169371
2021-01-09,75339.2723169371
2021-01-10,75339.2723169371
2021-01-11,75138.9465529645
2021-01-12,75717.07275539218
