Date,Capital
2014-02-03,600973.2576828721
2014-02-04,601476.4189808301
2014-02-05,602060.7061497549
2014-02-06,602359.5999042115
2014-02-07,601590.9869960384
2014-02-08,601590.9869960384
2014-02-09,601590.9869960384
2014-02-10,601239.2801233632
2014-02-11,598946.2830460189
2014-02-12,598973.0577317117
2014-02-13,599276.5992387792
2014-02-14,600561.452933864
2014-02-15,600561.452933864
2014-02-16,600561.452933864
2014-02-17,600319.8108748959
2014-02-18,600928.2018461563
2014-02-19,602858.3739469185
2014-02-20,600721.0753432575
2014-02-21,601353.8146478765
2014-02-22,601353.8146478765
2014-02-23,601353.8146478765
2014-02-24,599680.1344222589
2014-02-25,602729.5983321939
2014-02-26,603753.221500698
2014-02-27,603753.221500698
2014-02-28,604931.6336858268
2014-03-01,604931.6336858268
2014-03-02,604931.6336858268
2014-03-03,607660.0263022782
2014-03-04,609006.3251984502
2014-03-05,605789.801161991
2014-03-06,598421.8018655917
2014-03-07,586614.4485155328
2014-03-08,586614.4485155328
2014-03-09,586614.4485155328
2014-03-10,591870.2125477581
2014-03-11,590095.1706643174
2014-03-12,590442.6776615668
2014-03-13,591204.9270723048
2014-03-14,592049.0842741792
2014-03-15,592049.0842741792
2014-03-16,592049.0842741792
2014-03-17,592049.0842741792
2014-03-18,594035.705068412
2014-03-19,594852.8430764806
2014-03-20,596821.8431201199
2014-03-21,593067.2552153299
2014-03-22,593067.2552153299
2014-03-23,593067.2552153299
2014-03-24,592706.3820653643
2014-03-25,590841.8833425606
2014-03-26,587114.1881078472
2014-03-27,584856.7997509777
2014-03-28,583838.7997210919
2014-03-29,583838.7997210919
2014-03-30,583838.7997210919
2014-03-31,584401.293010857
2014-04-01,586036.8853530748
2014-04-02,588078.8134348285
2014-04-03,585388.5056339939
2014-04-04,587339.6633833967
2014-04-05,587339.6633833967
2014-04-06,587339.6633833967
2014-04-07,588317.4623961761
2014-04-08,588317.4623961761
2014-04-09,591432.0692149078
2014-04-10,597319.5807156576
2014-04-11,594249.4515814778
2014-04-12,594249.4515814778
2014-04-13,594249.4515814778
2014-04-14,594249.4515814778
2014-04-15,592605.3672626485
2014-04-16,590357.9364724313
2014-04-17,596675.4118245806
2014-04-18,596675.4118245806
2014-04-19,596675.4118245806
2014-04-20,596675.4118245806
2014-04-21,600675.7788039179
2014-04-22,594854.351337026
2014-04-23,597156.8137703142
2014-04-24,597156.8137703142
2014-04-25,596573.3355344567
2014-04-26,596573.3355344567
2014-04-27,596573.3355344567
2014-04-28,593498.4401132299
2014-04-29,592038.8211832576
2014-04-30,587476.6018157356
2014-05-01,587476.6018157356
2014-05-02,588945.1452105321
2014-05-03,588945.1452105321
2014-05-04,588945.1452105321
2014-05-05,590518.8323337899
2014-05-06,590612.5161048087
2014-05-07,591861.5396219934
2014-05-08,591970.8581704092
2014-05-09,593732.5168593138
2014-05-10,593732.5168593138
2014-05-11,593732.5168593138
2014-05-12,592057.1283009681
2014-05-13,594391.2399554756
2014-05-14,596935.9845774204
2014-05-15,595020.6339262644
2014-05-16,600599.0127839501
2014-05-17,600599.0127839501
2014-05-18,600599.0127839501
2014-05-19,607994.9176184526
2014-05-20,606596.3918189843
2014-05-21,606824.1486156338
2014-05-22,603701.72777651
2014-05-23,601749.7940858346
2014-05-24,601749.7940858346
2014-05-25,601749.7940858346
2014-05-26,601775.2527740542
2014-05-27,600047.6669652236
2014-05-28,601142.758801184
2014-05-29,596831.2195768305
2014-05-30,597371.8716604048
2014-05-31,597371.8716604048
2014-06-01,597371.8716604048
2014-06-02,599911.6064363066
2014-06-03,603124.8782502096
2014-06-04,608343.3498375678
2014-06-05,606227.0308702951
2014-06-06,604583.4778212404
2014-06-07,604583.4778212404
2014-06-08,604583.4778212404
2014-06-09,610600.7461386928
2014-06-10,609598.209797908
2014-06-11,605614.7313359721
2014-06-12,603580.4905445094
2014-06-13,600460.6138494347
2014-06-14,600460.6138494347
2014-06-15,600460.6138494347
2014-06-16,599711.5692517712
2014-06-17,604252.1871317619
2014-06-18,602987.2809394717
2014-06-19,602530.3279886686
2014-06-20,599615.6385200394
2014-06-21,599615.6385200394
2014-06-22,599615.6385200394
2014-06-23,602335.5399872789
2014-06-24,607970.5711884552
2014-06-25,608473.2349848126
2014-06-26,603951.5723224925
2014-06-27,599299.8940002179
2014-06-28,599299.8940002179
2014-06-29,599299.8940002179
2014-06-30,601446.246853034
2014-07-01,602425.021228831
2014-07-02,602873.7056800822
2014-07-03,599599.2574079514
2014-07-04,601741.3112407528
2014-07-05,601741.3112407528
2014-07-06,601741.3112407528
2014-07-07,607810.1081874049
2014-07-08,605425.6384721195
2014-07-09,597730.1067648462
2014-07-10,595005.1124329756
2014-07-11,589619.0493600601
2014-07-12,589619.0493600601
2014-07-13,589619.0493600601
2014-07-14,592571.9506988551
2014-07-15,592620.4262166222
2014-07-16,591952.6542702746
2014-07-17,594463.6552952112
2014-07-18,593971.3442427578
2014-07-19,593971.3442427578
2014-07-20,593971.3442427578
2014-07-21,597960.0045592178
2014-07-22,596034.7658429233
2014-07-23,595480.4415472823
2014-07-24,596709.7619667728
2014-07-25,598189.4595069643
2014-07-26,598189.4595069643
2014-07-27,598189.4595069643
2014-07-28,597761.8152952563
2014-07-29,597761.8152952563
2014-07-30,599310.3993038628
