Date,Capital
2014-04-01,200312.97725007194
2014-04-02,201459.6305294632
2014-04-03,202019.5024667755
2014-04-04,203167.66408204898
2014-04-05,203167.66408204898
2014-04-06,203167.66408204898
2014-04-07,203661.61130192684
2014-04-08,203661.61130192684
2014-04-09,204601.71906237782
2014-04-10,204164.25328230803
2014-04-11,205647.37169516576
2014-04-12,205647.37169516576
2014-04-13,205647.37169516576
2014-04-14,205647.37169516576
2014-04-15,205666.1400254287
2014-04-16,204609.39435598126
2014-04-17,205051.8781874858
2014-04-18,205051.8781874858
2014-04-19,205051.8781874858
2014-04-20,205051.8781874858
2014-04-21,205384.2993207618
2014-04-22,205222.84973839088
2014-04-23,204657.22204841353
2014-04-24,204657.22204841353
2014-04-25,203643.37850066047
2014-04-26,203643.37850066047
2014-04-27,203643.37850066047
2014-04-28,203354.78923065268
2014-04-29,203215.93030310931
2014-04-30,202530.35032150737
2014-05-01,202530.35032150737
2014-05-02,201954.1007836518
2014-05-03,201954.1007836518
2014-05-04,201954.1007836518
2014-05-05,201170.94907422233
2014-05-06,202424.8908672125
2014-05-07,201193.1338626884
2014-05-08,200780.93817121477
2014-05-09,202719.4697789034
2014-05-10,202719.4697789034
2014-05-11,202719.4697789034
2014-05-12,203540.68291795778
2014-05-13,204215.28724738042
2014-05-14,204227.205699515
2014-05-15,203229.00711751208
2014-05-16,202238.01882883368
2014-05-17,202238.01882883368
2014-05-18,202238.01882883368
2014-05-19,203617.5376738786
2014-05-20,205833.50511057992
2014-05-21,207842.4978503559
2014-05-22,210024.11685815075
2014-05-23,211539.19566865877
2014-05-24,211539.19566865877
2014-05-25,211539.19566865877
2014-05-26,209806.9063656134
2014-05-27,209099.06408230652
2014-05-28,211025.27911836532
2014-05-29,209596.3574343117
2014-05-30,210448.88296320903
2014-05-31,210448.88296320903
2014-06-01,210448.88296320903
2014-06-02,212627.52606102088
2014-06-03,213899.6683489666
2014-06-04,216514.92191139696
2014-06-05,218531.49567627255
2014-06-06,221576.17508222238
2014-06-07,221576.17508222238
2014-06-08,221576.17508222238
2014-06-09,226324.0037076615
2014-06-10,229313.38661387135
2014-06-11,229198.14932484692
2014-06-12,231702.76707381857
2014-06-13,227625.46205571882
2014-06-14,227625.46205571882
2014-06-15,227625.46205571882
2014-06-16,226344.08221912134
2014-06-17,227949.88861567495
2014-06-18,226867.30990812383
2014-06-19,227709.70386492685
2014-06-20,227007.12842608683
2014-06-21,227007.12842608683
2014-06-22,227007.12842608683
2014-06-23,226496.8710560591
2014-06-24,228956.95001956236
2014-06-25,229984.5245285287
2014-06-26,230282.80798484018
2014-06-27,231963.02113000845
2014-06-28,231963.02113000845
2014-06-29,231963.02113000845
2014-06-30,233585.68441200917
2014-07-01,236226.6582687944
2014-07-02,237925.5948107055
2014-07-03,237345.0654940639
2014-07-04,238409.87429689948
2014-07-05,238409.87429689948
2014-07-06,238409.87429689948
2014-07-07,237337.39721534174
2014-07-08,230797.59181310592
2014-07-09,226588.11459746514
