Date,Capital
2014-02-10,200247.02117088292
2014-02-11,200233.04934947842
2014-02-12,199460.55618073547
2014-02-13,198084.8384130465
2014-02-14,197791.2539853793
2014-02-15,197791.2539853793
2014-02-16,197791.2539853793
2014-02-17,197544.38762587332
2014-02-18,197950.6289750174
2014-02-19,197896.58047685557
2014-02-20,198306.63783482363
2014-02-21,199945.3371405884
2014-02-22,199945.3371405884
2014-02-23,199945.3371405884
2014-02-24,198746.73758578577
2014-02-25,197278.62342619087
2014-02-26,196937.65799157007
2014-02-27,196937.65799157007
2014-02-28,197698.001284123
2014-03-01,197698.001284123
2014-03-02,197698.001284123
2014-03-03,195130.14894074877
2014-03-04,197265.74060084112
2014-03-05,200139.5622170805
2014-03-06,207175.2822932026
2014-03-07,210299.2461956993
2014-03-08,210299.2461956993
2014-03-09,210299.2461956993
2014-03-10,212626.98640538173
2014-03-11,211860.2459259876
2014-03-12,209424.2410856025
2014-03-13,207558.93720531865
2014-03-14,204843.9228198108
2014-03-15,204843.9228198108
2014-03-16,204843.9228198108
2014-03-17,204843.92281981077
2014-03-18,205210.19287416217
2014-03-19,206672.2979391927
2014-03-20,205006.60176679725
2014-03-21,205601.9035813969
2014-03-22,205601.9035813969
2014-03-23,205601.9035813969
2014-03-24,206176.74766848685
2014-03-25,206390.86166358952
2014-03-26,204966.61340758478
2014-03-27,207136.8386909798
2014-03-28,210362.09553041618
2014-03-29,210362.09553041618
2014-03-30,210362.09553041618
2014-03-31,212963.66824025143
2014-04-01,215197.62026609352
2014-04-02,221128.6074918076
2014-04-03,221148.17708328675
2014-04-04,223624.41135709704
2014-04-05,223624.41135709704
2014-04-06,223624.41135709704
2014-04-07,223213.15312353856
2014-04-08,223213.15312353856
2014-04-09,227133.98793918814
2014-04-10,227119.9651339221
2014-04-11,232151.6703059643
2014-04-12,232151.6703059643
2014-04-13,232151.6703059643
2014-04-14,232151.67030596433
2014-04-15,231717.31723267943
2014-04-16,227171.83826582023
2014-04-17,230116.63967419742
2014-04-18,230116.63967419742
2014-04-19,230116.63967419742
2014-04-20,230116.63967419742
2014-04-21,232474.50208693166
2014-04-22,233152.57130265972
2014-04-23,233170.7289496299
2014-04-24,233170.7289496299
2014-04-25,230389.58456506193
2014-04-26,230389.58456506193
2014-04-27,230389.58456506193
2014-04-28,228702.5464118233
2014-04-29,227329.37789971425
2014-04-30,222198.24385132533
2014-05-01,222198.24385132533
2014-05-02,221055.0806410775
2014-05-03,221055.0806410775
2014-05-04,221055.0806410775
2014-05-05,217302.472074934
2014-05-06,220944.77183067385
2014-05-07,219756.10857356092
2014-05-08,217464.72368507713
2014-05-09,220879.18393232918
2014-05-10,220879.18393232918
2014-05-11,220879.18393232918
2014-05-12,221849.6171222681
2014-05-13,228085.77038259382
2014-05-14,231834.71942198797
2014-05-15,230460.639960762
2014-05-16,232035.39297835785
2014-05-17,232035.39297835785
2014-05-18,232035.39297835785
2014-05-19,247036.6039655339
2014-05-20,259843.60568383615
2014-05-21,265414.2329866714
2014-05-22,273803.2309142284
2014-05-23,282670.4736458896
2014-05-24,282670.4736458896
2014-05-25,282670.4736458896
2014-05-26,272175.38535573095
2014-05-27,272051.15093545686
2014-05-28,278591.1778234603
2014-05-29,274645.4838092462
2014-05-30,274967.6977896384
2014-05-31,274967.6977896384
2014-06-01,274967.6977896384
2014-06-02,277643.69506378315
2014-06-03,283614.5374022914
2014-06-04,288977.2892459053
2014-06-05,294384.6645383395
2014-06-06,300269.67532649526
2014-06-07,300269.67532649526
2014-06-08,300269.67532649526
2014-06-09,310332.1770887588
2014-06-10,316788.57944971917
2014-06-11,317325.6574257987
2014-06-12,319853.13203971763
2014-06-13,306301.49306998635
2014-06-14,306301.49306998635
2014-06-15,306301.49306998635
2014-06-16,310401.90410310146
2014-06-17,314736.3836368525
2014-06-18,312362.83677093236
2014-06-19,316234.4071181712
2014-06-20,314656.97861947014
2014-06-21,314656.97861947014
2014-06-22,314656.97861947014
2014-06-23,315024.42430516554
2014-06-24,322437.42521536024
2014-06-25,323206.6601401175
2014-06-26,324072.1546614141
2014-06-27,327532.4969043974
2014-06-28,327532.4969043974
2014-06-29,327532.4969043974
2014-06-30,333158.0295874029
2014-07-01,335604.41348079836
2014-07-02,341721.75047828845
2014-07-03,341979.85709734977
2014-07-04,343173.52676412184
2014-07-05,343173.52676412184
2014-07-06,343173.52676412184
2014-07-07,343278.9268671046
2014-07-08,327524.9772233169
