Date,Capital
2014-02-03,401180.63036733563
2014-02-04,401171.36574158754
2014-02-05,400437.73238419526
2014-02-06,400389.14310214395
2014-02-07,399545.37518672145
2014-02-08,399545.37518672145
2014-02-09,399545.37518672145
2014-02-10,398691.1726979931
2014-02-11,399788.82624479325
2014-02-12,400721.323654796
2014-02-13,402218.45677289995
2014-02-14,403564.92797120265
2014-02-15,403564.92797120265
2014-02-16,403564.92797120265
2014-02-17,404132.50403210404
2014-02-18,403473.6576558661
2014-02-19,404184.0747608775
2014-02-20,404126.9416446585
2014-02-21,402179.3619256328
2014-02-22,402179.3619256328
2014-02-23,402179.3619256328
2014-02-24,404694.8553202623
2014-02-25,408174.7534452721
2014-02-26,409358.87517487846
2014-02-27,409358.87517487846
2014-02-28,412334.7989642342
2014-03-01,412334.7989642342
2014-03-02,412334.7989642342
2014-03-03,413932.12907453894
2014-03-04,413845.8263505768
2014-03-05,412567.83064011467
2014-03-06,407636.054164976
2014-03-07,401775.8698902023
2014-03-08,401775.8698902023
2014-03-09,401775.8698902023
2014-03-10,403284.92709351867
2014-03-11,403152.5307320568
2014-03-12,405634.37148532836
2014-03-13,407081.7170847006
2014-03-14,408420.7948196616
2014-03-15,408420.7948196616
2014-03-16,408420.7948196616
2014-03-17,408420.7948196616
2014-03-18,408737.66019002907
2014-03-19,408099.054174711
2014-03-20,409554.1673064815
2014-03-21,413197.3091174721
2014-03-22,413197.3091174721
2014-03-23,413197.3091174721
2014-03-24,415477.4121412207
2014-03-25,417420.19473721425
2014-03-26,419958.26927477843
2014-03-27,419844.24293719156
2014-03-28,422327.4484846397
2014-03-29,422327.4484846397
2014-03-30,422327.4484846397
2014-03-31,422866.85210897285
2014-04-01,420269.87251516007
2014-04-02,419285.2981534401
2014-04-03,419281.94865731744
2014-04-04,421603.35377759347
2014-04-05,421603.35377759347
2014-04-06,421603.35377759347
2014-04-07,421173.74255320913
2014-04-08,421173.74255320913
2014-04-09,422759.2041666199
2014-04-10,432200.2467030708
2014-04-11,429650.88948846527
2014-04-12,429650.88948846527
2014-04-13,429650.88948846527
2014-04-14,429650.8894884653
2014-04-15,425831.6023043687
2014-04-16,424884.7819303079
2014-04-17,423920.883386629
2014-04-18,423920.883386629
2014-04-19,423920.883386629
2014-04-20,423920.883386629
2014-04-21,424978.15549036046
2014-04-22,427403.8316560717
2014-04-23,428557.92372120684
2014-04-24,428557.92372120684
2014-04-25,429217.5078016764
2014-04-26,429217.5078016764
2014-04-27,429217.5078016764
2014-04-28,427274.43508604815
2014-04-29,429086.80444333126
2014-04-30,426677.7848874137
2014-05-01,426677.7848874137
2014-05-02,429007.23598539643
2014-05-03,429007.23598539643
2014-05-04,429007.23598539643
2014-05-05,432616.94693601015
2014-05-06,431161.18617334357
2014-05-07,430421.4081026498
2014-05-08,430047.22924402857
2014-05-09,433301.7133251715
2014-05-10,433301.7133251715
2014-05-11,433301.7133251715
2014-05-12,433033.1781789488
2014-05-13,430659.7676794521
2014-05-14,432000.41065955383
2014-05-15,432818.8033453369
2014-05-16,437120.95072220324
2014-05-17,437120.95072220324
2014-05-18,437120.95072220324
2014-05-19,436222.77191483916
2014-05-20,433375.5559977588
2014-05-21,435630.3036596431
2014-05-22,436916.5380382831
2014-05-23,434919.6675179083
2014-05-24,434919.6675179083
2014-05-25,434919.6675179083
2014-05-26,438309.65857615724
2014-05-27,438483.41390212503
2014-05-28,435590.8734447734
2014-05-29,438308.67907439807
2014-05-30,438595.4370900828
2014-05-31,438595.4370900828
2014-06-01,438595.4370900828
2014-06-02,440862.3672282263
2014-06-03,439165.00528670405
2014-06-04,441251.3256255692
2014-06-05,439595.5919790406
2014-06-06,437352.6277493596
2014-06-07,437352.6277493596
2014-06-08,437352.6277493596
2014-06-09,441000.8142568333
2014-06-10,435214.91860160406
2014-06-11,431588.32832236553
2014-06-12,429660.271469404
2014-06-13,430824.0122694527
2014-06-14,430824.0122694527
2014-06-15,430824.0122694527
2014-06-16,426454.58238000993
2014-06-17,425736.55972475186
2014-06-18,423500.9568443256
2014-06-19,419143.2116505432
2014-06-20,419276.89309214114
2014-06-21,419276.89309214114
2014-06-22,419276.89309214114
2014-06-23,419384.85224809265
2014-06-24,420665.193194062
2014-06-25,420252.17996174574
2014-06-26,418598.6638129878
2014-06-27,415491.184678971
2014-06-28,415491.184678971
2014-06-29,415491.184678971
2014-06-30,415755.3720524814
2014-07-01,415935.10050958523
2014-07-02,411814.2562040052
2014-07-03,406016.7634043137
2014-07-04,407849.1222307099
2014-07-05,407849.1222307099
2014-07-06,407849.1222307099
2014-07-07,407652.55492946226
2014-07-08,408699.58773269434
2014-07-09,408422.78850363614
2014-07-10,406680.1052089845
2014-07-11,404402.14368280425
2014-07-12,404402.14368280425
2014-07-13,404402.14368280425
2014-07-14,405213.7099369123
2014-07-15,403232.9819852794
2014-07-16,402652.7046105812
2014-07-17,404062.3621882285
2014-07-18,405269.78483002825
2014-07-19,405269.78483002825
2014-07-20,405269.78483002825
2014-07-21,406426.46084307396
2014-07-22,403253.2775024632
2014-07-23,403665.29018179205
2014-07-24,403816.63109008287
2014-07-25,403882.64315920835
2014-07-26,403882.64315920835
2014-07-27,403882.64315920835
2014-07-28,402963.80288089224
2014-07-29,402963.80288089224
2014-07-30,403423.1346988347
2014-07-31,402610.8363103821
2014-08-01,403150.69917865016
2014-08-02,403150.69917865016
2014-08-03,403150.69917865016
2014-08-04,402911.70315183164
2014-08-05,404317.68445455655
2014-08-06,404807.4921725899
2014-08-07,406542.80206083425
2014-08-08,410682.1792047566
2014-08-09,410682.1792047566
2014-08-10,410682.1792047566
2014-08-11,411931.17074823735
2014-08-12,411401.08652324864
2014-08-13,415502.8997426883
2014-08-14,419568.85898542346
2014-08-15,419568.85898542346
2014-08-16,419568.85898542346
2014-08-17,419568.85898542346
2014-08-18,415380.91747973475
2014-08-19,413555.5129983265
2014-08-20,413497.6420892791
2014-08-21,412371.0595441877
2014-08-22,414134.77785280166
2014-08-23,414134.77785280166
2014-08-24,414134.77785280166
2014-08-25,412472.5574918041
2014-08-26,420004.64732598787
2014-08-27,422394.9216586916
2014-08-28,424999.2527125579
2014-08-29,424999.2527125579
2014-08-30,424999.2527125579
2014-08-31,424999.2527125579
2014-09-01,423187.3224516817
2014-09-02,422584.4114788747
2014-09-03,426380.43186916166
2014-09-04,433898.36451974354
2014-09-05,437906.65010670444
2014-09-06,437906.65010670444
2014-09-07,437906.65010670444
2014-09-08,434715.5257215245
2014-09-09,433640.73941733345
2014-09-10,431618.83093309763
2014-09-11,429324.74090403155
2014-09-12,430295.41475065914
2014-09-13,430295.41475065914
2014-09-14,430295.41475065914
2014-09-15,430923.07215451915
2014-09-16,429393.84721054474
2014-09-17,431580.95078413124
2014-09-18,434942.76124707813
2014-09-19,435706.60576150625
2014-09-20,435706.60576150625
2014-09-21,435706.60576150625
2014-09-22,434044.4485992253
2014-09-23,434103.14342983055
2014-09-24,439413.1141429162
2014-09-25,449868.2623063109
2014-09-26,453691.7086059562
2014-09-27,453691.7086059562
2014-09-28,453691.7086059562
2014-09-29,456577.883340199
2014-09-30,457538.9300435387
2014-10-01,455406.40601267334
2014-10-02,455366.7292166602
2014-10-03,455366.7292166602
2014-10-04,455366.7292166602
2014-10-05,455366.7292166602
2014-10-06,455366.72921666026
2014-10-07,454958.6723670423
2014-10-08,458405.82014965464
2014-10-09,456096.945473862
2014-10-10,453469.37114551646
2014-10-11,453469.37114551646
2014-10-12,453469.37114551646
2014-10-13,451115.2805315318
2014-10-14,455946.08628751663
2014-10-15,455946.08628751663
2014-10-16,456077.07109114865
2014-10-17,459797.0244245176
2014-10-18,459797.0244245176
2014-10-19,459797.0244245176
2014-10-20,460260.12550567713
