Date,Capital
2014-01-10,199241.34984634115
2014-01-11,199241.34984634115
2014-01-12,199241.34984634115
2014-01-13,199021.36380981703
2014-01-14,197804.66447900402
2014-01-15,196933.5372755446
2014-01-16,194187.90909266932
2014-01-17,188794.186349626
2014-01-18,188794.186349626
2014-01-19,188794.186349626
2014-01-20,191996.36341633162
2014-01-21,193330.38552104327
2014-01-22,194244.8872824558
2014-01-23,194598.61661004476
2014-01-24,189264.43763401266
2014-01-25,189264.43763401266
2014-01-26,189264.43763401266
2014-01-27,183722.9689325103
2014-01-28,182133.6626156313
2014-01-29,181029.1591662395
2014-01-30,180203.22129950757
2014-01-31,180168.38505919784
2014-02-01,180168.38505919784
2014-02-02,180168.38505919784
2014-02-03,178204.65976423598
2014-02-04,178134.6322752452
2014-02-05,178184.64943590094
2014-02-06,176866.50726883716
2014-02-07,176105.78895795476
2014-02-08,176105.78895795476
2014-02-09,176105.78895795476
2014-02-10,175684.06232649912
2014-02-11,176557.289100078
2014-02-12,178069.77946295307
2014-02-13,172647.3791981374
2014-02-14,172691.29113946419
2014-02-15,172691.29113946419
2014-02-16,172691.29113946419
2014-02-17,173286.07752643546
2014-02-18,173626.00261517108
2014-02-19,174795.06470612326
2014-02-20,176294.51789637044
2014-02-21,178171.9239079937
2014-02-22,178171.92390799374
2014-02-23,178171.92390799374
2014-02-24,178845.7141335524
2014-02-25,177384.4043968456
2014-02-26,177361.33926901454
2014-02-27,177361.3392690145
2014-02-28,179312.58780672637
2014-03-01,179312.58780672637
2014-03-02,179312.58780672637
2014-03-03,177412.60762530338
2014-03-04,181174.9506743619
2014-03-05,181285.72083499873
2014-03-06,180602.4830955967
2014-03-07,181121.9468241188
2014-03-08,181121.9468241188
2014-03-09,181121.9468241188
2014-03-10,182546.4526969572
2014-03-11,181290.8345285207
2014-03-12,179654.1074170193
2014-03-13,177140.9867950813
2014-03-14,177597.9796844841
2014-03-15,177597.9796844841
2014-03-16,177597.9796844841
2014-03-17,177597.9796844841
2014-03-18,177863.21024671936
2014-03-19,177291.01354319128
2014-03-20,176541.66070127906
2014-03-21,177110.82487556426
2014-03-22,177110.82487556426
2014-03-23,177110.82487556426
2014-03-24,179465.31588100508
2014-03-25,181681.89661382124
2014-03-26,180404.07073449422
2014-03-27,181196.92509381127
2014-03-28,184319.02805161808
2014-03-29,184319.02805161805
2014-03-30,184319.02805161805
2014-03-31,187206.8118295806
2014-04-01,186688.9561396464
2014-04-02,189874.9699669361
2014-04-03,187916.94169402053
2014-04-04,189105.09893400595
2014-04-05,189105.09893400595
2014-04-06,189105.09893400595
2014-04-07,190364.5394234915
2014-04-08,190364.5394234915
2014-04-09,195447.4801182663
2014-04-10,197711.2654469096
2014-04-11,201514.64104181313
2014-04-12,201514.64104181316
2014-04-13,201514.64104181316
2014-04-14,201514.64104181316
2014-04-15,197371.82864719862
2014-04-16,189802.79956743674
2014-04-17,194127.41473417144
2014-04-18,194127.41473417144
2014-04-19,194127.41473417144
2014-04-20,194127.41473417144
2014-04-21,196838.34435333614
2014-04-22,196564.87832056565
2014-04-23,196587.7280795534
2014-04-24,196587.72807955334
2014-04-25,197035.3145059348
2014-04-26,197035.3145059348
2014-04-27,197035.3145059348
2014-04-28,198789.17245059443
2014-04-29,198448.78482769796
2014-04-30,194197.307350437
2014-05-01,194197.307350437
2014-05-02,196772.9961296503
2014-05-03,196772.9961296503
2014-05-04,196772.9961296503
2014-05-05,197906.1207968545
2014-05-06,201593.63710597646
2014-05-07,200304.29538763445
2014-05-08,202473.89836171965
2014-05-09,204150.20160190307
2014-05-10,204150.20160190307
2014-05-11,204150.20160190307
2014-05-12,206073.5606733626
2014-05-13,207994.47122205098
2014-05-14,207261.78139234986
2014-05-15,206402.7426532398
2014-05-16,213096.29880301174
2014-05-17,213096.2988030117
2014-05-18,213096.2988030117
2014-05-19,240526.08703694076
2014-05-20,242604.46325484518
2014-05-21,244616.75240513575
2014-05-22,252009.7528416745
2014-05-23,259055.4507389347
2014-05-24,259055.4507389347
2014-05-25,259055.4507389347
2014-05-26,243230.14213228063
2014-05-27,238351.33293863223
2014-05-28,241036.78136211622
2014-05-29,238924.26817254614
2014-05-30,237802.7549523047
2014-05-31,237802.7549523047
2014-06-01,237802.7549523047
2014-06-02,240440.0201509617
2014-06-03,243307.24269574616
2014-06-04,246951.23561393176
2014-06-05,250885.807845011
2014-06-06,253043.16432980073
2014-06-07,253043.16432980075
2014-06-08,253043.16432980075
2014-06-09,260015.98543269857
2014-06-10,258350.7955567136
2014-06-11,255735.72750303044
2014-06-12,255995.2731549036
2014-06-13,240972.7913399802
2014-06-14,240972.79133998023
2014-06-15,240972.79133998023
