Date,Capital
2014-01-08,399796.8908629248
2014-01-09,396818.5279167063
2014-01-10,393896.7063249443
2014-01-11,393896.7063249443
2014-01-12,393896.7063249443
2014-01-13,394911.2017292152
2014-01-14,397606.0518294573
2014-01-15,395804.1218662719
2014-01-16,394113.50461654476
2014-01-17,392074.6359038155
2014-01-18,392074.6359038155
2014-01-19,392074.6359038155
2014-01-20,392556.8907238108
2014-01-21,392266.3091970236
2014-01-22,392964.2009644935
2014-01-23,393150.32834617165
2014-01-24,390209.2284822223
2014-01-25,390209.2284822223
2014-01-26,390209.2284822223
2014-01-27,392794.74107969704
2014-01-28,390385.2099032502
2014-01-29,386687.3336679078
2014-01-30,388398.16089602985
2014-01-31,388906.16716932843
2014-02-01,388906.16716932843
2014-02-02,388906.16716932843
2014-02-03,389299.4947738484
2014-02-04,387973.7172663775
2014-02-05,388847.2668641492
2014-02-06,388538.5062716783
2014-02-07,389194.3338880249
2014-02-08,389194.3338880249
2014-02-09,389194.3338880249
2014-02-10,388417.57159807236
2014-02-11,385500.1600865815
2014-02-12,387659.53691710514
2014-02-13,387313.21535999497
2014-02-14,389792.58630701265
2014-02-15,389792.58630701265
2014-02-16,389792.58630701265
2014-02-17,391383.6211958402
2014-02-18,391392.31144878356
2014-02-19,393545.8414528494
2014-02-20,391718.7939388291
2014-02-21,390970.67905809847
2014-02-22,390970.67905809847
2014-02-23,390970.67905809847
2014-02-24,393594.9424328746
2014-02-25,393332.3080598101
2014-02-26,394275.6289364129
2014-02-27,394275.62893641286
2014-02-28,394386.7121402947
2014-03-01,394386.7121402948
2014-03-02,394386.7121402948
2014-03-03,393790.42942072666
2014-03-04,394662.6048243911
2014-03-05,392652.1069645985
2014-03-06,386296.5434052219
2014-03-07,381990.3373241003
2014-03-08,381990.3373241003
2014-03-09,381990.3373241003
2014-03-10,389990.92095152254
2014-03-11,387747.4757537048
2014-03-12,385998.648520743
2014-03-13,383724.5118289586
2014-03-14,385415.1051868739
2014-03-15,385415.1051868739
2014-03-16,385415.1051868739
2014-03-17,385415.1051868739
2014-03-18,384214.15133215603
2014-03-19,383781.43857430026
2014-03-20,382342.1076355878
2014-03-21,383091.3287790009
2014-03-22,383091.3287790009
2014-03-23,383091.3287790009
2014-03-24,378675.61230878124
2014-03-25,379468.9309471383
2014-03-26,380557.9391928883
2014-03-27,378308.44213450537
2014-03-28,380505.9062131865
2014-03-29,380505.90621318656
2014-03-30,380505.90621318656
2014-03-31,381349.8811899073
2014-04-01,379233.5754360165
2014-04-02,380524.2469655609
2014-04-03,379622.64935052645
2014-04-04,382745.53884722356
2014-04-05,382745.5388472235
2014-04-06,382745.5388472235
2014-04-07,385637.186225342
2014-04-08,385637.1862253419
2014-04-09,385204.6393982426
2014-04-10,385405.8397414718
2014-04-11,388294.31453164184
2014-04-12,388294.31453164184
2014-04-13,388294.31453164184
2014-04-14,388294.31453164184
2014-04-15,382915.05174039776
2014-04-16,376554.0840098174
2014-04-17,379516.00192727125
2014-04-18,379516.0019272712
2014-04-19,379516.0019272712
2014-04-20,379516.0019272712
2014-04-21,379111.13318772207
2014-04-22,379497.62528258807
2014-04-23,378868.90073427255
2014-04-24,378868.90073427255
2014-04-25,379450.6112425369
2014-04-26,379450.6112425369
2014-04-27,379450.6112425369
2014-04-28,375165.74178573606
2014-04-29,376557.59891801764
2014-04-30,372623.7502643924
2014-05-01,372623.7502643924
2014-05-02,371498.51252519095
2014-05-03,371498.51252519095
2014-05-04,371498.51252519095
2014-05-05,372710.22366738354
2014-05-06,372590.8193067997
2014-05-07,370064.9218514915
2014-05-08,372016.8191842855
2014-05-09,369762.452406478
2014-05-10,369762.45240647806
2014-05-11,369762.45240647806
2014-05-12,372099.9859100606
2014-05-13,372514.88870737446
2014-05-14,370608.52785642585
2014-05-15,368159.90214962827
2014-05-16,375083.8641047748
