Date,Capital
2015-02-01,700000.0
2015-02-02,701257.5214813484
2015-02-03,702674.5835077431
2015-02-04,701817.4394653185
2015-02-05,703462.8528461639
2015-02-06,703595.0651204529
2015-02-07,703595.0651204529
2015-02-08,703595.0651204529
2015-02-09,703436.7917443432
2015-02-10,704183.0700655717
2015-02-11,703797.3289089785
2015-02-12,703810.652839902
2015-02-13,704184.3787669122
2015-02-14,704184.3787669122
2015-02-15,704184.3787669122
2015-02-16,704518.0296555397
2015-02-17,704268.029595935
2015-02-18,704236.7877272414
2015-02-19,702779.4025972306
2015-02-20,702973.2112257231
2015-02-21,702973.2112257231
2015-02-22,702973.2112257231
2015-02-23,703536.6538498972
2015-02-24,704816.2434838089
2015-02-25,705549.5760694812
2015-02-26,705307.9966235147
2015-02-27,704903.3511636339
2015-02-28,704903.3511636339
2015-03-01,704903.3511636339
2015-03-02,709830.0304107078
2015-03-03,709825.4078147206
2015-03-04,709083.3411019745
2015-03-05,710921.6496495749
2015-03-06,710921.6496495749
2015-03-07,710921.6496495749
2015-03-08,710921.6496495749
2015-03-09,713515.574311326
2015-03-10,712798.4767607878
2015-03-11,710882.2479004278
2015-03-12,711255.6549004253
2015-03-13,710242.93196709
2015-03-14,710242.93196709
2015-03-15,710242.93196709
2015-03-16,710236.7159575325
2015-03-17,713659.3713439627
2015-03-18,716568.8355878378
2015-03-19,717343.1037570088
2015-03-20,715539.1736861775
2015-03-21,715539.1736861775
2015-03-22,715539.1736861775
2015-03-23,716346.4684910653
2015-03-24,715404.810837894
2015-03-25,717154.8816492744
2015-03-26,717075.3687118051
2015-03-27,717386.1498450493
2015-03-28,717386.1498450493
2015-03-29,717386.1498450493
2015-03-30,720150.4864645045
2015-03-31,721709.4054982045
2015-04-01,722785.8964533214
2015-04-02,722785.8964533214
2015-04-03,722785.8964533214
2015-04-04,722785.8964533214
2015-04-05,722785.8964533214
2015-04-06,724224.6307364376
2015-04-07,718285.5252407966
2015-04-08,717262.0618044747
2015-04-09,715791.2699549051
2015-04-10,709589.968748782
2015-04-11,709589.968748782
2015-04-12,709589.968748782
2015-04-13,707556.0040498257
2015-04-14,707556.0040498257
2015-04-15,706299.6383868478
2015-04-16,705080.361037622
2015-04-17,706210.0145392899
2015-04-18,706210.0145392899
2015-04-19,706210.0145392899
2015-04-20,707925.1882187026
2015-04-21,709080.2796622124
2015-04-22,707910.4212927744
2015-04-23,705571.2249748284
2015-04-24,703048.342332918
2015-04-25,703048.342332918
2015-04-26,703048.342332918
2015-04-27,699768.3158279569
2015-04-28,705796.2080011896
2015-04-29,707860.6789061319
2015-04-30,708579.3846735302
2015-05-01,708579.3846735302
2015-05-02,708579.3846735302
2015-05-03,708579.3846735302
2015-05-04,704430.8612556309
2015-05-05,699287.389180427
2015-05-06,700057.5042810827
2015-05-07,695621.1968686492
2015-05-08,697522.9323550758
2015-05-09,697522.9323550758
2015-05-10,697522.9323550758
2015-05-11,699379.4745691111
2015-05-12,697338.9980172846
2015-05-13,697379.7062716384
2015-05-14,697160.8002266272
2015-05-15,701191.7479047015
2015-05-16,701191.7479047015
2015-05-17,701191.7479047015
2015-05-18,706190.3739468498
2015-05-19,705233.6177940522
2015-05-20,706537.4018490764
2015-05-21,706684.6300862732
2015-05-22,709228.2969367814
2015-05-23,709228.2969367814
2015-05-24,709228.2969367814
