Date,Capital
2014-01-27,348857.03646152624
2014-01-28,348510.72908341093
2014-01-29,348656.60444241104
2014-01-30,347942.85369074275
2014-01-31,349323.02992523013
2014-02-01,349323.02992523013
2014-02-02,349323.02992523013
2014-02-03,348506.7258704334
2014-02-04,348485.7580920835
2014-02-05,349520.59759672434
2014-02-06,349071.5541709352
2014-02-07,349848.36448724207
2014-02-08,349848.36448724207
2014-02-09,349848.36448724207
2014-02-10,350751.45955392986
2014-02-11,349522.5841014697
2014-02-12,349544.1080852245
2014-02-13,346802.83057453413
2014-02-14,347030.6376084616
2014-02-15,347030.6376084616
2014-02-16,347030.6376084616
2014-02-17,344930.01650141255
2014-02-18,347353.57394035405
2014-02-19,349644.6742538924
2014-02-20,348035.795880234
2014-02-21,349804.5292723166
2014-02-22,349804.5292723166
2014-02-23,349804.5292723166
2014-02-24,350571.7431242773
2014-02-25,351612.8672021729
2014-02-26,350550.14164102456
2014-02-27,350550.14164102456
2014-02-28,351728.9839469258
2014-03-01,351728.9839469258
2014-03-02,351728.9839469258
2014-03-03,352665.04966005
2014-03-04,356509.2590323902
2014-03-05,358572.9327336064
2014-03-06,360901.0049696575
2014-03-07,356088.6591229405
2014-03-08,356088.6591229405
2014-03-09,356088.6591229405
2014-03-10,364004.92089818546
2014-03-11,363336.3974281411
2014-03-12,363344.7810518021
2014-03-13,359417.0555934445
2014-03-14,360386.3007719629
2014-03-15,360386.3007719629
2014-03-16,360386.3007719629
2014-03-17,360386.30077196297
2014-03-18,362811.43222345866
2014-03-19,361789.92967994337
2014-03-20,360622.58400527586
2014-03-21,364526.58509428706
2014-03-22,364526.58509428706
2014-03-23,364526.58509428706
2014-03-24,367993.9097854071
2014-03-25,369261.28238194855
2014-03-26,369778.06602511916
2014-03-27,372390.68665852374
2014-03-28,379401.9246027118
2014-03-29,379401.9246027118
2014-03-30,379401.9246027118
2014-03-31,383624.1560800332
2014-04-01,384581.6584958191
2014-04-02,392453.55629760283
2014-04-03,389559.83816761617
2014-04-04,393184.9988513603
2014-04-05,393184.9988513603
2014-04-06,393184.9988513603
2014-04-07,392890.500628714
2014-04-08,392890.500628714
2014-04-09,406270.7687043733
2014-04-10,411283.00321693486
2014-04-11,416422.8928390581
2014-04-12,416422.8928390581
2014-04-13,416422.8928390581
2014-04-14,416422.89283905807
2014-04-15,411625.6844963718
2014-04-16,398656.1909323107
2014-04-17,407410.3410367994
2014-04-18,407410.3410367994
2014-04-19,407410.3410367994
2014-04-20,407410.3410367994
2014-04-21,414620.85386856925
2014-04-22,413937.8736445273
2014-04-23,417912.4605589336
2014-04-24,417912.4605589336
2014-04-25,415557.38232242176
2014-04-26,415557.38232242176
2014-04-27,415557.38232242176
2014-04-28,411968.53915655555
2014-04-29,412390.64846656536
2014-04-30,399027.7800450151
2014-05-01,399027.7800450151
2014-05-02,401270.10325857956
2014-05-03,401270.10325857956
2014-05-04,401270.10325857956
2014-05-05,396705.89450862387
2014-05-06,400692.18097373645
2014-05-07,398148.5450082439
2014-05-08,397790.4762030579
2014-05-09,406155.59910775896
2014-05-10,406155.59910775896
2014-05-11,406155.59910775896
2014-05-12,413559.56949315435
2014-05-13,431045.3097485659
2014-05-14,442202.7402909916
2014-05-15,433531.62302977784
2014-05-16,445225.97351487074
2014-05-17,445225.97351487074
2014-05-18,445225.97351487074
2014-05-19,482601.88771155395
2014-05-20,498736.71953645395
2014-05-21,506347.2276544984
2014-05-22,523298.9242565786
2014-05-23,533213.4643891633
2014-05-24,533213.4643891633
2014-05-25,533213.4643891633
2014-05-26,510660.10871410585
2014-05-27,506000.37888822064
2014-05-28,511964.4039913747
2014-05-29,502792.2559201576
2014-05-30,501911.8178322591
2014-05-31,501911.8178322591
2014-06-01,501911.8178322591
2014-06-02,512588.9125301234
2014-06-03,520844.7743366277
2014-06-04,534325.5764988519
2014-06-05,545652.9886459047
2014-06-06,553783.0184364117
2014-06-07,553783.0184364117
2014-06-08,553783.0184364117
2014-06-09,570340.4434986524
2014-06-10,574919.7365208536
2014-06-11,568878.2649192547
2014-06-12,566295.9878673987
2014-06-13,545554.4363249537
2014-06-14,545554.4363249537
2014-06-15,545554.4363249537
2014-06-16,544127.8579675067
2014-06-17,554624.0974451599
2014-06-18,550455.680239934
2014-06-19,545983.8574453286
2014-06-20,540756.6879890938
2014-06-21,540756.6879890938
2014-06-22,540756.6879890938
2014-06-23,544535.8318854979
2014-06-24,562503.4659795449
2014-06-25,565503.4943676486
2014-06-26,559828.246428478
2014-06-27,563096.1942460607
2014-06-28,563096.1942460607
2014-06-29,563096.1942460607
2014-06-30,573876.9560694105
2014-07-01,576412.0469457778
2014-07-02,579192.0816030223
2014-07-03,572098.3928659835
2014-07-04,574022.1748924896
2014-07-05,574022.1748924896
2014-07-06,574022.1748924896
2014-07-07,573836.719578946
2014-07-08,545669.6605026826
2014-07-09,530949.9052903382
2014-07-10,537610.506486553
2014-07-11,512224.3622147863
2014-07-12,512224.3622147863
2014-07-13,512224.3622147863
2014-07-14,506775.85732699384
2014-07-15,519875.3217039024
2014-07-16,531507.8592065886
2014-07-17,537563.9750692783
2014-07-18,538687.2599195521
2014-07-19,538687.2599195521
2014-07-20,538687.2599195521
2014-07-21,546009.4604785709
2014-07-22,541724.5478366902
2014-07-23,534270.1377169294
2014-07-24,536979.9180353376
2014-07-25,529200.3888877654
2014-07-26,529200.3888877654
2014-07-27,529200.3888877654
2014-07-28,523565.3474275592
2014-07-29,523565.3474275592
2014-07-30,528390.2129808154
2014-07-31,528660.7838428798
2014-08-01,519659.13543780777
2014-08-02,519659.13543780777
2014-08-03,519659.13543780777
2014-08-04,525356.1919955869
2014-08-05,533874.6467633601
2014-08-06,532155.3803564174
2014-08-07,526860.9716163937
2014-08-08,511711.55470915826
2014-08-09,511711.55470915826
2014-08-10,511711.55470915826
2014-08-11,518238.88360907155
2014-08-12,522233.35227843694
2014-08-13,509279.1263936075
2014-08-14,512039.8914277776
2014-08-15,512039.8914277776
2014-08-16,512039.8914277776
2014-08-17,512039.8914277776
2014-08-18,526063.5560277968
2014-08-19,536183.7043724289
2014-08-20,539616.0514276859
2014-08-21,537162.9700330395
2014-08-22,538613.3923513738
2014-08-23,538613.3923513738
2014-08-24,538613.3923513738
2014-08-25,536912.1058361669
2014-08-26,533089.3941342945
2014-08-27,542234.21831688
2014-08-28,540970.5543082757
2014-08-29,540970.5543082757
2014-08-30,540970.5543082757
2014-08-31,540970.5543082757
2014-09-01,546039.1708853696
2014-09-02,550006.1872572916
2014-09-03,555076.4232413142
2014-09-04,549277.6795830792
2014-09-05,555208.9951503496
2014-09-06,555208.9951503496
2014-09-07,555208.9951503496
2014-09-08,571070.7397097903
2014-09-09,571118.1128778427
2014-09-10,574600.162856375
2014-09-11,579342.1673360422
2014-09-12,582071.1280916368
2014-09-13,582071.1280916368
2014-09-14,582071.1280916368
2014-09-15,591475.7169090501
2014-09-16,560186.1071613585
2014-09-17,562845.6012027161
2014-09-18,584456.4977445393
2014-09-19,589198.924702571
2014-09-20,589198.924702571
2014-09-21,589198.924702571
2014-09-22,594712.6598286531
2014-09-23,574755.3942326991
2014-09-24,566930.1062636343
2014-09-25,548195.3599444779
2014-09-26,554399.2447042064
2014-09-27,554399.2447042064
2014-09-28,554399.2447042064
2014-09-29,566153.7266830552
2014-09-30,568591.0873927134
2014-10-01,566223.5054387819
2014-10-02,566223.5054387819
2014-10-03,566223.5054387819
2014-10-04,566223.5054387819
2014-10-05,566223.5054387819
2014-10-06,566223.5054387819
2014-10-07,561671.8396511846
2014-10-08,562867.3253513848
2014-10-09,571809.7093989255
2014-10-10,563230.8131378216
2014-10-11,563230.8131378216
2014-10-12,563230.8131378216
2014-10-13,566276.9840853618
2014-10-14,568928.4612106627
2014-10-15,568928.4612106627
2014-10-16,545903.8249953312
2014-10-17,545412.3587427782
2014-10-18,545412.3587427782
2014-10-19,545412.3587427782
2014-10-20,547550.5345957518
2014-10-21,546613.2305081976
2014-10-22,550648.2724144568
2014-10-23,550648.2724144568
2014-10-24,550648.2724144568
2014-10-25,550648.2724144568
2014-10-26,550648.2724144568
2014-10-27,551996.5180047817
2014-10-28,558260.1179177564
2014-10-29,560821.3118332394
2014-10-30,563492.8253424253
2014-10-31,572408.1579726478
2014-11-01,572408.1579726478
2014-11-02,572408.1579726478
2014-11-03,575685.901710517
2014-11-04,575685.901710517
2014-11-05,573953.6449429343
2014-11-06,573953.6449429343
2014-11-07,569472.499403912
2014-11-08,569472.499403912
2014-11-09,569472.499403912
2014-11-10,571040.8805065261
2014-11-11,569185.7173122283
2014-11-12,568899.6539467184
2014-11-13,565551.5099300946
2014-11-14,576190.0107571003
2014-11-15,576190.0107571003
2014-11-16,576190.0107571003
2014-11-17,590358.3896096061
2014-11-18,593969.0347213898
2014-11-19,589338.8341765841
2014-11-20,584629.2592267855
2014-11-21,583482.0063183088
2014-11-22,583482.0063183088
2014-11-23,583482.0063183088
2014-11-24,589824.4147138386
2014-11-25,576970.8614991845
2014-11-26,583717.2197877873
2014-11-27,587321.9290369608
2014-11-28,589198.7968799822
2014-11-29,589198.7968799822
2014-11-30,589198.7968799822
2014-12-01,578623.0212141562
2014-12-02,586346.6744741374
2014-12-03,600812.433353067
2014-12-04,607161.0390805712
2014-12-05,609732.363870592
2014-12-06,609732.363870592
2014-12-07,609732.363870592
2014-12-08,600581.4978631069
2014-12-09,589200.9077167942
2014-12-10,594247.1369720295
2014-12-11,591281.6307584123
2014-12-12,577907.1765599687
2014-12-13,577907.1765599687
2014-12-14,577907.1765599687
2014-12-15,572040.3596454272
2014-12-16,550877.7999807366
2014-12-17,537874.6340919795
2014-12-18,562186.4163398806
2014-12-19,571137.4485430833
2014-12-20,571137.4485430833
2014-12-21,571137.4485430833
2014-12-22,573428.3926146396
2014-12-23,566189.2316760229
2014-12-24,563213.2050650109
2014-12-25,563213.2050650109
2014-12-26,559914.7632065882
2014-12-27,559914.7632065882
2014-12-28,559914.7632065882
2014-12-29,563122.968703434
2014-12-30,567904.5956765115
2014-12-31,577088.5081113316
2015-01-01,582659.3288041351
2015-01-02,588759.8874725801
2015-01-03,588759.8874725801
2015-01-04,588759.8874725801
2015-01-05,587627.7353919004
2015-01-06,565348.4444815719
2015-01-07,572278.5665483493
2015-01-08,586459.7352936706
2015-01-09,585855.7615139678
2015-01-10,585855.7615139678
2015-01-11,585855.7615139678
2015-01-12,585104.4609613541
2015-01-13,583134.9545195936
2015-01-14,574547.4059661519
2015-01-15,578000.283108358
2015-01-16,575791.1891528392
2015-01-17,575791.1891528392
2015-01-18,575791.1891528392
2015-01-19,577245.4567936005
2015-01-20,579248.6934352982
2015-01-21,578437.6859101078
2015-01-22,580585.6067317531
2015-01-23,577023.9311186557
2015-01-24,577023.9311186557
2015-01-25,577023.9311186557
2015-01-26,577023.9311186558
2015-01-27,580393.6432021405
2015-01-28,578867.3570039506
2015-01-29,581493.209417329
2015-01-30,579002.1524721439
2015-01-31,579002.1524721439
2015-02-01,579002.1524721439
2015-02-02,588642.4193146888
2015-02-03,588952.7917280729
2015-02-04,588023.1447722181
2015-02-05,578691.3186263512
2015-02-06,570287.611105668
2015-02-07,570287.611105668
2015-02-08,570287.611105668
2015-02-09,558170.9966967785
2015-02-10,563688.422012346
2015-02-11,573687.9613356604
2015-02-12,590670.9286778886
2015-02-13,588422.7883415463
2015-02-14,588422.7883415463
2015-02-15,588422.7883415463
2015-02-16,588658.1186595841
2015-02-17,588462.814348917
2015-02-18,595059.4793789366
2015-02-19,594332.471157357
2015-02-20,595649.9939427569
2015-02-21,595649.9939427569
2015-02-22,595649.9939427569
2015-02-23,596922.9695293766
2015-02-24,596365.1319742629
2015-02-25,594297.2728979978
2015-02-26,586084.8696485029
2015-02-27,598144.7713641594
2015-02-28,598144.7713641594
2015-03-01,598144.7713641594
