Date,Capital
2014-01-08,699147.465715715
2014-01-09,698818.0747320026
2014-01-10,699999.904905626
2014-01-11,699999.904905626
2014-01-12,699999.904905626
2014-01-13,697322.5513604111
2014-01-14,697197.344016954
2014-01-15,695734.862655611
2014-01-16,693914.8745280433
2014-01-17,693870.4518423725
2014-01-18,693870.4518423723
2014-01-19,693870.4518423723
2014-01-20,695169.3369887193
2014-01-21,693600.0645903383
2014-01-22,692374.8740815048
2014-01-23,693492.527106367
2014-01-24,693438.2234152975
2014-01-25,693438.2234152975
2014-01-26,693438.2234152975
2014-01-27,693951.748985453
2014-01-28,691145.149658473
2014-01-29,690394.3954170109
2014-01-30,691551.3298147096
2014-01-31,690398.5367764614
2014-02-01,690398.5367764614
2014-02-02,690398.5367764614
2014-02-03,691615.9421782338
2014-02-04,691474.169842735
2014-02-05,687937.4660634315
2014-02-06,687248.5106569428
2014-02-07,687815.633642399
2014-02-08,687815.6336423991
2014-02-09,687815.6336423991
2014-02-10,687520.6499328748
2014-02-11,689562.2556500225
2014-02-12,689246.016235167
2014-02-13,689377.0658815955
2014-02-14,690338.5587651109
2014-02-15,690338.558765111
2014-02-16,690338.558765111
2014-02-17,690209.1391120526
2014-02-18,690209.715494106
2014-02-19,689858.0145016032
2014-02-20,691271.2233796947
2014-02-21,692464.0302851131
2014-02-22,692464.0302851131
2014-02-23,692464.0302851131
2014-02-24,689510.8091148803
2014-02-25,692526.2683014859
2014-02-26,694616.0440691682
2014-02-27,694616.0440691682
2014-02-28,696555.1819910775
2014-03-01,696555.1819910775
2014-03-02,696555.1819910775
2014-03-03,694000.0681146593
2014-03-04,696735.1932548181
2014-03-05,692694.7682159764
2014-03-06,690578.9198162506
2014-03-07,689552.3253716319
2014-03-08,689552.3253716319
2014-03-09,689552.3253716319
2014-03-10,690665.6193594171
2014-03-11,690225.9133842805
2014-03-12,687391.6095695057
2014-03-13,685075.6841474111
2014-03-14,683844.1256534691
2014-03-15,683844.125653469
2014-03-16,683844.125653469
2014-03-17,683844.125653469
2014-03-18,684216.4044072375
2014-03-19,681207.6964978235
2014-03-20,681441.1856509674
2014-03-21,679014.7224345367
2014-03-22,679014.7224345367
2014-03-23,679014.7224345367
2014-03-24,678714.5200237532
2014-03-25,682601.2445820941
2014-03-26,681256.0080939584
2014-03-27,679911.6442885404
2014-03-28,682431.0806014376
2014-03-29,682431.0806014376
2014-03-30,682431.0806014376
2014-03-31,686573.636264317
2014-04-01,683542.0176627745
2014-04-02,678341.3617115592
2014-04-03,676370.5072648437
2014-04-04,675609.2555717321
2014-04-05,675609.2555717321
2014-04-06,675609.2555717321
2014-04-07,677248.4722437521
2014-04-08,677248.4722437521
2014-04-09,680968.8997190609
2014-04-10,686028.8460310363
2014-04-11,691078.1520198771
2014-04-12,691078.152019877
2014-04-13,691078.152019877
2014-04-14,691078.152019877
2014-04-15,689248.0906208581
2014-04-16,682850.348587796
2014-04-17,683084.9533356518
2014-04-18,683084.9533356518
2014-04-19,683084.9533356518
2014-04-20,683084.9533356518
2014-04-21,686604.0237286116
2014-04-22,686761.7489220629
2014-04-23,687970.5206076117
2014-04-24,687970.5206076117
2014-04-25,690077.6124482022
2014-04-26,690077.6124482022
2014-04-27,690077.6124482022
2014-04-28,690994.7308954352
2014-04-29,686033.7888812813
2014-04-30,685179.4648618402
2014-05-01,685179.4648618402
2014-05-02,685625.5462594617
2014-05-03,685625.5462594618
2014-05-04,685625.5462594618
2014-05-05,690300.2585901635
2014-05-06,692010.9001339135
2014-05-07,691284.0872728786
2014-05-08,693403.9828023212
2014-05-09,692413.6735866617
2014-05-10,692413.6735866617
2014-05-11,692413.6735866617
2014-05-12,692496.5016661123
2014-05-13,691892.616292557
2014-05-14,686032.6067457969
2014-05-15,686903.6225337576
2014-05-16,692085.7459228141
2014-05-17,692085.7459228141
2014-05-18,692085.7459228141
2014-05-19,715223.6947214566
2014-05-20,717437.9939415561
2014-05-21,712263.8379529713
2014-05-22,716721.3645204403
2014-05-23,720459.9726928447
2014-05-24,720459.9726928448
2014-05-25,720459.9726928448
2014-05-26,714162.7531231279
2014-05-27,709203.5064182191
2014-05-28,707565.3400706621
2014-05-29,705898.3529079745
2014-05-30,704168.6261144574
2014-05-31,704168.6261144574
2014-06-01,704168.6261144574
2014-06-02,702997.4673412272
2014-06-03,700126.0376605178
2014-06-04,701198.5786533667
2014-06-05,704217.3287863567
2014-06-06,704254.7726253901
2014-06-07,704254.7726253901
2014-06-08,704254.7726253901
2014-06-09,706513.7856558406
2014-06-10,706320.1843975733
2014-06-11,710207.5308618475
2014-06-12,708604.9196190801
2014-06-13,699285.6048199508
2014-06-14,699285.6048199508
2014-06-15,699285.6048199508
2014-06-16,692062.0184554084
2014-06-17,683736.8779745759
2014-06-18,682639.9268817429
2014-06-19,683196.1900972464
2014-06-20,683590.6505438231
2014-06-21,683590.650543823
2014-06-22,683590.650543823
2014-06-23,682936.9193761281
2014-06-24,680996.243912644
2014-06-25,679444.0226138021
2014-06-26,681684.6713340379
2014-06-27,680426.5310460718
2014-06-28,680426.5310460717
2014-06-29,680426.5310460717
2014-06-30,680409.7886695409
2014-07-01,680363.6273350735
2014-07-02,673315.9384230044
2014-07-03,670187.2501999923
2014-07-04,670715.8941616651
2014-07-05,670715.8941616652
2014-07-06,670715.8941616652
2014-07-07,671138.7241510098
2014-07-08,668168.8008432717
2014-07-09,670540.7879061627
2014-07-10,664375.4940715879
2014-07-11,665531.1614709485
2014-07-12,665531.1614709485
2014-07-13,665531.1614709485
2014-07-14,664691.2460579656
2014-07-15,660541.1161309497
2014-07-16,656658.1404809726
2014-07-17,658455.4923559387
2014-07-18,657757.4004805533
2014-07-19,657757.4004805533
