Date,Capital
2014-01-10,98917.78205891786
2014-01-11,98917.78205891786
2014-01-12,98917.78205891786
2014-01-13,99598.67806971227
2014-01-14,99319.5978426503
2014-01-15,100392.46083710343
2014-01-16,100638.19788521205
2014-01-17,99405.36404860626
2014-01-18,99405.36404860625
2014-01-19,99405.36404860625
2014-01-20,100449.91564453623
2014-01-21,100098.90755378525
2014-01-22,101519.48200855596
2014-01-23,102054.46870146942
2014-01-24,100779.72674079651
2014-01-25,100779.7267407965
2014-01-26,100779.7267407965
2014-01-27,96976.90911801631
2014-01-28,97322.08632648713
2014-01-29,97899.02078010468
2014-01-30,96950.8012426379
2014-01-31,97944.16627548145
2014-02-01,97944.16627548146
2014-02-02,97944.16627548146
2014-02-03,96761.88619857057
2014-02-04,97257.82602387745
2014-02-05,98883.11063424815
2014-02-06,98515.6811132589
2014-02-07,98330.34135350262
2014-02-08,98330.34135350265
2014-02-09,98330.34135350265
2014-02-10,98418.17257682829
2014-02-11,97863.59136966601
2014-02-12,97951.43049549306
2014-02-13,96853.39385133218
2014-02-14,96230.12580041854
2014-02-15,96230.12580041854
2014-02-16,96230.12580041854
2014-02-17,97033.99412686036
2014-02-18,97526.09218250812
2014-02-19,99074.6762850663
2014-02-20,98823.40175921776
2014-02-21,100973.8262803296
2014-02-22,100973.8262803296
2014-02-23,100973.8262803296
2014-02-24,103157.11528074558
2014-02-25,103371.01601173042
2014-02-26,103174.90896869522
2014-02-27,103174.90896869522
2014-02-28,103087.48481604486
2014-03-01,103087.48481604486
2014-03-02,103087.48481604486
2014-03-03,102868.53644175398
2014-03-04,104808.24873543387
2014-03-05,105349.50756212341
2014-03-06,107307.69818846651
2014-03-07,107376.97739844245
2014-03-08,107376.97739844247
2014-03-09,107376.97739844247
2014-03-10,106718.63438021581
2014-03-11,106890.31376389037
2014-03-12,107592.49501172986
2014-03-13,107477.33422829235
2014-03-14,106675.05342984991
2014-03-15,106675.05342984991
2014-03-16,106675.05342984991
2014-03-17,106675.05342984991
2014-03-18,107105.87214527134
2014-03-19,107954.16434310806
2014-03-20,107322.05653387384
2014-03-21,107945.00969614772
2014-03-22,107945.00969614771
2014-03-23,107945.00969614771
2014-03-24,107806.55764361317
2014-03-25,107753.55425765662
2014-03-26,108518.5176847269
2014-03-27,110507.3029291499
2014-03-28,110814.13867397097
2014-03-29,110814.13867397097
2014-03-30,110814.13867397097
2014-03-31,111404.84064199483
2014-04-01,113511.91549706813
2014-04-02,115046.1404905113
2014-04-03,115491.20634676913
2014-04-04,114877.4985452701
2014-04-05,114877.4985452701
2014-04-06,114877.4985452701
2014-04-07,113866.54693472735
2014-04-08,113866.54693472732
2014-04-09,115197.18080555082
2014-04-10,115404.35689411694
2014-04-11,115634.88240500676
2014-04-12,115634.88240500678
2014-04-13,115634.88240500678
2014-04-14,115634.88240500678
2014-04-15,114635.88329585825
2014-04-16,114888.22795278738
2014-04-17,116255.09682672039
2014-04-18,116255.09682672037
2014-04-19,116255.09682672037
2014-04-20,116255.09682672037
2014-04-21,117395.31138785355
2014-04-22,116422.72679314777
2014-04-23,117693.24155974423
2014-04-24,117693.24155974423
2014-04-25,116508.12570687098
2014-04-26,116508.12570687098
2014-04-27,116508.12570687098
2014-04-28,116314.48388511993
2014-04-29,116324.39692621474
2014-04-30,114938.14144816884
2014-05-01,114938.14144816886
2014-05-02,114603.43269241869
2014-05-03,114603.43269241869
2014-05-04,114603.43269241869
2014-05-05,113939.48019714744
2014-05-06,114738.24468548868
2014-05-07,114155.16807856406
2014-05-08,113493.5070302046
2014-05-09,115423.86724050809
2014-05-10,115423.86724050809
2014-05-11,115423.86724050809
2014-05-12,116385.5707733195
2014-05-13,118440.8085605262
2014-05-14,118514.62159782324
2014-05-15,116915.9852548263
2014-05-16,115339.09590583372
2014-05-17,115339.09590583372
2014-05-18,115339.09590583372
2014-05-19,113547.46935782299
2014-05-20,116560.41683317645
2014-05-21,116165.8548899705
2014-05-22,116304.59526535567
2014-05-23,117552.54216829626
2014-05-24,117552.54216829626
2014-05-25,117552.54216829626
2014-05-26,115197.47153019498
2014-05-27,115563.03812692064
2014-05-28,117508.01203232846
2014-05-29,116634.75822361141
2014-05-30,119245.60729873345
2014-05-31,119245.60729873345
2014-06-01,119245.60729873345
2014-06-02,122913.57753174653
2014-06-03,125385.8682815397
2014-06-04,127487.2035043693
2014-06-05,128128.44441433778
2014-06-06,128514.93231677012
2014-06-07,128514.93231677011
2014-06-08,128514.93231677011
2014-06-09,129758.88588483546
2014-06-10,129934.58106540571
2014-06-11,130405.06283572779
2014-06-12,132825.1669150621
2014-06-13,129986.0048659184
2014-06-14,129986.0048659184
2014-06-15,129986.0048659184
2014-06-16,130622.43108883125
2014-06-17,133210.8339516478
2014-06-18,132912.5584959464
2014-06-19,131675.4076232829
2014-06-20,131949.70006716668
2014-06-21,131949.70006716668
2014-06-22,131949.70006716668
2014-06-23,133172.5735770479
2014-06-24,135370.0448753042
2014-06-25,136015.08392961803
2014-06-26,134898.3244613971
2014-06-27,135204.43097496295
2014-06-28,135204.43097496298
2014-06-29,135204.43097496298
2014-06-30,137268.3535019014
2014-07-01,138431.96532504365
2014-07-02,140393.7504306789
2014-07-03,139862.55003093922
2014-07-04,140395.80484772348
2014-07-05,140395.8048477235
2014-07-06,140395.8048477235
2014-07-07,139739.1348240903
2014-07-08,133951.3833202876
2014-07-09,131342.12523174108
2014-07-10,134671.07156694878
2014-07-11,130372.39417023855
2014-07-12,130372.39417023855
2014-07-13,130372.39417023855
2014-07-14,132470.12577816733
2014-07-15,135238.90135791013
2014-07-16,140058.49983005348
2014-07-17,142132.51524169807
2014-07-18,142143.0115223793
2014-07-19,142143.01152237927
2014-07-20,142143.01152237927
2014-07-21,142238.0041330001
