Date,Capital
2015-02-01,150000.0
2015-02-02,150454.0936677532
2015-02-03,149765.48182404408
2015-02-04,149371.48746520712
2015-02-05,148038.96924772736
2015-02-06,147208.4469967026
2015-02-07,147208.4469967026
2015-02-08,147208.4469967026
2015-02-09,145872.93263711804
2015-02-10,145826.57459948683
2015-02-11,147432.46727767683
2015-02-12,147919.17682929416
2015-02-13,148104.854562575
2015-02-14,148104.854562575
2015-02-15,148104.854562575
2015-02-16,147887.36937990502
2015-02-17,147985.05642165625
2015-02-18,148470.54194605342
2015-02-19,149856.9075284333
2015-02-20,149759.72204813693
2015-02-21,149759.72204813693
2015-02-22,149759.72204813693
2015-02-23,149239.64634036983
2015-02-24,148215.6486045426
2015-02-25,147737.2765620112
2015-02-26,147049.51780812268
2015-02-27,147648.7223950534
2015-02-28,147648.7223950534
2015-03-01,147648.7223950534
2015-03-02,146147.62075329726
2015-03-03,146532.35863554457
2015-03-04,146754.45723851418
2015-03-05,147441.13366428725
2015-03-06,148602.10034600412
2015-03-07,148602.10034600412
2015-03-08,148602.10034600412
2015-03-09,146589.52393201966
2015-03-10,147475.59912003734
2015-03-11,147851.1240085499
2015-03-12,148866.16695921868
2015-03-13,146651.2121802274
2015-03-14,146651.2121802274
2015-03-15,146651.2121802274
2015-03-16,145268.18240057398
2015-03-17,143269.38190803374
2015-03-18,142953.78173698083
2015-03-19,141781.33680113812
2015-03-20,139453.48963056572
2015-03-21,139453.48963056572
2015-03-22,139453.48963056572
2015-03-23,137754.54376187205
2015-03-24,138082.87013096138
2015-03-25,135092.11204007774
2015-03-26,133409.460344739
2015-03-27,131942.69448921125
2015-03-28,131942.69448921125
2015-03-29,131942.69448921125
2015-03-30,133402.63895096834
2015-03-31,133195.2445830397
2015-04-01,137020.69520867761
2015-04-02,139820.91474349418
2015-04-03,139820.91474349418
2015-04-04,139820.91474349418
2015-04-05,139820.91474349418
2015-04-06,140792.57992282187
2015-04-07,146261.20993544615
2015-04-08,151126.9852426778
2015-04-09,154350.69856481027
2015-04-10,159550.84860370864
2015-04-11,159550.84860370864
2015-04-12,159550.84860370864
2015-04-13,164369.5629374559
2015-04-14,165346.57359133812
2015-04-15,165643.3351120599
2015-04-16,164017.7797238038
2015-04-17,161733.51630826504
2015-04-18,161733.51630826504
2015-04-19,161733.51630826504
2015-04-20,156497.9848411925
2015-04-21,154148.31834979836
2015-04-22,153465.69578404122
2015-04-23,155195.05450769467
2015-04-24,150831.66067287675
2015-04-25,150831.66067287675
2015-04-26,150831.66067287675
2015-04-27,146012.93017854003
2015-04-28,146102.7192857707
2015-04-29,146633.61255748404
2015-04-30,145062.4564936963
2015-05-01,146700.4255212513
2015-05-02,146700.4255212513
2015-05-03,146700.4255212513
2015-05-04,150846.88137970277
2015-05-05,155436.13912672497
2015-05-06,148074.16717066627
2015-05-07,145699.1252912695
2015-05-08,148800.3733197142
2015-05-09,148800.3733197142
2015-05-10,148800.3733197142
2015-05-11,150247.0622208261
2015-05-12,146168.20706639616
2015-05-13,147424.8472095288
2015-05-14,148305.30148023632
2015-05-15,148112.88503549626
2015-05-16,148112.88503549626
2015-05-17,148112.88503549626
2015-05-18,149706.2712467652
2015-05-19,148963.18917429884
2015-05-20,147624.4564461119
2015-05-21,147242.58509286327
2015-05-22,148778.09564140404
2015-05-23,148778.09564140404
2015-05-24,148778.09564140404
2015-05-25,148481.02768532318
2015-05-26,147971.0801457953
2015-05-27,146444.38901926985
2015-05-28,146421.39119629873
2015-05-29,147020.15073520795
2015-05-30,147020.15073520795
2015-05-31,147020.15073520795
2015-06-01,146360.69010904714
2015-06-02,142758.9710815475
2015-06-03,133976.44636107172
2015-06-04,134043.83364158735
2015-06-05,134177.62954683718
2015-06-06,134177.62954683718
2015-06-07,134177.62954683718
2015-06-08,132858.03668700025
2015-06-09,131308.19912866526
2015-06-10,133616.22767877462
2015-06-11,130628.44316318927
2015-06-12,129132.9467486736
2015-06-13,129132.9467486736
2015-06-14,129132.9467486736
2015-06-15,131275.44003877882
2015-06-16,130867.49874714424
2015-06-17,132566.1542738041
