Date,Capital
2014-02-17,249303.52297011623
2014-02-18,249989.14700537885
2014-02-19,251809.1879264651
2014-02-20,250879.43904426772
2014-02-21,251165.32838355514
2014-02-22,251165.32838355514
2014-02-23,251165.32838355514
2014-02-24,251374.05571112293
2014-02-25,250758.57486109828
2014-02-26,249752.79932341003
2014-02-27,249752.79932341003
2014-02-28,250199.58521958714
2014-03-01,250199.58521958714
2014-03-02,250199.58521958714
2014-03-03,250217.1663186706
2014-03-04,253134.04544880625
2014-03-05,254695.18219666407
2014-03-06,259636.3852467754
2014-03-07,261346.3889168629
2014-03-08,261346.3889168629
2014-03-09,261346.3889168629
2014-03-10,263315.9576315142
2014-03-11,263050.2369594865
2014-03-12,261266.78602376493
2014-03-13,259210.77048951865
2014-03-14,256778.60384878673
2014-03-15,256778.60384878673
2014-03-16,256778.60384878673
2014-03-17,256778.60384878673
2014-03-18,258216.8662129035
2014-03-19,257773.34184682142
2014-03-20,258393.15882089897
2014-03-21,260982.6237810588
2014-03-22,260982.6237810588
2014-03-23,260982.6237810588
2014-03-24,260709.86058105272
2014-03-25,261360.392339612
2014-03-26,264214.2805811373
2014-03-27,264157.0345086396
2014-03-28,267809.2066871694
2014-03-29,267809.2066871694
2014-03-30,267809.2066871694
2014-03-31,270175.87554194493
2014-04-01,272043.9260345709
2014-04-02,275716.249670963
2014-04-03,276828.0333767018
2014-04-04,281046.63220296777
2014-04-05,281046.63220296777
2014-04-06,281046.63220296777
2014-04-07,281476.2650926843
2014-04-08,281476.2650926843
2014-04-09,284835.34720232466
2014-04-10,282884.2616729829
2014-04-11,287586.89661984524
2014-04-12,287586.89661984524
2014-04-13,287586.89661984524
2014-04-14,287586.8966198453
2014-04-15,288602.03165407706
2014-04-16,283808.46959517454
2014-04-17,287920.50118046097
2014-04-18,287920.50118046097
2014-04-19,287920.50118046097
2014-04-20,287920.50118046097
2014-04-21,289489.8260571329
2014-04-22,290230.7009259791
2014-04-23,288765.2584795906
2014-04-24,288765.2584795906
2014-04-25,287570.33747712965
2014-04-26,287570.33747712965
2014-04-27,287570.33747712965
2014-04-28,287865.36099495075
2014-04-29,286977.3607803915
2014-04-30,282987.0993918511
2014-05-01,282987.0993918511
2014-05-02,283548.91646379663
2014-05-03,283548.91646379663
2014-05-04,283548.91646379663
2014-05-05,278390.1177987916
2014-05-06,281321.21030415234
2014-05-07,278944.09706655063
2014-05-08,277889.30843688425
2014-05-09,280929.05288261984
2014-05-10,280929.05288261984
2014-05-11,280929.05288261984
2014-05-12,279618.2853699728
2014-05-13,282796.8332754152
2014-05-14,284011.93000074127
2014-05-15,282254.55205845996
2014-05-16,283966.690914497
2014-05-17,283966.690914497
2014-05-18,283966.690914497
2014-05-19,291755.32515522075
2014-05-20,297154.03451333893
2014-05-21,301609.5822065088
2014-05-22,310922.06132505357
2014-05-23,314742.66820133023
2014-05-24,314742.66820133023
2014-05-25,314742.66820133023
2014-05-26,309447.46738150093
2014-05-27,309179.41799050977
2014-05-28,312699.92678963096
2014-05-29,312267.79452833
2014-05-30,312657.63677099947
2014-05-31,312657.63677099947
2014-06-01,312657.63677099947
2014-06-02,315694.00165282725
2014-06-03,317024.21138843
2014-06-04,320860.6609032301
2014-06-05,325312.3347854048
2014-06-06,331677.557735029
2014-06-07,331677.557735029
2014-06-08,331677.557735029
2014-06-09,336648.235694937
2014-06-10,341177.22815284494
2014-06-11,341256.25603578205
2014-06-12,344138.7721580135
2014-06-13,338129.8917084964
2014-06-14,338129.8917084964
2014-06-15,338129.8917084964
2014-06-16,340114.93189493765
2014-06-17,342494.6131155085
2014-06-18,340635.7199268548
2014-06-19,344518.9155113202
2014-06-20,344291.7051133207
