Date,Capital
2014-05-01,700000.0
2014-05-02,700291.8592031305
2014-05-03,700291.8592031305
2014-05-04,700291.8592031305
2014-05-05,700510.9261152188
2014-05-06,700286.3090848877
2014-05-07,700543.3588877006
2014-05-08,701092.4914582015
2014-05-09,701095.5255817929
2014-05-10,701095.5255817929
2014-05-11,701095.5255817929
2014-05-12,701481.0206300796
2014-05-13,700871.1985476487
2014-05-14,700884.0823968279
2014-05-15,700640.7553350568
2014-05-16,700310.705435324
2014-05-17,700310.705435324
2014-05-18,700310.705435324
2014-05-19,701695.5979056874
2014-05-20,701789.5191077285
2014-05-21,702101.3456196894
2014-05-22,701693.7504319658
2014-05-23,701392.0005036476
2014-05-24,701392.0005036476
2014-05-25,701392.0005036476
2014-05-26,701021.5017900656
2014-05-27,701596.5124964007
2014-05-28,702577.9322097556
2014-05-29,702553.1406622168
2014-05-30,703151.7513032424
2014-05-31,703151.7513032424
2014-06-01,703151.7513032424
2014-06-02,704334.6700144714
2014-06-03,705673.190436945
2014-06-04,707083.0977653918
2014-06-05,706349.3720541272
2014-06-06,707621.3290034528
2014-06-07,707621.3290034528
2014-06-08,707621.3290034528
2014-06-09,707341.6463383343
2014-06-10,705279.7858561834
2014-06-11,704605.4351612212
2014-06-12,705360.0839785634
2014-06-13,702991.6952898788
2014-06-14,702991.6952898788
2014-06-15,702991.6952898788
2014-06-16,704168.5391465791
2014-06-17,706215.460208411
2014-06-18,706198.4471371316
2014-06-19,706006.7764945487
2014-06-20,705186.4162773299
2014-06-21,705186.4162773299
2014-06-22,705186.4162773299
2014-06-23,706805.4124051973
2014-06-24,707573.2609832232
2014-06-25,709034.9903571514
2014-06-26,709039.2881082777
2014-06-27,707923.1750654712
2014-06-28,707923.1750654712
2014-06-29,707923.1750654712
2014-06-30,709361.9026079146
2014-07-01,709503.2701950471
2014-07-02,710157.4537432874
2014-07-03,710891.0818276217
2014-07-04,710768.7719379617
2014-07-05,710768.7719379617
2014-07-06,710768.7719379617
2014-07-07,708960.5875942736
2014-07-08,706725.0792191114
2014-07-09,705990.3104956136
2014-07-10,707976.7544167561
2014-07-11,703410.5621000497
2014-07-12,703410.5621000497
2014-07-13,703410.5621000497
2014-07-14,703461.1353130153
2014-07-15,705622.3880830426
2014-07-16,706994.5182491088
2014-07-17,708734.9213565339
2014-07-18,707937.811732591
2014-07-19,707937.811732591
2014-07-20,707937.811732591
2014-07-21,707661.9511024888
2014-07-22,707071.5989244974
2014-07-23,706714.7254670153
2014-07-24,706852.9179141372
2014-07-25,706262.1637877221
2014-07-26,706262.1637877221
2014-07-27,706262.1637877221
2014-07-28,704114.2067988508
2014-07-29,704114.2067988508
2014-07-30,704864.8660895773
2014-07-31,705636.8122846244
2014-08-01,704028.7243801255
2014-08-02,704028.7243801255
2014-08-03,704028.7243801255
2014-08-04,702801.3392141449
2014-08-05,703904.4836826858
2014-08-06,703384.5064776944
2014-08-07,704220.2519869136
2014-08-08,701951.0400980697
2014-08-09,701951.0400980697
2014-08-10,701951.0400980697
2014-08-11,701103.5942328925
2014-08-12,700378.8290900277
2014-08-13,698175.7410266312
2014-08-14,701560.8731917727
2014-08-15,701560.8731917727
2014-08-16,701560.8731917727
2014-08-17,701560.8731917727
2014-08-18,704306.0730503846
2014-08-19,706432.1073423048
2014-08-20,706081.222649282
2014-08-21,706361.9738321374
2014-08-22,706605.0711337794
2014-08-23,706605.0711337794
2014-08-24,706605.0711337794
2014-08-25,707777.2540482676
2014-08-26,706847.7479284127
2014-08-27,707702.128165188
2014-08-28,706100.1198941146
2014-08-29,706100.1198941146
2014-08-30,706100.1198941146
2014-08-31,706100.1198941146
2014-09-01,705630.8735323746
2014-09-02,706615.285170315
2014-09-03,706801.4724183999
2014-09-04,705833.3735223933
2014-09-05,705103.4346182528
2014-09-06,705103.4346182528
2014-09-07,705103.4346182528
2014-09-08,706080.5664624512
2014-09-09,705037.3208848333
2014-09-10,705111.7793423596
2014-09-11,706672.3338896728
2014-09-12,706653.8798571979
2014-09-13,706653.8798571979
2014-09-14,706653.8798571979
2014-09-15,704835.5313280898
2014-09-16,700261.0079466928
2014-09-17,700265.9234196788
2014-09-18,702984.7104229922
2014-09-19,701604.6163247965
2014-09-20,701604.6163247965
2014-09-21,701604.6163247965
2014-09-22,701004.2069380935
2014-09-23,701044.8617398017
