Date,Capital
2014-01-04,100000.0
2014-01-05,100000.0
2014-01-06,100473.38800922626
2014-01-07,100239.11703420561
2014-01-08,99401.50965031804
2014-01-09,97910.63812779583
2014-01-10,98347.8768017478
2014-01-11,98347.8768017478
2014-01-12,98347.8768017478
2014-01-13,98514.78418456405
2014-01-14,99657.81963185052
2014-01-15,100098.65590290085
2014-01-16,99972.56116752318
2014-01-17,100685.89477679208
2014-01-18,100685.89477679206
2014-01-19,100685.89477679206
2014-01-20,99191.41405238453
2014-01-21,98816.3483288931
2014-01-22,99233.34812789304
2014-01-23,99537.1653711526
2014-01-24,99094.89458490882
2014-01-25,99094.89458490882
2014-01-26,99094.89458490882
2014-01-27,100742.82430646938
2014-01-28,100752.30524142456
2014-01-29,100349.22451084369
2014-01-30,99801.59289956177
2014-01-31,99794.0662717086
2014-02-01,99794.0662717086
2014-02-02,99794.0662717086
2014-02-03,100404.025543986
2014-02-04,100622.02305466494
2014-02-05,100337.03520254671
2014-02-06,100931.2676284081
2014-02-07,101428.47594698444
2014-02-08,101428.47594698444
2014-02-09,101428.47594698444
2014-02-10,101849.24822423168
2014-02-11,102475.99214118566
2014-02-12,102392.88022977766
2014-02-13,102139.41943999761
2014-02-14,101814.82705228595
2014-02-15,101814.82705228595
2014-02-16,101814.82705228595
2014-02-17,101483.61843080168
2014-02-18,101918.53281510834
2014-02-19,101857.98905753046
2014-02-20,102164.91381972047
2014-02-21,102299.43405213117
2014-02-22,102299.43405213117
2014-02-23,102299.43405213117
2014-02-24,102061.58139889908
2014-02-25,101489.54416966344
2014-02-26,101465.19826633287
2014-02-27,101465.19826633288
2014-02-28,101602.70514615931
2014-03-01,101602.7051461593
2014-03-02,101602.7051461593
2014-03-03,101828.50299975848
2014-03-04,101705.89402472261
2014-03-05,102157.2191084283
2014-03-06,102723.89088333017
2014-03-07,103381.70181132501
2014-03-08,103381.70181132501
2014-03-09,103381.70181132501
2014-03-10,104110.95252265575
2014-03-11,103494.2948204158
2014-03-12,102490.1035261836
2014-03-13,101290.21405812031
2014-03-14,101060.74698843458
2014-03-15,101060.74698843458
2014-03-16,101060.74698843458
2014-03-17,101060.74698843458
2014-03-18,100981.80522501131
2014-03-19,101693.9598415504
2014-03-20,100889.35940632943
2014-03-21,101301.85848727789
2014-03-22,101301.8584872779
2014-03-23,101301.8584872779
2014-03-24,101553.88844662633
2014-03-25,101993.64970464233
2014-03-26,102242.02725419322
2014-03-27,102359.46999846287
2014-03-28,103063.25868746043
2014-03-29,103063.25868746043
2014-03-30,103063.25868746043
2014-03-31,101712.68280611999
2014-04-01,101794.667260137
2014-04-02,101425.93111130713
2014-04-03,101306.56647883836
2014-04-04,102029.3363092848
2014-04-05,102029.3363092848
2014-04-06,102029.3363092848
2014-04-07,102091.12602562252
2014-04-08,102091.12602562252
2014-04-09,103353.0321469635
2014-04-10,103919.08305114094
2014-04-11,104407.54868190746
2014-04-12,104407.54868190744
2014-04-13,104407.54868190744
2014-04-14,104407.54868190744
2014-04-15,103762.89395464586
2014-04-16,103598.1817670069
2014-04-17,102691.37650410089
2014-04-18,102691.37650410089
2014-04-19,102691.37650410089
2014-04-20,102691.37650410089
2014-04-21,102394.59822231758
2014-04-22,102289.64239871323
2014-04-23,102266.82029897146
2014-04-24,102266.82029897146
2014-04-25,101513.44821549949
2014-04-26,101513.44821549949
2014-04-27,101513.44821549949
2014-04-28,100492.79571532081
2014-04-29,100861.76998834519
2014-04-30,100862.50830452636
2014-05-01,100862.50830452636
2014-05-02,101005.44253082047
2014-05-03,101005.44253082047
2014-05-04,101005.44253082047
2014-05-05,100081.93063737593
2014-05-06,100466.660878358
2014-05-07,100351.10590563575
2014-05-08,100433.41305481145
2014-05-09,100199.77900773307
2014-05-10,100199.77900773307
2014-05-11,100199.77900773307
2014-05-12,101145.73605697491
2014-05-13,101643.24222858655
2014-05-14,101671.34207988533
2014-05-15,102613.61905648673
2014-05-16,102508.39293630671
2014-05-17,102508.39293630673
2014-05-18,102508.39293630673
2014-05-19,104129.78201305812
2014-05-20,104347.32858417826
2014-05-21,104316.56004817325
2014-05-22,104627.16324416926
2014-05-23,105380.16676930196
2014-05-24,105380.16676930196
2014-05-25,105380.16676930196
2014-05-26,104815.48980283384
2014-05-27,104882.90533495841
2014-05-28,103718.22381089017
2014-05-29,103705.94646573481
2014-05-30,103482.78527233344
2014-05-31,103482.78527233344
2014-06-01,103482.78527233344
2014-06-02,102218.10204380464
2014-06-03,101498.10402140074
2014-06-04,101357.50055591995
2014-06-05,101658.9236395708
2014-06-06,100811.66832039329
2014-06-07,100811.66832039329
2014-06-08,100811.66832039329
2014-06-09,100400.96764320497
2014-06-10,100537.3081211771
2014-06-11,101208.7717227124
2014-06-12,101344.980060729
2014-06-13,100966.90186160877
2014-06-14,100966.90186160877
2014-06-15,100966.90186160877
2014-06-16,102044.46534336376
2014-06-17,100285.95723663097
2014-06-18,99246.34477529809
2014-06-19,99439.92267009677
2014-06-20,99655.82199740593
2014-06-21,99655.82199740593
2014-06-22,99655.82199740593
2014-06-23,99476.0095696767
2014-06-24,99182.20957168905
2014-06-25,98222.28069414974
2014-06-26,98406.01849461833
2014-06-27,98883.38803038839
2014-06-28,98883.38803038839
2014-06-29,98883.38803038839
2014-06-30,97830.38110058072
2014-07-01,98921.83129577483
2014-07-02,98454.89602944015
2014-07-03,97978.90173946376
2014-07-04,98418.46141841858
2014-07-05,98418.46141841858
2014-07-06,98418.46141841858
2014-07-07,97571.60247728361
2014-07-08,96885.59046591439
2014-07-09,96459.0840949251
2014-07-10,95121.61948883766
2014-07-11,94695.42237666778
2014-07-12,94695.42237666778
2014-07-13,94695.42237666778
2014-07-14,94779.61157227441
2014-07-15,93623.05133788467
2014-07-16,93393.6624864108
2014-07-17,93704.2353684942
2014-07-18,94132.87111472963
2014-07-19,94132.87111472963
2014-07-20,94132.87111472963
2014-07-21,92831.79491264395
2014-07-22,92679.77256485779
2014-07-23,93333.85903073008
2014-07-24,93553.5621541806
2014-07-25,93816.6280201874
2014-07-26,93816.62802018739
2014-07-27,93816.62802018739
2014-07-28,94117.03770153018
2014-07-29,94117.03770153018
2014-07-30,93617.17662778852
2014-07-31,93958.54115458501
2014-08-01,94128.80649278116
2014-08-02,94128.80649278116
2014-08-03,94128.80649278116
2014-08-04,94642.11452842366
2014-08-05,94540.93910451703
2014-08-06,94577.98746083959
2014-08-07,93184.9460202425
2014-08-08,93034.77907784657
2014-08-09,93034.77907784657
2014-08-10,93034.77907784657
2014-08-11,93632.82461499149
