Date,Capital
2014-05-01,400000.0
2014-05-02,400291.85920313053
2014-05-03,400291.85920313053
2014-05-04,400291.85920313053
2014-05-05,400510.9261152188
2014-05-06,400286.30908488773
2014-05-07,400543.3588877006
2014-05-08,401092.49145820155
2014-05-09,401095.525581793
2014-05-10,401095.525581793
2014-05-11,401095.525581793
2014-05-12,401481.02063007955
2014-05-13,400871.19854764873
2014-05-14,400884.0823968279
2014-05-15,400640.75533505686
2014-05-16,400310.705435324
2014-05-17,400310.705435324
2014-05-18,400310.705435324
2014-05-19,401695.59790568746
2014-05-20,401789.51910772844
2014-05-21,402101.34561968944
2014-05-22,401693.75043196575
2014-05-23,401392.0005036476
2014-05-24,401392.0005036476
2014-05-25,401392.0005036476
2014-05-26,401021.50179006555
2014-05-27,401596.51249640074
2014-05-28,402577.93220975564
2014-05-29,402553.1406622168
2014-05-30,403151.7513032424
2014-05-31,403151.7513032424
2014-06-01,403151.7513032424
2014-06-02,404334.6700144714
2014-06-03,405673.19043694495
2014-06-04,407083.0977653918
2014-06-05,406349.37205412716
2014-06-06,407621.32900345273
2014-06-07,407621.32900345273
2014-06-08,407621.32900345273
2014-06-09,407341.64633833425
2014-06-10,405279.7858561833
2014-06-11,404605.4351612212
2014-06-12,405360.08397856343
2014-06-13,402991.69528987876
2014-06-14,402991.69528987876
2014-06-15,402991.69528987876
2014-06-16,404168.53914657916
2014-06-17,406215.460208411
2014-06-18,406198.4471371316
2014-06-19,406006.77649454866
2014-06-20,405186.41627732984
2014-06-21,405186.41627732984
2014-06-22,405186.41627732984
2014-06-23,406805.4124051972
2014-06-24,407573.2609832232
2014-06-25,409034.9903571514
2014-06-26,409039.2881082777
2014-06-27,407923.1750654712
2014-06-28,407923.1750654712
2014-06-29,407923.1750654712
2014-06-30,409361.90260791464
2014-07-01,409503.27019504714
2014-07-02,410157.4537432873
2014-07-03,410891.08182762173
2014-07-04,410768.77193796163
2014-07-05,410768.77193796163
2014-07-06,410768.77193796163
2014-07-07,408960.5875942736
2014-07-08,406725.07921911136
2014-07-09,405990.3104956136
2014-07-10,407976.75441675604
2014-07-11,403410.5621000497
2014-07-12,403410.5621000497
2014-07-13,403410.5621000497
2014-07-14,403461.1353130153
2014-07-15,405622.3880830425
2014-07-16,406994.5182491088
2014-07-17,408734.92135653395
2014-07-18,407937.811732591
2014-07-19,407937.811732591
2014-07-20,407937.811732591
2014-07-21,407661.9511024888
2014-07-22,407071.5989244974
2014-07-23,406714.7254670153
2014-07-24,406852.91791413724
2014-07-25,406262.1637877221
2014-07-26,406262.1637877221
2014-07-27,406262.1637877221
2014-07-28,404114.2067988508
2014-07-29,404114.2067988508
2014-07-30,404864.86608957726
2014-07-31,405636.8122846245
2014-08-01,404028.7243801255
2014-08-02,404028.7243801255
2014-08-03,404028.7243801255
2014-08-04,402801.33921414486
2014-08-05,403904.4836826858
2014-08-06,403384.5064776944
2014-08-07,404220.2519869137
2014-08-08,401951.04009806976
2014-08-09,401951.04009806976
2014-08-10,401951.04009806976
2014-08-11,401103.5942328925
2014-08-12,400378.8290900277
2014-08-13,398175.7410266312
2014-08-14,401560.8731917727
2014-08-15,401560.8731917727
