Date,Capital
2014-03-03,199838.65078014223
2014-03-04,199452.23636152933
2014-03-05,198557.24008106397
2014-03-06,196858.49544157845
2014-03-07,195233.95798953064
2014-03-08,195233.95798953064
2014-03-09,195233.95798953064
2014-03-10,194173.94755821978
2014-03-11,194516.1762702288
2014-03-12,194090.59375994123
2014-03-13,195424.99210946355
2014-03-14,196529.95681609114
2014-03-15,196529.95681609114
2014-03-16,196529.95681609114
2014-03-17,196529.95681609114
2014-03-18,196617.96965269835
2014-03-19,197138.49513888167
2014-03-20,195693.6819068656
2014-03-21,195675.6454956755
2014-03-22,195675.6454956755
2014-03-23,195675.6454956755
2014-03-24,195913.1596933906
2014-03-25,196499.66903547614
2014-03-26,193593.1108448966
2014-03-27,193843.5447625392
2014-03-28,193069.48546897696
2014-03-29,193069.48546897696
2014-03-30,193069.48546897696
2014-03-31,192029.47205510986
2014-04-01,191746.44720427247
2014-04-02,190789.7874306402
2014-04-03,190955.68771647627
2014-04-04,190708.53749163338
2014-04-05,190708.53749163338
2014-04-06,190708.53749163338
2014-04-07,190574.1715267085
2014-04-08,190574.1715267085
2014-04-09,190140.37737668102
2014-04-10,193049.76572230406
2014-04-11,191497.3781716413
2014-04-12,191497.3781716413
2014-04-13,191497.3781716413
2014-04-14,191497.3781716413
2014-04-15,190498.21774388698
2014-04-16,191559.40287462482
2014-04-17,192764.1919311317
2014-04-18,192764.1919311317
2014-04-19,192764.1919311317
2014-04-20,192764.1919311317
2014-04-21,192978.94998634615
2014-04-22,193921.89016396127
2014-04-23,193312.44954910994
2014-04-24,193312.44954910994
2014-04-25,192868.3652418988
2014-04-26,192868.3652418988
2014-04-27,192868.3652418988
2014-04-28,193289.36500310726
2014-04-29,192366.08478903194
2014-04-30,191551.37362379045
2014-05-01,191551.37362379045
2014-05-02,192938.67627272464
2014-05-03,192938.67627272464
2014-05-04,192938.67627272464
2014-05-05,195342.58611805434
2014-05-06,193977.04530469142
2014-05-07,195280.6231092628
2014-05-08,196715.2555576678
2014-05-09,197097.0763104605
2014-05-10,197097.0763104605
2014-05-11,197097.0763104605
2014-05-12,198873.07187009632
2014-05-13,199054.65505716918
2014-05-14,198583.1573332431
2014-05-15,197891.8420760621
2014-05-16,200688.3705464335
2014-05-17,200688.3705464335
2014-05-18,200688.3705464335
2014-05-19,205763.49953955982
2014-05-20,204920.0403816611
2014-05-21,205117.69301852642
2014-05-22,203267.5476036947
2014-05-23,203819.63401536839
2014-05-24,203819.63401536839
2014-05-25,203819.63401536839
2014-05-26,203537.75549262104
2014-05-27,201739.22210439606
2014-05-28,201693.76617696485
2014-05-29,200711.49922447617
2014-05-30,199939.43484117644
2014-05-31,199939.43484117644
2014-06-01,199939.43484117644
2014-06-02,201645.37116638757
2014-06-03,202489.46341610677
2014-06-04,203952.8330747264
2014-06-05,203236.1753031607
2014-06-06,202402.39393207076
2014-06-07,202402.39393207076
2014-06-08,202402.39393207076
2014-06-09,203880.0616256451
2014-06-10,201372.0311693292
2014-06-11,199353.59024821094
2014-06-12,200047.85767033015
2014-06-13,199918.50142644517
2014-06-14,199918.50142644517
2014-06-15,199918.50142644517
2014-06-16,199038.3449266164
2014-06-17,200175.93805847724
2014-06-18,200813.09738139165
2014-06-19,199502.13789174324
2014-06-20,198743.62837496508
2014-06-21,198743.62837496508
2014-06-22,198743.62837496508
2014-06-23,199850.32849544793
2014-06-24,200827.62725107372
2014-06-25,201853.8397908284
2014-06-26,200052.7412629648
2014-06-27,199219.45447156142
2014-06-28,199219.45447156142
2014-06-29,199219.45447156142
2014-06-30,200159.3083089843
2014-07-01,200140.09607670933
2014-07-02,197908.88632557532
2014-07-03,197363.97154433228
2014-07-04,199014.4984783992
2014-07-05,199014.4984783992
2014-07-06,199014.4984783992
2014-07-07,199660.32525083274
2014-07-08,198868.95208108288
2014-07-09,197797.0982717559
2014-07-10,200188.37158504382
2014-07-11,197956.12121856128
2014-07-12,197956.12121856128
2014-07-13,197956.12121856128
2014-07-14,196598.72575717157
2014-07-15,195619.32229749882
2014-07-16,197409.76132761966
2014-07-17,197581.89176751857
2014-07-18,198174.69213485412
2014-07-19,198174.69213485412
2014-07-20,198174.69213485412
2014-07-21,197353.4117721928
2014-07-22,196752.1984952878
2014-07-23,197722.87554001866
2014-07-24,195891.45648330066
2014-07-25,196140.9577441693
2014-07-26,196140.9577441693
2014-07-27,196140.9577441693
2014-07-28,196177.3992271563
2014-07-29,196177.3992271563
2014-07-30,196654.2240809141
2014-07-31,197245.9476795273
2014-08-01,195200.02922537786
2014-08-02,195200.02922537786
2014-08-03,195200.02922537786
2014-08-04,194144.93484967755
2014-08-05,194384.2656004991
2014-08-06,195031.2991258889
2014-08-07,194992.29623988082
2014-08-08,195728.71540709818
2014-08-09,195728.71540709818
2014-08-10,195728.71540709818
2014-08-11,195490.85384543575
2014-08-12,194581.88159728708
2014-08-13,197078.00701404992
2014-08-14,198052.76267447136
2014-08-15,198052.76267447136
2014-08-16,198052.76267447136
2014-08-17,198052.76267447136
2014-08-18,196973.04409491358
2014-08-19,196215.52484695637
2014-08-20,195814.34105396346
2014-08-21,194571.89442261198
2014-08-22,195741.33340833307
2014-08-23,195741.33340833307
2014-08-24,195741.33340833307
2014-08-25,197952.95006590834
2014-08-26,202214.5836077227
2014-08-27,202717.87421890587
2014-08-28,201396.03927664028
2014-08-29,201396.03927664028
2014-08-30,201396.03927664028
2014-08-31,201396.03927664028
2014-09-01,200138.58129119588
2014-09-02,200248.08054279242
2014-09-03,201021.29768420348
2014-09-04,201689.96879202907
2014-09-05,202703.49443269084
2014-09-06,202703.49443269084
2014-09-07,202703.49443269084
2014-09-08,200601.52709793608
2014-09-09,202397.6589220268
2014-09-10,201768.7582310614
2014-09-11,200353.27500326675
2014-09-12,201478.0408222455
2014-09-13,201478.0408222455
2014-09-14,201478.0408222455
2014-09-15,199748.7503378105
2014-09-16,199230.98140907544
2014-09-17,200276.83603426785
2014-09-18,200231.72702852456
2014-09-19,199248.35972089192
2014-09-20,199248.35972089192
2014-09-21,199248.35972089192
2014-09-22,199036.72060861648
2014-09-23,199040.45200013567
2014-09-24,201397.45523624998
2014-09-25,205326.8378336139
2014-09-26,205869.50180497247
2014-09-27,205869.50180497247
2014-09-28,205869.50180497247
2014-09-29,207088.94842553584
2014-09-30,209325.91757876234
2014-10-01,208735.06552864832
2014-10-02,208735.06552864832
2014-10-03,208735.06552864832
2014-10-04,208735.06552864832
2014-10-05,208735.06552864832
2014-10-06,208735.06552864832
2014-10-07,207367.82107252392
2014-10-08,204761.3456405662
2014-10-09,202391.51769213786
2014-10-10,201880.06987399864
2014-10-11,201880.06987399864
2014-10-12,201880.06987399864
2014-10-13,201092.97723132608
2014-10-14,204231.0029246856
2014-10-15,204231.0029246856
2014-10-16,204590.51518721078
2014-10-17,204612.32341716252
2014-10-18,204612.32341716252
2014-10-19,204612.32341716252
2014-10-20,204710.98813090046
2014-10-21,202550.24463995002
2014-10-22,201032.99731790373
2014-10-23,201032.99731790373
2014-10-24,201032.99731790373
2014-10-25,201032.99731790373
2014-10-26,201032.99731790373
2014-10-27,202327.78846490302
2014-10-28,202420.00287230016
2014-10-29,200167.35043134802
2014-10-30,200086.61078044897
2014-10-31,199040.27446306718
2014-11-01,199040.27446306718
2014-11-02,199040.27446306718
2014-11-03,197094.1385367398
2014-11-04,197094.1385367398
2014-11-05,197718.8445290331
2014-11-06,197718.8445290331
2014-11-07,197441.469277617
2014-11-08,197441.469277617
2014-11-09,197441.469277617
2014-11-10,198379.2807603543
2014-11-11,198430.18995585223
2014-11-12,197641.90850545035
2014-11-13,198312.9199021653
2014-11-14,198029.7388141785
2014-11-15,198029.7388141785
2014-11-16,198029.7388141785
2014-11-17,198827.1844728139
2014-11-18,198159.17338642824
2014-11-19,198769.5910550836
2014-11-20,199236.4671392106
2014-11-21,200444.88915790064
2014-11-22,200444.88915790064
2014-11-23,200444.88915790064
2014-11-24,199047.65893177048
2014-11-25,200509.32364731905
2014-11-26,199301.47860448144
2014-11-27,200022.60536534435
2014-11-28,200311.2318308558
2014-11-29,200311.2318308558
2014-11-30,200311.2318308558
2014-12-01,199601.62709520507
2014-12-02,200016.0243690545
2014-12-03,200731.77512764256
2014-12-04,200687.3585824175
2014-12-05,199754.30764879333
2014-12-06,199754.30764879333
2014-12-07,199754.30764879333
2014-12-08,199599.25621554183
2014-12-09,199213.77691937354
2014-12-10,199835.97441189637
2014-12-11,200181.1009614381
2014-12-12,200271.09838601603
2014-12-13,200271.09838601603
2014-12-14,200271.09838601603
2014-12-15,201157.66213341273
2014-12-16,200315.94222100818
2014-12-17,199735.9221932151
2014-12-18,202849.62610826176
2014-12-19,204019.42797419446
2014-12-20,204019.42797419446
2014-12-21,204019.42797419446
2014-12-22,205782.5115420334
2014-12-23,208775.54855139245
2014-12-24,209852.6137154434
2014-12-25,209852.6137154434
2014-12-26,212119.45821360458
