Date,Capital
2018-01-01,99417.26690589027
2018-01-02,98100.6596082389
2018-01-03,98256.43954046885
2018-01-04,97312.1301464038
2018-01-05,97540.75073373358
2018-01-06,97540.75073373358
2018-01-07,97540.75073373358
2018-01-08,97770.04119033457
2018-01-09,97524.41489788893
2018-01-10,97473.35334917501
2018-01-11,97397.09034111405
2018-01-12,96906.52807157287
2018-01-13,96906.52807157287
2018-01-14,96906.52807157287
2018-01-15,97024.60551606152
2018-01-16,97717.6562490513
2018-01-17,98258.01016050813
2018-01-18,98564.39609918228
2018-01-19,99108.11491667965
2018-01-20,99108.11491667965
2018-01-21,99108.11491667965
2018-01-22,99332.57370058753
2018-01-23,99405.79884559654
2018-01-24,99114.81635787092
2018-01-25,98484.62325522256
2018-01-26,98484.62325522256
2018-01-27,98484.62325522256
2018-01-28,98484.62325522256
2018-01-29,98566.38766466321
2018-01-30,99090.51264492833
2018-01-31,99415.34733058664
2018-02-01,100907.86498994102
2018-02-02,100793.61579527693
2018-02-03,100793.61579527693
2018-02-04,100793.61579527693
2018-02-05,100298.24199477363
2018-02-06,100704.80229102708
2018-02-07,100737.0260491108
2018-02-08,100266.50698465451
2018-02-09,100260.47059645869
2018-02-10,100260.47059645869
2018-02-11,100260.47059645869
2018-02-12,99626.43268441394
2018-02-13,99626.43268441394
2018-02-14,99536.17436933974
2018-02-15,100026.13649967365
2018-02-16,99383.20042066603
2018-02-17,99383.20042066603
2018-02-18,99383.20042066603
2018-02-19,99666.59207039139
2018-02-20,99897.00143050477
2018-02-21,100715.96172955666
2018-02-22,100723.26463329354
2018-02-23,100658.6115701631
2018-02-24,100658.6115701631
2018-02-25,100658.6115701631
2018-02-26,100954.76168888877
2018-02-27,101378.03186145001
2018-02-28,101764.22416037339
2018-03-01,101727.83785620033
2018-03-02,101727.83785620033
2018-03-03,101727.83785620033
2018-03-04,101727.83785620033
2018-03-05,101919.15431529982
2018-03-06,102545.71278205591
2018-03-07,102543.74977208368
2018-03-08,102906.27331034739
2018-03-09,102486.85770007514
2018-03-10,102486.85770007514
2018-03-11,102486.85770007514
2018-03-12,102858.32090516078
2018-03-13,103136.73409534883
2018-03-14,103179.9794555135
2018-03-15,103193.90272388863
2018-03-16,103310.44450999169
2018-03-17,103310.44450999169
2018-03-18,103310.44450999169
2018-03-19,102561.89080516466
2018-03-20,102726.33828176335
2018-03-21,102840.89317137374
2018-03-22,102765.71071464974
2018-03-23,102651.23771095714
2018-03-24,102651.23771095714
2018-03-25,102651.23771095714
2018-03-26,103103.70050204337
2018-03-27,103044.06188684188
2018-03-28,103153.63901228152
2018-03-29,103153.63901228152
2018-03-30,103153.63901228152
2018-03-31,103153.63901228152
2018-04-01,103153.63901228152
2018-04-02,103934.90541645624
2018-04-03,103872.51492898221
2018-04-04,103910.68777859258
2018-04-05,103900.07917331335
2018-04-06,103743.30451591636
2018-04-07,103743.30451591636
2018-04-08,103743.30451591636
2018-04-09,104386.2368029769
2018-04-10,104340.61793757477
2018-04-11,103411.66907207828
2018-04-12,102777.64107917974
2018-04-13,102611.30458328381
2018-04-14,102611.30458328381
2018-04-15,102611.30458328381
2018-04-16,102931.97131504686
2018-04-17,103196.8129084482
2018-04-18,103021.86256511034
2018-04-19,102408.68187459941
2018-04-20,102244.34096868875
2018-04-21,102244.34096868875
2018-04-22,102244.34096868875
2018-04-23,102958.70926941813
2018-04-24,102913.96921945906
2018-04-25,102885.182081532
2018-04-26,103023.28134993388
2018-04-27,103137.8515670281
2018-04-28,103137.8515670281
2018-04-29,103137.8515670281
2018-04-30,103395.2709650452
2018-05-01,103395.2709650452
2018-05-02,103108.51091370682
2018-05-03,103108.72259740367
2018-05-04,103242.02105503793
2018-05-05,103242.02105503793
2018-05-06,103242.02105503793
2018-05-07,103809.62041515995
2018-05-08,104079.70364140165
2018-05-09,103374.61067002435
2018-05-10,103508.14944988066
2018-05-11,104432.84641229355
2018-05-12,104432.84641229355
2018-05-13,104432.84641229355
2018-05-14,104842.82017568425
2018-05-15,105041.39264314405
2018-05-16,104895.59482710111
2018-05-17,104886.68163810096
2018-05-18,105303.8929651559
2018-05-19,105303.8929651559
2018-05-20,105303.8929651559
2018-05-21,105319.9709488515
2018-05-22,105200.22405754178
2018-05-23,104214.75296760777
2018-05-24,104426.23471329173
2018-05-25,104930.4163311808
2018-05-26,104930.4163311808
2018-05-27,104930.4163311808
2018-05-28,104814.78131488351
2018-05-29,104219.81276560489
2018-05-30,104316.01952632499
2018-05-31,104827.19023372438
2018-06-01,105113.31961733023
2018-06-02,105113.31961733023
2018-06-03,105113.31961733023
2018-06-04,105088.39532969892
2018-06-05,105463.12059724335
2018-06-06,105343.16069093444
2018-06-07,105760.87843448277
2018-06-08,104396.23674070972
2018-06-09,104396.23674070972
2018-06-10,104396.23674070972
2018-06-11,104819.24844276394
2018-06-12,104725.41842126456
2018-06-13,104678.81436736532
2018-06-14,104487.75127427926
2018-06-15,104287.007212222
2018-06-16,104287.007212222
2018-06-17,104287.007212222
2018-06-18,104534.57925530139
2018-06-19,103838.7974218406
2018-06-20,103712.64826237102
2018-06-21,104024.80337753559
2018-06-22,104136.81289502638
2018-06-23,104136.81289502638
2018-06-24,104136.81289502638
2018-06-25,104678.4879062885
2018-06-26,104704.16325965823
2018-06-27,104393.57405078942
2018-06-28,103428.57735935916
2018-06-29,103215.8710655873
2018-06-30,103215.8710655873
2018-07-01,103215.8710655873
2018-07-02,103595.39410552655
2018-07-03,103581.66452862647
2018-07-04,103117.53146010535
2018-07-05,103636.34943142373
2018-07-06,103487.65510711508
2018-07-07,103487.65510711508
2018-07-08,103487.65510711508
2018-07-09,103917.60138187406
2018-07-10,104188.63918569572
2018-07-11,104391.55161691827
2018-07-12,105071.9655167438
2018-07-13,105343.27057228677
2018-07-14,105343.27057228677
2018-07-15,105343.27057228677
2018-07-16,105820.16212662074
2018-07-17,106311.19658559778
2018-07-18,106400.64102973764
2018-07-19,106222.07721268582
2018-07-20,106422.72906493378
2018-07-21,106422.72906493378
2018-07-22,106422.72906493378
2018-07-23,107233.58418020708
2018-07-24,106978.08687901683
2018-07-25,107274.80493744073
2018-07-26,107471.30816921042
2018-07-27,107355.9591396877
2018-07-28,107355.9591396877
2018-07-29,107355.9591396877
2018-07-30,107116.12628963363
2018-07-31,106612.09320011317
2018-08-01,106333.64370972982
2018-08-02,106194.85117378458
2018-08-03,106187.65830357603
2018-08-04,106187.65830357603
2018-08-05,106187.65830357603
2018-08-06,106130.9079353462
2018-08-07,106124.70890203316
2018-08-08,106120.80847169973
2018-08-09,105782.52417902433
2018-08-10,106442.90217295413
2018-08-11,106442.90217295413
2018-08-12,106442.90217295413
2018-08-13,105888.03810400811
2018-08-14,105457.65690795498
2018-08-15,105457.65690795498
2018-08-16,104896.03503458685
2018-08-17,105236.94584395352
2018-08-18,105236.94584395352
2018-08-19,105236.94584395352
2018-08-20,104345.03053419174
2018-08-21,104216.66614479078
2018-08-22,104216.66614479078
2018-08-23,104605.93820093143
2018-08-24,104325.45700455093
2018-08-25,104325.45700455093
2018-08-26,104325.45700455093
2018-08-27,104818.59896185274
2018-08-28,104746.72478510403
2018-08-29,105259.41750425546
2018-08-30,104872.73272697546
2018-08-31,104063.58765311845
2018-09-01,104063.58765311845
2018-09-02,104063.58765311845
2018-09-03,103781.33302977901
2018-09-04,103395.40554469993
2018-09-05,103209.08073048534
2018-09-06,102978.38981769112
2018-09-07,103264.41182615154
2018-09-08,103264.41182615154
2018-09-09,103264.41182615154
2018-09-10,102917.78749954322
2018-09-11,102671.4343778969
2018-09-12,102631.3880193465
2018-09-13,102631.3880193465
2018-09-14,103095.44771476863
2018-09-15,103095.44771476863
2018-09-16,103095.44771476863
2018-09-17,103651.34588326035
2018-09-18,102853.42696740548
2018-09-19,102788.11784401823
2018-09-20,102788.11784401823
2018-09-21,103995.85383030016
2018-09-22,103995.85383030016
2018-09-23,103995.85383030016
2018-09-24,103413.5893458329
2018-09-25,103385.02521029032
2018-09-26,103720.04684995596
2018-09-27,103862.97259869942
2018-09-28,104647.29029267246
2018-09-29,104647.29029267246
2018-09-30,104647.29029267246
2018-10-01,103744.58073937152
2018-10-02,103744.58073937152
2018-10-03,103328.74702809362
2018-10-04,102457.73915673119
2018-10-05,101020.17273639073
2018-10-06,101020.17273639073
2018-10-07,101020.17273639073
2018-10-08,101211.36622141216
2018-10-09,100923.84851971835
2018-10-10,101881.4692967662
2018-10-11,102375.84041429136
2018-10-12,103401.33141546948
2018-10-13,103401.33141546948
2018-10-14,103401.33141546948
2018-10-15,102625.3372916367
2018-10-16,102675.13086272006
2018-10-17,101762.86491681497
2018-10-18,101762.86491681497
2018-10-19,102072.18586805703
2018-10-20,102072.18586805703
2018-10-21,102072.18586805703
2018-10-22,101721.187005972
2018-10-23,101597.54837867853
2018-10-24,102673.38685473915
2018-10-25,102999.05291485474
2018-10-26,103201.46229883938
2018-10-27,103201.46229883938
2018-10-28,103201.46229883938
2018-10-29,102797.65650299787
2018-10-30,102460.76232213271
2018-10-31,102977.40392667046
2018-11-01,103719.94128535948
2018-11-02,103958.9245633729
2018-11-03,103958.9245633729
2018-11-04,103958.9245633729
2018-11-05,103349.23681678358
2018-11-06,103186.06213290237
2018-11-07,103131.65157319291
2018-11-08,103131.65157319291
2018-11-09,103663.90357116346
2018-11-10,103663.90357116346
2018-11-11,103663.90357116346
2018-11-12,103629.95977471177
2018-11-13,103874.18648317753
2018-11-14,104553.22779178052
2018-11-15,104698.14750477149
2018-11-16,104474.90947084126
2018-11-17,104474.90947084126
