Date,Capital
2014-01-10,349690.6957541838
2014-01-11,349690.6957541838
2014-01-12,349690.6957541838
2014-01-13,348399.6859276935
2014-01-14,347769.493509609
2014-01-15,346775.369997451
2014-01-16,345520.9126937519
2014-01-17,340550.3719355264
2014-01-18,340550.3719355264
2014-01-19,340550.3719355264
2014-01-20,343843.6977403016
2014-01-21,343392.0091237652
2014-01-22,344809.7715046577
2014-01-23,344969.7066076199
2014-01-24,340677.0521931739
2014-01-25,340677.0521931739
2014-01-26,340677.0521931739
2014-01-27,334341.5541713823
2014-01-28,330372.662900158
2014-01-29,328720.5700862239
2014-01-30,326717.0481303129
2014-01-31,328748.0053303008
2014-02-01,328748.0053303007
2014-02-02,328748.0053303007
2014-02-03,328715.44632258767
2014-02-04,326915.8751010299
2014-02-05,327860.1466862428
2014-02-06,325222.82208382007
2014-02-07,325936.57174873486
2014-02-08,325936.5717487348
2014-02-09,325936.5717487348
2014-02-10,325148.2057389268
2014-02-11,325628.7109337631
2014-02-12,325383.09549225605
2014-02-13,320520.1381275661
2014-02-14,320922.95919556107
2014-02-15,320922.95919556107
2014-02-16,320922.95919556107
2014-02-17,320993.69190279144
2014-02-18,324110.1992122795
2014-02-19,325410.1077109728
2014-02-20,325688.50865313114
2014-02-21,330095.9126440418
2014-02-22,330095.9126440418
2014-02-23,330095.9126440418
2014-02-24,329525.6911615307
2014-02-25,329297.0888143884
2014-02-26,330162.28624787554
2014-02-27,330162.2862478756
2014-02-28,334765.5701953615
2014-03-01,334765.5701953615
2014-03-02,334765.5701953615
2014-03-03,334005.3970964773
2014-03-04,339846.14727051137
2014-03-05,339610.57256082515
2014-03-06,343973.37253270583
2014-03-07,342969.3992158749
2014-03-08,342969.3992158749
2014-03-09,342969.3992158749
2014-03-10,343051.2541498765
2014-03-11,343330.7967825564
2014-03-12,340330.0503995552
2014-03-13,337177.06054492085
2014-03-14,335751.0878817964
2014-03-15,335751.08788179635
2014-03-16,335751.08788179635
2014-03-17,335751.08788179635
2014-03-18,337918.2640532878
2014-03-19,340068.950249929
2014-03-20,339355.68451474747
2014-03-21,339943.1567693757
2014-03-22,339943.15676937584
2014-03-23,339943.15676937584
2014-03-24,343317.2513233553
2014-03-25,346894.4297778246
2014-03-26,346541.8609297676
2014-03-27,348075.0069562043
2014-03-28,351636.43766633194
2014-03-29,351636.4376663319
2014-03-30,351636.4376663319
2014-03-31,357906.90540283587
2014-04-01,358057.0240715709
2014-04-02,362801.26226813864
2014-04-03,361883.1924741268
2014-04-04,360863.73025013617
2014-04-05,360863.73025013617
2014-04-06,360863.73025013617
2014-04-07,360929.9042653887
2014-04-08,360929.90426538873
2014-04-09,370657.01525916805
2014-04-10,373028.49177758326
2014-04-11,376549.7479816857
2014-04-12,376549.74798168574
2014-04-13,376549.74798168574
2014-04-14,376549.74798168574
2014-04-15,371943.2910905528
2014-04-16,362314.2691256937
2014-04-17,369588.1612303211
2014-04-18,369588.16123032104
2014-04-19,369588.16123032104
2014-04-20,369588.16123032104
2014-04-21,377918.30119695584
2014-04-22,377936.1549178639
2014-04-23,381045.8799486201
2014-04-24,381045.8799486201
2014-04-25,381454.2723567236
2014-04-26,381454.2723567236
2014-04-27,381454.2723567236
2014-04-28,382284.402149591
2014-04-29,380032.3969541702
2014-04-30,374894.4539945725
2014-05-01,374894.45399457257
2014-05-02,374900.00367495534
2014-05-03,374900.00367495534
2014-05-04,374900.00367495534
2014-05-05,376743.1070342798
2014-05-06,381615.5679319334
2014-05-07,380422.8962077994
2014-05-08,382082.80849799875
2014-05-09,387681.64338964643
2014-05-10,387681.64338964643
2014-05-11,387681.64338964643
2014-05-12,390660.024005655
2014-05-13,394627.6181902535
2014-05-14,394030.2282487499
2014-05-15,393539.85743765126
2014-05-16,403209.31125367066
2014-05-17,403209.3112536706
2014-05-18,403209.3112536706
2014-05-19,434156.3628625378
2014-05-20,439966.77016154485
2014-05-21,438461.16212271195
2014-05-22,452561.07207735477
2014-05-23,463712.3661348183
2014-05-24,463712.3661348183
2014-05-25,463712.3661348183
2014-05-26,451070.7120127706
2014-05-27,444578.75330286194
2014-05-28,448929.02579307655
2014-05-29,443281.6535311014
2014-05-30,445882.19490963424
2014-05-31,445882.1949096342
2014-06-01,445882.1949096342
2014-06-02,454908.9590442166
2014-06-03,457883.42029832816
2014-06-04,463658.8387554409
2014-06-05,468321.6639741757
2014-06-06,473755.63697288564
2014-06-07,473755.63697288564
2014-06-08,473755.63697288564
2014-06-09,481759.45988498745
2014-06-10,482204.2096788094
2014-06-11,484401.08009344677
2014-06-12,487193.35623299377
2014-06-13,467176.1985484764
2014-06-14,467176.1985484764
2014-06-15,467176.1985484764
2014-06-16,461620.1719764262
2014-06-17,461420.4748908599
2014-06-18,456748.4872141978
2014-06-19,454708.3510892633
2014-06-20,451777.21396501816
2014-06-21,451777.21396501816
2014-06-22,451777.21396501816
2014-06-23,453208.29090559017
2014-06-24,457838.0657494701
2014-06-25,460190.2864887216
2014-06-26,463622.7231339297
2014-06-27,465948.7348998818
2014-06-28,465948.7348998818
2014-06-29,465948.7348998818
2014-06-30,470669.90676505934
2014-07-01,470976.4699274978
2014-07-02,470020.5232665521
2014-07-03,467482.79166095227
2014-07-04,470749.56181713415
2014-07-05,470749.56181713403
2014-07-06,470749.56181713403
2014-07-07,468885.50454422133
2014-07-08,446590.2088882652
2014-07-09,441511.23189789825
2014-07-10,439915.0338065337
2014-07-11,433304.14953995036
2014-07-12,433304.1495399503
2014-07-13,433304.1495399503
2014-07-14,430195.85985127743
2014-07-15,433296.3618220664
2014-07-16,437444.77555964055
2014-07-17,444442.3047716684
2014-07-18,443878.65024131985
2014-07-19,443878.6502413199
2014-07-20,443878.6502413199
2014-07-21,443857.3802358117
2014-07-22,444145.9319014018
2014-07-23,442024.823051149
2014-07-24,442501.29908162664
2014-07-25,439497.30455022276
2014-07-26,439497.30455022276
2014-07-27,439497.30455022276
2014-07-28,439713.3907879077
2014-07-29,439713.39078790776
2014-07-30,440012.74091388594
2014-07-31,440297.94723439927
2014-08-01,439844.7139201072
2014-08-02,439844.7139201072
2014-08-03,439844.7139201072
2014-08-04,441742.1641176113
2014-08-05,445007.2323659148
2014-08-06,443236.6128266138
2014-08-07,440543.4920567732
2014-08-08,434662.6357908943
2014-08-09,434662.6357908943
2014-08-10,434662.6357908943
2014-08-11,439079.3753525032
2014-08-12,440425.3330542296
2014-08-13,436618.9636274113
2014-08-14,440983.4763842261
2014-08-15,440983.4763842261
2014-08-16,440983.4763842261
2014-08-17,440983.4763842261
2014-08-18,456209.19842767355
2014-08-19,460210.66482116166
2014-08-20,462892.10222935234
2014-08-21,467656.34565780696
2014-08-22,467345.4092773758
2014-08-23,467345.4092773758
2014-08-24,467345.4092773758
2014-08-25,465191.148673348
2014-08-26,466735.17173146707
2014-08-27,469988.25046843797
2014-08-28,471979.39568367717
2014-08-29,471979.39568367705
2014-08-30,471979.39568367705
2014-08-31,471979.39568367705
2014-09-01,473522.8254508888
2014-09-02,479277.4850753808
2014-09-03,482851.4880303605
2014-09-04,484955.60652544285
2014-09-05,488075.44607655995
2014-09-06,488075.44607655995
2014-09-07,488075.44607655995
2014-09-08,493202.4500021502
2014-09-09,492861.4727819319
2014-09-10,495551.73878911097
2014-09-11,502027.9626707458
2014-09-12,504338.9142924383
2014-09-13,504338.9142924383
2014-09-14,504338.9142924383
2014-09-15,507287.0190321886
2014-09-16,486014.20133365784
2014-09-17,493977.3667119359
2014-09-18,503601.2208887382
2014-09-19,502808.87543263333
2014-09-20,502808.87543263333
2014-09-21,502808.87543263333
2014-09-22,503587.4357152516
2014-09-23,495789.80657229613
2014-09-24,491177.7103660491
2014-09-25,483403.05967431766
2014-09-26,485977.8551250945
2014-09-27,485977.8551250945
2014-09-28,485977.8551250945
2014-09-29,489768.6948092749
2014-09-30,493978.14641402726
2014-10-01,494599.87421634357
2014-10-02,494599.87421634357
2014-10-03,494599.87421634357
2014-10-04,494599.87421634357
2014-10-05,494599.87421634357
2014-10-06,494599.87421634357
2014-10-07,490863.97754943284
2014-10-08,482660.8107628704
2014-10-09,485158.01754457894
2014-10-10,480020.86208741914
2014-10-11,480020.86208741914
2014-10-12,480020.86208741914
2014-10-13,480936.52379697084
2014-10-14,479691.60587365396
2014-10-15,479691.6058736539
2014-10-16,458743.304966473
2014-10-17,458474.23927553615
2014-10-18,458474.23927553615
2014-10-19,458474.23927553615
2014-10-20,459892.4466298756
2014-10-21,462547.9205978562
2014-10-22,464356.88569851394
2014-10-23,464356.8856985139
2014-10-24,464356.8856985139
2014-10-25,464356.8856985139
2014-10-26,464356.8856985139
2014-10-27,464542.6288347854
2014-10-28,464974.19149319455
2014-10-29,466058.0627277079
2014-10-30,467730.7655573735
2014-10-31,473593.4543944662
2014-11-01,473593.4543944662
2014-11-02,473593.4543944662
2014-11-03,474424.6742201935
2014-11-04,474424.6742201935
2014-11-05,475605.83837465633
2014-11-06,475605.83837465633
2014-11-07,473126.44605019374
2014-11-08,473126.44605019374
2014-11-09,473126.44605019374
2014-11-10,470866.15723451227
2014-11-11,472656.3187487847
2014-11-12,472562.92741479154
2014-11-13,472918.83770521445
2014-11-14,476528.2910868333
2014-11-15,476528.2910868333
2014-11-16,476528.2910868333
2014-11-17,481444.9662778822
2014-11-18,481806.352324758
2014-11-19,477941.95146704366
2014-11-20,475902.04349103174
2014-11-21,476532.23091556027
2014-11-22,476532.23091556027
2014-11-23,476532.23091556027
2014-11-24,478539.5324281251
2014-11-25,469152.1482114705
2014-11-26,475116.3191760117
2014-11-27,480679.47521297727
2014-11-28,490895.739262485
2014-11-29,490895.73926248506
2014-11-30,490895.73926248506
2014-12-01,485800.77477009903
2014-12-02,494748.2004917342
2014-12-03,501996.1236338251
2014-12-04,504235.9933952736
2014-12-05,508200.34778538847
2014-12-06,508200.34778538847
2014-12-07,508200.34778538847
2014-12-08,505798.3023514836
2014-12-09,495506.623517044
2014-12-10,499587.7733779508
2014-12-11,497328.80003173946
2014-12-12,491988.2082219354
2014-12-13,491988.2082219353
2014-12-14,491988.2082219353
2014-12-15,491093.7947858977
2014-12-16,475504.0351290329
2014-12-17,466719.33108760713
2014-12-18,482159.2015914836
