Date,Capital
2014-08-01,400448.326121555
2014-08-02,400448.326121555
2014-08-03,400448.326121555
2014-08-04,400398.37816042587
2014-08-05,400850.39024947386
2014-08-06,400782.0701679338
2014-08-07,401119.6650383847
2014-08-08,400694.80349147314
2014-08-09,400694.80349147314
2014-08-10,400694.80349147314
2014-08-11,401115.0544967127
2014-08-12,401332.85578937695
2014-08-13,401779.2378842656
2014-08-14,401893.46953200013
2014-08-15,401893.46953200013
2014-08-16,401893.46953200013
2014-08-17,401893.46953200013
2014-08-18,402908.6728095863
2014-08-19,403554.01460929547
2014-08-20,403899.3203177534
2014-08-21,404641.1419156211
2014-08-22,404569.1550240968
2014-08-23,404569.1550240968
2014-08-24,404569.1550240968
2014-08-25,404468.47399950447
2014-08-26,404536.9670682972
2014-08-27,405724.92271538504
2014-08-28,405711.4058024734
2014-08-29,405711.4058024734
2014-08-30,405711.4058024734
2014-08-31,405711.4058024734
2014-09-01,406388.84261977556
2014-09-02,407255.1515412211
2014-09-03,408789.8052447786
2014-09-04,409381.47132225544
2014-09-05,409604.689249148
2014-09-06,409604.689249148
2014-09-07,409604.689249148
2014-09-08,410607.39857551403
2014-09-09,410776.3495732324
2014-09-10,410897.8916817233
2014-09-11,413489.9242401895
2014-09-12,415140.79201544216
2014-09-13,415140.79201544216
2014-09-14,415140.79201544216
2014-09-15,415906.6701390629
2014-09-16,410521.1904429512
2014-09-17,411226.47238222504
2014-09-18,413692.04530037125
2014-09-19,414539.57109094545
2014-09-20,414539.57109094545
2014-09-21,414539.57109094545
2014-09-22,414422.7745722784
2014-09-23,413172.8634288771
2014-09-24,412239.6286772023
2014-09-25,410986.58762784605
2014-09-26,411127.9289349988
2014-09-27,411127.9289349988
2014-09-28,411127.9289349988
2014-09-29,411709.4518446173
2014-09-30,413225.32219547336
2014-10-01,413371.92536073935
2014-10-02,413371.92536073935
2014-10-03,413371.92536073935
2014-10-04,413371.92536073935
2014-10-05,413371.92536073935
2014-10-06,413371.92536073935
2014-10-07,414172.15430619224
2014-10-08,412852.88108208554
2014-10-09,414200.1182694905
2014-10-10,412796.5648589694
2014-10-11,412796.5648589694
2014-10-12,412796.5648589694
2014-10-13,413066.73813485866
2014-10-14,412417.7383451124
2014-10-15,412417.7383451124
2014-10-16,407588.85540297494
2014-10-17,407617.3739575405
2014-10-18,407617.3739575405
2014-10-19,407617.3739575405
