Date,Capital
2014-02-10,399754.5889161285
2014-02-11,399676.68643940974
2014-02-12,399923.58660625835
2014-02-13,399208.6681203905
2014-02-14,399537.74552880105
2014-02-15,399537.74552880105
2014-02-16,399537.74552880105
2014-02-17,399081.32387105364
2014-02-18,399250.1798865501
2014-02-19,399944.5692384714
2014-02-20,399163.8285057428
2014-02-21,399779.5348667035
2014-02-22,399779.5348667035
2014-02-23,399779.5348667035
2014-02-24,400205.01155134174
2014-02-25,401402.9377378136
2014-02-26,401884.30644686916
2014-02-27,401884.30644686916
2014-02-28,403736.4260758314
2014-03-01,403736.4260758314
2014-03-02,403736.4260758314
2014-03-03,404695.5613981844
2014-03-04,408088.4429598454
2014-03-05,407737.5672078584
2014-03-06,408803.81404787116
2014-03-07,406157.31713033613
2014-03-08,406157.31713033613
2014-03-09,406157.31713033613
2014-03-10,407271.8167314298
2014-03-11,406949.56268532085
2014-03-12,407106.2196865018
2014-03-13,407038.74822852504
2014-03-14,407357.56576569885
2014-03-15,407357.56576569885
2014-03-16,407357.56576569885
2014-03-17,407357.56576569885
2014-03-18,410249.01168793626
2014-03-19,410097.81587473967
2014-03-20,409085.6941424911
2014-03-21,409878.4237239071
2014-03-22,409878.4237239071
2014-03-23,409878.4237239071
2014-03-24,411472.33924353484
2014-03-25,415606.6765006876
2014-03-26,415187.5809723223
2014-03-27,416018.5665876994
2014-03-28,420108.90947687667
2014-03-29,420108.90947687667
2014-03-30,420108.90947687667
2014-03-31,423675.7117616297
2014-04-01,426113.8040226778
2014-04-02,429217.7885973241
2014-04-03,428019.39451122633
2014-04-04,428114.66035314545
2014-04-05,428114.66035314545
2014-04-06,428114.66035314545
2014-04-07,427459.1867440349
2014-04-08,427459.1867440349
2014-04-09,432295.32782294723
2014-04-10,433859.82642662205
2014-04-11,436558.36593537434
2014-04-12,436558.36593537434
2014-04-13,436558.36593537434
2014-04-14,436558.36593537434
2014-04-15,432798.0809635671
2014-04-16,430915.2690909214
2014-04-17,436172.7968672936
2014-04-18,436172.7968672936
2014-04-19,436172.7968672936
2014-04-20,436172.7968672936
2014-04-21,441916.2795347979
2014-04-22,442381.100738887
2014-04-23,443910.5628780739
2014-04-24,443910.5628780739
2014-04-25,440204.29595242697
2014-04-26,440204.29595242697
2014-04-27,440204.29595242697
2014-04-28,440002.2521701963
