Date,Capital
2014-01-20,199901.36595904783
2014-01-21,199214.9635593833
2014-01-22,199675.44914618618
2014-01-23,200053.3290455554
2014-01-24,201060.86903099396
2014-01-25,201060.86903099396
2014-01-26,201060.86903099396
2014-01-27,201512.842002879
2014-01-28,201855.76460758023
2014-01-29,202890.98484996782
2014-01-30,203151.66758433855
2014-01-31,201581.3219835537
2014-02-01,201581.3219835537
2014-02-02,201581.3219835537
2014-02-03,202188.36830903462
2014-02-04,201924.97645025683
2014-02-05,201782.45834855776
2014-02-06,200418.29127964284
2014-02-07,199370.61657989543
2014-02-08,199370.61657989543
2014-02-09,199370.61657989543
2014-02-10,199312.47938585683
2014-02-11,199838.75264256814
2014-02-12,200919.7434144788
2014-02-13,201887.00626984084
2014-02-14,202937.1148958574
2014-02-15,202937.1148958574
2014-02-16,202937.1148958574
2014-02-17,203660.6831793667
2014-02-18,202986.8431270509
2014-02-19,202470.12138575516
2014-02-20,203053.35893161446
2014-02-21,202952.06263323087
2014-02-22,202952.06263323087
2014-02-23,202952.06263323087
2014-02-24,204520.91186787607
2014-02-25,203877.70421736623
2014-02-26,204455.80933210286
2014-02-27,204455.80933210286
2014-02-28,204377.58972064406
2014-03-01,204377.58972064406
2014-03-02,204377.58972064406
2014-03-03,203322.05942566931
2014-03-04,203646.73036083757
2014-03-05,201675.9884254736
2014-03-06,199738.341264411
2014-03-07,196079.1037500543
2014-03-08,196079.1037500543
2014-03-09,196079.1037500543
2014-03-10,195386.40121621918
2014-03-11,195537.45800039382
2014-03-12,195434.38299471524
2014-03-13,196250.5918714201
2014-03-14,196420.0691282984
2014-03-15,196420.0691282984
2014-03-16,196420.0691282984
2014-03-17,196420.0691282984
2014-03-18,196420.3185284302
2014-03-19,197343.98689139297
2014-03-20,196578.96365823247
2014-03-21,196354.38828045846
2014-03-22,196354.38828045846
2014-03-23,196354.38828045846
2014-03-24,198057.25812260632
2014-03-25,198965.01925679174
2014-03-26,199615.9675116457
2014-03-27,200026.6378671991
2014-03-28,201638.00262410293
2014-03-29,201638.00262410293
2014-03-30,201638.00262410293
2014-03-31,201405.19127981784
2014-04-01,199442.92740604928
2014-04-02,197163.12765450287
2014-04-03,196323.81628564937
2014-04-04,195560.24818785585
2014-04-05,195560.24818785585
2014-04-06,195560.24818785585
2014-04-07,195194.95332035678
2014-04-08,195194.95332035678
2014-04-09,196380.48286646366
2014-04-10,195618.68053648862
2014-04-11,195710.43538506754
2014-04-12,195710.43538506754
2014-04-13,195710.43538506754
2014-04-14,195710.43538506754
2014-04-15,194380.86486427046
2014-04-16,192383.3525297423
2014-04-17,193539.10649708932
2014-04-18,193539.10649708932
2014-04-19,193539.10649708932
2014-04-20,193539.10649708932
2014-04-21,193832.91111225943
2014-04-22,192813.38194104988
2014-04-23,193138.22995642383
2014-04-24,193138.22995642383
2014-04-25,194306.15911241694
2014-04-26,194306.15911241694
2014-04-27,194306.15911241694
2014-04-28,193792.50408862223
2014-04-29,192601.9203429591
2014-04-30,193762.27845675827
2014-05-01,193762.27845675827
2014-05-02,194282.12230746832
2014-05-03,194282.12230746832
2014-05-04,194282.12230746832
2014-05-05,192691.4223329167
2014-05-06,193308.79401417798
2014-05-07,192138.44236256555
2014-05-08,192302.99028619612
2014-05-09,190764.14270217964
2014-05-10,190764.14270217964
2014-05-11,190764.14270217964
2014-05-12,189930.63466986665
2014-05-13,189566.55830021578
2014-05-14,187981.8167674762
2014-05-15,187814.9121988346
2014-05-16,188071.05030921745
2014-05-17,188071.05030921745
2014-05-18,188071.05030921745
2014-05-19,188144.6449432057
2014-05-20,185215.4146095873
2014-05-21,184644.71030868212
2014-05-22,184690.0086903444
2014-05-23,184631.16506484483
2014-05-24,184631.16506484483
2014-05-25,184631.16506484483
2014-05-26,183286.9261728295
2014-05-27,181833.18664714327
2014-05-28,179607.41921089767
2014-05-29,179450.2831235449
2014-05-30,179012.20060139344
2014-05-31,179012.20060139344
2014-06-01,179012.20060139344
2014-06-02,180675.16476584127
2014-06-03,181041.01273803276
2014-06-04,182675.57502814825
2014-06-05,182814.5708100181
2014-06-06,183290.49121395033
2014-06-07,183290.49121395033
2014-06-08,183290.49121395033
2014-06-09,184548.81766208445
2014-06-10,184961.73570646762
2014-06-11,184064.79441876523
2014-06-12,185492.78615513054
2014-06-13,184691.00337536787
2014-06-14,184691.00337536787
2014-06-15,184691.00337536787
2014-06-16,184225.50065303774
2014-06-17,184630.5110602739
2014-06-18,183740.12839396513
2014-06-19,185318.68898419262
2014-06-20,184562.03490982312
2014-06-21,184562.03490982312
2014-06-22,184562.03490982312
2014-06-23,184663.50776946594
2014-06-24,184250.35367111076
2014-06-25,183670.9590260186
2014-06-26,184075.16106783145
2014-06-27,184215.0860742491
2014-06-28,184215.0860742491
2014-06-29,184215.0860742491
2014-06-30,185149.55403767963
2014-07-01,183731.24330302345
2014-07-02,182825.21986940876
2014-07-03,183228.9896048318
2014-07-04,183308.44859282247
2014-07-05,183308.44859282247
2014-07-06,183308.44859282247
2014-07-07,183089.47990213917
2014-07-08,182806.248220146
2014-07-09,183167.38009990996
2014-07-10,183307.61089519737
2014-07-11,183122.3374523343
2014-07-12,183122.3374523343
2014-07-13,183122.3374523343
2014-07-14,182286.81549230436
2014-07-15,181141.73556856037
2014-07-16,181279.4152923889
2014-07-17,181836.24614353347
2014-07-18,181553.27109018047
2014-07-19,181553.27109018047
2014-07-20,181553.27109018047
2014-07-21,180298.69675385824
2014-07-22,180099.7802509665
2014-07-23,181053.28966406483
2014-07-24,181413.2948178021
2014-07-25,183425.8745452116
2014-07-26,183425.8745452116
2014-07-27,183425.8745452116
2014-07-28,183321.4720801072
2014-07-29,183321.4720801072
2014-07-30,182786.12384039603
2014-07-31,183282.9522335789
2014-08-01,183546.37859186344
2014-08-02,183546.37859186344
2014-08-03,183546.37859186344
2014-08-04,184212.83520885953
2014-08-05,184230.3891403717
2014-08-06,185020.2089985744
2014-08-07,186218.07053779563
2014-08-08,187415.97985274997
2014-08-09,187415.97985274997
2014-08-10,187415.97985274997
2014-08-11,187200.25506721158
2014-08-12,186835.09137652128
2014-08-13,187982.33141987296
2014-08-14,188546.1012788571
2014-08-15,188546.1012788571
2014-08-16,188546.1012788571
2014-08-17,188546.1012788571
2014-08-18,189767.04116783565
2014-08-19,188369.16069596124
2014-08-20,188801.35053849866
2014-08-21,188849.21350721887
2014-08-22,189552.10319410264
2014-08-23,189552.10319410264
2014-08-24,189552.10319410264
2014-08-25,189034.795422522
2014-08-26,189876.21684950107
2014-08-27,190883.63915235206
2014-08-28,189446.2509538324
2014-08-29,189446.2509538324
2014-08-30,189446.2509538324
2014-08-31,189446.2509538324
2014-09-01,188574.68364165295
2014-09-02,188711.7119766444
2014-09-03,188105.43998448615
2014-09-04,187994.0424593538
2014-09-05,188131.76303594638
2014-09-06,188131.76303594638
2014-09-07,188131.76303594638
2014-09-08,187785.42158846784
2014-09-09,187068.01995948638
2014-09-10,187164.1018285883
2014-09-11,186885.22385613655
2014-09-12,187126.21604106072
2014-09-13,187126.21604106072
2014-09-14,187126.21604106072
2014-09-15,187672.43538572156
2014-09-16,187041.86880158947
2014-09-17,187927.33533734953
2014-09-18,187584.7560970448
2014-09-19,187861.15113729925
2014-09-20,187861.15113729925
2014-09-21,187861.15113729925
2014-09-22,187618.12696672243
2014-09-23,187202.11686905695
2014-09-24,187576.1489568487
2014-09-25,187627.98936229805
2014-09-26,187491.39595626597
2014-09-27,187491.39595626597
2014-09-28,187491.39595626597
2014-09-29,186686.66399359767
2014-09-30,188438.72145325033
