Date,Capital
2014-01-11,600000.0
2014-01-12,600000.0
2014-01-13,599611.8373876297
2014-01-14,598415.0752116975
2014-01-15,602092.3198186498
2014-01-16,604815.8543863056
2014-01-17,611310.5769439994
2014-01-18,611310.5769439994
2014-01-19,611310.5769439994
2014-01-20,610053.5573470143
2014-01-21,609799.3371427383
2014-01-22,609092.295955935
2014-01-23,607047.0305383364
2014-01-24,607639.8708470382
2014-01-25,607639.8708470382
2014-01-26,607639.8708470382
2014-01-27,607011.918837669
2014-01-28,608523.3166256759
2014-01-29,610698.6801637167
2014-01-30,607211.4500465322
2014-01-31,608265.1544337762
2014-02-01,608265.1544337762
2014-02-02,608265.1544337762
2014-02-03,602555.4947649216
2014-02-04,606501.3998763105
2014-02-05,607938.3418896056
2014-02-06,606025.8199473605
2014-02-07,610270.3961848387
2014-02-08,610270.3961848388
2014-02-09,610270.3961848388
2014-02-10,609685.83189002
2014-02-11,609919.1273633799
2014-02-12,604180.6998696916
2014-02-13,603674.1065697542
2014-02-14,602991.1219588403
2014-02-15,602991.1219588403
2014-02-16,602991.1219588403
2014-02-17,602660.5912814771
2014-02-18,603942.6773023518
2014-02-19,601672.643729473
2014-02-20,602786.4258590302
2014-02-21,604800.0421662236
2014-02-22,604800.0421662236
2014-02-23,604800.0421662236
2014-02-24,600673.4752833676
2014-02-25,599921.8391658664
2014-02-26,597222.778733311
2014-02-27,597222.7787333109
2014-02-28,594877.0877556929
2014-03-01,594877.0877556929
2014-03-02,594877.0877556929
2014-03-03,598475.6828989967
2014-03-04,600738.841439692
2014-03-05,602462.3178827933
2014-03-06,610752.5940742102
2014-03-07,618247.9659194406
2014-03-08,618247.9659194405
2014-03-09,618247.9659194405
2014-03-10,616065.5955374739
2014-03-11,618591.9576857116
2014-03-12,620223.3087095828
2014-03-13,623824.3990492341
2014-03-14,618240.5084158588
2014-03-15,618240.5084158588
2014-03-16,618240.5084158588
2014-03-17,618240.5084158588
2014-03-18,621220.573371192
2014-03-19,624390.3200102313
2014-03-20,631193.6030909847
2014-03-21,631272.8989697424
2014-03-22,631272.8989697422
2014-03-23,631272.8989697422
2014-03-24,627603.8597091559
