Date,Capital
2014-10-01,1000013.0605632203
2014-10-02,1000013.0605632203
2014-10-03,1000013.0605632203
2014-10-04,1000013.0605632203
2014-10-05,1000013.0605632203
2014-10-06,1000013.0605632203
2014-10-07,1000059.384900463
2014-10-08,999934.3620166422
2014-10-09,1000576.6118527395
2014-10-10,1000423.546438855
2014-10-11,1000423.546438855
2014-10-12,1000423.546438855
2014-10-13,1001186.4186739624
2014-10-14,1000164.3454271726
2014-10-15,1000164.3454271726
2014-10-16,1000696.2835915184
2014-10-17,1000527.4011689204
2014-10-18,1000527.4011689204
2014-10-19,1000527.4011689204
2014-10-20,1000023.2344985029
2014-10-21,1000913.5293334671
2014-10-22,1001498.834062651
2014-10-23,1001498.834062651
2014-10-24,1001498.834062651
2014-10-25,1001498.834062651
2014-10-26,1001498.834062651
2014-10-27,1001764.1553716367
2014-10-28,1001070.3264584888
2014-10-29,999686.0068349991
2014-10-30,998263.596630867
2014-10-31,997933.6948316396
2014-11-01,997933.6948316395
2014-11-02,997933.6948316395
2014-11-03,1001561.8363054667
2014-11-04,1001561.8363054667
2014-11-05,998146.3299226857
2014-11-06,998146.3299226857
2014-11-07,997004.9217252254
2014-11-08,997004.9217252254
2014-11-09,997004.9217252254
2014-11-10,995558.229247419
2014-11-11,998941.9995449883
2014-11-12,996485.4621047159
2014-11-13,996241.0502731517
2014-11-14,997020.4630104797
2014-11-15,997020.4630104797
2014-11-16,997020.4630104797
2014-11-17,996186.6091321302
2014-11-18,996065.6237369864
2014-11-19,995813.938270611
2014-11-20,995053.3238328692
2014-11-21,994672.709067683
2014-11-22,994672.709067683
2014-11-23,994672.709067683
2014-11-24,993716.1213545522
2014-11-25,990789.9786718667
2014-11-26,988623.0598752869
2014-11-27,987120.9785765207
2014-11-28,987044.9812393906
2014-11-29,987044.9812393906
2014-11-30,987044.9812393906
2014-12-01,986706.934556155
2014-12-02,987526.3866568783
2014-12-03,989274.7796408221
2014-12-04,987531.6221606559
2014-12-05,990677.5851377493
2014-12-06,990677.5851377493
2014-12-07,990677.5851377493
2014-12-08,992614.6063967193
2014-12-09,991724.9157834454
2014-12-10,989339.8227386023
2014-12-11,988156.2175697437
2014-12-12,987299.3428899886
2014-12-13,987299.3428899886
2014-12-14,987299.3428899886
2014-12-15,986239.8740666778
2014-12-16,985672.5015997137
2014-12-17,986230.5199668414
2014-12-18,984041.229129825
2014-12-19,978456.4582959544
2014-12-20,978456.4582959544
2014-12-21,978456.4582959544
2014-12-22,980204.7995270521
2014-12-23,980790.6495080398
2014-12-24,983435.9404221366
2014-12-25,983435.9404221366
2014-12-26,984959.341702371
2014-12-27,984959.341702371
2014-12-28,984959.341702371
2014-12-29,985805.7194707689
2014-12-30,983450.0701822252
2014-12-31,982407.6786237718
2015-01-01,983880.7998012358
2015-01-02,984325.174591859
2015-01-03,984325.174591859
2015-01-04,984325.174591859
2015-01-05,985025.1478457028
2015-01-06,988330.2766914335
2015-01-07,984164.8033799204
2015-01-08,984234.5616788601
2015-01-09,984408.213873938
2015-01-10,984408.213873938
2015-01-11,984408.213873938
2015-01-12,982161.913837204
2015-01-13,980210.1909771535
2015-01-14,977367.5959543864
2015-01-15,979128.0710266797
2015-01-16,979709.0205404556
2015-01-17,979709.0205404556
2015-01-18,979709.0205404556
2015-01-19,979961.8541970893
2015-01-20,978543.6892987357
2015-01-21,973935.2091784608
2015-01-22,974251.7412374939
2015-01-23,977163.5392481233
2015-01-24,977163.5392481233
2015-01-25,977163.5392481233
2015-01-26,977163.5392481233
2015-01-27,977710.5016275311
2015-01-28,974259.694195797
2015-01-29,974295.6757331626
2015-01-30,977359.1015950982
2015-01-31,977359.1015950982
2015-02-01,977359.1015950982
2015-02-02,974837.6398124925
2015-02-03,974650.380024451
2015-02-04,977576.3686851158
2015-02-05,970900.31315979
2015-02-06,971931.2204424643
2015-02-07,971931.2204424643
2015-02-08,971931.2204424643
2015-02-09,971928.0789623559
2015-02-10,966880.3989544768
2015-02-11,969045.1267385976
2015-02-12,966946.6411655822
2015-02-13,964329.9396201229
2015-02-14,964329.9396201229
2015-02-15,964329.9396201229
2015-02-16,961569.3389409998
2015-02-17,962181.2121545944
2015-02-18,967043.9493817976
2015-02-19,975905.186184939
2015-02-20,980023.0604088639
2015-02-21,980023.0604088639
2015-02-22,980023.0604088639
2015-02-23,980760.7470446418
2015-02-24,977473.4374041763
2015-02-25,974149.4812260738
2015-02-26,974577.5493559872
2015-02-27,976590.6636413888
2015-02-28,976590.6636413888
2015-03-01,976590.6636413888
2015-03-02,956086.5279451307
2015-03-03,952691.8839761305
2015-03-04,956785.2280036442
2015-03-05,955630.4258669714
2015-03-06,956160.6722297614
2015-03-07,956160.6722297614
2015-03-08,956160.6722297614
2015-03-09,952669.4629473763
2015-03-10,952390.3841541704
2015-03-11,953246.3650454448
2015-03-12,954250.764085251
2015-03-13,952994.7807631978
2015-03-14,952994.7807631978
2015-03-15,952994.7807631978
2015-03-16,952139.412126598
2015-03-17,942241.2823760076
2015-03-18,934799.9100725485
2015-03-19,933114.7155477235
2015-03-20,933822.131097394
2015-03-21,933822.131097394
2015-03-22,933822.131097394
2015-03-23,930348.2132101476
2015-03-24,931318.8339059788
2015-03-25,929205.260178814
2015-03-26,930399.8769349778
2015-03-27,929765.9398062127
2015-03-28,929765.9398062127
2015-03-29,929765.9398062127
2015-03-30,920478.6048048318
2015-03-31,918047.0182583804
2015-04-01,914903.8200628266
2015-04-02,916182.759628219
2015-04-03,916182.759628219
2015-04-04,916182.759628219
2015-04-05,916182.759628219
2015-04-06,910991.4196824529
2015-04-07,923905.0553880621
2015-04-08,922386.7795045292
2015-04-09,930410.912099363
2015-04-10,941842.2118892805
2015-04-11,941842.2118892805
2015-04-12,941842.2118892805
2015-04-13,948991.1350323763
2015-04-14,949437.3634675128
2015-04-15,952843.1934365554
2015-04-16,956120.2790696026
2015-04-17,955724.9002822326
2015-04-18,955724.9002822326
2015-04-19,955724.9002822326
2015-04-20,952653.7366376639
2015-04-21,948108.7309196158
2015-04-22,948870.3173626235
2015-04-23,951173.6478384346
2015-04-24,956029.7176473169
2015-04-25,956029.7176473169
2015-04-26,956029.7176473169
2015-04-27,961605.4894385377
2015-04-28,949949.9580730918
2015-04-29,946779.8367795157
2015-04-30,941620.561159643
2015-05-01,943005.9233764181
2015-05-02,943005.9233764181
2015-05-03,943005.9233764181
2015-05-04,947001.9365651949
2015-05-05,955932.6743927823
2015-05-06,957896.8333084657
2015-05-07,961691.3533206537
2015-05-08,959964.416276785
2015-05-09,959964.416276785
2015-05-10,959964.416276785
2015-05-11,956264.5618379073
2015-05-12,957719.1757180453
2015-05-13,954817.1490675095
2015-05-14,953470.243668248
2015-05-15,952223.0078751144
2015-05-16,952223.0078751144
2015-05-17,952223.0078751144
2015-05-18,943429.1614364483
2015-05-19,940205.341987934
2015-05-20,938439.2407973302
2015-05-21,935788.6789652002
2015-05-22,933086.244492648
2015-05-23,933086.244492648
2015-05-24,933086.244492648
2015-05-25,933327.6727854772
2015-05-26,934017.410177887
2015-05-27,933737.2944760204
2015-05-28,933688.6973794524
2015-05-29,923887.7024446181
2015-05-30,923887.7024446181
2015-05-31,923887.7024446181
2015-06-01,921114.8189075757
2015-06-02,924373.4827101384
2015-06-03,921066.6519933605
2015-06-04,922897.9464600398
