Date,Capital
2014-02-24,499106.8904442867
2014-02-25,499636.5459532337
2014-02-26,499544.29153339233
2014-02-27,499544.29153339233
2014-02-28,498840.59879695275
2014-03-01,498840.59879695275
2014-03-02,498840.59879695275
2014-03-03,497477.5231023682
2014-03-04,498263.1071195876
2014-03-05,499323.23232132033
2014-03-06,502658.3150474548
2014-03-07,508721.97194661904
2014-03-08,508721.97194661904
2014-03-09,508721.97194661904
2014-03-10,509093.7564805289
2014-03-11,509159.59928932274
2014-03-12,507704.622094749
2014-03-13,507028.1335412236
2014-03-14,504086.0822292566
2014-03-15,504086.0822292566
2014-03-16,504086.0822292566
2014-03-17,504086.0822292566
2014-03-18,502876.3900901343
2014-03-19,500959.1708758244
2014-03-20,499687.7665583098
2014-03-21,497648.07034340233
2014-03-22,497648.07034340233
2014-03-23,497648.07034340233
2014-03-24,495183.8088047906
2014-03-25,493906.1798447894
2014-03-26,494318.96389384044
2014-03-27,496712.9323329177
2014-03-28,497584.1351155429
2014-03-29,497584.1351155429
2014-03-30,497584.1351155429
2014-03-31,502166.9558032837
2014-04-01,504818.7243265345
2014-04-02,507180.9316206804
2014-04-03,507857.2495415753
2014-04-04,508704.9391468712
2014-04-05,508704.9391468712
2014-04-06,508704.9391468712
2014-04-07,512514.42042985663
2014-04-08,512514.42042985663
2014-04-09,514933.99266946106
2014-04-10,506197.3766840835
2014-04-11,513251.3977548692
2014-04-12,513251.3977548692
2014-04-13,513251.3977548692
2014-04-14,513251.3977548693
2014-04-15,517615.4076389948
2014-04-16,516916.0906512556
2014-04-17,514402.6065839054
2014-04-18,514402.6065839054
2014-04-19,514402.6065839054
2014-04-20,514402.6065839054
2014-04-21,510330.0160242998
2014-04-22,508847.04940090334
2014-04-23,505095.5020507093
2014-04-24,505095.5020507093
2014-04-25,506097.1665121914
2014-04-26,506097.1665121914
2014-04-27,506097.1665121914
2014-04-28,510908.01851391303
2014-04-29,508580.5430040576
2014-04-30,511066.1287384538
2014-05-01,511066.1287384538
2014-05-02,506932.1959164679
2014-05-03,506932.1959164679
2014-05-04,506932.1959164679
2014-05-05,505995.3720890553
2014-05-06,504346.74423529115
2014-05-07,503724.55369102955
2014-05-08,503675.4321954225
2014-05-09,499632.3112366053
2014-05-10,499632.3112366053
2014-05-11,499632.3112366053
2014-05-12,495288.55508851324
2014-05-13,481420.12221319467
2014-05-14,476240.5411306861
2014-05-15,479276.36839598726
2014-05-16,469822.47142550757
2014-05-17,469822.47142550757
2014-05-18,469822.47142550757
2014-05-19,451881.01705216704
2014-05-20,454735.61320888426
2014-05-21,454559.1590918903
2014-05-22,452119.12579433236
2014-05-23,452404.7807066937
2014-05-24,452404.7807066937
2014-05-25,452404.7807066937
2014-05-26,455549.43365916
2014-05-27,458585.29616870784
2014-05-28,458099.31324190774
2014-05-29,463929.6686058183
2014-05-30,466039.6202245261
2014-05-31,466039.6202245261
2014-06-01,466039.6202245261
2014-06-02,459370.267144043
2014-06-03,456850.3152932743
2014-06-04,454087.94310483016
2014-06-05,452742.04721009283
2014-06-06,453326.76657092315
2014-06-07,453326.76657092315
2014-06-08,453326.76657092315
2014-06-09,447308.5790188503
2014-06-10,450564.93075256055
2014-06-11,455633.8112263721
2014-06-12,458373.35910343524
2014-06-13,461600.88636941253
2014-06-14,461600.88636941253
2014-06-15,461600.88636941253
2014-06-16,462528.5547505679
2014-06-17,461241.2450595692
2014-06-18,463759.0844488193
2014-06-19,469589.0316533008
2014-06-20,472552.19199943927
2014-06-21,472552.19199943927
2014-06-22,472552.19199943927
2014-06-23,471762.91949839634
2014-06-24,466721.1058494244
2014-06-25,466870.6434266433
2014-06-26,472407.3067705881
2014-06-27,477857.19198770315
2014-06-28,477857.19198770315
2014-06-29,477857.19198770315
2014-06-30,476204.9217278121
2014-07-01,475253.6456503038
2014-07-02,475577.86532997503
2014-07-03,480670.7511013926
2014-07-04,476540.28024489456
2014-07-05,476540.28024489456
2014-07-06,476540.28024489456
2014-07-07,475316.0729453352
2014-07-08,482242.85210481274
2014-07-09,486700.2744971927
2014-07-10,484543.3392740014
2014-07-11,494698.2025214081
2014-07-12,494698.2025214081
2014-07-13,494698.2025214081
2014-07-14,498364.4176332245
2014-07-15,499267.21468272933
2014-07-16,498251.51968825166
2014-07-17,496741.74575919413
2014-07-18,494886.81543554354
2014-07-19,494886.81543554354
2014-07-20,494886.81543554354
2014-07-21,495254.463132043
2014-07-22,501098.08903049654
2014-07-23,505123.9329153872
2014-07-24,506185.46141002537
2014-07-25,507235.8531945079
2014-07-26,507235.8531945079
2014-07-27,507235.8531945079
2014-07-28,507867.23125051335
2014-07-29,507867.23125051335
2014-07-30,507286.0829394849
2014-07-31,506126.9273395649
2014-08-01,509814.85291534854
2014-08-02,509814.85291534854
2014-08-03,509814.85291534854
2014-08-04,513504.84348346834
2014-08-05,512406.98465178
2014-08-06,511607.6966187067
2014-08-07,512530.17595919914
2014-08-08,510665.700048944
2014-08-09,510665.700048944
2014-08-10,510665.700048944
2014-08-11,511173.0825200749
2014-08-12,510137.2543812884
2014-08-13,505497.61291499797
2014-08-14,504189.07047601155
2014-08-15,504189.07047601155
2014-08-16,504189.07047601155
2014-08-17,504189.07047601155
