Date,Capital
2014-01-09,593801.9205617709
2014-01-10,591860.0068161158
2014-01-11,591860.0068161158
2014-01-12,591860.0068161158
2014-01-13,593971.1853520824
2014-01-14,594011.4354074348
2014-01-15,589402.8591998722
2014-01-16,577266.2250277745
2014-01-17,556399.868502077
2014-01-18,556399.868502077
2014-01-19,556399.868502077
2014-01-20,563265.6475919432
2014-01-21,568772.9755538083
2014-01-22,570005.8296865877
2014-01-23,571504.1349889876
2014-01-24,559568.0520884234
2014-01-25,559568.0520884235
2014-01-26,559568.0520884235
2014-01-27,544929.8378876355
2014-01-28,541538.0838776747
2014-01-29,539150.8837204793
2014-01-30,536220.369596297
2014-01-31,540370.353210502
2014-02-01,540370.3532105021
2014-02-02,540370.3532105021
2014-02-03,540178.1533074989
2014-02-04,541054.5354941392
2014-02-05,543799.0976244113
2014-02-06,538780.9402371485
2014-02-07,537255.7274668015
2014-02-08,537255.7274668016
2014-02-09,537255.7274668016
2014-02-10,536151.0475160616
2014-02-11,532955.9891854889
2014-02-12,536916.6756348204
2014-02-13,526377.9222994974
2014-02-14,526401.8453010035
2014-02-15,526401.8453010035
2014-02-16,526401.8453010035
2014-02-17,528111.0704233957
2014-02-18,532262.4753830954
2014-02-19,534736.8678718759
2014-02-20,530403.2712416452
2014-02-21,537500.0754709882
2014-02-22,537500.0754709882
2014-02-23,537500.0754709882
2014-02-24,539948.7479908498
2014-02-25,542003.6691474176
2014-02-26,545742.4541148269
2014-02-27,545742.4541148269
2014-02-28,548887.7232451553
2014-03-01,548887.7232451553
2014-03-02,548887.7232451553
2014-03-03,548275.7526525086
2014-03-04,560864.2161103365
2014-03-05,556561.0830158839
2014-03-06,553399.457022187
2014-03-07,547801.0632018002
2014-03-08,547801.0632018001
2014-03-09,547801.0632018001
2014-03-10,557336.2208665258
2014-03-11,554430.3083181514
2014-03-12,551604.9443880008
2014-03-13,541878.6781048679
2014-03-14,548356.5356136933
2014-03-15,548356.5356136933
2014-03-16,548356.5356136933
2014-03-17,548356.5356136933
2014-03-18,549901.8104861267
2014-03-19,550356.2820108869
2014-03-20,547696.8401749805
2014-03-21,553082.2683976478
2014-03-22,553082.2683976478
2014-03-23,553082.2683976478
2014-03-24,554977.9216517757
2014-03-25,560046.8116910048
2014-03-26,558602.6106757713
2014-03-27,560488.4281824841
2014-03-28,570631.2018195876
2014-03-29,570631.2018195877
2014-03-30,570631.2018195877
2014-03-31,577782.3180851545
2014-04-01,577669.5863326646
2014-04-02,589679.4755593
2014-04-03,589286.9399448703
2014-04-04,604934.079984861
2014-04-05,604934.079984861
2014-04-06,604934.079984861
2014-04-07,607948.439614283
2014-04-08,607948.439614283
2014-04-09,621744.6941612195
2014-04-10,629350.0791272651
2014-04-11,637831.0724387603
2014-04-12,637831.0724387603
2014-04-13,637831.0724387603
2014-04-14,637831.0724387603
2014-04-15,616375.2935777471
2014-04-16,590374.0696322314
2014-04-17,606273.8371863599
2014-04-18,606273.8371863598
2014-04-19,606273.8371863598
2014-04-20,606273.8371863598
2014-04-21,618768.7438748277
2014-04-22,622312.9655255429
2014-04-23,622276.853073614
2014-04-24,622276.853073614
2014-04-25,618941.1277790503
2014-04-26,618941.1277790503
2014-04-27,618941.1277790503
2014-04-28,621218.2340335648
2014-04-29,620716.6570889449
2014-04-30,600710.5055231397
2014-05-01,600710.5055231397
2014-05-02,600112.3862013302
2014-05-03,600112.3862013302
2014-05-04,600112.3862013302
2014-05-05,592796.7545321067
2014-05-06,602803.2957594603
2014-05-07,592699.8104398936
2014-05-08,595441.6909659498
2014-05-09,602161.4265559741
2014-05-10,602161.4265559742
2014-05-11,602161.4265559742
2014-05-12,611958.1513879057
2014-05-13,618836.3453412406
2014-05-14,616496.1656243523
2014-05-15,610971.3374091277
2014-05-16,632121.3634260002
2014-05-17,632121.3634260003
2014-05-18,632121.3634260003
2014-05-19,711322.1737650204
2014-05-20,732880.742662469
2014-05-21,744369.219191172
2014-05-22,768890.0134255567
2014-05-23,777754.345047643
2014-05-24,777754.3450476431
2014-05-25,777754.3450476431
2014-05-26,734036.7865965276
2014-05-27,722823.7720161455
2014-05-28,734305.9081250449
2014-05-29,725438.9476842218
2014-05-30,727489.2933747243
2014-05-31,727489.2933747245
2014-06-01,727489.2933747245
2014-06-02,736820.8016214393
2014-06-03,741091.9252461453
2014-06-04,753346.0463642245
2014-06-05,770063.1855539139
2014-06-06,783610.4424548771
2014-06-07,783610.4424548771
2014-06-08,783610.4424548771
2014-06-09,805860.5352961867
2014-06-10,812452.9149343336
2014-06-11,801183.8412509188
2014-06-12,790240.0359412339
2014-06-13,747165.7305700766
2014-06-14,747165.7305700765
2014-06-15,747165.7305700765
2014-06-16,737597.7201059763
2014-06-17,749779.1025428947
2014-06-18,738332.8840444593
2014-06-19,733509.3112133401
2014-06-20,722195.7570289128
2014-06-21,722195.7570289128
2014-06-22,722195.7570289128
2014-06-23,730590.9932581789
2014-06-24,737550.3626281512
2014-06-25,735549.1564032709
2014-06-26,736383.764355037
2014-06-27,733356.4794707409
2014-06-28,733356.4794707409
2014-06-29,733356.4794707409
2014-06-30,744725.954958411
2014-07-01,750018.3537732793
2014-07-02,749618.7870939951
2014-07-03,732663.1960015306
2014-07-04,734618.394241907
2014-07-05,734618.394241907
2014-07-06,734618.394241907
2014-07-07,740629.5641309941
2014-07-08,698625.7109358143
2014-07-09,679030.1612859798
2014-07-10,683121.8932810595
2014-07-11,660084.1919475597
2014-07-12,660084.1919475597
2014-07-13,660084.1919475597
2014-07-14,656983.4445423934
2014-07-15,664256.2825778541
2014-07-16,672292.2819853367
2014-07-17,686175.7127708787
2014-07-18,684723.603837945
2014-07-19,684723.603837945
2014-07-20,684723.603837945
2014-07-21,685347.1629558727
2014-07-22,677612.4126872817
2014-07-23,665510.1919574245
2014-07-24,670820.3476072131
2014-07-25,654138.3148122124
2014-07-26,654138.3148122124
2014-07-27,654138.3148122124
2014-07-28,654834.8659074286
2014-07-29,654834.8659074287
2014-07-30,653626.6744160093
2014-07-31,654948.0089525604
2014-08-01,652236.4233620267
2014-08-02,652236.4233620267
2014-08-03,652236.4233620267
2014-08-04,652386.1324073123
2014-08-05,658702.8309422089
2014-08-06,657208.387516354
2014-08-07,646891.5220016459
2014-08-08,637700.8902751909
2014-08-09,637700.8902751909
2014-08-10,637700.8902751909
2014-08-11,652505.553448368
2014-08-12,653107.8540914762
2014-08-13,649698.0130453487
2014-08-14,661678.7422652418
2014-08-15,661678.7422652418
2014-08-16,661678.7422652418
2014-08-17,661678.7422652418
2014-08-18,686832.7238986117
2014-08-19,688940.0581655058
2014-08-20,691448.9951794845
2014-08-21,699913.753272725
2014-08-22,708471.5422313391
2014-08-23,708471.542231339
2014-08-24,708471.542231339
2014-08-25,702107.2584734218
2014-08-26,701149.619449674
2014-08-27,705725.4346822561
2014-08-28,710316.2420677053
2014-08-29,710316.2420677054
2014-08-30,710316.2420677054
2014-08-31,710316.2420677054
2014-09-01,715741.0319797713
2014-09-02,722722.3942131867
2014-09-03,728163.3168202876
2014-09-04,728042.1527662794
2014-09-05,728385.8858214456
2014-09-06,728385.8858214455
2014-09-07,728385.8858214455
2014-09-08,742592.4867857827
2014-09-09,743432.6802480567
2014-09-10,744133.975888189
2014-09-11,755161.4451504155
2014-09-12,763974.0449697815
2014-09-13,763974.0449697815
2014-09-14,763974.0449697815
2014-09-15,777553.0800447691
2014-09-16,734754.0229825916
2014-09-17,750904.4218624552
2014-09-18,776309.2949370375
2014-09-19,775509.6160585827
2014-09-20,775509.6160585827
2014-09-21,775509.6160585827
2014-09-22,783376.1411837973
2014-09-23,764300.8998140407
2014-09-24,750749.9912401377
2014-09-25,724664.3529679598
2014-09-26,725903.3860228497
2014-09-27,725903.3860228496
2014-09-28,725903.3860228496
2014-09-29,732834.0715164222
2014-09-30,735536.6546332815
2014-10-01,731203.6088675815
2014-10-02,731203.6088675815
2014-10-03,731203.6088675815
2014-10-04,731203.6088675815
2014-10-05,731203.6088675815
2014-10-06,731203.6088675815
2014-10-07,727376.3082495476
2014-10-08,713587.0829575225
2014-10-09,717498.2011064655
2014-10-10,707848.4489934581
2014-10-11,707848.4489934582
2014-10-12,707848.4489934582
2014-10-13,709551.8892635944
2014-10-14,705094.4834280026
2014-10-15,705094.4834280026
2014-10-16,667753.7977509681
2014-10-17,668118.2943588765
2014-10-18,668118.2943588767
2014-10-19,668118.2943588767
2014-10-20,668323.0089240317
2014-10-21,672953.064706686
2014-10-22,679862.7871482443
2014-10-23,679862.7871482444
2014-10-24,679862.7871482444
2014-10-25,679862.7871482444
2014-10-26,679862.7871482444
2014-10-27,686581.4631466129
2014-10-28,688963.0481168821
2014-10-29,695071.6310406539
2014-10-30,696641.0100575676
2014-10-31,712825.3184452516
2014-11-01,712825.3184452516
2014-11-02,712825.3184452516
2014-11-03,717299.5557320617
2014-11-04,717299.5557320617
2014-11-05,711045.4274477441
2014-11-06,711045.427447744
2014-11-07,698414.6693874969
2014-11-08,698414.6693874969
2014-11-09,698414.6693874969
2014-11-10,695025.0761487373
2014-11-11,695551.7444570233
2014-11-12,691810.3395610662
2014-11-13,679601.7526505707
2014-11-14,692700.8927020351
2014-11-15,692700.8927020353
2014-11-16,692700.8927020353
2014-11-17,708840.3382875178
2014-11-18,710142.4834819727
2014-11-19,694226.7747912777
2014-11-20,680942.1479537453
2014-11-21,672741.2167013736
2014-11-22,672741.2167013736
2014-11-23,672741.2167013736
2014-11-24,684207.0206818071
2014-11-25,663093.4703326749
2014-11-26,668025.9601687484
2014-11-27,671258.7119755726
2014-11-28,680913.4446582149
2014-11-29,680913.4446582147
2014-11-30,680913.4446582147
2014-12-01,669567.111550262
2014-12-02,687628.2458502874
2014-12-03,698047.8934326636
2014-12-04,698050.1265719477
2014-12-05,705846.4612625004
2014-12-06,705846.4612625003
2014-12-07,705846.4612625003
2014-12-08,703183.1054879104
2014-12-09,681944.3512585037
2014-12-10,690353.907599438
2014-12-11,678436.2842168697
2014-12-12,653455.1177662557
2014-12-13,653455.1177662556
2014-12-14,653455.1177662556
2014-12-15,650927.9760762893
2014-12-16,625204.0835056124
2014-12-17,611099.165181448
2014-12-18,637220.9504790328
2014-12-19,636182.1079614153
2014-12-20,636182.1079614153
2014-12-21,636182.1079614153
2014-12-22,645615.1087964505
2014-12-23,637324.850892935
2014-12-24,639663.7579641668
2014-12-25,639663.7579641668
2014-12-26,638305.1876772695
2014-12-27,638305.1876772696
2014-12-28,638305.1876772696
2014-12-29,634060.5979294052
2014-12-30,635177.4696448605
2014-12-31,646137.7219041061
2015-01-01,654485.7595418809
2015-01-02,658564.7552383518
2015-01-03,658564.7552383518
2015-01-04,658564.7552383518
2015-01-05,652171.0480356669
2015-01-06,626201.4278433853
2015-01-07,625368.5830396344
2015-01-08,638929.3443017342
2015-01-09,642772.6885111292
2015-01-10,642772.6885111291
2015-01-11,642772.6885111291
2015-01-12,632246.6278833204
2015-01-13,629318.4930272879
2015-01-14,623730.0298844901
2015-01-15,622448.2187863336
2015-01-16,622738.2063071032
2015-01-17,622738.2063071033
2015-01-18,622738.2063071033
2015-01-19,619042.5099557535
2015-01-20,614266.777701636
2015-01-21,607810.9628378
2015-01-22,609442.1030874682
2015-01-23,611906.2144398553
2015-01-24,611906.2144398554
2015-01-25,611906.2144398554
2015-01-26,611906.2144398554
2015-01-27,624007.489701372
2015-01-28,626426.4598663126
2015-01-29,628755.8493115922
2015-01-30,626474.3417720168
2015-01-31,626474.341772017
2015-02-01,626474.341772017
2015-02-02,640170.8709641302
2015-02-03,631001.6860473508
2015-02-04,634695.0841165382
2015-02-05,618645.2914464276
2015-02-06,615280.9373663443
2015-02-07,615280.9373663443
2015-02-08,615280.9373663443
2015-02-09,601757.1103063509
2015-02-10,609862.5241110614
2015-02-11,618019.9651382135
2015-02-12,630849.3332514286
2015-02-13,629753.9007453934
2015-02-14,629753.9007453934
2015-02-15,629753.9007453934
2015-02-16,628835.3230146256
2015-02-17,628835.3230146256
2015-02-18,642798.7868404469
2015-02-19,635852.0498969974
2015-02-20,642955.4403503301
2015-02-21,642955.4403503302
2015-02-22,642955.4403503302
2015-02-23,650519.9502575909
2015-02-24,650103.7371943623
2015-02-25,648857.7225678668
2015-02-26,639097.2069073579
2015-02-27,655431.7814991361
2015-02-28,655431.7814991361
2015-03-01,655431.7814991361
2015-03-02,653363.7914520404
2015-03-03,659264.4226363865
2015-03-04,640354.5447806558
2015-03-05,649733.0054893391
2015-03-06,649733.0054893392
2015-03-07,649733.0054893392
2015-03-08,649733.0054893392
2015-03-09,639406.9255552011
2015-03-10,636762.900352107
2015-03-11,627781.7337713578
2015-03-12,634484.1849502653
2015-03-13,620634.0225266735
2015-03-14,620634.0225266735
