Date,Capital
2015-02-01,600000.0
2015-02-02,599769.8056333826
2015-02-03,598131.2029214669
2015-02-04,597872.0545359575
2015-02-05,595083.5814773013
2015-02-06,592709.5268707912
2015-02-07,592709.5268707912
2015-02-08,592709.5268707912
2015-02-09,589138.0801884495
2015-02-10,588976.5393376735
2015-02-11,591868.9978318323
2015-02-12,592958.0487120703
2015-02-13,594176.9965779106
2015-02-14,594176.9965779106
2015-02-15,594176.9965779106
2015-02-16,593142.7216946903
2015-02-17,593338.0957781927
2015-02-18,594940.5844931342
2015-02-19,598172.7008124961
2015-02-20,599376.2360228677
2015-02-21,599376.2360228677
2015-02-22,599376.2360228677
2015-02-23,598429.7503133966
2015-02-24,595765.8576742765
2015-02-25,595133.6869785762
2015-02-26,593272.307591517
2015-02-27,595043.9493352703
2015-02-28,595043.9493352703
2015-03-01,595043.9493352703
2015-03-02,590708.8455827818
2015-03-03,592231.0633996625
2015-03-04,594184.8955287618
2015-03-05,595714.6050576181
2015-03-06,598036.5384210518
2015-03-07,598036.5384210518
2015-03-08,598036.5384210518
2015-03-09,591930.4621835097
2015-03-10,591764.3851698072
2015-03-11,592628.9302126265
2015-03-12,595671.5273099943
2015-03-13,590245.8581309764
2015-03-14,590245.8581309764
2015-03-15,590245.8581309764
2015-03-16,587447.379765236
2015-03-17,583544.8392813348
2015-03-18,582450.9764246865
2015-03-19,579382.7258391348
2015-03-20,575249.1575746273
2015-03-21,575249.1575746273
2015-03-22,575249.1575746273
2015-03-23,571489.8201476552
2015-03-24,571278.5920985343
2015-03-25,566525.8699484651
2015-03-26,563205.1643307295
2015-03-27,560000.0292080147
2015-03-28,560000.0292080147
2015-03-29,560000.0292080147
2015-03-30,562620.5902184905
2015-03-31,562414.1599644503
2015-04-01,569960.4617466538
2015-04-02,575560.9008162869
2015-04-03,575560.9008162869
2015-04-04,575560.9008162869
2015-04-05,575560.9008162869
2015-04-06,577496.3607346439
2015-04-07,589259.3212637942
2015-04-08,598697.7032251443
2015-04-09,604285.0142454375
2015-04-10,616356.8931610116
2015-04-11,616356.8931610116
2015-04-12,616356.8931610116
2015-04-13,623363.19658967
2015-04-14,625317.2178974345
2015-04-15,625040.0874758107
2015-04-16,621640.4663846404
2015-04-17,617737.7859058433
2015-04-18,617737.7859058433
2015-04-19,617737.7859058433
2015-04-20,606743.8324074938
2015-04-21,602927.0446157365
2015-04-22,601878.2541171499
2015-04-23,605584.1092544433
2015-04-24,595870.485861302
2015-04-25,595870.485861302
2015-04-26,595870.485861302
2015-04-27,585359.9239985696
2015-04-28,584548.7477636812
2015-04-29,585514.9637915298
2015-04-30,582721.2488988806
2015-05-01,588787.7096561885
2015-05-02,588787.7096561885
2015-05-03,588787.7096561885
2015-05-04,599383.8161668015
2015-05-05,611375.0691407397
2015-05-06,592272.552652268
2015-05-07,586639.5682653869
2015-05-08,593032.4064079975
2015-05-09,593032.4064079975
2015-05-10,593032.4064079975
2015-05-11,596169.3350553274
2015-05-12,585538.7003521521
2015-05-13,589939.9428861518
2015-05-14,592714.8352709188
2015-05-15,591324.0131486258
2015-05-16,591324.0131486258
2015-05-17,591324.0131486258
2015-05-18,592518.992330844
2015-05-19,591486.9246292766
2015-05-20,587021.8613124022
2015-05-21,585963.0121917818
2015-05-22,588893.9410832275
2015-05-23,588893.9410832275
2015-05-24,588893.9410832275
2015-05-25,587772.1385067824
2015-05-26,584875.6861454451
2015-05-27,580907.7295029438
2015-05-28,578694.7949933184
2015-05-29,580328.605331945
2015-05-30,580328.605331945
2015-05-31,580328.605331945
2015-06-01,575505.2356538126
2015-06-02,564545.2675664676
2015-06-03,535215.315142147
2015-06-04,534937.488977277
2015-06-05,535813.8212937617
2015-06-06,535813.8212937617
2015-06-07,535813.8212937617
2015-06-08,531046.3168099183
2015-06-09,526623.7797809192
2015-06-10,531229.6245671753
2015-06-11,520125.026704678
2015-06-12,514867.5184921017
2015-06-13,514867.5184921017
