Date,Capital
2014-02-10,299926.4349672172
2014-02-11,299856.111789344
2014-02-12,298891.0214848235
2014-02-13,296270.59199488175
2014-02-14,295949.5939347615
2014-02-15,295949.5939347615
2014-02-16,295949.5939347615
2014-02-17,295773.02423948323
2014-02-18,296853.00567613926
2014-02-19,296187.76808468177
2014-02-20,295819.84109949076
2014-02-21,297508.72271289147
2014-02-22,297508.72271289147
2014-02-23,297508.72271289147
2014-02-24,294967.2203877751
2014-02-25,293060.65622957854
2014-02-26,291881.3216803308
2014-02-27,291881.3216803308
2014-02-28,292931.23913946876
2014-03-01,292931.23913946876
2014-03-02,292931.23913946876
2014-03-03,289393.02384390763
2014-03-04,293620.2840191531
2014-03-05,297257.7497562405
2014-03-06,306446.6413082721
2014-03-07,313928.70456253906
2014-03-08,313928.70456253906
2014-03-09,313928.70456253906
2014-03-10,317856.55514929944
2014-03-11,316620.6664417588
2014-03-12,313612.4449052552
2014-03-13,309434.90927648626
2014-03-14,307627.5754832671
2014-03-15,307627.5754832671
2014-03-16,307627.5754832671
2014-03-17,307627.5754832671
2014-03-18,306770.5651241273
2014-03-19,306107.22787129006
2014-03-20,304264.2005891177
2014-03-21,305574.90321541356
2014-03-22,305574.90321541356
2014-03-23,305574.90321541356
2014-03-24,306041.3182719097
2014-03-25,306381.35207336966
2014-03-26,306297.43722712283
2014-03-27,309033.91546549613
2014-03-28,314412.8279461819
2014-03-29,314412.8279461819
2014-03-30,314412.8279461819
2014-03-31,315922.26079887414
2014-04-01,320840.76327904366
2014-04-02,329139.8528296696
2014-04-03,329658.15752087825
2014-04-04,333131.1632750497
2014-04-05,333131.1632750497
2014-04-06,333131.1632750497
2014-04-07,330913.2232510042
2014-04-08,330913.2232510042
2014-04-09,334759.4344635496
2014-04-10,331420.85306704696
2014-04-11,337831.01456941187
2014-04-12,337831.01456941187
2014-04-13,337831.01456941187
2014-04-14,337831.01456941187
2014-04-15,337610.69306229416
2014-04-16,332196.944639227
2014-04-17,335653.2795923577
2014-04-18,335653.2795923577
2014-04-19,335653.2795923577
2014-04-20,335653.2795923577
2014-04-21,338122.79184243747
2014-04-22,340429.14062626817
2014-04-23,339625.9787462222
2014-04-24,339625.9787462222
2014-04-25,339745.3446311746
2014-04-26,339745.3446311746
2014-04-27,339745.3446311746
2014-04-28,338647.89060841536
2014-04-29,336274.01444844145
2014-04-30,330682.0569545153
2014-05-01,330682.0569545153
2014-05-02,330115.1733175164
2014-05-03,330115.1733175164
2014-05-04,330115.1733175164
2014-05-05,325305.5244246746
2014-05-06,330177.67197026813
2014-05-07,328486.0541100334
2014-05-08,326896.1447011462
2014-05-09,334074.3177683533
2014-05-10,334074.3177683533
2014-05-11,334074.3177683533
2014-05-12,336312.80075476016
2014-05-13,344480.44351260713
2014-05-14,349847.8704300603
2014-05-15,346270.87437181675
2014-05-16,351757.0316740988
2014-05-17,351757.0316740988
2014-05-18,351757.0316740988
2014-05-19,370598.2505920218
2014-05-20,380220.3156095515
2014-05-21,388308.694198909
2014-05-22,399842.5580038526
2014-05-23,408382.47203760734
2014-05-24,408382.47203760734
2014-05-25,408382.47203760734
2014-05-26,397379.2427732503
2014-05-27,397595.6382187891
2014-05-28,404997.3554439977
2014-05-29,401957.5240274967
2014-05-30,401967.76809972996
2014-05-31,401967.76809972996
2014-06-01,401967.76809972996
2014-06-02,406080.21513532044
2014-06-03,413661.1885466131
2014-06-04,420776.84837718797
2014-06-05,426564.30286411644
2014-06-06,435483.3364843083
2014-06-07,435483.3364843083
2014-06-08,435483.3364843083
2014-06-09,442995.86549064255
2014-06-10,450441.3944193319
2014-06-11,452321.4387375676
2014-06-12,455436.5203496105
2014-06-13,445484.52518077916
2014-06-14,445484.52518077916
2014-06-15,445484.52518077916
2014-06-16,447085.84939275356
2014-06-17,451619.6136653011
2014-06-18,449133.8211254113
2014-06-19,452542.7827053602
2014-06-20,452500.4926041041
2014-06-21,452500.4926041041
2014-06-22,452500.4926041041
2014-06-23,452853.7185440607
2014-06-24,459033.7579893178
2014-06-25,459907.5677900785
2014-06-26,462215.27264345816
2014-06-27,468524.5858154807
2014-06-28,468524.5858154807
2014-06-29,468524.5858154807
2014-06-30,473955.66332439746
2014-07-01,481436.9831188631
2014-07-02,487446.38021938165
2014-07-03,488144.63484022394
2014-07-04,487162.9900499148
2014-07-05,487162.9900499148
2014-07-06,487162.9900499148
2014-07-07,489967.97623275704
2014-07-08,470971.01282203797
2014-07-09,463294.4651141394
2014-07-10,466184.5904647007
2014-07-11,455438.8798429484
2014-07-12,455438.8798429484
2014-07-13,455438.8798429484
2014-07-14,459035.23500631715
2014-07-15,469772.6883518801
2014-07-16,481761.4854949111
2014-07-17,486881.29149406066
2014-07-18,482774.08125470555
2014-07-19,482774.08125470555
2014-07-20,482774.08125470555
2014-07-21,483708.1002097876
2014-07-22,485222.8972920087
2014-07-23,483766.1533177082
2014-07-24,480121.3561044183
2014-07-25,465823.5443657127
2014-07-26,465823.5443657127
2014-07-27,465823.5443657127
2014-07-28,456654.57929067814
2014-07-29,456654.57929067814
2014-07-30,457093.02236445306
2014-07-31,462183.0352516423
2014-08-01,458702.573047188
2014-08-02,458702.573047188
2014-08-03,458702.573047188
2014-08-04,466058.69802718586
2014-08-05,470732.0443139469
2014-08-06,467785.3279423638
2014-08-07,461069.10340848303
2014-08-08,445048.6087916321
2014-08-09,445048.6087916321
2014-08-10,445048.6087916321
2014-08-11,444364.90689208545
2014-08-12,441900.69337901415
2014-08-13,418635.2418446065
2014-08-14,416897.7907447255
2014-08-15,416897.7907447255
2014-08-16,416897.7907447255
2014-08-17,416897.7907447255
2014-08-18,433136.6038924309
2014-08-19,443355.4800623032
2014-08-20,448405.3904580069
2014-08-21,456980.1164714719
2014-08-22,453768.43870881887
2014-08-23,453768.43870881887
2014-08-24,453768.43870881887
2014-08-25,451522.0462247097
2014-08-26,437486.8975010255
2014-08-27,434219.4002271113
2014-08-28,432241.0280795422
2014-08-29,432241.0280795422
2014-08-30,432241.0280795422
2014-08-31,432241.0280795422
2014-09-01,438453.9949779286
2014-09-02,440689.2456276235
2014-09-03,444540.6435860325
2014-09-04,432016.7225866494
2014-09-05,434146.2404079989
2014-09-06,434146.2404079989
2014-09-07,434146.2404079989
2014-09-08,451015.65444579325
2014-09-09,454664.1198708005
2014-09-10,460420.1085381323
2014-09-11,469196.652542748
2014-09-12,463012.48186464084
2014-09-13,463012.48186464084
2014-09-14,463012.48186464084
2014-09-15,465304.65296433563
2014-09-16,446027.2046352305
2014-09-17,443268.18063702324
2014-09-18,455099.96130776196
2014-09-19,449654.6155545671
2014-09-20,449654.6155545671
2014-09-21,449654.6155545671
2014-09-22,452586.0490555164
2014-09-23,439230.42823719396
2014-09-24,421162.47484630265
2014-09-25,382484.29140931077
2014-09-26,391404.38628017186
2014-09-27,391404.38628017186
2014-09-28,391404.38628017186
2014-09-29,393300.79441534413
2014-09-30,392064.081787165
2014-10-01,392638.03500548383
2014-10-02,392638.03500548383
2014-10-03,392638.03500548383
2014-10-04,392638.03500548383
2014-10-05,392638.03500548383
2014-10-06,392638.0350054839
2014-10-07,392221.05420096626
2014-10-08,390024.92276331224
2014-10-09,396484.284292796
2014-10-10,391972.3030384105
2014-10-11,391972.3030384105
2014-10-12,391972.3030384105
2014-10-13,401383.76454240724
2014-10-14,395112.10574484325
2014-10-15,395112.10574484325
2014-10-16,380431.08039752184
2014-10-17,377374.85654383607
2014-10-18,377374.85654383607
2014-10-19,377374.85654383607
2014-10-20,377090.56305856304
2014-10-21,384076.05152645893
2014-10-22,397931.0870809497
2014-10-23,397931.0870809497
2014-10-24,397931.0870809497
2014-10-25,397931.0870809497
2014-10-26,397931.0870809497
