Date,Capital
2014-01-11,500000.0
2014-01-12,500000.0
2014-01-13,501385.5342267981
2014-01-14,502757.48543693306
2014-01-15,498049.5161161842
2014-01-16,489052.4704164548
2014-01-17,468976.2968290933
2014-01-18,468976.2968290933
2014-01-19,468976.2968290933
2014-01-20,475095.2173519385
2014-01-21,479283.02009637665
2014-01-22,480796.3111559672
2014-01-23,482440.7935196124
2014-01-24,473585.25398778415
2014-01-25,473585.25398778415
2014-01-26,473585.25398778415
2014-01-27,461010.4930709804
2014-01-28,458102.7794643798
2014-01-29,456663.6764766716
2014-01-30,453620.51588510955
2014-01-31,458829.1377538047
2014-02-01,458829.1377538048
2014-02-02,458829.1377538048
2014-02-03,460309.59510236984
2014-02-04,460608.00809239503
2014-02-05,463183.6788567822
2014-02-06,460732.7324993998
2014-02-07,461008.760428995
2014-02-08,461008.760428995
2014-02-09,461008.760428995
2014-02-10,460140.97224798624
2014-02-11,457706.4621490666
2014-02-12,464204.7627626365
2014-02-13,457465.1245114179
2014-02-14,458559.0509480983
2014-02-15,458559.0509480984
2014-02-16,458559.0509480984
2014-02-17,457028.379810155
2014-02-18,458751.9732914144
2014-02-19,460951.617167979
2014-02-20,456042.5460386247
2014-02-21,461235.94124873454
2014-02-22,461235.94124873454
2014-02-23,461235.94124873454
2014-02-24,464072.5204742311
2014-02-25,464086.7216284758
2014-02-26,466562.7275999695
2014-02-27,466562.7275999694
2014-02-28,468344.19934323383
2014-03-01,468344.19934323383
2014-03-02,468344.19934323383
2014-03-03,467009.4530793473
2014-03-04,472969.856842052
2014-03-05,473876.2170099225
2014-03-06,469081.8660892103
2014-03-07,469457.36089883465
2014-03-08,469457.3608988346
2014-03-09,469457.3608988346
2014-03-10,473674.2727592274
2014-03-11,470869.7423437091
2014-03-12,466326.12992126995
2014-03-13,459176.39896113286
2014-03-14,467919.2839337266
2014-03-15,467919.2839337266
2014-03-16,467919.2839337266
2014-03-17,467919.2839337266
2014-03-18,467913.2329148657
2014-03-19,466772.5684442921
2014-03-20,462138.58382951
2014-03-21,463489.88143866666
2014-03-22,463489.8814386666
2014-03-23,463489.8814386666
2014-03-24,467272.1422534811
2014-03-25,470936.6945836017
2014-03-26,466368.1967636291
2014-03-27,467931.1654566973
2014-03-28,476217.87021136587
2014-03-29,476217.8702113658
2014-03-30,476217.8702113658
2014-03-31,482041.96881368
2014-04-01,484910.59730346635
2014-04-02,495815.98682590027
2014-04-03,495999.2712985281
2014-04-04,505813.9194542848
2014-04-05,505813.9194542848
2014-04-06,505813.9194542848
2014-04-07,508194.1102770142
2014-04-08,508194.1102770142
2014-04-09,518005.07678131486
2014-04-10,525676.209715314
2014-04-11,533221.3345593554
2014-04-12,533221.3345593554
2014-04-13,533221.3345593554
2014-04-14,533221.3345593554
2014-04-15,514500.2060838747
2014-04-16,490840.2449863356
2014-04-17,500884.6457381275
2014-04-18,500884.6457381275
2014-04-19,500884.6457381275
2014-04-20,500884.6457381275
2014-04-21,513265.22997912683
2014-04-22,517620.91979045176
2014-04-23,519951.8902678241
2014-04-24,519951.8902678241
2014-04-25,516493.50946041534
2014-04-26,516493.50946041534
2014-04-27,516493.50946041534
2014-04-28,516057.8981467398
2014-04-29,516056.76988747425
2014-04-30,498821.0016491513
2014-05-01,498821.0016491514
2014-05-02,496451.8159015745
2014-05-03,496451.8159015745
2014-05-04,496451.8159015745
2014-05-05,489946.9130936869
2014-05-06,496066.31676986266
2014-05-07,489044.80161911965
2014-05-08,490050.75464088627
2014-05-09,494715.8421389228
2014-05-10,494715.8421389228
2014-05-11,494715.8421389228
2014-05-12,503276.0545940331
2014-05-13,506016.5990274503
2014-05-14,502717.77467470354
2014-05-15,497550.09147247515
2014-05-16,511408.0196749214
2014-05-17,511408.01967492147
2014-05-18,511408.01967492147
2014-05-19,571206.7889403385
2014-05-20,589562.7609600254
2014-05-21,599207.4101350451
2014-05-22,619301.3354118383
2014-05-23,628175.3736380109
2014-05-24,628175.3736380109
2014-05-25,628175.3736380109
2014-05-26,590114.4994383482
2014-05-27,579433.3376687665
2014-05-28,587936.1871565671
2014-05-29,578448.4081321381
2014-05-30,580409.5696911318
2014-05-31,580409.5696911318
2014-06-01,580409.5696911318
2014-06-02,587788.9175215672
2014-06-03,592328.8834482875
2014-06-04,604264.7786403678
2014-06-05,617441.5967679212
2014-06-06,631714.6087942806
2014-06-07,631714.6087942807
2014-06-08,631714.6087942807
2014-06-09,644736.5318698646
2014-06-10,644601.9036047306
2014-06-11,641508.137144132
2014-06-12,632652.4803691773
2014-06-13,598928.4023655035
2014-06-14,598928.4023655035
2014-06-15,598928.4023655035
2014-06-16,588187.0267849849
2014-06-17,598699.3169988453
2014-06-18,585600.3869716468
2014-06-19,581687.2199724915
2014-06-20,571155.1895317137
2014-06-21,571155.1895317137
2014-06-22,571155.1895317137
2014-06-23,577575.3314483159
2014-06-24,584434.5844570725
2014-06-25,583756.5552159058
2014-06-26,585466.8566471299
2014-06-27,583791.6081033521
2014-06-28,583791.6081033521
2014-06-29,583791.6081033521
2014-06-30,591465.8869137911
2014-07-01,596429.2477763381
2014-07-02,595137.6493168895
2014-07-03,583601.3430450642
2014-07-04,581105.2682239248
2014-07-05,581105.2682239248
2014-07-06,581105.2682239248
2014-07-07,588823.8285332761
2014-07-08,553037.5550784022
2014-07-09,535294.4687499744
2014-07-10,538337.8087943236
2014-07-11,520641.46322020364
2014-07-12,520641.46322020364
2014-07-13,520641.46322020364
2014-07-14,518479.47055419954
2014-07-15,525990.7481507207
2014-07-16,534030.0784729745
2014-07-17,545339.8265186705
2014-07-18,546226.4877917723
2014-07-19,546226.4877917723
2014-07-20,546226.4877917723
2014-07-21,545587.7170322778
2014-07-22,538142.4572455517
2014-07-23,529221.6191422486
2014-07-24,535134.311298678
2014-07-25,517348.2815186878
2014-07-26,517348.2815186878
2014-07-27,517348.2815186878
2014-07-28,514881.31383593206
2014-07-29,514881.313835932
2014-07-30,512521.36978160753
2014-07-31,513062.2699272557
2014-08-01,509929.74893074005
2014-08-02,509929.74893074005
2014-08-03,509929.74893074005
2014-08-04,510605.6218099905
2014-08-05,514302.93297025515
2014-08-06,512645.19402625813
2014-08-07,503525.98044675303
2014-08-08,494189.1637534923
2014-08-09,494189.1637534923
2014-08-10,494189.1637534923
2014-08-11,502892.3463917266
2014-08-12,502079.9579926261
2014-08-13,495218.13417587715
2014-08-14,502788.1365860776
2014-08-15,502788.1365860777
2014-08-16,502788.1365860777
2014-08-17,502788.1365860777
2014-08-18,522846.06296425086
2014-08-19,522094.673553335
2014-08-20,525215.1030684417
2014-08-21,530752.7477267748
2014-08-22,535000.8781751167
2014-08-23,535000.8781751167
2014-08-24,535000.8781751167
2014-08-25,529370.1626446443
2014-08-26,531190.1507134967
2014-08-27,534987.0288811869
2014-08-28,539857.0199264814
2014-08-29,539857.0199264814
2014-08-30,539857.0199264814
2014-08-31,539857.0199264814
2014-09-01,541480.8352660363
2014-09-02,546194.5427948667
2014-09-03,553254.6051943281
2014-09-04,553448.8713400391
2014-09-05,556919.3546906258
2014-09-06,556919.3546906258
2014-09-07,556919.3546906258
2014-09-08,570521.4867979367
2014-09-09,567155.7583431823
2014-09-10,569787.1138353877
2014-09-11,582434.3603566614
2014-09-12,589114.3539941367
2014-09-13,589114.3539941367
2014-09-14,589114.3539941367
2014-09-15,599351.3225360299
2014-09-16,562086.4305239093
2014-09-17,573333.5076319433
2014-09-18,598471.7561898326
2014-09-19,603330.9875300061
2014-09-20,603330.987530006
2014-09-21,603330.987530006
2014-09-22,612564.2505225134
2014-09-23,593835.1913793536
2014-09-24,583586.6540139487
2014-09-25,561528.192952411
2014-09-26,567057.4198996895
2014-09-27,567057.4198996895
2014-09-28,567057.4198996895
2014-09-29,572368.4836317978
2014-09-30,572964.1620883639
2014-10-01,569884.578487607
2014-10-02,569884.5784876068
2014-10-03,569884.5784876068
2014-10-04,569884.5784876068
2014-10-05,569884.5784876068
2014-10-06,569884.5784876068
2014-10-07,566595.6376538894
2014-10-08,557739.1493988365
2014-10-09,562578.5901031218
2014-10-10,554363.6004551958
2014-10-11,554363.6004551956
2014-10-12,554363.6004551956
2014-10-13,555909.3256665991
2014-10-14,554157.7506293243
2014-10-15,554157.7506293243
2014-10-16,526854.6991839237
2014-10-17,527632.3709946651
2014-10-18,527632.370994665
2014-10-19,527632.370994665
2014-10-20,527879.9704129882
2014-10-21,529496.6176799037
2014-10-22,534603.6795025377
2014-10-23,534603.6795025377
2014-10-24,534603.6795025377
2014-10-25,534603.6795025377
2014-10-26,534603.6795025377
2014-10-27,538106.0424265475
2014-10-28,540392.1175636292
2014-10-29,544861.6863056011
2014-10-30,546572.0281887583
2014-10-31,556301.1138897535
2014-11-01,556301.1138897536
2014-11-02,556301.1138897536
2014-11-03,555562.989797025
2014-11-04,555562.989797025
2014-11-05,550392.2689706817
2014-11-06,550392.2689706817
2014-11-07,540758.4245836433
2014-11-08,540758.4245836434
2014-11-09,540758.4245836434
2014-11-10,539814.0426302841
2014-11-11,539687.6981752975
2014-11-12,535005.2424906003
2014-11-13,528539.3194982469
2014-11-14,536501.3956497578
2014-11-15,536501.3956497579
2014-11-16,536501.3956497579
2014-11-17,547035.6541530245
2014-11-18,548046.3607576303
2014-11-19,539592.8508674629
2014-11-20,531377.67794711
2014-11-21,524078.1060836085
2014-11-22,524078.1060836085
2014-11-23,524078.1060836085
2014-11-24,533520.4691525416
2014-11-25,518432.99561965093
2014-11-26,524639.3833026618
2014-11-27,529419.6018010497
2014-11-28,535309.3640772807
2014-11-29,535309.3640772806
2014-11-30,535309.3640772806
2014-12-01,526594.1770652065
2014-12-02,540831.9072801762
2014-12-03,549698.9726591036
2014-12-04,551535.1321670288
2014-12-05,558764.4090898698
2014-12-06,558764.4090898698
2014-12-07,558764.4090898698
2014-12-08,558450.6163656912
2014-12-09,541041.6892147334
2014-12-10,546367.7124461741
2014-12-11,541528.1719081703
2014-12-12,520641.5139753809
2014-12-13,520641.5139753809
2014-12-14,520641.5139753809
2014-12-15,518794.3700574091
2014-12-16,496503.6600826975
2014-12-17,486452.47102595493
2014-12-18,505928.5843720819
2014-12-19,505809.27462035895
2014-12-20,505809.27462035895
2014-12-21,505809.27462035895
2014-12-22,514742.4289570766
2014-12-23,508101.3226920106
2014-12-24,509646.84735474735
2014-12-25,509646.8473547473
2014-12-26,508373.30670947535
2014-12-27,508373.30670947535
2014-12-28,508373.30670947535
2014-12-29,503685.98478888196
2014-12-30,503177.66631608387
2014-12-31,509898.1895426472
2015-01-01,521087.1311129667
2015-01-02,523121.41963047546
2015-01-03,523121.41963047546
2015-01-04,523121.41963047546
2015-01-05,517337.89958134945
2015-01-06,493423.3144860411
2015-01-07,489434.5451939994
2015-01-08,501833.355082355
2015-01-09,498775.2906472365
2015-01-10,498775.2906472366
2015-01-11,498775.2906472366
2015-01-12,491155.2995036249
2015-01-13,486705.4767433173
2015-01-14,481491.02806925215
2015-01-15,482577.7229043714
2015-01-16,483241.6179037639
2015-01-17,483241.61790376384
2015-01-18,483241.61790376384
2015-01-19,478573.8003405189
2015-01-20,473322.95863483136
2015-01-21,470164.54749037616
2015-01-22,471535.1783832676
2015-01-23,472635.81862353
2015-01-24,472635.81862353004
2015-01-25,472635.81862353004
2015-01-26,472635.81862353004
2015-01-27,481406.0005731534
2015-01-28,486196.91434437194
2015-01-29,489862.1882632362
2015-01-30,486439.95780011173
2015-01-31,486439.95780011173
2015-02-01,486439.95780011173
2015-02-02,496693.30643241433
2015-02-03,487648.11228252033
2015-02-04,488222.6947307876
2015-02-05,476335.4090790689
2015-02-06,472421.6014318679
2015-02-07,472421.60143186786
2015-02-08,472421.60143186786
2015-02-09,462831.7667416766
2015-02-10,472701.063888065
2015-02-11,477912.0834352493
2015-02-12,487504.632018342
2015-02-13,486722.6833020553
2015-02-14,486722.68330205535
2015-02-15,486722.68330205535
2015-02-16,484921.7019932654
2015-02-17,484921.70199326536
2015-02-18,494372.5279018602
2015-02-19,488218.74321425706
2015-02-20,491368.99074047554
2015-02-21,491368.99074047554
2015-02-22,491368.99074047554
2015-02-23,504371.436460819
2015-02-24,502726.82606964535
2015-02-25,501912.97053058585
2015-02-26,495067.75568135816
2015-02-27,511900.9189536799
2015-02-28,511900.9189536799
2015-03-01,511900.9189536799
2015-03-02,518085.1890663159
2015-03-03,525614.9780861904
2015-03-04,511488.69029983884
2015-03-05,520377.8670605724
2015-03-06,520377.8670605725
2015-03-07,520377.8670605725
2015-03-08,520377.8670605725
2015-03-09,510502.8171914129
2015-03-10,505147.49564057577
2015-03-11,494816.4711517376
2015-03-12,498982.29749145254
2015-03-13,486702.75458667194
2015-03-14,486702.754586672
2015-03-15,486702.754586672
2015-03-16,476855.5669866744
2015-03-17,480608.1314505195
2015-03-18,484291.76851019025
2015-03-19,479078.6585313829
2015-03-20,467401.5105389171
2015-03-21,467401.51053891703
2015-03-22,467401.51053891703
2015-03-23,459392.9920022711
2015-03-24,465244.0804811694
2015-03-25,467282.7495318273
2015-03-26,464319.99758569355
2015-03-27,461748.41316383396
2015-03-28,461748.413163834
2015-03-29,461748.413163834
2015-03-30,466696.8036032907
2015-03-31,463466.36791745713
2015-04-01,467310.4739741526
2015-04-02,467310.4739741526
2015-04-03,467310.4739741526
2015-04-04,467310.4739741526
2015-04-05,467310.4739741526
2015-04-06,467584.88026980084
2015-04-07,468854.0542792553
2015-04-08,475050.43429247185
2015-04-09,479625.41812455317
2015-04-10,485446.6080511317
2015-04-11,485446.6080511317
2015-04-12,485446.6080511317
2015-04-13,492775.7560456477
2015-04-14,492775.75604564766
2015-04-15,486297.7730288012
2015-04-16,482742.61909034033
2015-04-17,470894.8600513699
2015-04-18,470894.86005136993
2015-04-19,470894.86005136993
2015-04-20,451277.11356248416
2015-04-21,448961.6124835185
2015-04-22,455831.71251627756
2015-04-23,461499.53535482415
2015-04-24,444094.67227234103
2015-04-25,444094.672272341
2015-04-26,444094.672272341
2015-04-27,428903.1383757597
2015-04-28,437215.63874783425
2015-04-29,445811.30916915205
2015-04-30,449430.45772833575
2015-05-01,449430.4577283357
2015-05-02,449430.4577283357
2015-05-03,449430.4577283357
2015-05-04,452957.3574455873
2015-05-05,453619.1493265456
2015-05-06,438994.4685412107
2015-05-07,435509.03854402434
2015-05-08,439644.53192890977
2015-05-09,439644.53192890977
2015-05-10,439644.53192890977
2015-05-11,440495.0409681344
2015-05-12,432467.21746257634
2015-05-13,433075.20801225165
2015-05-14,437591.19795012113
2015-05-15,438906.0552941972
2015-05-16,438906.0552941972
2015-05-17,438906.0552941972
2015-05-18,439324.25308582163
2015-05-19,438497.1989761086
2015-05-20,435074.59651138826
2015-05-21,434262.09464689705
2015-05-22,429862.41745625937
2015-05-23,429862.41745625937
2015-05-24,429862.41745625937
2015-05-25,425911.1268501765
2015-05-26,426785.3849522221
2015-05-27,422137.83237896726
2015-05-28,418245.6591767408
2015-05-29,425253.02801513794
2015-05-30,425253.0280151379
2015-05-31,425253.0280151379
2015-06-01,419030.2762447636
2015-06-02,411198.2501954208
2015-06-03,400909.40399592486
2015-06-04,411352.1915723942
2015-06-05,414379.6827471992
2015-06-06,414379.6827471992
2015-06-07,414379.6827471992
2015-06-08,408812.050639129
2015-06-09,406936.9759279238
2015-06-10,410474.26511807
