Date,Capital
2014-11-01,1200000.0
2014-11-02,1200000.0
2014-11-03,1200500.1328311367
2014-11-04,1200500.1328311367
2014-11-05,1203147.605746634
2014-11-06,1203147.605746634
2014-11-07,1203389.541903875
2014-11-08,1203389.541903875
2014-11-09,1203389.541903875
2014-11-10,1203146.4485292323
2014-11-11,1202393.3241775886
2014-11-12,1202843.890324687
2014-11-13,1202216.896936686
2014-11-14,1202422.229889847
2014-11-15,1202422.229889847
2014-11-16,1202422.229889847
2014-11-17,1203617.601583498
2014-11-18,1204386.2274074068
2014-11-19,1203127.78856262
2014-11-20,1202447.5231819272
2014-11-21,1200747.7982725296
2014-11-22,1200747.7982725296
2014-11-23,1200747.7982725296
2014-11-24,1200312.307595124
2014-11-25,1199822.271835091
2014-11-26,1201834.608521179
2014-11-27,1202872.9525160743
2014-11-28,1202332.3922413585
2014-11-29,1202332.3922413585
2014-11-30,1202332.3922413585
2014-12-01,1197542.9783955482
2014-12-02,1198760.0964851973
2014-12-03,1203250.706229947
2014-12-04,1206536.067700491
2014-12-05,1208446.3148461038
2014-12-06,1208446.3148461038
2014-12-07,1208446.3148461038
2014-12-08,1204582.103792044
2014-12-09,1202831.75703558
2014-12-10,1208023.5397610192
2014-12-11,1205113.0165181141
2014-12-12,1201993.6112640183
2014-12-13,1201993.6112640183
2014-12-14,1201993.6112640183
2014-12-15,1201309.8698320717
2014-12-16,1194699.0355209995
2014-12-17,1191242.2049286258
2014-12-18,1199237.1789311138
2014-12-19,1204923.03604564
2014-12-20,1204923.03604564
2014-12-21,1204923.03604564
2014-12-22,1205379.6491971563
2014-12-23,1201645.3414211792
2014-12-24,1201553.4853275
2014-12-25,1201553.4853275
2014-12-26,1199736.9841812784
2014-12-27,1199736.9841812784
2014-12-28,1199736.9841812784
2014-12-29,1200549.9603025005
2014-12-30,1202534.6719843987
2014-12-31,1204955.5982228818
2015-01-01,1207931.771115506
2015-01-02,1214156.960632179
2015-01-03,1214156.960632179
2015-01-04,1214156.960632179
2015-01-05,1215342.5256486621
2015-01-06,1203771.1428449645
2015-01-07,1205708.8294390007
2015-01-08,1214296.1903898483
2015-01-09,1212760.0224565505
2015-01-10,1212760.0224565505
2015-01-11,1212760.0224565505
2015-01-12,1214864.3857344766
2015-01-13,1213526.0669712014
2015-01-14,1211031.275961755
2015-01-15,1212942.9620191774
2015-01-16,1212519.7312160337
2015-01-17,1212519.7312160337
2015-01-18,1212519.7312160337
2015-01-19,1215946.3841583068
2015-01-20,1217786.8631067278
2015-01-21,1218753.9256511899
2015-01-22,1216659.330620453
2015-01-23,1211943.0274446828
2015-01-24,1211943.0274446828
2015-01-25,1211943.0274446828
2015-01-26,1211943.0274446828
2015-01-27,1209719.0480297755
2015-01-28,1212180.4365139322
2015-01-29,1213324.6329031854
2015-01-30,1212363.8115754891
2015-01-31,1212363.8115754891
2015-02-01,1212363.8115754891
2015-02-02,1214995.7828303254
2015-02-03,1208315.0168293265
2015-02-04,1206469.2492001879
2015-02-05,1203189.6244558124
2015-02-06,1194405.9279277667
2015-02-07,1194405.9279277667
2015-02-08,1194405.9279277667
2015-02-09,1183266.6737558916
2015-02-10,1187446.9777405947
2015-02-11,1198510.3353140287
2015-02-12,1207924.4136359317
2015-02-13,1213339.9498392881
2015-02-14,1213339.9498392881
2015-02-15,1213339.9498392881
2015-02-16,1214050.8468096328
2015-02-17,1214050.8468096328
2015-02-18,1213404.6447125429
2015-02-19,1213003.6362708388
2015-02-20,1211677.4040323775
2015-02-21,1211677.4040323775
2015-02-22,1211677.4040323775
2015-02-23,1207626.5077152476
2015-02-24,1204980.4311337755
2015-02-25,1207962.6431806795
2015-02-26,1202426.4147711494
2015-02-27,1206862.2213945622
2015-02-28,1206862.2213945622
2015-03-01,1206862.2213945622
2015-03-02,1233729.489451921
2015-03-03,1243426.4526006537
2015-03-04,1236227.703881588
2015-03-05,1242149.130845266
2015-03-06,1242149.130845266
2015-03-07,1242149.130845266
2015-03-08,1242149.130845266
2015-03-09,1240185.5521668978
2015-03-10,1239250.1916774428
2015-03-11,1236587.9202266373
2015-03-12,1243813.2391082696
2015-03-13,1232428.230352718
2015-03-14,1232428.230352718
2015-03-15,1232428.230352718
2015-03-16,1227423.1258667083
2015-03-17,1232455.0156559707
2015-03-18,1240557.9040633678
2015-03-19,1237272.9912472907
2015-03-20,1223602.2753308094
2015-03-21,1223602.2753308094
2015-03-22,1223602.2753308094
2015-03-23,1221758.0264970383
2015-03-24,1219508.7566416378
2015-03-25,1216300.94248159
2015-03-26,1209115.4609472672
2015-03-27,1208521.348591113
2015-03-28,1208521.348591113
2015-03-29,1208521.348591113
2015-03-30,1231282.553753374
2015-03-31,1237491.7813173677
2015-04-01,1253262.0723877004
2015-04-02,1253262.0723877004
2015-04-03,1253262.0723877004
