Date,Capital
2014-02-17,99675.71247109525
2014-02-18,100018.23168946669
2014-02-19,100750.24013333058
2014-02-20,99706.08476324793
2014-02-21,100560.42500510186
2014-02-22,100560.42500510186
2014-02-23,100560.42500510186
2014-02-24,100844.03845615509
2014-02-25,101545.65192440158
2014-02-26,101288.4254460008
2014-02-27,101288.4254460008
2014-02-28,103176.72301153216
2014-03-01,103176.72301153216
2014-03-02,103176.72301153216
2014-03-03,104019.41420352319
2014-03-04,105771.49951328948
2014-03-05,105683.67528841268
2014-03-06,105507.87240431027
2014-03-07,102509.19295892397
2014-03-08,102509.19295892397
2014-03-09,102509.19295892397
2014-03-10,104734.01668982029
2014-03-11,104350.1686458941
2014-03-12,104485.26702304548
2014-03-13,103657.67304588926
2014-03-14,104623.47649900615
2014-03-15,104623.47649900615
2014-03-16,104623.47649900615
2014-03-17,104623.47649900615
2014-03-18,104929.5777730584
2014-03-19,105801.4388266044
2014-03-20,104649.44993854649
2014-03-21,105716.15830475336
2014-03-22,105716.15830475336
2014-03-23,105716.15830475336
2014-03-24,106535.72481541111
2014-03-25,106768.83160701787
2014-03-26,106015.63753739893
2014-03-27,106543.15240556336
2014-03-28,108822.33778330286
2014-03-29,108822.33778330286
2014-03-30,108822.33778330286
2014-03-31,109288.79959072052
2014-04-01,108862.1980679555
2014-04-02,112236.81431648492
2014-04-03,112502.91439010027
2014-04-04,115488.82161934642
2014-04-05,115488.82161934642
2014-04-06,115488.82161934642
2014-04-07,114897.31403493913
2014-04-08,114897.31403493913
2014-04-09,118028.94893859595
2014-04-10,121285.67474939146
2014-04-11,125003.30131129312
2014-04-12,125003.30131129312
2014-04-13,125003.30131129312
2014-04-14,125003.30131129317
2014-04-15,121906.85129924094
2014-04-16,117487.09452371158
2014-04-17,120102.20084880583
2014-04-18,120102.20084880583
2014-04-19,120102.20084880583
2014-04-20,120102.20084880583
2014-04-21,124066.24175345535
2014-04-22,125929.79550626499
2014-04-23,126801.59467065036
2014-04-24,126801.59467065036
2014-04-25,126013.33429285107
2014-04-26,126013.33429285107
2014-04-27,126013.33429285107
2014-04-28,123673.20704212355
2014-04-29,123998.97408816384
2014-04-30,120336.73435696712
2014-05-01,120336.73435696712
2014-05-02,121316.58390513841
2014-05-03,121316.58390513841
2014-05-04,121316.58390513841
2014-05-05,120510.63337159451
