Date,Capital
2014-10-01,199247.6389204244
2014-10-02,199247.6389204244
2014-10-03,199247.6389204244
2014-10-04,199247.6389204244
2014-10-05,199247.6389204244
2014-10-06,199247.6389204244
2014-10-07,198435.96907050174
2014-10-08,198783.02088248637
2014-10-09,202141.65473024902
2014-10-10,200121.22710224887
2014-10-11,200121.22710224887
2014-10-12,200121.22710224887
2014-10-13,201298.08840175997
2014-10-14,200036.19541369984
2014-10-15,200036.19541369984
2014-10-16,196391.07424449682
2014-10-17,197077.1141978994
2014-10-18,197077.1141978994
2014-10-19,197077.1141978994
2014-10-20,196933.18462018017
2014-10-21,199025.70303885156
2014-10-22,200967.39011099952
2014-10-23,200967.39011099952
2014-10-24,200967.39011099952
2014-10-25,200967.39011099952
2014-10-26,200967.39011099952
2014-10-27,201175.61110529298
2014-10-28,200521.5983503011
2014-10-29,200893.50102495198
2014-10-30,200724.10315728022
2014-10-31,202336.32291296608
2014-11-01,202336.32291296608
2014-11-02,202336.32291296608
2014-11-03,211373.32686630153
2014-11-04,211373.32686630153
2014-11-05,211497.0446774952
2014-11-06,211497.0446774952
2014-11-07,209670.6609506628
2014-11-08,209670.6609506628
2014-11-09,209670.6609506628
2014-11-10,207130.82473775317
2014-11-11,212407.31612541358
2014-11-12,208869.1858124098
2014-11-13,207819.24751690548
2014-11-14,208734.43035063462
2014-11-15,208734.43035063462
2014-11-16,208734.43035063462
2014-11-17,209953.35529870115
2014-11-18,211908.56992019626
2014-11-19,208826.25976583574
2014-11-20,206063.830325976
2014-11-21,203055.60779763974
2014-11-22,203055.60779763974
2014-11-23,203055.60779763974
2014-11-24,202156.46884849
2014-11-25,194736.4059163662
2014-11-26,194801.43473254994
2014-11-27,194765.92837309808
2014-11-28,194167.71172458952
2014-11-29,194167.71172458952
2014-11-30,194167.71172458952
2014-12-01,189761.0245808978
2014-12-02,191053.28333754398
2014-12-03,197006.60070870697
2014-12-04,197725.08660213806
2014-12-05,201468.0329394482
2014-12-06,201468.0329394482
2014-12-07,201468.0329394482
2014-12-08,200173.79435487487
2014-12-09,196483.1119887099
2014-12-10,198237.81928615336
2014-12-11,195059.75333730443
2014-12-12,190985.76343899692
2014-12-13,190985.76343899692
2014-12-14,190985.76343899692
2014-12-15,189405.95778006606
2014-12-16,182582.6519869311
2014-12-17,179849.99392745824
2014-12-18,185246.95041165108
2014-12-19,183012.48788824974
2014-12-20,183012.48788824974
2014-12-21,183012.48788824974
2014-12-22,184989.44422153156
2014-12-23,181909.00897809045
2014-12-24,186067.41157471354
2014-12-25,186067.41157471354
2014-12-26,186491.13531960337
2014-12-27,186491.13531960337
2014-12-28,186491.13531960337
2014-12-29,187731.6762551578
2014-12-30,186205.31549975477
2014-12-31,188142.89578585216
2015-01-01,192318.39401377417
2015-01-02,197211.5506547952
2015-01-03,197211.5506547952
2015-01-04,197211.5506547952
2015-01-05,199867.09504231316
2015-01-06,195795.40401081514
2015-01-07,193309.5197274757
2015-01-08,199232.8976861187
2015-01-09,197757.93418345833
2015-01-10,197757.93418345833
2015-01-11,197757.93418345833
2015-01-12,196416.52648583433
2015-01-13,193591.9180573271
2015-01-14,189658.41136609938
2015-01-15,192334.272534802
2015-01-16,192035.33787351754
2015-01-17,192035.33787351754
2015-01-18,192035.33787351754
2015-01-19,195074.4073116498
2015-01-20,194888.96439607054
2015-01-21,191245.74719937472
2015-01-22,189782.610956259
2015-01-23,189743.55065444775
2015-01-24,189743.55065444775
2015-01-25,189743.55065444775
2015-01-26,189743.55065444775
2015-01-27,188202.19218861693
2015-01-28,185349.0822255225
2015-01-29,186990.1344589527
2015-01-30,189916.78072673583
2015-01-31,189916.78072673583
2015-02-01,189916.78072673583
2015-02-02,190891.503029747
2015-02-03,187109.87432510668
2015-02-04,187938.5069941212
2015-02-05,181455.29649762536
2015-02-06,177714.10718963487
2015-02-07,177714.10718963487
2015-02-08,177714.10718963487
2015-02-09,172948.98432559145
2015-02-10,172200.67694277823
2015-02-11,178255.52312418784
2015-02-12,179912.4439432799
2015-02-13,181355.38586739474
2015-02-14,181355.38586739474
2015-02-15,181355.38586739474
2015-02-16,181229.55147519725
2015-02-17,181795.02218441915
2015-02-18,186513.1596123819
2015-02-19,193861.51373826276
2015-02-20,194009.89738110916
2015-02-21,194009.89738110916
2015-02-22,194009.89738110916
2015-02-23,192115.80802058685
2015-02-24,187571.13354183338
2015-02-25,186553.92041578735
2015-02-26,183529.3427204875
2015-02-27,188547.64206004754
2015-02-28,188547.64206004754
2015-03-01,188547.64206004754
2015-03-02,184684.99413792932
2015-03-03,186624.7210366551
2015-03-04,187367.28821476043
2015-03-05,188853.98188518686
2015-03-06,188853.98188518686
2015-03-07,188853.98188518686
2015-03-08,188853.98188518686
2015-03-09,186347.186541897
2015-03-10,186715.49399270111
2015-03-11,184396.4389244218
2015-03-12,187490.68755362884
2015-03-13,181608.17196242895
2015-03-14,181608.17196242895
2015-03-15,181608.17196242895
2015-03-16,178401.5457282469
2015-03-17,174357.055577401
2015-03-18,171957.89944040042
2015-03-19,170270.0058022087
2015-03-20,165817.63698053616
2015-03-21,165817.63698053616
2015-03-22,165817.63698053616
2015-03-23,161810.62257913593
2015-03-24,160625.69499239582
2015-03-25,157658.13930261508
2015-03-26,154999.38669928876
2015-03-27,152756.67215533621
2015-03-28,152756.67215533621
2015-03-29,152756.67215533621
2015-03-30,155225.22656145063
2015-03-31,156436.59070558642
2015-04-01,161912.09694847272
2015-04-02,161912.09694847272
2015-04-03,161912.09694847272
2015-04-04,161912.09694847272
2015-04-05,161912.09694847272
2015-04-06,167041.6131162012
2015-04-07,175658.5473029766
2015-04-08,183046.06992897467
2015-04-09,189563.8472083306
2015-04-10,198358.7560156025
2015-04-11,198358.7560156025
2015-04-12,198358.7560156025
2015-04-13,203983.0400510643
2015-04-14,203983.0400510643
2015-04-15,204263.89465792594
2015-04-16,202125.8290484625
2015-04-17,197763.00864101405
2015-04-18,197763.00864101405
2015-04-19,197763.00864101405
2015-04-20,189927.68142333135
2015-04-21,186777.33165054122
2015-04-22,185676.9645683521
2015-04-23,187156.04109743226
2015-04-24,180933.85048133187
2015-04-25,180933.85048133187
2015-04-26,180933.85048133187
2015-04-27,174226.78900797185
2015-04-28,174443.27991545334
2015-04-29,175021.2433690533
2015-04-30,173569.46705396354
2015-05-01,173569.46705396354
2015-05-02,173569.46705396354
2015-05-03,173569.46705396354
2015-05-04,181520.0080965134
2015-05-05,186455.1305256187
2015-05-06,175868.1366619945
2015-05-07,171910.75967250037
2015-05-08,174799.67182468213
2015-05-09,174799.67182468213
2015-05-10,174799.67182468213
2015-05-11,176155.27442321664
2015-05-12,170425.02979205403
2015-05-13,172863.8634407115
2015-05-14,174240.20184083917
2015-05-15,173428.91856964823
2015-05-16,173428.91856964823
2015-05-17,173428.91856964823
2015-05-18,173309.20043073487
2015-05-19,173327.0469684159
2015-05-20,172252.7295413096
2015-05-21,170477.55574423904
2015-05-22,170752.58312751257
2015-05-23,170752.58312751257
2015-05-24,170752.58312751257
2015-05-25,169923.77369731443
2015-05-26,167855.4307941745
2015-05-27,166864.26503596362
2015-05-28,166925.3104155449
2015-05-29,169962.86920863343
2015-05-30,169962.86920863343
2015-05-31,169962.86920863343
2015-06-01,169291.2590187525
2015-06-02,165831.97908580737
2015-06-03,155890.42580138566
2015-06-04,158161.63036064192
2015-06-05,160642.36542870855
2015-06-06,160642.36542870855
2015-06-07,160642.36542870855
2015-06-08,159069.58652548306
2015-06-09,157018.33610283543
2015-06-10,158992.80710965127
2015-06-11,156377.7799305245
2015-06-12,154214.7528224825
