Date,Capital
2014-01-13,400708.054657698
2014-01-14,400762.5741467876
2014-01-15,401097.0012027065
2014-01-16,400044.90008472867
2014-01-17,399423.6263339999
2014-01-18,399423.6263339999
2014-01-19,399423.6263339999
2014-01-20,403654.35142288444
2014-01-21,403902.7186106363
2014-01-22,403474.9750635561
2014-01-23,401580.93894884444
2014-01-24,398143.20869841764
2014-01-25,398143.20869841764
2014-01-26,398143.20869841764
2014-01-27,389792.8242239535
2014-01-28,391935.388896949
2014-01-29,392806.13431547064
2014-01-30,389212.480813485
2014-01-31,395673.3233721573
2014-02-01,395673.3233721573
2014-02-02,395673.3233721573
2014-02-03,390633.10923299106
2014-02-04,393070.48568900087
2014-02-05,397790.11522368353
2014-02-06,397114.8677419861
2014-02-07,398302.8165941356
2014-02-08,398302.8165941356
2014-02-09,398302.8165941356
2014-02-10,397779.5324980678
2014-02-11,399813.39382241433
2014-02-12,397618.628542746
2014-02-13,391641.5316607703
2014-02-14,391571.8643410826
2014-02-15,391571.8643410826
2014-02-16,391571.8643410826
2014-02-17,389171.7784045775
2014-02-18,392735.7427353204
2014-02-19,394252.79717209586
2014-02-20,395173.13884612086
2014-02-21,398648.3515508998
2014-02-22,398648.3515508998
2014-02-23,398648.3515508998
2014-02-24,398815.9901747239
2014-02-25,400017.35193352646
2014-02-26,400077.49868500547
2014-02-27,400077.49868500547
2014-02-28,399911.92270174745
2014-03-01,399911.92270174745
2014-03-02,399911.92270174745
2014-03-03,399041.3623095206
2014-03-04,404407.11475940194
2014-03-05,407242.2088810266
2014-03-06,415377.9892623761
2014-03-07,419046.306589989
2014-03-08,419046.306589989
2014-03-09,419046.306589989
2014-03-10,420588.074058037
2014-03-11,418669.330102677
2014-03-12,417096.45762435364
2014-03-13,413103.5329495585
2014-03-14,410710.19313817477
2014-03-15,410710.19313817477
2014-03-16,410710.19313817477
2014-03-17,410710.19313817477
2014-03-18,409639.4705816733
2014-03-19,412825.3744218405
2014-03-20,411275.3502304453
2014-03-21,412570.4217332158
2014-03-22,412570.4217332158
2014-03-23,412570.4217332158
2014-03-24,415177.40199862793
2014-03-25,417050.5982657197
2014-03-26,419428.4487856778
2014-03-27,422881.16981758026
2014-03-28,429586.79559388605
2014-03-29,429586.79559388605
2014-03-30,429586.79559388605
2014-03-31,433035.74683429516
2014-04-01,438587.5744116416
2014-04-02,446854.17414455663
2014-04-03,446300.6790984921
2014-04-04,450199.66568002955
2014-04-05,450199.66568002955
2014-04-06,450199.66568002955
2014-04-07,448997.0763687395
2014-04-08,448997.0763687395
2014-04-09,456700.6407532181
2014-04-10,458269.1086872767
2014-04-11,460086.4852266115
2014-04-12,460086.4852266115
2014-04-13,460086.4852266115
2014-04-14,460086.48522661155
2014-04-15,457400.3148776131
2014-04-16,451052.79167935206
2014-04-17,456223.9823603573
2014-04-18,456223.9823603573
2014-04-19,456223.9823603573
2014-04-20,456223.9823603573
2014-04-21,464437.6710944845
2014-04-22,464310.13267897756
2014-04-23,467671.5764324674
2014-04-24,467671.5764324674
2014-04-25,467898.3959081308
2014-04-26,467898.3959081308
2014-04-27,467898.3959081308
2014-04-28,466682.13438745204
2014-04-29,463763.51377212873
2014-04-30,451643.70866679744
2014-05-01,451643.70866679744
2014-05-02,451689.5392666281
2014-05-03,451689.5392666281
2014-05-04,451689.5392666281
2014-05-05,444733.6010558357
2014-05-06,449329.8073508365
2014-05-07,449084.0691205436
2014-05-08,447085.34386754053
2014-05-09,454620.4771674061
2014-05-10,454620.4771674061
2014-05-11,454620.4771674061
2014-05-12,455758.9115996916
2014-05-13,470613.18616497825
2014-05-14,475663.5672945539
2014-05-15,467649.35447046417
2014-05-16,472398.2426432264
2014-05-17,472398.2426432264
2014-05-18,472398.2426432264
2014-05-19,489159.4305581177
2014-05-20,508245.955425164
2014-05-21,514828.5881210027
2014-05-22,523889.0817860388
2014-05-23,535715.1785923222
2014-05-24,535715.1785923222
2014-05-25,535715.1785923222
2014-05-26,521534.983160559
2014-05-27,527708.2423545879
2014-05-28,535363.4900384712
2014-05-29,533993.9571564958
2014-05-30,538804.7977139885
2014-05-31,538804.7977139885
2014-06-01,538804.7977139885
2014-06-02,549498.2320917088
2014-06-03,555275.4139112623
2014-06-04,561166.7699642887
2014-06-05,569897.6652142043
2014-06-06,580245.6160265503
2014-06-07,580245.6160265503
2014-06-08,580245.6160265503
2014-06-09,590511.6047847427
2014-06-10,596618.3896924556
2014-06-11,596419.9310581111
2014-06-12,598405.2718690742
2014-06-13,582090.6649226282
2014-06-14,582090.6649226282
2014-06-15,582090.6649226282
2014-06-16,584060.2411812684
2014-06-17,596741.5779563473
2014-06-18,589360.48919206
2014-06-19,585131.1919423598
2014-06-20,583391.5600862431
2014-06-21,583391.5600862431
2014-06-22,583391.5600862431
2014-06-23,586681.4334206282
2014-06-24,603377.9427940446
2014-06-25,607991.4691030523
2014-06-26,608083.8698204327
2014-06-27,611436.8096271299
2014-06-28,611436.8096271299
2014-06-29,611436.8096271299
2014-06-30,621319.5920507691
2014-07-01,626640.605054915
2014-07-02,632861.8612815986
2014-07-03,626144.3337498932
2014-07-04,629802.234164123
2014-07-05,629802.234164123
2014-07-06,629802.234164123
2014-07-07,627511.972323622
2014-07-08,601469.2787936697
2014-07-09,586261.5396064012
2014-07-10,593829.0671045406
2014-07-11,571822.1716531799
2014-07-12,571822.1716531799
2014-07-13,571822.1716531799
2014-07-14,562860.1126735125
2014-07-15,574977.6210803109
2014-07-16,590069.9251025056
2014-07-17,596271.7035386238
2014-07-18,593773.2492437928
2014-07-19,593773.2492437928
2014-07-20,593773.2492437928
2014-07-21,596757.6954534642
2014-07-22,595813.814770597
2014-07-23,594091.3413023895
2014-07-24,593651.6511128109
2014-07-25,582651.6192931096
2014-07-26,582651.6192931096
2014-07-27,582651.6192931096
2014-07-28,572249.4576849185
2014-07-29,572249.4576849185
2014-07-30,575466.1433643082
2014-07-31,579477.730153563
2014-08-01,574011.7171797501
2014-08-02,574011.7171797501
2014-08-03,574011.7171797501
2014-08-04,577453.4865617119
2014-08-05,584364.1637486055
2014-08-06,582865.3060690775
2014-08-07,575834.3049800498
