Date,Capital
2014-01-11,200000.0
2014-01-12,200000.0
2014-01-13,200388.16261237033
2014-01-14,201584.92478830257
2014-01-15,199385.739021898
2014-01-16,198263.59311351995
2014-01-17,196175.18149772147
2014-01-18,196175.18149772147
2014-01-19,196175.18149772147
2014-01-20,195554.57800610847
2014-01-21,194801.77727475693
2014-01-22,194867.15745035693
2014-01-23,196668.28337117302
2014-01-24,195398.4051922948
2014-01-25,195398.4051922948
2014-01-26,195398.4051922948
2014-01-27,196884.74637580747
2014-01-28,194718.93340077263
2014-01-29,193578.0377203438
2014-01-30,195113.56879656075
2014-01-31,194990.76470227644
2014-02-01,194990.76470227644
2014-02-02,194990.76470227644
2014-02-03,197716.60308150604
2014-02-04,195886.11676099343
2014-02-05,195647.266296677
2014-02-06,195959.06131584392
2014-02-07,195143.32982987646
2014-02-08,195143.32982987646
2014-02-09,195143.32982987646
2014-02-10,194512.18030731942
2014-02-11,194161.12293138402
2014-02-12,195966.40702649744
2014-02-13,195755.27471998497
2014-02-14,195110.9849221862
2014-02-15,195110.98492218618
2014-02-16,195110.98492218618
2014-02-17,194989.69820503658
2014-02-18,194981.63279539274
2014-02-19,195879.05449551635
2014-02-20,195123.3544333009
2014-02-21,194610.325317471
2014-02-22,194610.325317471
2014-02-23,194610.325317471
2014-02-24,196475.8877106868
2014-02-25,195215.72939807715
2014-02-26,196736.2061942785
2014-02-27,196736.2061942785
2014-02-28,196325.5560764856
2014-03-01,196325.5560764856
2014-03-02,196325.5560764856
2014-03-03,195615.09960421448
2014-03-04,194402.7941261094
2014-03-05,194354.61647513017
2014-03-06,191866.49220036055
2014-03-07,191749.13913782104
2014-03-08,191749.139137821
2014-03-09,191749.139137821
2014-03-10,193389.02428548923
2014-03-11,191575.12117011758
2014-03-12,190495.06901314907
2014-03-13,189112.37557535525
2014-03-14,190800.0713217507
2014-03-15,190800.0713217507
2014-03-16,190800.0713217507
2014-03-17,190800.0713217507
2014-03-18,188842.2797451099
2014-03-19,186978.96900873378
2014-03-20,185189.19750943343
2014-03-21,183004.96355344314
2014-03-22,183004.96355344314
2014-03-23,183004.96355344314
2014-03-24,183476.76567707033
2014-03-25,184374.26083090634
2014-03-26,184288.23529575818
2014-03-27,183301.02795897587
2014-03-28,183499.6341102301
2014-03-29,183499.6341102301
2014-03-30,183499.6341102301
2014-03-31,183218.9376319684
2014-04-01,180321.23447861825
2014-04-02,180436.07495497738
2014-04-03,179731.12053711928
2014-04-04,182410.15560417564
2014-04-05,182410.15560417564
2014-04-06,182410.15560417564
