Date,Capital
2015-01-01,999251.3633844581
2015-01-02,998035.3736050609
2015-01-03,998035.3736050609
2015-01-04,998035.3736050609
2015-01-05,997225.492314789
2015-01-06,996497.0979499962
2015-01-07,997724.8916601993
2015-01-08,997328.8154833758
2015-01-09,997603.3770721632
2015-01-10,997603.3770721632
2015-01-11,997603.3770721632
2015-01-12,998228.9642622707
2015-01-13,998104.4946251287
2015-01-14,998407.4039211898
2015-01-15,998436.6564453432
2015-01-16,998363.0024766761
2015-01-17,998363.0024766761
2015-01-18,998363.0024766761
2015-01-19,997594.0903176515
2015-01-20,998159.7409949717
2015-01-21,999336.6131139108
2015-01-22,999881.9839366855
2015-01-23,999485.4598608365
2015-01-24,999485.4598608365
2015-01-25,999485.4598608365
2015-01-26,999485.4598608365
2015-01-27,999986.7624774713
2015-01-28,1001170.9029696306
2015-01-29,1000380.3192255552
2015-01-30,999486.9722586026
2015-01-31,999486.9722586026
2015-02-01,999486.9722586026
2015-02-02,1000448.2746119957
2015-02-03,1001057.5215086681
2015-02-04,1001561.2264696992
2015-02-05,1003709.8278339349
2015-02-06,1002403.9005508451
2015-02-07,1002403.9005508451
2015-02-08,1002403.9005508451
2015-02-09,1002539.6609153552
2015-02-10,1004076.5699386549
2015-02-11,1004085.5725108581
2015-02-12,1004416.5102015154
2015-02-13,1005475.3040748525
2015-02-14,1005475.3040748525
2015-02-15,1005475.3040748525
2015-02-16,1005368.2066315868
2015-02-17,1005229.4442283572
2015-02-18,1003150.7723580375
2015-02-19,1000448.7387466268
2015-02-20,999695.7902822038
2015-02-21,999695.7902822038
2015-02-22,999695.7902822038
2015-02-23,998926.8981116819
2015-02-24,1000638.3855916389
2015-02-25,1002228.853747062
2015-02-26,1002585.2666099896
2015-02-27,1001647.0101135124
2015-02-28,1001647.0101135124
2015-03-01,1001647.0101135124
2015-03-02,1012842.0563405282
2015-03-03,1016024.6835039952
2015-03-04,1012189.8156406531
2015-03-05,1011870.3662026452
2015-03-06,1010179.1531581384
2015-03-07,1010179.1531581384
2015-03-08,1010179.1531581384
2015-03-09,1013790.8963142245
2015-03-10,1013597.991256583
2015-03-11,1012961.9335961062
2015-03-12,1012075.6224943188
2015-03-13,1013370.5050500194
2015-03-14,1013370.5050500194
2015-03-15,1013370.5050500194
2015-03-16,1013325.2004483498
2015-03-17,1018248.1615162774
2015-03-18,1021110.0212650581
2015-03-19,1022687.1660638156
2015-03-20,1022856.7259296911
2015-03-21,1022856.7259296911
2015-03-22,1022856.7259296911
2015-03-23,1025186.1847959822
2015-03-24,1024549.8616340542
