Date,Capital
2014-02-10,100192.30488721657
2014-02-11,99973.69739283517
2014-02-12,101014.71015842143
2014-02-13,101309.4658582307
2014-02-14,102123.29729143673
2014-02-15,102123.29729143673
2014-02-16,102123.29729143673
2014-02-17,102077.67540635522
2014-02-18,102327.05483877267
2014-02-19,103158.76217772407
2014-02-20,102653.38556431561
2014-02-21,102440.45033111656
2014-02-22,102440.45033111656
2014-02-23,102440.45033111656
2014-02-24,103617.17476605435
2014-02-25,104174.74375992904
2014-02-26,104353.80988868908
2014-02-27,104353.80988868908
2014-02-28,105451.90075139915
2014-03-01,105451.90075139915
2014-03-02,105451.90075139915
2014-03-03,106446.41353033058
2014-03-04,106024.1801265053
2014-03-05,105460.78582235341
2014-03-06,104125.27337153426
2014-03-07,102132.39205758575
2014-03-08,102132.39205758575
2014-03-09,102132.39205758575
2014-03-10,103353.33889744703
2014-03-11,102664.46256855187
2014-03-12,102699.21436397478
2014-03-13,103339.10297694113
2014-03-14,104027.62831508597
2014-03-15,104027.62831508597
2014-03-16,104027.62831508597
2014-03-17,104027.62831508595
2014-03-18,104192.31981028021
2014-03-19,104506.62812534272
2014-03-20,104550.09381491404
2014-03-21,104387.54351894581
2014-03-22,104387.54351894581
2014-03-23,104387.54351894581
2014-03-24,105321.19509257938
2014-03-25,105865.32222318884
2014-03-26,106068.84495741775
2014-03-27,106191.6584442638
2014-03-28,106477.54331839927
2014-03-29,106477.54331839927
2014-03-30,106477.54331839927
2014-03-31,107316.52754972514
2014-04-01,105460.10689074043
2014-04-02,105210.54596205903
2014-04-03,105096.54279061743
2014-04-04,104944.17167595039
2014-04-05,104944.17167595039
2014-04-06,104944.17167595039
2014-04-07,105560.02764285423
2014-04-08,105560.02764285423
2014-04-09,107142.80139165875
2014-04-10,109165.89808331021
2014-04-11,109641.56796707383
2014-04-12,109641.56796707383
2014-04-13,109641.56796707383
2014-04-14,109641.56796707383
2014-04-15,109375.28565998167
2014-04-16,107703.85479769089
2014-04-17,108337.9457665964
2014-04-18,108337.9457665964
2014-04-19,108337.9457665964
2014-04-20,108337.9457665964
2014-04-21,109051.53973106602
2014-04-22,108915.22727491603
2014-04-23,109486.76783658349
2014-04-24,109486.76783658349
2014-04-25,109067.3315722656
2014-04-26,109067.3315722656
2014-04-27,109067.3315722656
2014-04-28,108242.67928892649
2014-04-29,109019.02339463387
2014-04-30,107754.10763757944
2014-05-01,107754.10763757944
2014-05-02,107660.60849964348
2014-05-03,107660.60849964348
2014-05-04,107660.60849964348
2014-05-05,107775.26266835269
2014-05-06,107734.51189880563
2014-05-07,108188.56061095632
2014-05-08,108625.12166608695
2014-05-09,108590.57766926599
2014-05-10,108590.57766926599
2014-05-11,108590.57766926599
2014-05-12,108980.4476859075
2014-05-13,108818.02295461087
2014-05-14,107915.24141498921
2014-05-15,107712.4860508729
2014-05-16,109069.57370091265
2014-05-17,109069.57370091265
2014-05-18,109069.57370091265
2014-05-19,110795.4844533129
