Date,Capital
2014-01-11,200000.0
2014-01-12,200000.0
2014-01-13,201385.53422679807
2014-01-14,202757.48543693306
2014-01-15,199665.19823012108
2014-01-16,196042.6695946011
2014-01-17,188997.587092049
2014-01-18,188997.587092049
2014-01-19,188997.587092049
2014-01-20,190858.1733622823
2014-01-21,189671.8839687558
2014-01-22,191284.19107540842
2014-01-23,193391.9156743319
2014-01-24,189138.8044421111
2014-01-25,189138.8044421111
2014-01-26,189138.8044421111
2014-01-27,186498.4219750851
2014-01-28,184205.27571685053
2014-01-29,183896.2365524513
2014-01-30,183860.0543237971
2014-01-31,185353.1528660676
2014-02-01,185353.1528660676
2014-02-02,185353.1528660676
2014-02-03,186187.74735966529
2014-02-04,187039.81727617735
2014-02-05,187956.50892068696
2014-02-06,186492.78833827778
2014-02-07,185683.61111427617
2014-02-08,185683.61111427617
2014-02-09,185683.61111427617
2014-02-10,184606.76195292716
2014-02-11,183377.59510349884
2014-02-12,186010.21222131787
2014-02-13,183393.73402581306
2014-02-14,182824.61151167296
2014-02-15,182824.61151167296
2014-02-16,182824.61151167296
2014-02-17,182459.97909573963
2014-02-18,182972.3292341998
2014-02-19,183034.87224844407
2014-02-20,180731.04045010064
2014-02-21,182946.1361545227
2014-02-22,182946.13615452268
2014-02-23,182946.13615452268
2014-02-24,185222.58844464613
2014-02-25,184451.80033792515
2014-02-26,185009.53328808316
2014-02-27,185009.53328808318
2014-02-28,184069.036387746
2014-03-01,184069.03638774596
2014-03-02,184069.03638774596
2014-03-03,182787.9847459288
2014-03-04,184612.76783321955
2014-03-05,183769.2628193184
2014-03-06,180809.53956194216
2014-03-07,182609.88933085348
2014-03-08,182609.88933085348
2014-03-09,182609.88933085348
2014-03-10,183901.90846766753
2014-03-11,181188.2383764581
2014-03-12,179206.3714661115
2014-03-13,175520.13027768268
2014-03-14,179787.30212274747
2014-03-15,179787.3021227474
2014-03-16,179787.3021227474
2014-03-17,179787.3021227474
2014-03-18,179594.60603259
2014-03-19,178751.9717139891
2014-03-20,177171.3591133986
2014-03-21,175847.32054247643
2014-03-22,175847.3205424764
2014-03-23,175847.3205424764
2014-03-24,175979.10746069276
2014-03-25,178315.01131809587
2014-03-26,176464.34782129573
2014-03-27,176408.3916948854
2014-03-28,179520.36986137487
2014-03-29,179520.36986137487
2014-03-30,179520.36986137487
2014-03-31,180129.46788284899
2014-04-01,178536.09888122173
2014-04-02,181767.27292731928
2014-04-03,181500.6127630248
2014-04-04,185641.41752823035
2014-04-05,185641.41752823032
2014-04-06,185641.41752823032
