Date,Capital
2014-06-01,600000.0
2014-06-02,601456.7136680153
2014-06-03,603301.5792341398
2014-06-04,606540.6960230633
2014-06-05,609389.9588979343
2014-06-06,610481.6133063941
2014-06-07,610481.6133063941
2014-06-08,610481.6133063941
2014-06-09,613951.7185183933
2014-06-10,613452.6972779226
2014-06-11,610980.3465146958
2014-06-12,611495.8636333498
2014-06-13,608159.02292362
2014-06-14,608159.02292362
2014-06-15,608159.02292362
2014-06-16,608712.7511977573
2014-06-17,611706.1531764064
2014-06-18,611182.087752186
2014-06-19,610129.2261905668
2014-06-20,607406.8987338152
2014-06-21,607406.8987338152
2014-06-22,607406.8987338152
2014-06-23,607290.0568733184
2014-06-24,610641.3825483812
2014-06-25,612372.2118556119
2014-06-26,612240.9859049511
2014-06-27,613145.9980941331
2014-06-28,613145.9980941331
2014-06-29,613145.9980941331
2014-06-30,616006.0117844538
2014-07-01,616352.0724642173
2014-07-02,619132.4849235539
2014-07-03,617243.5994622577
2014-07-04,618496.7329837403
2014-07-05,618496.7329837403
2014-07-06,618496.7329837403
2014-07-07,620274.3417870125
2014-07-08,606413.635934207
2014-07-09,600053.9936478494
2014-07-10,602491.8630940996
2014-07-11,593762.2600002926
2014-07-12,593762.2600002926
2014-07-13,593762.2600002926
2014-07-14,591146.9992225554
2014-07-15,595673.3791501825
2014-07-16,600650.045460732
2014-07-17,604474.0067550581
2014-07-18,605301.6412929156
2014-07-19,605301.6412929156
2014-07-20,605301.6412929156
2014-07-21,608017.2897978541
2014-07-22,605500.8189791248
2014-07-23,602949.0609970195
2014-07-24,602873.9232858745
2014-07-25,596805.757915882
2014-07-26,596805.757915882
2014-07-27,596805.757915882
2014-07-28,594739.2956251154
2014-07-29,594739.2956251154
2014-07-30,597131.7253488081
2014-07-31,600232.1561052805
2014-08-01,598091.7717562818
2014-08-02,598091.7717562818
2014-08-03,598091.7717562818
2014-08-04,597580.3255464681
2014-08-05,603960.2036335871
2014-08-06,601696.6677171686
2014-08-07,597916.6533150292
2014-08-08,587404.6858495416
2014-08-09,587404.6858495416
2014-08-10,587404.6858495416
2014-08-11,589507.851866371
2014-08-12,589204.8607438122
2014-08-13,571772.9336549605
2014-08-14,579368.1404374223
2014-08-15,579368.1404374223
2014-08-16,579368.1404374223
2014-08-17,579368.1404374223
2014-08-18,590385.643080264
2014-08-19,600732.8238426879
2014-08-20,599593.9501923963
2014-08-21,598160.0552562054
2014-08-22,596196.8866628851
2014-08-23,596196.8866628851
2014-08-24,596196.8866628851
2014-08-25,596440.2903733308
2014-08-26,589636.5570679973
2014-08-27,592668.153446579
2014-08-28,591952.2998793568
2014-08-29,591952.2998793568
2014-08-30,591952.2998793568
2014-08-31,591952.2998793568
2014-09-01,596638.7676681187
2014-09-02,604201.7096444385
2014-09-03,610977.4089244024
2014-09-04,606094.6709490439
2014-09-05,611457.7720710926
2014-09-06,611457.7720710926
2014-09-07,611457.7720710926
2014-09-08,616317.0987509228
2014-09-09,610831.1604427237
2014-09-10,614154.8372153728
2014-09-11,616201.7102528731
2014-09-12,614648.516738353
2014-09-13,614648.516738353
2014-09-14,614648.516738353
