Date,Capital
2014-01-27,798446.6396818224
2014-01-28,798733.8614979342
2014-01-29,796919.8075732513
2014-01-30,795215.5262234677
2014-01-31,797292.7938594779
2014-02-01,797292.7938594779
2014-02-02,797292.7938594779
2014-02-03,796376.4364275188
2014-02-04,796146.6656849125
2014-02-05,799104.7695707395
2014-02-06,797635.2426880477
2014-02-07,798430.2460285397
2014-02-08,798430.2460285397
2014-02-09,798430.2460285397
2014-02-10,798702.7152532339
2014-02-11,797958.8942577376
2014-02-12,798500.8736952716
2014-02-13,792988.8718500705
2014-02-14,794649.6687046011
2014-02-15,794649.6687046011
2014-02-16,794649.6687046011
2014-02-17,793380.7789227356
2014-02-18,798731.2889495008
2014-02-19,803915.5078058126
2014-02-20,800284.8139160969
2014-02-21,804925.3897997058
2014-02-22,804925.3897997058
2014-02-23,804925.3897997058
2014-02-24,807613.8443123219
2014-02-25,810376.0040727702
2014-02-26,808423.2851585227
2014-02-27,808423.2851585227
2014-02-28,812339.2451968966
2014-03-01,812339.2451968966
2014-03-02,812339.2451968966
2014-03-03,812190.7390105803
2014-03-04,820045.873340486
2014-03-05,825889.7812297698
2014-03-06,831237.8409752168
2014-03-07,819749.515967224
2014-03-08,819749.515967224
2014-03-09,819749.515967224
2014-03-10,835703.2221862159
2014-03-11,831010.3994690923
2014-03-12,830698.1838644978
2014-03-13,825141.4906504268
2014-03-14,828066.018366658
2014-03-15,828066.018366658
2014-03-16,828066.018366658
2014-03-17,828066.018366658
2014-03-18,832997.4037664449
2014-03-19,834145.49365766
2014-03-20,833924.6433177765
2014-03-21,842873.2965265792
2014-03-22,842873.2965265792
2014-03-23,842873.2965265792
2014-03-24,851664.5369045304
2014-03-25,855653.5866032469
2014-03-26,856709.1926784061
2014-03-27,862033.2399282858
2014-03-28,876608.0265650046
2014-03-29,876608.0265650046
2014-03-30,876608.0265650046
2014-03-31,888228.6195741165
2014-04-01,893362.1183980579
2014-04-02,909526.6928193717
2014-04-03,903313.5492212564
2014-04-04,914724.8274681792
2014-04-05,914724.8274681792
2014-04-06,914724.8274681792
2014-04-07,910553.7135247004
2014-04-08,910553.7135247004
2014-04-09,930890.2382711063
2014-04-10,955299.2002124148
2014-04-11,965879.8547426802
2014-04-12,965879.8547426802
2014-04-13,965879.8547426802
2014-04-14,965879.8547426803
2014-04-15,949740.6837994353
2014-04-16,927136.8256909181
2014-04-17,942198.5710837031
2014-04-18,942198.5710837031
2014-04-19,942198.5710837031
2014-04-20,942198.5710837031
2014-04-21,958671.9676161972
2014-04-22,963452.7057974638
2014-04-23,969438.475219166
2014-04-24,969438.475219166
2014-04-25,961414.681861594
2014-04-26,961414.681861594
2014-04-27,961414.681861594
2014-04-28,954340.8319967441
2014-04-29,959671.7489327032
2014-04-30,931639.9788473139
2014-05-01,931639.9788473139
2014-05-02,939181.2873254665
2014-05-03,939181.2873254665
2014-05-04,939181.2873254665
2014-05-05,928561.000698324
2014-05-06,938779.7746260857
2014-05-07,936791.3586969832
2014-05-08,937998.9152324385
2014-05-09,961395.6864075009
2014-05-10,961395.6864075009
2014-05-11,961395.6864075009
2014-05-12,969118.2518473647
2014-05-13,1007682.1396424986
2014-05-14,1030163.0646078634
2014-05-15,1012154.9148350292
2014-05-16,1040443.8524761074
2014-05-17,1040443.8524761074
2014-05-18,1040443.8524761074
2014-05-19,1116322.6885417686
2014-05-20,1140942.282291445
2014-05-21,1164003.2271574922
2014-05-22,1202215.1729865263
2014-05-23,1221850.2760633673
2014-05-24,1221850.2760633673
2014-05-25,1221850.2760633673
2014-05-26,1178148.0666271443
2014-05-27,1168221.8422334087
2014-05-28,1186083.6463423935
2014-05-29,1166622.285284764
2014-05-30,1165048.6182324786
2014-05-31,1165048.6182324786
2014-06-01,1165048.6182324786
2014-06-02,1197084.5444807177
2014-06-03,1220890.8249732202
2014-06-04,1253837.0979527852
2014-06-05,1276631.9551822422
2014-06-06,1292038.0783700822
2014-06-07,1292038.0783700822
2014-06-08,1292038.0783700822
2014-06-09,1347964.4337435272
2014-06-10,1347854.0770958378
2014-06-11,1327908.031899803
2014-06-12,1321335.0206859815
2014-06-13,1271640.7720987834
2014-06-14,1271640.7720987834
2014-06-15,1271640.7720987834
2014-06-16,1267340.5077259277
2014-06-17,1290181.233864056
2014-06-18,1275957.5048234907
2014-06-19,1263694.1409672129
2014-06-20,1253939.938665113
2014-06-21,1253939.938665113
2014-06-22,1253939.938665113
2014-06-23,1263355.5475602318
2014-06-24,1299203.3001036553
2014-06-25,1304386.5575691555
2014-06-26,1298984.9516332394
2014-06-27,1303490.2352840006
2014-06-28,1303490.2352840006
2014-06-29,1303490.2352840006
2014-06-30,1338952.7541515601
2014-07-01,1352457.7570977425
2014-07-02,1367637.5112208896
2014-07-03,1347715.7486769075
2014-07-04,1360496.0933040367
2014-07-05,1360496.0933040367
2014-07-06,1360496.0933040367
2014-07-07,1370812.7536471165
2014-07-08,1293438.646795641
2014-07-09,1248258.1681139157
2014-07-10,1260210.164702565
2014-07-11,1196391.0605013415
2014-07-12,1196391.0605013415
2014-07-13,1196391.0605013415
2014-07-14,1179430.1926858989
2014-07-15,1205315.2114474382
2014-07-16,1235920.0590955485
2014-07-17,1257853.1768566999
2014-07-18,1251873.2345877548
2014-07-19,1251873.2345877548
2014-07-20,1251873.2345877548
2014-07-21,1264496.8549764275
2014-07-22,1250030.911538441
2014-07-23,1239617.711760824
2014-07-24,1240866.710599318
2014-07-25,1212669.1812724778
2014-07-26,1212669.1812724778
2014-07-27,1212669.1812724778
2014-07-28,1197067.0733512084
2014-07-29,1197067.0733512084
2014-07-30,1203120.938752009
2014-07-31,1209093.112480612
2014-08-01,1191896.3623000728
2014-08-02,1191896.3623000728
2014-08-03,1191896.3623000728
2014-08-04,1204582.9077467797
2014-08-05,1223104.8569076553
2014-08-06,1219179.2801785436
2014-08-07,1203365.6705583113
2014-08-08,1173174.287388721
2014-08-09,1173174.287388721
2014-08-10,1173174.287388721
2014-08-11,1181915.8995104625
2014-08-12,1179865.1456090985
2014-08-13,1146400.7920108587
2014-08-14,1162487.324765358
2014-08-15,1162487.324765358
2014-08-16,1162487.324765358
2014-08-17,1162487.324765358
2014-08-18,1193968.1463751495
2014-08-19,1208389.937245465
2014-08-20,1211731.8095828737
2014-08-21,1213845.3715053932
2014-08-22,1216827.1549702396
2014-08-23,1216827.1549702396
2014-08-24,1216827.1549702396
2014-08-25,1212221.1081348136
2014-08-26,1212999.6507238857
2014-08-27,1223970.3350132687
2014-08-28,1226102.0276106664
2014-08-29,1226102.0276106664
2014-08-30,1226102.0276106664
2014-08-31,1226102.0276106664
2014-09-01,1239731.8624305478
2014-09-02,1250705.5682747795
2014-09-03,1267651.1988027717
2014-09-04,1270418.126741653
2014-09-05,1302357.2705440149
2014-09-06,1302357.2705440149
2014-09-07,1302357.2705440149
2014-09-08,1326336.9072276251
2014-09-09,1323370.7291388963
2014-09-10,1335822.7025561642
2014-09-11,1349493.6167307587
2014-09-12,1347031.637494382
2014-09-13,1347031.637494382
2014-09-14,1347031.637494382
2014-09-15,1358635.6936633873
2014-09-16,1287370.6822613296
2014-09-17,1299692.7138601157
2014-09-18,1349559.9998715436
2014-09-19,1359068.5242412095
2014-09-20,1359068.5242412095
2014-09-21,1359068.5242412095
2014-09-22,1369232.417258497
2014-09-23,1321067.8538882616
2014-09-24,1299073.6100934122
2014-09-25,1268893.5196726527
2014-09-26,1291592.1050637895
2014-09-27,1291592.1050637895
2014-09-28,1291592.1050637895
2014-09-29,1314665.3985682712
2014-09-30,1319299.4885150336
2014-10-01,1314307.7537852582
2014-10-02,1314307.7537852582
2014-10-03,1314307.7537852582
2014-10-04,1314307.7537852582
2014-10-05,1314307.7537852582
2014-10-06,1314307.7537852582
2014-10-07,1311573.6736452272
2014-10-08,1317360.1968749575
2014-10-09,1339558.366753562
2014-10-10,1317340.390524223
2014-10-11,1317340.390524223
2014-10-12,1317340.390524223
2014-10-13,1326062.8840194445
2014-10-14,1329365.7860981952
2014-10-15,1329365.7860981952
2014-10-16,1268992.7954237778
2014-10-17,1271025.636424367
2014-10-18,1271025.636424367
2014-10-19,1271025.636424367
2014-10-20,1276086.7826799888
